ARNF_ECOLI	C6E9U1_ECOBD
YHJE_ECOLI	C6EEG0_ECOBD
YHJG_ECOLI	C6EEF9_ECOBD
YHJK_ECOLI	C6EEF4_ECOBD
YHJT_ECOLI	C6EEE6_ECOBD
YHJU_ECOLI	C6EEE5_ECOBD
YHJV_ECOLI	C6EEE1_ECOBD
YHJX_ECOLI	C6EED4_ECOBD
YIAA_ECOLI	C6EEB6_ECOBD
YIAB_ECOLI	C6EEB5_ECOBD
YIAH_ECOLI	C6EEB7_ECOBD
YIAM_ECOLI	C6EEA2_ECOBD
YIAN_ECOLI	C6EEA1_ECOBD
YIAV_ECOLI	C6EE90_ECOBD
YIAW_ECOLI	C6EE89_ECOBD
YIBH_ECOLI	C6EDJ5_ECOBD
YIBI_ECOLI	C6EDJ4_ECOBD
YIBN_ECOLI	C6EDH8_ECOBD
YICG_ECOLI	C6EDE4_ECOBD
YICH_ECOLI	C6EDD4_ECOBD
YICJ_ECOLI	C6EDD2_ECOBD
YICL_ECOLI	C6EDB1_ECOBD
YICN_ECOLI	C6EDA6_ECOBD
YICO_ECOLI	C6EDA5_ECOBD
YIDE_ECOLI	C6ED85_ECOBD
YIDG_ECOLI	C6ED93_ECOBD
YIDH_ECOLI	C6ED92_ECOBD
YIDI_ECOLI	C6ED91_ECOBD
YIDK_ECOLI	C6ED89_ECOBD
YIFK_ECOLI	C6EG16_ECOBD
YIGF_ECOLI	C6EFZ4_ECOBD
YIGM_ECOLI	C6EF84_ECOBD
YIHG_ECOLI	C6EF40_ECOBD
YIHN_ECOLI	C6EF27_ECOBD
YIHO_ECOLI	C6EF25_ECOBD
YIHP_ECOLI	C6EF24_ECOBD
YIHY_ECOLI	C6EF15_ECOBD
YIIR_ECOLI	C6EEX7_ECOBD
YIJD_ECOLI	C6EE45_ECOBD
YIJE_ECOLI	C6EE65_ECOBD
YJBB_ECOLI	C6EE04_ECOBD
YJCC_ECOLI	C6ED63_ECOBD
YJCD_ECOLI	C6ED60_ECOBD
YJCE_ECOLI	C6ED59_ECOBD
YJCH_ECOLI	C6ED57_ECOBD
YJDF_ECOLI	C6ED03_ECOBD
YJDL_ECOLI	C6ECZ4_ECOBD
YJDO_ECOLI	C6ECZ6_ECOBD
YJEM_ECOLI	C6ECW7_ECOBD
YJET_ECOLI	C6ECH3_ECOBD
YJFF_ECOLI	C6ECB8_ECOBD
YJFL_ECOLI	C6ECG5_ECOBD
YJGN_ECOLI	C6EC94_ECOBD
YJHB_ECOLI	C6EC79_ECOBD
YJIG_ECOLI	C6EBQ0_ECOBD
YJIH_ECOLI	C6EBP9_ECOBD
YJIJ_ECOLI	C6EBP7_ECOBD
YJIK_ECOLI	C6EBP6_ECOBD
YJIN_ECOLI	C6EBP2_ECOBD
YJIY_ECOLI	C6EBM6_ECOBD
YJJB_ECOLI	C6EBK7_ECOBD
YJJL_ECOLI	C6EBL3_ECOBD
YJJN_ECOLI	C6EBL2_ECOBD
YJJP_ECOLI	C6EBK6_ECOBD
YJJZ_ECOLI	C6EBK2_ECOBD
YKGH_ECOLI	C6ELS1_ECOBD
YKGR_ECOLI	C6ELT2_ECOBD
YLIF_ECOLI	C6EIU9_ECOBD
YMFA_ECOLI	C6EGW9_ECOBD
YNAI_ECOLI	C6EFQ1_ECOBD
YNBA_ECOLI	C6EEV5_ECOBD
YNBD_ECOLI	C6EEV2_ECOBD
YNEE_ECOLI	C6EEK3_ECOBD
YNEF_ECOLI	C6EDW7_ECOBD
YNEN_ECOLI	C6EEL7_ECOBD
YNFA_ECOLI	C6EDR6_ECOBD
YNFH_ECOLI	C6EDQ8_ECOBD
YNFM_ECOLI	C6EDQ2_ECOBD
YNIB_ECOLI	C6ECN2_ECOBD
YNJA_ECOLI	C6ECK4_ECOBD
YNJF_ECOLI	C6ECJ9_ECOBD
YNJI_ECOLI	C6ECJ5_ECOBD
YOAE_ECOLI	C6EC15_ECOBD
YOBD_ECOLI	C6EC10_ECOBD
YOBH_ECOLI	C6EC03_ECOBD
YOHC_ECOLI	C6EAH6_ECOBD
YOHD_ECOLI	C6EAH5_ECOBD
YOHJ_ECOLI	C6EAH1_ECOBD
YOHK_ECOLI	C6EAH0_ECOBD
YOJI_ECOLI	C6E9Y8_ECOBD
YOJO_ECOLI	C6E9Z1_ECOBD
YPDA_ECOLI	C6EL88_ECOBD
YPHA_ECOLI	C6EKG4_ECOBD
YPHD_ECOLI	C6EKG1_ECOBD
YPJD_ECOLI	C6EJY1_ECOBD
YQAA_ECOLI	C6EJT7_ECOBD
YQAE_ECOLI	C6EJV9_ECOBD
YQCE_ECOLI	C6EJ98_ECOBD
YQEG_ECOLI	C6EIP8_ECOBD
YQFA_ECOLI	C6EIK9_ECOBD
YQFG_ECOLI	C6EIM0_ECOBD
YQGA_ECOLI	C6EIE3_ECOBD
YQHA_ECOLI	C6EHZ0_ECOBD
YQIJ_ECOLI	C6EHU5_ECOBD
YQIK_ECOLI	C6EHU4_ECOBD
YQJA_ECOLI	C6EHP8_ECOBD
YQJB_ECOLI	C6EHP7_ECOBD
YQJE_ECOLI	C6EHP4_ECOBD
YRAQ_ECOLI	C6EH74_ECOBD
YRBG_ECOLI	C6EH31_ECOBD
YRFC_ECOLI	C6EFI2_ECOBD
YTFB_ECOLI	C6ECD8_ECOBD
YTFF_ECOLI	C6ECD4_ECOBD
YTFL_ECOLI	C6ECC7_ECOBD
YTFN_ECOLI	C6ECC4_ECOBD
YTJA_ECOLI	C6EBJ5_ECOBD
ZIPA_ECOLI	C6EL66_ECOBD
ZITB_ECOLI	C6EJJ2_ECOBD
ZNUB_ECOLI	C6EBW8_ECOBD
ZRAS_ECOLI	C6EE15_ECOBD
ZUPT_ECOLI	C6EHV4_ECOBD
ACFD_ECOLI	C6EID7_ECOBD
ACRE_ECOLI	C6EGJ5_ECOBD
YIAF_ECOLI	C6EEC7_ECOBD
DDPD_ECOLI	C6EEN3_ECOBD
FADK_ECOLI	C6ECQ6_ECOBD
FIXC_ECOLI	C6EB10_ECOBD
GLPB_ECOLI	C6E9V9_ECOBD
LCFA_ECOLI	C6EC26_ECOBD
MBHL_ECOLI	C6EHN5_ECOBD
NIKE_ECOLI	C6EF94_ECOBD
NUOF_ECOLI	C6E9R8_ECOBD
PHNK_ECOLI	C6ED26_ECOBD
PLSC_ECOLI	C6EHX6_ECOBD
RNFB_ECOLI	C6EDL8_ECOBD
TAUB_ECOLI	C6ELL8_ECOBD
CUSB_ECOLI	C6EKC7_ECOBD
MDTA_ECOLI	C6EAN1_ECOBD
MLTF_ECOLI	C6EK32_ECOBD
YNFB_ECOLI	C6EDR5_ECOBD
FIMA1_ECOLI	C6EBR9_ECOBD
FIMG_ECOLI	C6EBR4_ECOBD
FIMH_ECOLI	C6EBR3_ECOBD
AIS_ECOLI	C6E9U8_ECOBD
ALSB_ECOLI	C6ED35_ECOBD
AMIC_ECOLI	C6EJ52_ECOBD
ARGT_ECOLI	C6ELE3_ECOBD
ARTI_ECOLI	C6EIB8_ECOBD
ASPG2_ECOLI	C6EIF4_ECOBD
BAX_ECOLI	C6EEA9_ECOBD
CPDB_ECOLI	C6ECD1_ECOBD
DSBG_ECOLI	C6EK90_ECOBD
FECB_ECOLI	C6EC66_ECOBD
FHUD_ECOLI	C6EAD2_ECOBD
FIMC_ECOLI	C6EBR7_ECOBD
GSPH_ECOLI	C6EGD7_ECOBD
GSPK_ECOLI	C6EGD4_ECOBD
HDEA_ECOLI	C6EEH5_ECOBD
HISJ_ECOLI	C6ELE4_ECOBD
IVY_ECOLI	C6EA68_ECOBD
LIVJ_ECOLI	C6EFB4_ECOBD
LOLA_ECOLI	C6EI91_ECOBD
MATB_ECOLI	C6ELT7_ECOBD
MLAD_ECOLI	C6EH34_ECOBD
NANC_ECOLI	C6EBS4_ECOBD
OPPA_ECOLI	C6EGM4_ECOBD
OSMF_ECOLI	C6EAI0_ECOBD
PBP7_ECOLI	C6EAH7_ECOBD
PPIA_ECOLI	C6EFL3_ECOBD
PSIF_ECOLI	C6ELK3_ECOBD
PSPE_ECOLI	C6EFS4_ECOBD
SFMC_ECOLI	C6EKT5_ECOBD
TOLB_ECOLI	C6EJJ7_ECOBD
TORT_ECOLI	C6EHL3_ECOBD
YACH_ECOLI	C6EAU0_ECOBD
YADE_ECOLI	C6EAS7_ECOBD
YADK_ECOLI	C6EAS1_ECOBD
YADM_ECOLI	C6EAE6_ECOBD
YAFK_ECOLI	C6EA64_ECOBD
YAGX_ECOLI	C6EA32_ECOBD
YAHO_ECOLI	C6ELQ1_ECOBD
YAIO_ECOLI	C6ELM2_ECOBD
YBAV_ECOLI	C6EL21_ECOBD
YBCL_ECOLI	C6EKE8_ECOBD
YBFC_ECOLI	C6EJN3_ECOBD
YCBF_ECOLI	C6EI38_ECOBD
YCBR_ECOLI	C6EI43_ECOBD
YCBV_ECOLI	C6EI39_ECOBD
YCCT_ECOLI	C6EI17_ECOBD
YCIM_ECOLI	C6EFV4_ECOBD
YDBL_ECOLI	C6EEW1_ECOBD
YDCA_ECOLI	C6EEU3_ECOBD
YDDL_ECOLI	C6EEP5_ECOBD
YDER_ECOLI	C6EEL4_ECOBD
YDHO_ECOLI	C6ECU8_ECOBD
YEBY_ECOLI	C6EBZ0_ECOBD
YEEZ_ECOLI	C6EB67_ECOBD
YEJA_ECOLI	C6EA20_ECOBD
YFAQ_ECOLI	C6E9X4_ECOBD
YFAT_ECOLI	C6E9X2_ECOBD
YFCR_ECOLI	C6ELB8_ECOBD
YFEK_ECOLI	C6EL58_ECOBD
YFIR_ECOLI	C6EJY9_ECOBD
YGDB_ECOLI	C6EJ45_ECOBD
YGEQ_ECOLI	C6EIP4_ECOBD
YHDW_ECOLI	C6EGJ1_ECOBD
YIBG_ECOLI	C6EDJ7_ECOBD
YIBP_ECOLI	C6EDH6_ECOBD
YICS_ECOLI	C6EDA8_ECOBD
YIEL_ECOLI	C6EG84_ECOBD
YIIX_ECOLI	C6EE71_ECOBD
YJBG_ECOLI	C6EDZ6_ECOBD
YNCJ_ECOLI	C6EES7_ECOBD
YNFD_ECOLI	C6EDR2_ECOBD
YPEC_ECOLI	C6EBG4_ECOBD
YPFG_ECOLI	C6EKP6_ECOBD
YRAI_ECOLI	C6EH82_ECOBD
YTFQ_ECOLI	C6ECC1_ECOBD
EAEH_ECOLI	C6ELT1_ECOBD
WECC_ECOLI	C6EG25_ECOBD
YAET_ECOLI	C6EAA8_ECOBD
YBGQ_ECOLI	C6EJM0_ECOBD
YEJO_ECOLI	C6EA08_ECOBD
YFAZ_ECOLI	C6E9V0_ECOBD
YHDP_ECOLI	C6EGL5_ECOBD
YQIH_ECOLI	C6EHU8_ECOBD
YTFM_ECOLI	C6ECC5_ECOBD
BLC_ECOLI	C6ECX4_ECOBD
ECNB_ECOLI	C6ECX6_ECOBD
LPTE_ECOLI	C6EK52_ECOBD
MDTP_ECOLI	C6ED44_ECOBD
MLIC_ECOLI	C6EDK6_ECOBD
NLPE_ECOLI	C6EA92_ECOBD
NRFG_ECOLI	C6ED49_ECOBD
PGAB_ECOLI	C6EHI4_ECOBD
SLP_ECOLI	C6EEH9_ECOBD
YAFT_ECOLI	C6EA74_ECOBD
YBJP_ECOLI	C6EIB6_ECOBD
YCEK_ECOLI	C6EHG2_ECOBD
YEAY_ECOLI	C6EC25_ECOBD
YEHR_ECOLI	C6EAI9_ECOBD
YGDR_ECOLI	C6EJ35_ECOBD
YIDX_ECOLI	C6ED74_ECOBD
YPDI_ECOLI	C6EL92_ECOBD
YQHH_ECOLI	C6EHX9_ECOBD
YRAP_ECOLI	C6EH75_ECOBD
