EG	GN	SP	JW	Ori	LeftEnd	RightEnd
EG10994	tdk	P23331	JW1226	Clockwise	1292750	1293367
EG10995	tesB	P0AGG2	JW0442	Counterclockwise	473525	474385
EG10996	tgt	P0A847	JW0396	Clockwise	425361	426488
EG10997	mnmE	P25522	JW3684	Clockwise	3884851	3886215
EG10998	thrA	P00561	JW0001	Clockwise	337	2799
EG10999	thrB	P00547	JW0002	Clockwise	2801	3733
EG11000	thrC	P00934	JW0003	Clockwise	3734	5020
EG11001	thrS	P0A8M3	JW1709	Counterclockwise	1798666	1800594
EG11002	thyA	P0A884	JW2795	Counterclockwise	2962383	2963177
EG11003	tig	P0A850	JW0426	Clockwise	454357	455655
EG11004	ptrB	P24555	JW1834	Counterclockwise	1924803	1926863
EG11005	tnaA	P0A853	JW3686	Clockwise	3886753	3888168
EG11006	tnaB	P23173	"JW5619;JW5622"	Clockwise	3888259	3889506
EG11007	tolA	P19934	JW0729	Clockwise	775565	776830
EG11008	tolB	P0A855	JW5100	Clockwise	776963	778255
EG11009	tolC	P02930	JW5503	Clockwise	3176137	3177618
EG11010	tolQ	P0ABU9	JW0727	Clockwise	774376	775068
EG11011	tolR	P0ABV6	JW0728	Clockwise	775072	775500
EG11012	tonB	P02929	JW5195	Clockwise	1309113	1309832
EG11013	topA	P06612	JW1266	Clockwise	1329072	1331669
EG11014	topB	P14294	JW1752	Counterclockwise	1843023	1844984
EG11015	tpiA	P0A858	JW3890	Counterclockwise	4108763	4109530
EG11016	tpr	P02338	JW1219	Counterclockwise	1286310	1286399
EG11017	treA	P13482	JW1186	Counterclockwise	1244902	1246599
EG11018	trg	P05704	JW1417	Clockwise	1490494	1492134
EG11019	trkA	P0AGI8	JW3251	Clockwise	3434540	3435916
EG11020	trkG	P23849	JW1358	Clockwise	1421806	1423263
EG11021	trkH	P0AFZ7	JW5576	Clockwise	4031168	4032619
EG11022	trmA	P23003	JW3937	Counterclockwise	4160193	4161293
EG11023	trmD	P0A873	JW2588	Counterclockwise	2742594	2743361
EG11024	trpA	P0A877	JW1252	Counterclockwise	1314440	1315246
EG11025	trpB	P0A879	JW1253	Counterclockwise	1315246	1316439
EG11026	trpC	P00909	JW1254	Counterclockwise	1316451	1317809
EG11027	trpD	P00904	JW1255	Counterclockwise	1317813	1319408
EG11028	trpE	P00895	JW1256	Counterclockwise	1319408	1320970
EG11029	trpR	P0A881	JW4356	Clockwise	4630783	4631109
EG11030	trpS	P00954	JW3347	Counterclockwise	3510656	3511660
EG11031	trxA	P0AA25	JW5856	Clockwise	3963784	3964113
EG11032	trxB	P0A9P4	JW0871	Counterclockwise	930308	931273
EG11033	tsf	P0A6P1	JW0165	Clockwise	190857	191708
EG11034	tsr	P02942	JW4318	Clockwise	4589680	4591335
EG11035	tsx	P0A927	JW0401	Counterclockwise	430353	431237
EG11036	tufA	P0A6N1	JW3301	Counterclockwise	3468167	3469351
EG11037	tufB	P0A6N1	JW3943	Clockwise	4173967	4175151
EG11038	tus	P16525	JW1602	Clockwise	1682283	1683212
EG11039	tyrA	P07023	JW2581	Counterclockwise	2736970	2738091
EG11040	tyrB	P04693	JW4014	Clockwise	4265137	4266330
EG11041	tyrP	P0AAD4	JW1895	Clockwise	1987705	1988916
EG11042	tyrR	P07604	JW1316	Clockwise	1384744	1386285
EG11043	tyrS	P0AGJ9	JW1629	Counterclockwise	1713972	1715246
EG11044	ubiX	P0AG03	JW2308	Counterclockwise	2426079	2426648
EG11045	udp	P12758	JW3808	Clockwise	4014454	4015215
EG11046	ugpA	P10905	JW3417	Counterclockwise	3588047	3588934
EG11047	ugpB	P0AG80	JW3418	Counterclockwise	3589032	3590348
EG11048	ugpC	P10907	JW3415	Counterclockwise	3586133	3587203
EG11049	ugpE	P10906	JW3416	Counterclockwise	3587205	3588050
EG11050	ugpQ	P10908	JW3414	Counterclockwise	3585393	3586136
EG11051	uhpA	P0AGA6	JW3644	Counterclockwise	3848159	3848749
EG11052	uhpB	P09835	JW3643	Counterclockwise	3846657	3848159
EG11053	uhpC	P09836	JW3642	Counterclockwise	3845328	3846647
EG11054	uhpT	P0AGC0	JW3641	Counterclockwise	3843799	3845190
EG11055	uidA	P05804	JW1609	Counterclockwise	1692284	1694095
EG11056	umuC	P04152	JW1173	Clockwise	1230409	1231677
EG11057	umuD	P0AG11	JW1172	Clockwise	1229990	1230409
EG11058	ung	P12295	JW2564	Clockwise	2714776	2715465
EG11059	usg	P08390	JW2316	Counterclockwise	2433658	2434671
EG11060	ushA	P07024	JW0469	Clockwise	504138	505790
EG11061	uvrA	P0A698	JW4019	Counterclockwise	4269072	4271894
EG11062	uvrB	P0A8F8	JW0762	Clockwise	812749	814770
EG11063	uvrC	P0A8G0	JW1898	Counterclockwise	1990898	1992730
EG11064	uvrD	P03018	JW3786	Clockwise	3996006	3998168
EG11065	uxaB	P0A6L7	JW1514	Counterclockwise	1607253	1608704
EG11066	uxuA	P24215	JW4285	Clockwise	4549659	4550843
EG11067	valS	P07118	JW4215	Counterclockwise	4479005	4481860
EG11068	vsr	P09184	JW1943	Counterclockwise	2028472	2028942
EG11069	xerC	P0A8P6	JW3784	Clockwise	3994310	3995206
EG11070	dsbC	P0AEG6	JW2861	Counterclockwise	3036134	3036844
EG11071	xerD	P0A8P8	JW2862	Counterclockwise	3036869	3037765
EG11072	xseA	P04994	JW2493	Clockwise	2632254	2633624
EG11073	xthA	P09030	JW1738	Clockwise	1830452	1831258
EG11074	xylA	P00944	JW3537	Counterclockwise	3727466	3728788
EG11075	xylB	P09099	JW3536	Counterclockwise	3725940	3727394
EG11076	xylE	P0AGF4	JW3991	Counterclockwise	4238802	4240277
EG11078	nhaR	P0A9G2	JW0019	Clockwise	18715	19620
EG11079	ribF	P0AG40	JW0023	Clockwise	21407	22348
EG11080	fkpB	P0AEM0	JW0026	Clockwise	25826	26275
EG11081	ispH	P62623	JW0027	Clockwise	26277	27227
EG11082	rihC	P22564	JW0028	Clockwise	27293	28207
EG11083	rapA	P60240	JW0058	Counterclockwise	60358	63264
EG11084	mraZ	P22186	JW0079	Clockwise	89634	90092
EG11085	rsmH	P60390	JW0080	Clockwise	90094	91035
EG11086	ftsL	P0AEN4	JW0081	Clockwise	91032	91397
EG11087	secM	P62395	JW5007	Clockwise	107705	108217
EG11088	pdhR	P0ACL9	JW0109	Clockwise	122092	122856
EG11089	yacC	P0AA95	JW0118	Counterclockwise	136570	136917
EG11090	mtn	P0AF12	JW0155	Counterclockwise	178455	179153
EG11091	frsA	P04335	JW0229	Clockwise	256527	257771
EG11092	crl	P24251	JW0230	Clockwise	257829	258230
EG11093	yaiA	P0AAN5	JW0380	Clockwise	406203	406394
EG11094	sbcD	P0AG76	JW0388	Counterclockwise	414974	416176
EG11095	acpH	P21515	JW0394	Counterclockwise	423561	424142
EG11096	yajC	P0ADZ7	JW0397	Clockwise	426511	426843
EG11097	yajD	P0AAQ2	JW0400	Clockwise	429829	430176
EG11098	xseB	P0A8G9	JW0412	Counterclockwise	440325	440567
EG11099	ybaA	P0AAQ6	JW0445	Clockwise	475896	476249
EG11100	ybaB	P0A8B5	JW0460	Clockwise	493300	493629
EG11101	aes	P23872	JW0465	Counterclockwise	498238	499197
EG11102	gsk	P0AEW6	JW0466	Clockwise	499349	500653
EG11103	fimZ	P0AEL8	JW5073	Counterclockwise	563071	563703
EG11104	entS	P24077	JW0583	Clockwise	621523	622773
EG11105	entH	P0A8Y8	JW0589	Clockwise	628523	628936
EG11107	ybdD	P0AAS9	JW0591	Clockwise	631405	631602
EG11108	ybgA	P24252	JW0697	Clockwise	738224	738733
EG11109	mngR	P13669	JW0719	Counterclockwise	764376	765098
EG11110	ybgC	P0A8Z3	JW0726	Clockwise	773975	774379
EG11111	cspD	P0A968	JW0864	Counterclockwise	921589	921813
EG11112	aat	P0A8P1	JW0868	Counterclockwise	925951	926655
EG11113	yccA	P0AAC6	JW0953	Counterclockwise	1029982	1030641
EG11114	yccB	P24244	Null	Clockwise	1039668	1039760
EG11116	yceA	P24188	JW1042	Clockwise	1116030	1117082
EG11117	yceB	P0AB26	JW1050	Counterclockwise	1121936	1122496
EG11118	rluC	P0AA39	JW1072	Clockwise	1144163	1145122
EG11119	yceD	P0AB28	JW1074	Clockwise	1146017	1146538
EG11120	tfaE	P09153	JW1142	Counterclockwise	1207740	1208342
EG11121	yciA	P0A8Z0	JW1245	Counterclockwise	1309872	1310270
EG11122	yciB	P0A710	JW1246	Counterclockwise	1310375	1310914
EG11123	yciC	P21365	JW1247	Counterclockwise	1310944	1311687
EG11124	ompW	P0A915	JW1248	Clockwise	1312044	1312682
EG11125	yciE	P21363	JW1249	Counterclockwise	1312742	1313248
EG11126	yciF	P21362	JW1250	Counterclockwise	1313294	1313794
EG11127	yciG	P21361	JW1251	Counterclockwise	1313880	1314059
EG11128	yciH	P08245	JW1274	Clockwise	1340682	1341008
EG11129	rem	P07010	JW1553	Counterclockwise	1642675	1642926
EG11130	hokD	P0ACG6	JW1554	Counterclockwise	1643143	1643298
EG11131	relE	P0C077	JW1555	Counterclockwise	1643370	1643657
EG11132	ppsR	P0A8A4	JW1693	Clockwise	1785469	1786302
EG11133	nlpC	P23898	JW1698	Counterclockwise	1790291	1790755
EG11134	ydjA	P0ACY1	JW1754	Counterclockwise	1846149	1846700
EG11135	pncA	P21369	JW1757	Clockwise	1849911	1850552
EG11136	yebB	P24238	JW5306	Clockwise	1944275	1944877
EG11137	yebC	P0A8A0	JW1853	Counterclockwise	1945435	1946175
EG11138	nudB	P0AFC0	JW1854	Counterclockwise	1946204	1946656
EG11139	yecA	P0AD05	JW1896	Counterclockwise	1988978	1989643
EG11140	uvrY	P0AED5	JW1899	Counterclockwise	1992727	1993383
EG11141	yedA	P0AA70	JW1942	Clockwise	2027563	2028483
EG11142	yfaA	P17994	JW2224	Counterclockwise	2332978	2334666
EG11143	ubiG	P17993	JW2226	Clockwise	2337589	2338311
EG11144	yfcA	P0AD30	JW2324	Counterclockwise	2442773	2443582
EG11145	yfeA	P23842	JW5391	Counterclockwise	2513665	2515854
EG11146	xapR	P23841	JW2396	Counterclockwise	2519615	2520499
EG11147	yffB	P24178	JW2455	Clockwise	2589269	2589625
EG11149	gcvR	P0A9I3	JW2464	Clockwise	2597928	2598500
EG11150	hyfA	P23481	JW2466	Clockwise	2599223	2599840
EG11151	raiA	P0AD49	JW2578	Clockwise	2735176	2735517
EG11152	yfiB	P07021	JW2586	Clockwise	2741647	2742129
EG11153	rimM	P0A7X6	JW5413	Counterclockwise	2743392	2743940
EG11154	ppdC	P08372	JW2791	Counterclockwise	2960463	2960786
EG11155	ygdB	P08370	JW5450	Counterclockwise	2960771	2961178
EG11156	ppdB	P08371	JW5451	Counterclockwise	2961175	2961738
EG11157	ygeA	P03813	JW2808	Counterclockwise	2977965	2978657
EG11158	ygfA	P0AC28	JW2879	Clockwise	3054263	3054811
EG11159	argO	P11667	JW2890	Counterclockwise	3066195	3066830
EG11160	mscS	P0C0S1	JW2891	Counterclockwise	3066969	3067829
EG11161	yggC	P11664	JW2895	Counterclockwise	3071998	3072711
EG11162	yggD	P11663	JW2896	Counterclockwise	3072708	3073217
EG11164	ygiB	P0ADT2	JW5927	Clockwise	3177766	3178437
EG11165	ygiC	P0ADT5	JW3006	Clockwise	3178443	3179603
EG11166	ygiD	P24197	JW3007	Counterclockwise	3179641	3180429
EG11167	zupT	P0A8H3	JW3008	Clockwise	3180572	3181345
EG11168	ttdA	P05847	JW3033	Clockwise	3204485	3205396
EG11169	ttdB	P0AC35	JW3034	Clockwise	3205393	3205998
EG11171	gcp	P05852	JW3036	Counterclockwise	3207552	3208565
EG11172	tdcD	P11868	JW5806	Counterclockwise	3260474	3261682
EG11173	yhaB	P11865	JW3091	Clockwise	3265876	3266415
EG11174	yhaC	P11864	JW3092	Clockwise	3266437	3267624
EG11175	garK	P23524	JW3093	Counterclockwise	3268647	3269792
EG11176	garR	P0ABQ2	JW5526	Counterclockwise	3269889	3270773
EG11177	truB	P60340	JW3135	Counterclockwise	3309855	3310799
EG11178	rbfA	P0A7G2	JW3136	Counterclockwise	3310799	3311200
EG11179	rimP	P0A8A8	JW5533	Counterclockwise	3315576	3316028
EG11180	mscL	P0A742	JW3252	Clockwise	3436046	3436456
EG11181	bfd	P0AE56	JW3299	Counterclockwise	3464819	3465013
EG11182	yhfA	P0ADX1	JW3319	Counterclockwise	3483436	3483840
EG11183	damX	P11557	JW3351	Counterclockwise	3514042	3515328
EG11184	yhhA	P0ADX7	JW3413	Clockwise	3584966	3585406
EG11186	yiaA	P0ADJ8	JW3534	Counterclockwise	3724947	3725384
EG11187	yibA	P0ADK6	JW3568	Clockwise	3764360	3765202
EG11188	yibB	P25666	JW5644	Counterclockwise	3790849	3791706
EG11189	rfaC	P24173	JW3596	Clockwise	3794002	3794961
EG11190	coaD	P0A6I6	JW3609	Clockwise	3807848	3808327
EG11191	slmA	P0C093	JW5641	Clockwise	3812517	3813113
EG11192	yicC	P23839	JW3619	Clockwise	3814699	3815562
EG11193	dinD	P23840	JW3620	Clockwise	3815783	3816607
EG11194	xanP	P0AGM9	JW3629	Clockwise	3826968	3828359
EG11195	yidA	P0A8Y5	JW3674	Counterclockwise	3874163	3874975
EG11196	yidB	P09996	JW3675	Counterclockwise	3875090	3875488
EG11197	yidC	P25714	JW3683	Clockwise	3883099	3884745
EG11198	glmU	P0ACC7	JW3708	Counterclockwise	3911853	3913223
EG11199	mioC	P03817	JW3720	Counterclockwise	3924035	3924478
EG11201	yigA	P23305	JW3783	Clockwise	3993606	3994313
EG11202	yigB	P0ADP0	JW3785	Clockwise	3995206	3995922
EG11203	yihA	P0A6P7	JW5930	Counterclockwise	4048156	4048788
EG11204	murI	P22634	JW5550	Clockwise	4163451	4164308
EG11205	murB	P08373	JW3940	Clockwise	4170080	4171108
EG11206	yjaA	P09162	JW3971	Clockwise	4211257	4211640
EG11207	yjaB	P09163	JW3972	Counterclockwise	4211703	4212146
EG11208	arpA	P23325	JW3977	Counterclockwise	4218324	4220510
EG11209	psiE	P0A7C8	JW3990	Clockwise	4238348	4238758
EG11210	yjdA	P16694	JW4070	Clockwise	4325158	4327386
EG11211	yjeA	P0A8N7	JW4116	Clockwise	4380666	4381643
EG11212	nsrR	P0AF63	JW4136	Clockwise	4404213	4404638
EG11214	yjjA	P18390	JW5795	Counterclockwise	4597718	4598212
EG11215	yjjB	P0ADD2	JW4327	Counterclockwise	4599647	4600120
EG11217	creA	P0AE91	JW4360	Clockwise	4633544	4634017
EG11218	creB	P08368	JW4361	Clockwise	4634030	4634719
EG11219	ydcA	P0ACW4	JW1416	Clockwise	1489701	1489874
EG11221	zwf	P0AC53	JW1841	Counterclockwise	1932863	1934338
EG11222	alkA	P04395	JW2053	Counterclockwise	2144716	2145564
EG11223	argH	P11447	JW3932	Clockwise	4154873	4156246
EG11224	fliO	P22586	JW5316	Clockwise	2019528	2019893
EG11225	dcuA	P0ABN5	JW5735	Counterclockwise	4363495	4364796
EG11226	leuA	P09151	JW0073	Counterclockwise	81958	83529
EG11227	fdnG	P24183	JW1470	Clockwise	1545425	1548472
EG11228	fdnH	P0AAJ3	JW1471	Clockwise	1548485	1549369
EG11229	fdnI	P0AEK7	JW1472	Clockwise	1549362	1550015
EG11230	melR	P0ACH8	JW4079	Counterclockwise	4338743	4339651
EG11231	rpmI	P0A7Q1	JW1707	Counterclockwise	1797826	1798023
EG11232	rpmJ	P0A7Q6	JW3261	Counterclockwise	3440640	3440756
EG11233	rstB	P18392	JW1601	Clockwise	1680906	1682207
EG11234	ydiB	P0A6D5	JW1682	Clockwise	1771813	1772679
EG11235	rhlE	P25888	JW0781	Clockwise	830095	831459
EG11236	yahA	P21514	JW0307	Clockwise	331595	332683
EG11237	chiA	P13656	JW3300	Counterclockwise	3465182	3467875
EG11238	ybhB	P12994	JW0756	Counterclockwise	806656	807132
EG11239	ybhA	P21829	JW0749	Counterclockwise	796836	797654
EG11240	hokB	P77494	JW5225	Counterclockwise	1489946	1490095
EG11241	ycaC	P21367	JW0880	Counterclockwise	944154	944780
EG11242	ycaD	P21503	JW0881	Clockwise	945094	946242
EG11244	yggE	P0ADS6	JW2889	Counterclockwise	3065362	3066102
EG11245	yggF	P21437	JW2897	Counterclockwise	3073239	3074204
EG11246	uspE	P0AAC0	JW1327	Counterclockwise	1395696	1396646
EG11247	rlmC	P55135	JW2756	Counterclockwise	2911721	2913022
EG11249	mazF	P0AE70	JW2753	Counterclockwise	2908778	2909113
EG11250	chpS	P08365	JW5750	Clockwise	4446470	4446721
EG11251	ychA	P0AGM5	JW1205	Clockwise	1266543	1267352
EG11252	mukE	P22524	JW0906	Clockwise	974845	975549
EG11253	ycbB	P22525	JW0908	Clockwise	980270	982117
EG11254	rlmH	P0A8I8	JW0631	Counterclockwise	667471	667938
EG11255	ybeB	P0AAT6	JW5090	Counterclockwise	667942	668259
EG11256	iraP	P0AAN9	JW0373	Clockwise	400610	400870
EG11257	adrA	P0AAP1	JW0376	Clockwise	402927	404042
EG11258	focA	P0AC23	JW0887	Counterclockwise	952832	953689
EG11259	rnr	P21499	JW5741	Clockwise	4404677	4407118
EG11260	yifB	P22787	JW3738	Counterclockwise	3946472	3947992
EG11261	nfsA	P17117	JW0835	Clockwise	890407	891129
EG11262	tsgA	P60778	JW3327	Clockwise	3490590	3491771
EG11263	gspB	P03825	JW3284	Counterclockwise	3451530	3451949
EG11265	cmk	P0A6I0	JW0893	Clockwise	960424	961107
EG11266	yibD	P11290	JW3590	Counterclockwise	3787070	3788104
EG11267	yiaB	P11286	JW5654	Counterclockwise	3725430	3725771
EG11268	fmt	P23882	JW3249	Clockwise	3432236	3433183
EG11269	hisL	P60995	JW2000	Clockwise	2088020	2088070
EG11270	ilvL	P62522	JW3739	Clockwise	3948345	3948443
EG11271	pheL	P0AD72	JW2579	Clockwise	2735621	2735668
EG11272	pheM	P0AD74	JW1705	Counterclockwise	1797250	1797294
EG11274	trpL	P0AD92	JW1257	Counterclockwise	1321062	1321106
EG11275	ivbL	P03061	JW3647	Counterclockwise	3850913	3851011
EG11276	tnaC	P0AD89	JW3685	Clockwise	3886458	3886532
EG11277	thrL	P0AD86	JW4367	Clockwise	190	255
EG11279	pyrL	P0AD83	JW4205	Counterclockwise	4470422	4470556
EG11280	leuL	P0AD79	JW0074	Counterclockwise	83622	83708
EG11281	mutL	P23367	JW4128	Clockwise	4395435	4397282
EG11282	hyfB	P23482	JW2467	Clockwise	2599840	2601858
EG11284	fabZ	P0A6Q6	JW0175	Clockwise	202101	202556
EG11285	glrR	P0AFU4	JW2538	Counterclockwise	2685491	2686825
EG11286	argE	P23908	JW3929	Counterclockwise	4151719	4152870
EG11287	ygbA	P25728	JW2702	Counterclockwise	2854475	2854828
EG11288	mak	P23917	JW0385	Clockwise	409368	410276
EG11289	yeiA	P25889	JW2134	Clockwise	2233287	2234522
EG11290	yeiB	P25747	JW2139	Counterclockwise	2239832	2240989
EG11291	yggG	P25894	JW2903	Clockwise	3079935	3080693
EG11292	yghA	P0AG84	JW2972	Clockwise	3147684	3148568
EG11293	lolB	P61320	JW1200	Counterclockwise	1262100	1262723
EG11294	ispE	P62615	JW1199	Counterclockwise	1261249	1262100
EG11295	wzzE	P0AG00	JW5601	Clockwise	3967054	3968100
EG11296	radA	P24554	JW4352	Clockwise	4623935	4625317
EG11297	dsbA	P0AEG4	JW3832	Clockwise	4041441	4042067
EG11298	yhdE	P25536	JW3217	Counterclockwise	3395807	3396400
EG11299	rng	P0A9J0	JW3216	Counterclockwise	3394348	3395817
EG11300	ydfA	P0ACW8	JW1563	Clockwise	1646532	1646687
EG11301	ydfB	P29009	JW1564	Clockwise	1646689	1646817
EG11302	ydfC	P21418	JW1565	Clockwise	1646847	1647065
EG11303	ydfD	P29010	JW1567	Clockwise	1647818	1648009
EG11305	tatE	P0A843	JW0622	Clockwise	658170	658373
EG11306	lipA	P60716	JW0623	Counterclockwise	658474	659439
EG11309	ydbC	P25906	JW1403	Clockwise	1472245	1473105
EG11310	ydbD	P25907	JW5221	Clockwise	1473168	1475474
EG11311	dusB	P0ABT5	JW3228	Clockwise	3408302	3409267
EG11312	yicR	P25531	JW5643	Counterclockwise	3809914	3810582
EG11313	rhaT	P27125	JW3878	Counterclockwise	4097514	4098548
EG11314	purB	P0AB89	JW1117	Counterclockwise	1189839	1191209
EG11315	yhdH	P26646	JW3222	Clockwise	3401506	3402480
EG11316	malS	P25718	JW3543	Clockwise	3735520	3737550
EG11317	fabD	P0AAI9	JW1078	Clockwise	1148951	1149880
EG11318	fabG	P0AEK2	JW1079	Clockwise	1149893	1150627
EG11319	galU	P0AEP3	JW1224	Clockwise	1290680	1291588
EG11320	nrdR	P0A8D0	JW0403	Clockwise	432226	432675
EG11321	ribD	P25539	JW0404	Clockwise	432679	433782
EG11322	ribE	P61714	JW0405	Clockwise	433871	434341
EG11323	ygfB	P0A8C4	JW5473	Counterclockwise	3052888	3053466
EG11324	ubiH	P25534	JW2875	Counterclockwise	3050362	3051540
EG11325	acnA	P25516	JW1268	Clockwise	1333855	1336530
EG11326	codA	P25524	JW0328	Clockwise	355395	356678
EG11327	codB	P0AA82	JW0327	Clockwise	354146	355405
EG11328	fdx	P0A9R4	JW2509	Counterclockwise	2654770	2655105
EG11329	gabD	P25526	JW2636	Clockwise	2789295	2790743
EG11330	gabP	P25527	JW2638	Clockwise	2792275	2793675
EG11331	ribA	P0A7I7	JW1269	Counterclockwise	1336594	1337184
EG11332	upp	P0A8F0	JW2483	Counterclockwise	2618268	2618894
EG11333	visC	P25535	JW2874	Counterclockwise	3049137	3050339
EG11334	ligB	P25772	JW3622	Counterclockwise	3817511	3819193
EG11335	nadR	P27278	JW5800	Clockwise	4625338	4626570
EG11336	endA	P25736	JW2912	Clockwise	3088369	3089076
EG11337	lysP	P25737	JW2143	Counterclockwise	2245085	2246554
EG11338	msyB	P25738	JW1039	Counterclockwise	1113030	1113404
EG11339	rfaG	P25740	JW3606	Counterclockwise	3803966	3805090
EG11340	rfaP	P25741	JW3605	Counterclockwise	3803176	3803973
EG11341	rfaQ	P25742	JW3607	Counterclockwise	3805087	3806121
EG11342	ychE	P25743	JW1229	Clockwise	1297821	1298468
EG11343	mdtG	P25744	JW1040	Counterclockwise	1113487	1114713
EG11344	mnmA	P25745	JW1119	Counterclockwise	1191890	1192996
EG11345	hflD	P25746	JW5165	Counterclockwise	1191213	1191854
EG11346	fliE	P0A8T5	JW1921	Counterclockwise	2010724	2011038
EG11347	fliF	P25798	JW1922	Clockwise	2011253	2012911
EG11348	yidD	P0A8C8	JW3682	Clockwise	3882839	3883096
EG11350	rfaS	P27126	JW3604	Counterclockwise	3802204	3803139
EG11351	rfaB	P27127	JW3603	Counterclockwise	3801081	3802160
EG11352	rfaI	P27128	JW3602	Counterclockwise	3800062	3801081
EG11353	rfaJ	P27129	JW3601	Counterclockwise	3799006	3800022
EG11354	emrA	P27303	JW2660	Clockwise	2809449	2810621
EG11355	fliA	P0AEM6	JW1907	Counterclockwise	1999094	1999813
EG11356	fliZ	P52627	JW1906	Counterclockwise	1998497	1999048
EG11357	dinG	P27296	JW0784	Clockwise	832293	834443
EG11358	murA	P0A749	JW3156	Counterclockwise	3333257	3334516
EG11359	gspO	P25960	JW3297	Clockwise	3463565	3464242
EG11360	bax	P27297	JW5653	Counterclockwise	3734376	3735200
EG11361	asmA	P28249	JW2049	Counterclockwise	2137783	2139636
EG11362	gluQ	P27305	JW5892	Counterclockwise	159186	160112
EG11363	amiB	P26365	JW4127	Clockwise	4394088	4395425
EG11364	bglH	P26218	JW3698	Counterclockwise	3898627	3900243
EG11366	rob	P0ACI0	JW4359	Counterclockwise	4632464	4633333
EG11367	barA	P0AEC5	JW2757	Clockwise	2913079	2915835
EG11368	menB	P0ABU0	JW2257	Counterclockwise	2373984	2374841
EG11369	ubiC	P26602	JW5713	Clockwise	4250529	4251026
EG11370	ubiA	P0AGK1	JW4000	Clockwise	4251039	4251911
EG11371	yfhB	P0AD42	JW5408	Counterclockwise	2695937	2696572
EG11372	tadA	P68398	JW2543	Counterclockwise	2695376	2695879
EG11373	mltF	P0AGC5	JW2542	Clockwise	2693823	2695379
EG11374	folK	P26281	JW0138	Counterclockwise	157253	157732
EG11375	folE	P0A6T5	JW2140	Counterclockwise	2241006	2241674
EG11376	ftsP	P26648	JW2985	Counterclockwise	3159279	3160691
EG11377	plsC	P26647	JW2986	Counterclockwise	3160766	3161503
EG11378	sufA	P77667	JW1674	Counterclockwise	1762042	1762410
EG11379	appB	P26458	JW0961	Clockwise	1038519	1039655
EG11380	appC	P26459	JW0960	Clockwise	1036963	1038507
EG11381	glgS	P26649	JW3021	Counterclockwise	3189761	3189961
EG11383	elbB	P0ABU5	JW3176	Counterclockwise	3347828	3348481
EG11384	ahpC	P0AE08	JW0598	Clockwise	638168	638731
EG11385	ahpF	P35340	JW0599	Clockwise	638976	640541
EG11387	amyA	P26612	JW1912	Clockwise	2004180	2005667
EG11388	fliS	P26608	JW1910	Clockwise	2003327	2003737
EG11389	fliT	P0ABY2	JW1911	Clockwise	2003737	2004102
EG11390	uspA	P0AED0	JW3462	Clockwise	3638134	3638568
EG11391	osmY	P0AFH8	JW4338	Clockwise	4609419	4610024
EG11392	nhaB	P0AFA7	JW1175	Counterclockwise	1232399	1233940
EG11393	dsbB	P0A6M2	JW5182	Counterclockwise	1231723	1232253
EG11394	fabR	P0ACU5	JW3935	Clockwise	4159147	4159794
EG11395	yijD	P0AF40	JW3936	Clockwise	4159794	4160153
EG11396	ubiD	P0AAB4	JW3819	Clockwise	4023011	4024504
EG11398	hdeA	P0AES9	JW3478	Counterclockwise	3654431	3654763
EG11399	hdeB	P0AET2	JW5669	Counterclockwise	3653989	3654315
EG11400	yhiD	P0AFV2	JW5670	Counterclockwise	3653278	3653925
EG11401	psiF	P0AFM4	JW5054	Clockwise	402505	402825
EG11402	treC	P28904	JW4198	Counterclockwise	4461077	4462732
EG11403	ppx	P0AFL6	JW2487	Clockwise	2623137	2624678
EG11404	ychF	P0ABU2	JW1194	Counterclockwise	1255944	1257035
EG11405	cydD	P29018	JW0870	Counterclockwise	928419	930185
EG11406	ribC	P0AFU8	JW1654	Counterclockwise	1740625	1741266
EG11407	dadA	P0A6J5	JW1178	Clockwise	1236794	1238092
EG11408	dadX	P29012	JW1179	Clockwise	1238102	1239172
EG11409	lpxK	P27300	JW0898	Clockwise	967589	968575
EG11410	yjgA	P0A8X0	JW4193	Counterclockwise	4455337	4455888
EG11411	glnD	P27249	JW0162	Counterclockwise	185978	188650
EG11412	holA	P28630	JW0635	Counterclockwise	669797	670828
EG11413	holC	P28905	JW4216	Counterclockwise	4481860	4482303
EG11414	holD	P28632	JW4334	Clockwise	4605826	4606239
EG11415	dps	P0ABT2	JW0797	Counterclockwise	847631	848134
EG11417	nrdD	P28903	JW4197	Counterclockwise	4458545	4460683
EG11418	dcd	P28248	JW2050	Counterclockwise	2139658	2140239
EG11419	bcr	P28246	JW5363	Counterclockwise	2276592	2277782
EG11421	cynR	P27111	JW5894	Counterclockwise	357015	357914
EG11422	inaA	P27294	JW2231	Counterclockwise	2346844	2347494
EG11423	waaU	P27242	JW3598	Counterclockwise	3796262	3797335
EG11424	rfaL	P27243	JW3597	Clockwise	3794971	3796230
EG11425	rfaY	P27240	JW3600	Counterclockwise	3798290	3798988
EG11426	rfaZ	P27241	JW3599	Counterclockwise	3797368	3798219
EG11427	tktA	P27302	JW5478	Counterclockwise	3077666	3079657
EG11428	sthA	P27306	JW5551	Counterclockwise	4157413	4158813
EG11429	yjaZ	P27375	JW3952	Clockwise	4187809	4188348
EG11430	ycfD	P27431	JW1114	Counterclockwise	1186342	1187463
