Entry name K12 (Uniprot)	Entry Name BL21(DE3) (Uniprot)	Subcellular Location(this study)	Common Core	Pseudogene/Mobile Element Notes
YUAF_ECOLI	Null	B		Plasmid F
YUAE_ECOLI	Null	E		Plasmid F
YUAD_ECOLI	Null	B		Plasmid F
YUAC_ECOLI	Null	B		Plasmid F
YUAB_ECOLI	Null	A		Plasmid F
YUAA_ECOLI	Null	A		Plasmid F
X19F_ECOLI	Null	G		Plasmid F
TRBJ_ECOLI	Null	B		Plasmid F
TRBI_ECOLI	Null	B		Plasmid F
TRBH_ECOLI	Null	B		Plasmid F
TRBG_ECOLI	Null	A		Plasmid F
TRBF_ECOLI	Null	B		Plasmid F
TRBE_ECOLI	Null	B		Plasmid F
TRBD_ECOLI	Null	A		Plasmid F
TRBC_ECOLI	Null	G		Plasmid F
TRBB_ECOLI	Null	G		Plasmid F
TRBA_ECOLI	Null	B		Plasmid F
TRAY1_ECOLI	Null	A		Plasmid F
TRAX1_ECOLI	Null	B		Plasmid F
TRAW_ECOLI	Null	G		Plasmid F
TRAV_ECOLI	Null	I		Plasmid F
TRAU_ECOLI	Null	G		Plasmid F
TRAT1_ECOLI	Null	I		Plasmid F
TRAS1_ECOLI	Null	B		Plasmid F
TRAR_ECOLI	Null	A		Plasmid F
TRAQ_ECOLI	Null	B		Plasmid F
TRAP_ECOLI	Null	B		Plasmid F
TRAN_ECOLI	Null	H		Plasmid F
TRAM1_ECOLI	Null	A		Plasmid F
TRAK1_ECOLI	Null	E		Plasmid F
TRAJ1_ECOLI	Null	A		Plasmid F
TRAI1_ECOLI	Null	A		Plasmid F
TRAH1_ECOLI	Null	G		Plasmid F
TRAG1_ECOLI	Null	B		Plasmid F
TRAF_ECOLI	Null	G		Plasmid F
TRAE1_ECOLI	Null	B		Plasmid F
TRAC_ECOLI	Null	F1		Plasmid F
TNR1_ECOLI	Null	A		Plasmid F
TNPX_ECOLI	Null	A		Plasmid F
SSBF_ECOLI	Null	A		Plasmid F
SRNB_ECOLI	Null	B		Plasmid F
SOPB_ECOLI	Null	A		Plasmid F
SOPA_ECOLI	Null	A		Plasmid F
REPL1_ECOLI	Null	A		Plasmid F
REPE1_ECOLI	Null	A		Plasmid F
REDF_ECOLI	Null	A		Plasmid F
PSIB1_ECOLI	Null	A		Plasmid F
PSIA1_ECOLI	Null	A		Plasmid F
PIFC_ECOLI	Null	A		Plasmid F
PIFA_ECOLI	Null	A		Plasmid F
OMPP_ECOLI	Null	B		Plasmid F
INTM_ECOLI	Null	A		Plasmid F
FLMC1_ECOLI	Null	A		Plasmid F
FLMA_ECOLI	Null	B		Plasmid F
FINO_ECOLI	Null	A		Plasmid F
CCDB_ECOLI	Null	A		Plasmid F
CCDA_ECOLI	Null	A		Plasmid F
ARTA_ECOLI	Null	B		Plasmid F
INSF5_ECOLI	Null	A		"Insertion Sequence;Transposase;Rhs Element;Prophage Integrase"
INSF4_ECOLI	Null	A		"Insertion Sequence;Transposase;Rhs Element;Prophage Integrase"
INSF3_ECOLI	Null	A		"Insertion Sequence;Transposase;Rhs Element;Prophage Integrase"
INSF2_ECOLI	Null	A		"Insertion Sequence;Transposase;Rhs Element;Prophage Integrase"
INSN2_ECOLI	Null	A		"Insertion Sequence;Transposase"
INSN1_ECOLI	Null	A		"Insertion Sequence;Transposase"
INSL3_ECOLI	Null	A		"Insertion Sequence;Transposase"
INSL2_ECOLI	Null	A		"Insertion Sequence;Transposase"
INSH9_ECOLI	Null	A		"Insertion Sequence;Transposase"
INSH8_ECOLI	Null	A		"Insertion Sequence;Transposase"
INSH7_ECOLI	Null	A		"Insertion Sequence;Transposase"
INSH6_ECOLI	Null	A		"Insertion Sequence;Transposase"
INSH5_ECOLI	Null	A		"Insertion Sequence;Transposase"
INSH4_ECOLI	Null	A		"Insertion Sequence;Transposase"
INSH3_ECOLI	Null	A		"Insertion Sequence;Transposase"
INSH2_ECOLI	Null	A		"Insertion Sequence;Transposase"
INSH1_ECOLI	Null	A		"Insertion Sequence;Transposase"
INSE5_ECOLI	Null	A		"Insertion Sequence;Transposase"
INSE4_ECOLI	Null	A		"Insertion Sequence;Transposase"
INSE3_ECOLI	Null	A		"Insertion Sequence;Transposase"
INSE2_ECOLI	Null	A		"Insertion Sequence;Transposase"
INSE1_ECOLI	Null	A		"Insertion Sequence;Transposase"
INH11_ECOLI	Null	A		"Insertion Sequence;Transposase"
INH10_ECOLI	Null	A		"Insertion Sequence;Transposase"
INSK_ECOLI	Null	A		"Insertion Sequence;Insertion Element ;Transposase;Rhs Element;Prophage Integrase"
INSI4_ECOLI	Null	A		"Insertion Sequence;Insertion Element ;Transposase;Rhs Element;Prophage Integrase"
INSI3_ECOLI	Null	A		"Insertion Sequence;Insertion Element ;Transposase;Rhs Element;Prophage Integrase"
INSI1_ECOLI	Null	A		"Insertion Sequence;Insertion Element ;Transposase;Rhs Element;Prophage Integrase"
INSD6_ECOLI	Null	A		"Insertion Sequence;Insertion Element ;Transposase;Rhs Element;Prophage Integrase"
INSD5_ECOLI	Null	A		"Insertion Sequence;Insertion Element ;Transposase;Rhs Element;Prophage Integrase"
INSD4_ECOLI	Null	A		"Insertion Sequence;Insertion Element ;Transposase;Rhs Element;Prophage Integrase"
INSD3_ECOLI	Null	A		"Insertion Sequence;Insertion Element ;Transposase;Rhs Element;Prophage Integrase"
INSD2_ECOLI	Null	A		"Insertion Sequence;Insertion Element ;Transposase;Rhs Element;Prophage Integrase"
INSD1_ECOLI	Null	A		"Insertion Sequence;Insertion Element ;Transposase;Rhs Element;Prophage Integrase"
INSA1_ECOLI	Null	A		Insertion Element 
INSA2_ECOLI	Null	A		Insertion Element 
INSA3_ECOLI	Null	A		Insertion Element 
INSA4_ECOLI	Null	A		Insertion Element 
INSA5_ECOLI	Null	A		Insertion Element 
INSA6_ECOLI	Null	A		Insertion Element 
INSB1_ECOLI	Null	A		"Insertion Element ;Transposase"
INSB2_ECOLI	Null	A		"Insertion Element ;Transposase"
INSB3_ECOLI	Null	A		"Insertion Element ;Transposase"
INSB5_ECOLI	Null	A		"Insertion Element ;Transposase"
INSB6_ECOLI	Null	A		"Insertion Element ;Transposase"
INSC1_ECOLI	Null	A		"Insertion Sequence;Insertion Element ;Transposase"
INSC2_ECOLI	Null	A		"Insertion Sequence;Insertion Element ;Transposase"
INSC3_ECOLI	Null	A		"Insertion Sequence;Insertion Element ;Transposase"
INSC4_ECOLI	Null	A		"Insertion Sequence;Insertion Element ;Transposase"
INSC5_ECOLI	Null	A		"Insertion Sequence;Insertion Element ;Transposase"
INSC6_ECOLI	Null	A		"Insertion Sequence;Insertion Element ;Transposase"
INSL1_ECOLI	Null	A		"Insertion Sequence;Insertion Element ;Transposase"
INSA7_ECOLI	Null	A		Insertion Element 
INSB4_ECOLI	Null	A		"Insertion Element ;Transposase"
INSQ_ECOLI	Null	A		"Insertion Sequence;Insertion Element ;Transposase"
