Merge ID	Entry name (Uniprot)	Accession (UNIPROT)	Locus_Tag	Subcellular Location(this study)	Name of deletion Island (Posfai 2006)	Mobile Element	Mobile from paper	Pseudogene/Mobile Element Notes	Common Core	Deletion	700_Mobile_Elements_S1(2)F(2)F	K12_Mobile	# Studies	700_Mobile_Elements_S1(2)F(2)F Duplicates	K12_Mobile Duplicates	EG	GN	SP	JW
ydaL	YDAL_ECOLI	P76053	b1340	A	MD2	0	2		Common Core	del-MD2	1	1	2	1	1	EG13354	ydaL	P76053	JW1334
ydaM	YDAM_ECOLI	P77302	b1341	A	MD2	0	2			del-MD2	1	1	2	1	1	EG13355	ydaM	P77302	JW5206
ydaN	ZNTB_ECOLI	P64423	b1342	B	MD2	0	2		Common Core	del-MD2	1	1	2	1	1	EG13356	ydaN	P64423	JW1336
dbpA	DBPA_ECOLI	P21693	b1343	A	MD2	0	2		Common Core	del-MD2	1	1	2	1	1	EG10210	dbpA	P21693	JW1337
intR	INTR_ECOLI	P76056	b1345	A	MD2	2	2	"Rhs Element;Prophage Integrase;Prophage Integrase (EcoGene)"		del-MD2	1	1	2	1	1	EG13358	intR	P76056	JW1339
ydaQ	YDAQ_ECOLI	P76057	b1346	A	MD2	2	2	Prophage Integrase (EcoGene)		del-MD2	1	1	2	1	1	EG13359	ydaQ	P76057	JW5207
ydaC	YDAC_ECOLI	P33230	b1347	A	MD2	2	2	Prophage Integrase (EcoGene)		del-MD2	1	1	2	1	1	EG11901	ydaC	P33230	JW1341
recT	RECT_ECOLI	P33228	b1349	A	MD2	2	2	Prophage Integrase (EcoGene)		del-MD2	1	1	2	1	1	EG11899	recT	P33228	JW1343
recE	RECE_ECOLI	P15032	b1350	A	MD2	2	2	Prophage Integrase (EcoGene)		del-MD2	1	1	2	1	1	EG10827	recE	P15032	JW1344
racC	RACC_ECOLI	P15033	b1351	A	MD2	2	2	Prophage Integrase (EcoGene)		del-MD2	1	1	2	1	1	EG10813	racC	P15033	JW1345
ydaE	YDAE_ECOLI	P38394	b4526	A	MD2	2	2	Prophage Integrase (EcoGene)		del-MD2	1	1	2	1	1	EG12156	ydaE	P38394	JW1346
sieB	SIEB_ECOLI	P38392	b1353	B	MD2	2	2	Prophage Integrase (EcoGene)		del-MD2	1	1	2	1	1	EG12154	sieB	P38392	JW5209
ydaF	YDAF_ECOLI	P0ACW0	b4527	A	MD2	2	2	Prophage Integrase (EcoGene)		del-MD2	1	1	2	1	1	EG12157	ydaF	P0ACW0	JW1349
ydaG	YDAG_ECOLI	P76061	b1355	A	MD2	2	2	Prophage Integrase (EcoGene)		del-MD2	1	1	2	1	1	EG12174	ydaG	P76061	JW5210
racR	RACR_ECOLI	P76062	b1356	A	MD2	2	2	Prophage Integrase (EcoGene)		del-MD2	1	1	2	1	1	EG13360	racR	P76062	JW1351
ydaS	YDAS_ECOLI	P76063	b1357	G	MD2	2	2	Prophage Integrase (EcoGene)		del-MD2	1	1	2	1	1	EG13361	ydaS	P76063	JW1352
ydaT	YDAT_ECOLI	P76064	b1358	A	MD2	2	2	Prophage Integrase (EcoGene)		del-MD2	1	1	2	1	1	EG13362	ydaT	P76064	JW1353
ydaU	YDAU_ECOLI	P76065	b1359	A	MD2	2	2	Prophage Integrase (EcoGene)		del-MD2	1	1	2	1	1	EG13363	ydaU	P76065	JW1354
ydaV	YDAV_ECOLI	P77546	b1360	A	MD2	2	2	Prophage Integrase (EcoGene)		del-MD2	1	1	2	1	1	EG13364	ydaV	P77546	JW1355
rzoR	RZOR_ECOLI	P58042	b4528	I	MD2	2	2	Prophage Integrase (EcoGene)		del-MD2	1	1	2	1	1	EG14381	rzoR	P58042	JW5213
trkG	TRKG_ECOLI	P23849	b1363	B	MD2	2	2	Prophage Integrase (EcoGene)		del-MD2	1	1	2	1	1	EG11020	trkG	P23849	JW1358
ynaK	YNAK_ECOLI	P76068	b1365	A	MD2	2	2	Prophage Integrase (EcoGene)		del-MD2	1	1	2	1	1	EG14296	ynaK	P76068	JW1359
stfR	STFR_ECOLI	P76072	b1372	A	MD2	2	2	Prophage Integrase (EcoGene)		del-MD2	1	1	2	1	1	EG13370	stfR	P76072	JW1366
tfaR	TFAR_ECOLI	P77163	b1373	A	MD2	2	2	Prophage Integrase (EcoGene)		del-MD2	1	1	2	1	1	EG13371	tfaR	P77163	JW1367
pinR	PINR_ECOLI	P0ADI0	b1374	A	MD2	2	2	Prophage Integrase (EcoGene)		del-MD2	1	1	2	1	1	EG13372	pinR	P0ADI0	JW1368
ynaE	YNAE_ECOLI	P76073	b1375	A	MD2	2	2	Prophage Integrase (EcoGene)		del-MD2	1	1	2	1	1	EG13373	ynaE	P76073	JW1369
uspF	USPF_ECOLI	P37903	b1376	A	MD2	0	2		Common Core	del-MD2	1	1	2	1	1	EG12674	uspF	P37903	JW1370
ompN	OMPN_ECOLI	P77747	b1377	H	MD2	0	2			del-MD2	1	1	2	1	1	EG13375	ompN	P77747	JW1371
ydbK	NIFJ_ECOLI	P52647	b1378	A	MD2	0	2		Common Core	del-MD2	1	1	2	1	1	EG13183	ydbK	P52647	JW1372
ydbJ	YDBJ_ECOLI	P0ACW2	b4529	I	MD2	0	2			del-MD2	1	1	2	1	1	EG13182	ydbJ	P0ACW2	JW5215
hslJ	HSLJ_ECOLI	P52644	b1379	I	MD2	0	2			del-MD2	1	1	2	1	1	EG13181	hslJ	P52644	JW1374
ldhA	LDHD_ECOLI	P52643	b1380	A	MD2	0	2		Common Core	del-MD2	1	1	2	1	1	EG13186	ldhA	P52643	JW1375
ydbH	YDBH_ECOLI	P52645	b1381	B	MD2	0	2		Common Core	del-MD2	1	1	2	1	1	EG13180	ydbH	P52645	JW1376
ynbE	YNBE_ECOLI	P64448	b1382	I	MD2	0	2			del-MD2	1	1	2	1	1	EG14298	ynbE	P64448	JW1377
ydbL	YDBL_ECOLI	P76076	b1383	G	MD2	0	2			del-MD2	1	1	2	1	1	EG13733	ydbL	P76076	JW5216
feaR	FEAR_ECOLI	Q47129	b1384	A	MD2	0	2			del-MD2	1	1	2	1	1	EG13422	feaR	Q47129	JW1379
feaB	FEAB_ECOLI	P80668	b1385	A	MD2	0	2			del-MD2	1	1	2	1	1	EG13179	feaB	P80668	JW1380
tynA	AMO_ECOLI	P46883	b1386	G	MD2	0	2			del-MD2	1	1	2	1	1	EG13140	tynA	P46883	JW1381
paaA	PAAA_ECOLI	P76077	b1388	A	MD2	0	2			del-MD2	1	1	2	1	1	EG13736	paaA	P76077	JW1383
paaB	PAAB_ECOLI	P76078	b1389	A	MD2	0	2			del-MD2	1	1	2	1	1	EG14299	paaB	P76078	JW1384
paaC	PAAC_ECOLI	P76079	b1390	A	MD2	0	2			del-MD2	1	1	2	1	1	EG13737	paaC	P76079	JW1385
paaD	PAAD_ECOLI	P76080	b1391	A	MD2	0	2			del-MD2	1	1	2	1	1	EG13738	paaD	P76080	JW5217
paaE	PAAE_ECOLI	P76081	b1392	A	MD2	0	2			del-MD2	1	1	2	1	1	EG13739	paaE	P76081	JW1387
paaF	PAAF_ECOLI	P76082	b1393	A	MD2	0	2			del-MD2	1	1	2	1	1	EG13740	paaF	P76082	JW1388
paaG	PAAG_ECOLI	P77467	b1394	A	MD2	0	2			del-MD2	1	1	2	1	1	EG13741	paaG	P77467	JW1389
paaH	PAAH_ECOLI	P76083	b1395	B	MD2	0	2			del-MD2	1	1	2	1	1	EG13742	paaH	P76083	JW1390
paaI	PAAI_ECOLI	P76084	b1396	A	MD2	0	2			del-MD2	1	1	2	1	1	EG13743	paaI	P76084	JW1391
paaJ	PAAJ_ECOLI	P0C7L2	b1397	A	MD2	0	2			del-MD2	1	1	2	1	1	EG13744	paaJ	P77525	JW1392
paaK	PAAK_ECOLI	P76085	b1398	A	MD2	0	2			del-MD2	1	1	2	1	1	EG13745	paaK	P76085	JW5218
paaX	PAAX_ECOLI	P76086	b1399	A	MD2	0	2			del-MD2	1	1	2	1	1	EG13746	paaX	P76086	JW1394
paaY	PAAY_ECOLI	P77181	b1400	A	MD2	0	2			del-MD2	1	1	2	1	1	EG13747	paaY	P77181	JW1395
ydbC	YDBC_ECOLI	P25906	b1406	A	MD2	0	2			del-MD2	1	1	2	1	1	EG11309	ydbC	P25906	JW1403
ydbD	YDBD_ECOLI	P25907	b1407	G	MD2	0	2			del-MD2	1	1	2	1	1	EG11310	ydbD	P25907	JW5221
ynbA	YNBA_ECOLI	P76090	b1408	B	MD2	0	2			del-MD2	1	1	2	1	1	EG13748	ynbA	P76090	JW1405
ynbB	YNBB_ECOLI	P76091	b1409	B	MD2	0	2			del-MD2	1	1	2	1	1	EG13749	ynbB	P76091	JW1406
ynbC	YNBC_ECOLI	P76092	b1410	A	MD2	0	2			del-MD2	1	1	2	1	1	EG13750	ynbC	P76092	JW1407
ynbD	YNBD_ECOLI	P76093	b1411	B	MD2	0	2			del-MD2	1	1	2	1	1	EG13751	ynbD	P76093	JW1408
ydcD	YDCD_ECOLI	P31991	b1457	B	MD32	0	2			del-MD32	1	1	2	1	1	EG11760	ydcD	P31991	JW1452
ydcC	YDCC_ECOLI	P28917	b1460	B	MD32	2	2	"Transposase;Rhs Element"		del-MD32	1	1	2	1	1	EG11526	ydcC	P28917	JW1455
yddH	YDDH_ECOLI	P76121	b1462	A		0	0		Common Core	del-MD32	1	1	2	1	1	EG13779	yddH	P76121	JW1457
ydfG	YDFG_ECOLI	P39831	b1539	A		0	0		Common Core	del-MD8	1	1	2	1	1	EG12345	ydfG	P39831	JW1532
ydfH	YDFH_ECOLI	P0ACM2	b1540	A	MD8	0	2		Common Core	del-MD8	1	1	2	1	1	EG13820	ydfH	P0ACM2	JW1533
ydfZ	YDFZ_ECOLI	P64463	b1541	A	MD8	0	2			del-MD8	1	1	2	1	1	EG13838	ydfZ	P64463	JW1534
ydfI	YDFI_ECOLI	P77260	b1542	A	MD8	0	2		Common Core	del-MD8	1	1	2	1	1	EG13821	ydfI	P77260	JW1535
ydfK	YDFK_ECOLI	P76154	b1544	A	MD8	2	2	Prophage Integrase (EcoGene)		del-MD8	1	1	2	1	1	EG13823	ydfK	P76154	JW1537
pinQ	PINQ_ECOLI	P77170	b1545	A	MD8	2	2	Prophage Integrase (EcoGene)		del-MD8	1	1	2	1	1	EG13824	pinQ	P77170	JW1538
tfaQ	TFAQ_ECOLI	P76155	b1546	A	MD8	2	2	Prophage Integrase (EcoGene)		del-MD8	1	1	2	1	1	EG13825	tfaQ	P76155	JW1539
stfQ	STFQ_ECOLI	P77515	b1547	A	MD8	2	2	Prophage Integrase (EcoGene)		del-MD8	1	1	2	1	1	EG13826	stfQ	P77515	JW1540
ynfO	YNFO_ECOLI	Q2EES0	b4533	A	MD8	2	2	Prophage Integrase (EcoGene)		del-MD8	1	1	2	1	1	EG14422	ynfO	Q2EES0	JW5251
ydfO	YDFO_ECOLI	P76156	b1549	A	MD8	2	2	Prophage Integrase (EcoGene)		del-MD8	1	1	2	1	1	EG13827	ydfO	P76156	JW5252
gnsB	GNSB_ECOLI	P77695	b1550	A	MD8	2	2	Prophage Integrase (EcoGene)		del-MD8	1	1	2	1	1	EG13837	gnsB	P77695	JW5253
ynfN	YNFN_ECOLI	P76157	b1551	A	MD8	2	2	Prophage Integrase (EcoGene)		del-MD8	1	1	2	1	1	EG14388	ynfN	P76157	JW5254
cspI	CSPI_ECOLI	P0A986	b1552	A	MD8	2	2	Prophage Integrase (EcoGene)		del-MD8	1	1	2	1	1	EG13877	cspI	P0A986	JW1544
ydfR	YDFR_ECOLI	P76160	b1555	A	MD8	2	2	Prophage Integrase (EcoGene)		del-MD8	1	1	2	1	1	EG13830	ydfR	P76160	JW1547
essQ	ESSQ_ECOLI	P77237	b1556	B	MD8	2	2	Prophage Integrase (EcoGene)		del-MD8	1	1	2	1	1	EG13831	essQ	P77237	JW5255
cspB	CSPB_ECOLI	P36995	b1557	A	MD8	2	2	Prophage Integrase (EcoGene)		del-MD8	1	1	2	1	1	EG12203	cspB	P36995	JW1549
cspF	CSPF_ECOLI	P0A976	b1558	A	MD8	2	2	Prophage Integrase (EcoGene)		del-MD8	1	1	2	1	1	EG12205	cspF	P0A976	JW1550
ydfU	YDFU_ECOLI	P76162	b1560	A	MD8	2	2	Prophage Integrase (EcoGene)		del-MD8	1	1	2	1	1	EG13833	ydfU	P76162	JW5909
rem	REM_ECOLI	P07010	b1561	A	MD8	2	2	Prophage Integrase (EcoGene)		del-MD8	1	1	2	1	1	EG11129	rem	P07010	JW1553
hokD	HOKD_ECOLI	P0ACG6	b1562	G	MD8	2	2	Prophage Integrase (EcoGene)		del-MD8	1	1	2	1	1	EG11130	hokD	P0ACG6	JW1554
relE	RELE_ECOLI	P0C077	b1563	A	MD8	2	2	Prophage Integrase (EcoGene)		del-MD8	1	1	2	1	1	EG11131	relE	P0C077	JW1555
relB	RELB_ECOLI	P0C079	b1564	A	MD8	2	2	Prophage Integrase (EcoGene)		del-MD8	1	1	2	1	1	EG10836	relB	P0C079	JW1556
ydfV	YDFV_ECOLI	P76163	b1565	A	MD8	2	2	Prophage Integrase (EcoGene)		del-MD8	1	1	2	1	1	EG13834	ydfV	P76163	JW1557
flxA	FLXA_ECOLI	P77609	b1566	A	MD8	2	2	Prophage Integrase (EcoGene)		del-MD8	1	1	2	1	1	EG13429	flxA	P77609	JW1558
dicC	DICC_ECOLI	P06965	b1569	A	MD8	2	2	Prophage Integrase (EcoGene)		del-MD8	1	1	2	1	1	EG10228	dicC	P06965	JW1561
dicA	DICA_ECOLI	P06966	b1570	A	MD8	2	2	Prophage Integrase (EcoGene)		del-MD8	1	1	2	1	1	EG10226	dicA	P06966	JW1562
ydfA	YDFA_ECOLI	P0ACW8	b1571	A	MD8	2	2	Prophage Integrase (EcoGene)		del-MD8	1	1	2	1	1	EG11300	ydfA	P0ACW8	JW1563
ydfB	YDFB_ECOLI	P29009	b1572	A	MD8	2	2	Prophage Integrase (EcoGene)		del-MD8	1	1	2	1	1	EG11301	ydfB	P29009	JW1564
ydfC	YDFC_ECOLI	P21418	b1573	A	MD8	2	2	Prophage Integrase (EcoGene)		del-MD8	1	1	2	1	1	EG11302	ydfC	P21418	JW1565
dicB	DICB_ECOLI	P09557	b1575	A	MD8	2	2	Prophage Integrase (EcoGene)		del-MD8	1	1	2	1	1	EG10227	dicB	P09557	JW1566
ydfD	YDFD_ECOLI	P29010	b1576	A	MD8	2	2	Prophage Integrase (EcoGene)		del-MD8	1	1	2	1	1	EG11303	ydfD	P29010	JW1567
yeaJ	YEAJ_ECOLI	P76237	b1786	B		0	0			del-MD40	1	1	2	1	1	EG13496	yeaJ	P76237	JW5291
flhE	FLHE_ECOLI	P76297	b1878	G	MD27	0	2		Common Core	del-MD27	1	1	2	1	1	EG14013	flhE	P76297	JW1867
flhA	FLHA_ECOLI	P76298	b1879	B	MD27	0	2			del-MD27	1	1	2	1	1	EG14273	flhA	P76298	JW1868
flhB	FLHB_ECOLI	P76299	b1880	B	MD27	0	2			del-MD27	1	1	2	1	1	EG14035	flhB	P76299	JW1869
cheZ	CHEZ_ECOLI	P0A9H9	b1881	A	MD27	0	2		Common Core	del-MD27	1	1	2	1	1	EG10151	cheZ	P0A9H9	JW1870
cheY	CHEY_ECOLI	P0AE67	b1882	A	MD27	0	2			del-MD27	1	1	2	1	1	EG10150	cheY	P0AE67	JW1871
cheB	CHEB_ECOLI	P07330	b1883	A	MD27	0	2		Common Core	del-MD27	1	1	2	1	1	EG10147	cheB	P07330	JW1872
cheR	CHER_ECOLI	P07364	b1884	A	MD27	0	2		Common Core	del-MD27	1	1	2	1	1	EG10148	cheR	P07364	JW1873
tap	MCP4_ECOLI	P07018	b1885	B	MD27	0	2			del-MD27	1	1	2	1	1	EG10987	tap	P07018	JW1874
tar	MCP2_ECOLI	P07017	b1886	B	MD27	0	2			del-MD27	1	1	2	1	1	EG10988	tar	P07017	JW1875
cheW	CHEW_ECOLI	P0A964	b1887	A	MD27	0	2			del-MD27	1	1	2	1	1	EG10149	cheW	P0A964	JW1876
cheA	CHEA_ECOLI	P07363	b1888	A	MD27	0	2			del-MD27	1	1	2	1	1	EG10146	cheA	P07363	JW1877
motB	MOTB_ECOLI	P0AF06	b1889	B	MD27	0	2		Common Core	del-MD27	1	1	2	1	1	EG10602	motB	P0AF06	JW1878
motA	MOTA_ECOLI	P09348	b1890	B	MD27	0	2		Common Core	del-MD27	1	1	2	1	1	EG10601	motA	P09348	JW1879
flhC	FLHC_ECOLI	P0ABY7	b1891	A	MD27	0	2			del-MD27	1	1	2	1	1	EG10319	flhC	P0ABY7	JW1880
flhD	FLHD_ECOLI	P0A8S9	b1892	A	MD27	0	2			del-MD27	1	1	2	1	1	EG10320	flhD	P0A8S9	JW1881
yecC	YECC_ECOLI	P37774	b1917	F1		0	0			del-MD28	1	1	2	1	1	EG12347	yecC	P37774	JW1902
yecS	YECS_ECOLI	P0AFT2	b1918	B	MD28	0	2			del-MD28	1	1	2	1	1	EG14037	yecS	P0AFT2	JW1903
fliY	FLIY_ECOLI	P0AEM9	b1920	G	MD28	0	2			del-MD28	1	1	2	1	1	EG12680	fliY	P0AEM9	JW1905
fliZ	FLIZ_ECOLI	P52627	b1921	A	MD28	2	2	Prophage Integrase		del-MD28	1	1	2	1	1	EG11356	fliZ	P52627	JW1906
fliA	FLIA_ECOLI	P0AEM6	b1922	A	MD28	0	2			del-MD28	1	1	2	1	1	EG11355	fliA	P0AEM6	JW1907
fliC	FLIC_ECOLI	P04949	b1923	F4	MD28	0	2			del-MD28	1	1	2	1	1	EG10321	fliC	P04949	JW1908
fliD	FLID_ECOLI	P24216	b1924	F4	MD28	0	2			del-MD28	1	1	2	1	1	EG10841	fliD	P24216	JW1909
fliS	FLIS_ECOLI	P26608	b1925	A	MD28	0	2			del-MD28	1	1	2	1	1	EG11388	fliS	P26608	JW1910
fliT	FLIT_ECOLI	P0ABY2	b1926	A	MD28	0	2			del-MD28	1	1	2	1	1	EG11389	fliT	P0ABY2	JW1911
amyA	AMY2_ECOLI	P26612	b1927	A	MD28	0	2			del-MD28	1	1	2	1	1	EG11387	amyA	P26612	JW1912
yedD	YEDD_ECOLI	P31063	b1928	I	MD28	0	2			del-MD28	1	1	2	1	1	EG11659	yedD	P31063	JW1913
yedE	YEDE_ECOLI	P31064	b1929	B	MD28	0	2			del-MD28	1	1	2	1	1	EG11660	yedE	P31064	JW1914
yedF	YEDF_ECOLI	P0AA31	b1930	A	MD28	0	2			del-MD28	1	1	2	1	1	EG11661	yedF	P0AA31	JW1915
yedK	YEDK_ECOLI	P76318	b1931	A	MD28	0	2			del-MD28	1	1	2	1	1	EG13278	yedK	P76318	JW1916
yedL	YEDL_ECOLI	P76319	b1932	A	MD28	0	2			del-MD28	1	1	2	1	1	EG13279	yedL	P76319	JW1917
fliE	FLIE_ECOLI	P0A8T5	b1937	B	MD28	0	2			del-MD28	1	1	2	1	1	EG11346	fliE	P0A8T5	JW1921
fliF	FLIF_ECOLI	P25798	b1938	B	MD28	0	2			del-MD28	1	1	2	1	1	EG11347	fliF	P25798	JW1922
fliG	FLIG_ECOLI	P0ABZ1	b1939	F1	MD28	0	2			del-MD28	1	1	2	1	1	EG11654	fliG	P0ABZ1	JW1923
fliH	FLIH_ECOLI	P31068	b1940	A	MD28	0	2			del-MD28	1	1	2	1	1	EG11656	fliH	P31068	JW1924
fliI	FLII_ECOLI	P52612	b1941	A	MD28	0	2			del-MD28	1	1	2	1	1	EG20266	fliI	P52612	JW1925
fliJ	FLIJ_ECOLI	P52613	b1942	F1	MD28	0	2			del-MD28	1	1	2	1	1	EG20267	fliJ	P52613	JW1926
fliK	FLIK_ECOLI	P52614	b1943	A	MD28	0	2			del-MD28	1	1	2	1	1	EG20268	fliK	P52614	JW1927
fliL	FLIL_ECOLI	P0ABX8	b1944	F1	MD28	0	2			del-MD28	1	1	2	1	1	EG10322	fliL	P0ABX8	JW1928
fliM	FLIM_ECOLI	P06974	b1945	F1	MD28	0	2			del-MD28	1	1	2	1	1	EG10323	fliM	P06974	JW1929
fliN	FLIN_ECOLI	P15070	b1946	F1	MD28	0	2			del-MD28	1	1	2	1	1	EG10324	fliN	P15070	JW1930
fliO	FLIO_ECOLI	P22586	b1947	B	MD28	0	2			del-MD28	1	1	2	1	1	EG11224	fliO	P22586	JW5316
fliP	FLIP_ECOLI	P0AC05	b1948	B	MD28	0	2			del-MD28	1	1	2	1	1	EG11975	fliP	P0AC05	JW1932
fliQ	FLIQ_ECOLI	P0AC07	b1949	B	MD28	0	2			del-MD28	1	1	2	1	1	EG11976	fliQ	P0AC07	JW1933
fliR	FLIR_ECOLI	P33135	b1950	B	MD28	0	2			del-MD28	1	1	2	1	1	EG11977	fliR	P33135	JW1934
flu	AG43_ECOLI	P39180	b2000	H	MD5	2	2	Prophage Integrase (EcoGene)		del-MD5	1	1	2	1	1	EG12686	flu	P39180	JW1982
yeeR	YEER_ECOLI	P76361	b2001	B	MD5	2	2	Prophage Integrase (EcoGene)		del-MD5	1	1	2	1	1	EG13385	yeeR	P76361	JW1983
yeeS	YEES_ECOLI	P76362	b2002	A	MD5	2	2	"pseudogene (Ohman 2006) ; Prophage Integrase (EcoGene)"		del-MD5	1	1	2	1	1	EG13386	yeeS	P76362	JW1984
yeeT	YEET_ECOLI	P64521	b2003	A	MD5	2	2	Prophage Integrase (EcoGene)		del-MD5	1	1	2	1	1	EG13387	yeeT	P64521	JW1985
yeeU	YEEU_ECOLI	P76364	b2004	A	MD5	2	2	Prophage Integrase (EcoGene)		del-MD5	1	1	2	1	1	EG13388	yeeU	P76364	JW1986
yeeV	YEEV_ECOLI	P64524	b2005	A	MD5	2	2	Prophage Integrase (EcoGene)		del-MD5	1	1	2	1	1	EG13389	yeeV	P64524	JW1987
yeeX	YEEX_ECOLI	P0A8M6	b2007	A	MD5	0	2		Common Core	del-MD5	1	1	2	1	1	EG13391	yeeX	P0A8M6	JW1989
yeeA	YEEA_ECOLI	P33011	b2008	B	MD5	0	2		Common Core	del-MD5	1	1	2	1	1	EG11891	yeeA	P33011	JW1990
wbbK	YEFI_ECOLI	P37751	b2032	F1	MD22	0	2			del-MD22	1	1	2	1	1	EG11985	wbbK	P37751	JW2017
wbbJ	WBBJ_ECOLI	P37750	b2033	A	MD22	0	2			del-MD22	1	1	2	1	1	EG11984	wbbJ	P37750	JW2018
wbbI	YEFG_ECOLI	P37749	b2034	A	MD22	0	2			del-MD22	1	1	2	1	1	EG11983	wbbI	P37749	JW2019
glf	GLF_ECOLI	P37747	b2036	B	MD22	0	2			del-MD22	1	1	2	1	1	EG11981	glf	P37747	JW2021
rfbX	RFBX_ECOLI	P37746	b2037	B	MD22	0	2			del-MD22	1	1	2	1	1	EG11980	rfbX	P37746	JW2022
rfbC	RMLC_ECOLI	P37745	b2038	A	MD22	0	2			del-MD22	1	1	2	1	1	EG11979	rfbC	P37745	JW2023
rfbA	RMLA1_ECOLI	P37744	b2039	B	MD22	0	2			del-MD22	1	1	2	1	1	EG11978	rfbA	P37744	JW2024
rfbD	RMLD_ECOLI	P37760	b2040	A	MD22	0	2			del-MD22	1	1	2	1	1	EG12411	rfbD	P37760	JW2025
rfbB	RMLB1_ECOLI	P37759	b2041	A	MD22	0	2			del-MD22	1	1	2	1	1	EG12412	rfbB	P37759	JW2026
galF	GALF_ECOLI	P0AAB6	b2042	B	MD22	0	2		Common Core	del-MD22	1	1	2	1	1	EG13578	galF	P0AAB6	JW2027
wcaM	WCAM_ECOLI	P71244	b2043	G	MD22	0	2		Common Core	del-MD22	1	1	2	1	1	EG12651	wcaM	P71244	JW2028
wcaL	WCAL_ECOLI	P71243	b2044	A	MD22	0	2		Common Core	del-MD22	1	1	2	1	1	EG12652	wcaL	P71243	JW2029
wcaK	WCAK_ECOLI	P71242	b2045	A	MD22	0	2		Common Core	del-MD22	1	1	2	1	1	EG13577	wcaK	P71242	JW2030
wzxC	WZXC_ECOLI	P77377	b2046	B	MD22	0	2		Common Core	del-MD22	1	1	2	1	1	EG13576	wzxC	P77377	JW2031
wcaJ	WCAJ_ECOLI	P71241	b2047	B	MD22	0	2		Common Core	del-MD22	1	1	2	1	1	EG13575	wcaJ	P71241	JW2032
cpsG	MANB_ECOLI	P24175	b2048	A	MD22	0	2		Common Core	del-MD22	1	1	2	1	1	EG10162	cpsG	P24175	JW2033
cpsB	MANC_ECOLI	P24174	b2049	A	MD22	0	2		Common Core	del-MD22	1	1	2	1	1	EG10161	cpsB	P24174	JW2034
wcaI	WCAI_ECOLI	P32057	b2050	B	MD22	0	2		Common Core	del-MD22	1	1	2	1	1	EG11790	wcaI	P32057	JW2035
fcl	FCL_ECOLI	P32055	b2052	A	MD22	0	2		Common Core	del-MD22	1	1	2	1	1	EG11788	fcl	P32055	JW2037
gmd	GM4D_ECOLI	P0AC88	b2053	A	MD22	0	2		Common Core	del-MD22	1	1	2	1	1	EG11787	gmd	P0AC88	JW2038
wcaF	WCAF_ECOLI	P0ACD2	b2054	A	MD22	0	2		Common Core	del-MD22	1	1	2	1	1	EG13574	wcaF	P0ACD2	JW2039
wcaE	WCAE_ECOLI	P71239	b2055	A	MD22	0	2		Common Core	del-MD22	1	1	2	1	1	EG13573	wcaE	P71239	JW2040
wcaD	WCAD_ECOLI	P71238	b2056	B	MD22	0	2			del-MD22	1	1	2	1	1	EG13572	wcaD	P71238	JW2041
wcaC	WCAC_ECOLI	P71237	b2057	A	MD22	0	2		Common Core	del-MD22	1	1	2	1	1	EG13571	wcaC	P71237	JW2042
wcaB	WCAB_ECOLI	P0ACC9	b2058	A	MD22	0	2		Common Core	del-MD22	1	1	2	1	1	EG13570	wcaB	P0ACC9	JW2043
wcaA	WCAA_ECOLI	P77414	b2059	A	MD22	0	2		Common Core	del-MD22	1	1	2	1	1	EG13569	wcaA	P77414	JW2044
wzc	WZC_ECOLI	P76387	b2060	B	MD22	0	2		Common Core	del-MD22	1	1	2	1	1	EG13568	wzc	P76387	JW2045
wzb	WZB_ECOLI	P0AAB2	b2061	A	MD22	0	2		Common Core	del-MD22	1	1	2	1	1	EG13567	wzb	P0AAB2	JW2046
wza	WZA_ECOLI	P0A930	b2062	I	MD22	0	2		Common Core	del-MD22	1	1	2	1	1	EG13566	wza	P0A930	JW2047
yegP	YEGP_ECOLI	P76402	b2080	A	MD37	0	2		Common Core	del-MD37	1	1	2	1	1	EG14059	yegP	P76402	JW5339
yegQ	YEGQ_ECOLI	P76403	b2081	A	MD37	0	2		Common Core	del-MD37	1	1	2	1	1	EG14060	yegQ	P76403	JW2066
ogrK	OGRK_ECOLI	P37057	b2082	A	MD37	2	2	Prophage Integrase (EcoGene)		del-MD37	1	1	2	1	1	EG12425	ogrK	P37057	JW2067
yegR	YEGR_ECOLI	P76406	b2085	I	MD37	0	2		Common Core	del-MD37	1	1	2	1	1	EG14061	yegR	P76406	JW5837
yegS	YEGS_ECOLI	P76407	b2086	A	MD37	0	2			del-MD37	1	1	2	1	1	EG14367	yegS	P76407	JW2070
gatD	GATD_ECOLI	P0A9S3	b2091	B	MD37	0	2			del-MD37	1	1	2	1	1	EG12417	gatD	P0A9S3	JW2075
gatC	PTKC_ECOLI	P69831	b2092	B	MD37	0	2			del-MD37	1	1	2	1	1	EG12416	gatC	P69831	JW2076
gatB	PTKB_ECOLI	P37188	b2093	F1	MD37	0	2			del-MD37	1	1	2	1	1	EG12415	gatB	P37188	JW2077
gatA	PTKA_ECOLI	P69828	b2094	F1	MD37	0	2			del-MD37	1	1	2	1	1	EG12414	gatA	P69828	"JW2078;JW2081"
gatZ	GATZ_ECOLI	P0C8J8	b2095	A	MD37	0	2			del-MD37	1	1	2	1	1	EG12418	gatZ	P37191	JW2082
