Accession	Gene names (PREFERRED)	Gene names (ALTERNATIVE)	Gene names (OLN)	Gene names (OLN)	Entry name	EG	GN	SP	JW	Ori	LeftEnd	RightEnd
P19319	narZ		b1468	JW1463	NARZ_ECOLI	EG10648	narZ	P19319	JW1463	Counterclockwise	1536874	1540614
P00393	ndh		b1109	JW1095	DHNA_ECOLI	EG10649	ndh	P00393	JW1095	Clockwise	1165308	1166612
P0A763	ndk		b2518	JW2502	NDK_ECOLI	EG10650	ndk	P0A763	JW2502	Counterclockwise	2642455	2642886
P0A6C1	nfo		b2159	JW2146	END4_ECOLI	EG10651	nfo	P0A6C1	JW2146	Clockwise	2248862	2249719
P13738	nhaA	ant	b0019	JW0018	NHAA_ECOLI	EG10652	nhaA	P13738	JW0018	Clockwise	17489	18655
P08201	nirB		b3365	JW3328	NIRB_ECOLI	EG10653	nirB	P08201	JW3328	Clockwise	3492033	3494576
P0AC26	nirC		b3367	JW3330	NIRC_ECOLI	EG10654	nirC	P0AC26	JW3330	Clockwise	3495025	3495831
P0A9I8	nirD		b3366	JW3329	NIRD_ECOLI	EG10655	nirD	P0A9I8	JW3329	Clockwise	3494573	3494899
P0ACH1	sfsB	nlp sfs7	b3188	JW3155	SFSB_ECOLI	EG10656	sfsB	P0ACH1	JW3155	Clockwise	3332931	3333209
P04846	nlpA		b3661	JW3635	NLPA_ECOLI	EG10657	nlpA	P04846	JW3635	Counterclockwise	3837198	3838016
P0A903	nlpB	dapX	b2477	JW2462	NLPB_ECOLI	EG10658	bamC	P0A903	JW2462	Counterclockwise	2595853	2596887
P00452	nrdA	dnaF	b2234	JW2228	RIR1_ECOLI	EG10660	nrdA	P00452	JW2228	Clockwise	2342887	2345172
P69924	nrdB	ftsB	b2235	JW2229	RIR2_ECOLI	EG10661	nrdB	P69924	JW2229	Clockwise	2345406	2346536
P0AB83	nth		b1633	JW1625	END3_ECOLI	EG10662	nth	P0AB83	JW1625	Clockwise	1709547	1710182
P18843	nadE	efg ntrL	b1740	JW1729	NADE_ECOLI	EG10663	nadE	P18843	JW1729	Clockwise	1820482	1821309
P0AFF4	nupG		b2964	JW2932	NUPG_ECOLI	EG10664	nupG	P0AFF4	JW2932	Clockwise	3103736	3104992
P0AFF6	nusA		b3169	JW3138	NUSA_ECOLI	EG10665	nusA	P0AFF6	JW3138	Counterclockwise	3314061	3315548
P0A780	nusB	ssyB	b0416	JW0406	NUSB_ECOLI	EG10666	nusB	P0A780	JW0406	Clockwise	434361	434780
P0AFG0	nusG		b3982	JW3945	NUSG_ECOLI	EG10667	nusG	P0AFG0	JW3945	Clockwise	4175766	4176311
P0AFH0	ogt		b1335	JW1329	OGT_ECOLI	EG10668	ogt	P0AFH0	JW1329	Counterclockwise	1397745	1398260
P0A910	ompA	con tolG tut	b0957	JW0940	OMPA_ECOLI	EG10669	ompA	P0A910	JW0940	Counterclockwise	1018236	1019276
P06996	ompC	meoA par	b2215	JW2203	OMPC_ECOLI	EG10670	ompC	P06996	JW2203	Counterclockwise	2309668	2310771
P02931	ompF	cmlB coa cry tolF	b0929	JW0912	OMPF_ECOLI	EG10671	ompF	P02931	JW0912	Counterclockwise	985117	986205
P0AA16	ompR	kmt ompB	b3405	JW3368	OMPR_ECOLI	EG10672	ompR	P0AA16	JW3368	Counterclockwise	3533887	3534606
P09169	ompT		b0565	JW0554	OMPT_ECOLI	EG10673	ompT	P09169	JW0554	Counterclockwise	583903	584856
P23843	oppA		b1243	JW1235	OPPA_ECOLI	EG10674	oppA	P23843	JW1235	Clockwise	1299206	1300837
P0AFH2	oppB		b1244	JW1236	OPPB_ECOLI	EG10675	oppB	P0AFH2	JW1236	Clockwise	1300923	1301843
P0AFH6	oppC		b1245	JW1237	OPPC_ECOLI	EG10676	oppC	P0AFH6	JW1237	Clockwise	1301858	1302766
P76027	oppD		b1246	JW1238	OPPD_ECOLI	EG10677	oppD	P76027	JW1238	Clockwise	1302778	1303791
P77737	oppF		b1247	JW1239	OPPF_ECOLI	EG10678	oppF	P77737	JW1239	Clockwise	1303788	1304792
P0ADA7	osmB		b1283	JW1275	OSMB_ECOLI	EG10679	osmB	P0ADA7	JW1275	Counterclockwise	1341134	1341352
P0C0L2	osmC		b1482	JW1477	OSMC_ECOLI	EG10680	osmC	P0C0L2	JW1477	Clockwise	1554649	1555080
P0ACQ4	oxyR	momR mor	b3961	JW3933	OXYR_ECOLI	EG10681	oxyR	P0ACQ4	JW3933	Clockwise	4156513	4157430
P00903	pabA		b3360	JW3323	PABA_ECOLI	EG10682	pabA	P00903	JW3323	Counterclockwise	3488288	3488851
P05041	pabB		b1812	JW1801	PABB_ECOLI	EG10683	pabB	P05041	JW1801	Clockwise	1892829	1894190
P0A912	pal	excC	b0741	JW0731	PAL_ECOLI	EG10684	pal	P0A912	JW0731	Clockwise	778290	778811
P16256	panF		b3258	JW3226	PANF_ECOLI	EG10685	panF	P16256	JW3226	Clockwise	3405629	3407080
P0AFI2	parC		b3019	JW2987	PARC_ECOLI	EG10686	parC	P0AFI2	JW2987	Counterclockwise	3161737	3163995
P20083	parE	nfxD	b3030	JW2998	PARE_ECOLI	EG10687	parE	P20083	JW2998	Counterclockwise	3171526	3173418
P22259	pckA	pck	b3403	JW3366	PCKA_ECOLI	EG10688	pck	P22259	JW3366	Clockwise	3530840	3532462
P0A7A5	pcm		b2743	JW2713	PIMT_ECOLI	EG10689	pcm	P0A7A5	JW2713	Counterclockwise	2866915	2867541
P0ABF1	pcnB		b0143	JW5808	PCNB_ECOLI	EG10690	pcnB	P0ABF1	JW5808	Counterclockwise	157729	159126
P19624	pdxA		b0052	JW0051	PDXA_ECOLI	EG10691	pdxA	P19624	JW0051	Counterclockwise	52427	53416
P05459	pdxB		b2320	JW2317	PDXB_ECOLI	EG10692	pdxB	P05459	JW2317	Counterclockwise	2434737	2435873
P0A794	pdxJ		b2564	JW2548	PDXJ_ECOLI	EG10693	pdxJ	P0A794	JW2548	Counterclockwise	2699020	2699751
P68767	pepA	carP xerB	b4260	JW4217	AMPA_ECOLI	EG10694	pepA	P68767	JW4217	Counterclockwise	4482463	4483974
P15288	pepD	pepH	b0237	JW0227	PEPD_ECOLI	EG10695	pepD	P15288	JW0227	Counterclockwise	254259	255716
P04825	pepN		b0932	JW0915	AMPN_ECOLI	EG10696	pepN	P04825	JW0915	Clockwise	989845	992457
P15034	pepP		b2908	JW2876	AMPP_ECOLI	EG10697	pepP	P15034	JW2876	Counterclockwise	3051537	3052862
P21165	pepQ		b3847	JW3823	PEPQ_ECOLI	EG10698	pepQ	P21165	JW3823	Clockwise	4029184	4030515
P0A796	pfkA		b3916	JW3887	K6PF1_ECOLI	EG10699	pfkA	P0A796	JW3887	Clockwise	4105575	4106537
P06999	pfkB		b1723	JW5280	K6PF2_ECOLI	EG10700	pfkB	P06999	JW5280	Clockwise	1804394	1805323
P09373	pflB	pfl	b0903	JW0886	PFLB_ECOLI	EG10701	pflB	P09373	JW0886	Counterclockwise	950495	952777
P0A6T1	pgi		b4025	JW3985	G6PI_ECOLI	EG10702	pgi	P0A6T1	JW3985	Clockwise	4231781	4233430
P0A799	pgk		b2926	JW2893	PGK_ECOLI	EG10703	pgk	P0A799	JW2893	Counterclockwise	3069481	3070644
P18200	pgpA	yajN	b0418	JW0408	PGPA_ECOLI	EG10704	pgpA	P18200	JW0408	Clockwise	435813	436331
P0A924	pgpB		b1278	JW1270	PGPB_ECOLI	EG10705	pgpB	P0A924	JW1270	Clockwise	1337354	1338118
P0ABF8	pgsA		b1912	JW1897	PGSA_ECOLI	EG10706	pgsA	P0ABF8	JW1897	Counterclockwise	1990293	1990841
P0A9J8	pheA		b2599	JW2580	PHEA_ECOLI	EG10707	pheA	P0A9J8	JW2580	Clockwise	2735767	2736927
P24207	pheP		b0576	JW0565	PHEP_ECOLI	EG10708	pheP	P24207	JW0565	Clockwise	601182	602558
P08312	pheS		b1714	JW5277	SYFA_ECOLI	EG10709	pheS	P08312	JW5277	Counterclockwise	1795983	1796966
P07395	pheT		b1713	JW1703	SYFB_ECOLI	EG10710	pheT	P07395	JW1703	Counterclockwise	1793581	1795968
P0AFJ1	phnA	yjdM	b4108	JW4069	PHNA_ECOLI	EG10711	yjdM	P0AFJ1	JW4069	Counterclockwise	4324422	4324757
P16681	phnB	yjdN	b4107	JW4068	PHNB_ECOLI	EG10712	yjdN	P16681	JW4068	Counterclockwise	4323321	4323764
P16677	phnC		b4106	JW4067	PHNC_ECOLI	EG10713	phnC	P16677	JW4067	Counterclockwise	4322400	4323188
P16682	phnD	psiD	b4105	JW4066	PHND_ECOLI	EG10714	phnD 	P16682	JW4066	Counterclockwise	4321359	4322375
P16684	phnF		b4102	JW4063	PHNF_ECOLI	EG10715	phnF	P16684	JW4063	Counterclockwise	4319720	4320445
P16685	phnG		b4101	JW4062	PHNG_ECOLI	EG10716	phnG	P16685	JW4062	Counterclockwise	4319267	4319719
P16686	phnH		b4100	JW4061	PHNH_ECOLI	EG10717	phnH	P16686	JW4061	Counterclockwise	4318686	4319270
P16687	phnI		b4099	JW4060	PHNI_ECOLI	EG10718	phnI	P16687	JW4060	Counterclockwise	4317622	4318686
P16688	phnJ		b4098	JW4059	PHNJ_ECOLI	EG10719	phnJ	P16688	JW4059	Counterclockwise	4316784	4317629
P16678	phnK		b4097	JW5727	PHNK_ECOLI	EG10720	phnK	P16678	JW5727	Counterclockwise	4316029	4316787
P16679	phnL		b4096	JW4057	PHNL_ECOLI	EG10721	phnL	P16679	JW4057	Counterclockwise	4315238	4315918
P16689	phnM		b4095	JW4056	PHNM_ECOLI	EG10722	phnM	P16689	JW4056	Counterclockwise	4314105	4315241
P16690	phnN		b4094	JW4055	PHNN_ECOLI	EG10723	phnN	P16690	JW4055	Counterclockwise	4313548	4314105
P16691	phnO		b4093	JW4054	PHNO_ECOLI	EG10724	phnO	P16691	JW4054	Counterclockwise	4313127	4313561
P16692	phnP		b4092	JW4053	PHNP_ECOLI	EG10725	phnP	P16692	JW4053	Counterclockwise	4312367	4313125
P00634	phoA		b0383	JW0374	PPB_ECOLI	EG10727	phoA	P00634	JW0374	Clockwise	400971	402386
P0AFJ5	phoB		b0399	JW0389	PHOB_ECOLI	EG10728	phoB	P0AFJ5	JW0389	Clockwise	416366	417055
P02932	phoE	ompE	b0241	JW0231	PHOE_ECOLI	EG10729	phoE	P02932	JW0231	Counterclockwise	258269	259324
P08401	creC	phoM	b4399	JW4362	CREC_ECOLI	EG10730	creC	P08401	JW4362	Clockwise	4634719	4636143
P23836	phoP		b1130	JW1116	PHOP_ECOLI	EG10731	phoP	P23836	JW1116	Counterclockwise	1188999	1189670
P23837	phoQ		b1129	JW1115	PHOQ_ECOLI	EG10732	phoQ	P23837	JW1115	Counterclockwise	1187539	1188999
P08400	phoR	nmpB	b0400	JW0390	PHOR_ECOLI	EG10733	phoR	P08400	JW0390	Clockwise	417113	418408
P0AG82	pstS	phoS	b3728	JW3706	PSTS_ECOLI	EG10734	pstS	P0AG82	JW3706	Counterclockwise	3908508	3909548
P0A9K7	phoU	nmpA	b3724	JW3702	PHOU_ECOLI	EG10735	phoU	P0A9K7	JW3702	Counterclockwise	3904876	3905601
P00914	phrB	phr	b0708	JW0698	PHR_ECOLI	EG10736	phr	P00914	JW0698	Clockwise	738730	740148
P03014	pinE	pin	b1158	JW1144	PINE_ECOLI	EG10737	pinE	P03014	JW1144	Clockwise	1208908	1209462
P0A921	pldA		b3821	JW3794	PA1_ECOLI	EG10738	pldA	P0A921	JW3794	Clockwise	4002885	4003754
P07000	pldB		b3825	JW5584	PLDB_ECOLI	EG10739	pldB	P07000	JW5584	Clockwise	4007193	4008215
P0A7A7	plsB		b4041	JW4001	PLSB_ECOLI	EG10740	plsB	P0A7A7	JW4001	Counterclockwise	4252066	4254489
P0AFK0	pmbA	tldE	b4235	JW4194	PMBA_ECOLI	EG10741	pmbA	P0AFK0	JW4194	Clockwise	4455982	4457334
P18133	pncB		b0931	JW0914	PNCB_ECOLI	EG10742	pncB	P18133	JW0914	Counterclockwise	988377	989579
P05055	pnp		b3164	JW5851	PNP_ECOLI	EG10743	pnp	P05055	JW5851	Counterclockwise	3307055	3309190
P07001	pntA		b1603	JW1595	PNTA_ECOLI	EG10744	pntA	P07001	JW1595	Counterclockwise	1674395	1675927
P0AB67	pntB		b1602	JW1594	PNTB_ECOLI	EG10745	pntB	P0AB67	JW1594	Counterclockwise	1672996	1674384
P00582	polA	resA	b3863	JW3835	DPO1_ECOLI	EG10746	polA	P00582	JW3835	Clockwise	4044989	4047775
P21189	polB	dinA	b0060	JW0059	DPO2_ECOLI	EG10747	polB	P21189	JW0059	Counterclockwise	63429	65780
P02918	mrcA	ponA	b3396	JW3359	PBPA_ECOLI	EG10748	mrcA	P02918	JW3359	Clockwise	3520893	3523445
P69874	potA		b1126	JW1112	POTA_ECOLI	EG10749	potA	P69874	JW1112	Counterclockwise	1183681	1184817
P0AFK4	potB		b1125	JW1111	POTB_ECOLI	EG10750	potB	P0AFK4	JW1111	Counterclockwise	1182840	1183667
P0AFK6	potC		b1124	JW1110	POTC_ECOLI	EG10751	potC	P0AFK6	JW1110	Counterclockwise	1182049	1182843
P0AFK9	potD		b1123	JW1109	POTD_ECOLI	EG10752	potD	P0AFK9	JW1109	Counterclockwise	1181006	1182052
P0AAF1	potE		b0692	JW0679	POTE_ECOLI	EG10753	potE	P0AAF1	JW0679	Counterclockwise	716169	717488
P07003	poxB		b0871	JW0855	POXB_ECOLI	EG10754	poxB	P07003	JW0855	Counterclockwise	908554	910272
P0A7A9	ppa		b4226	JW4185	IPYR_ECOLI	EG10755	ppa	P0A7A9	JW4185	Counterclockwise	4447145	4447675
P00864	ppc	glu	b3956	JW3928	CAPP_ECOLI	EG10756	ppc	P00864	JW3928	Counterclockwise	4148470	4151121
P0AFL3	ppiA	rot rotA	b3363	JW3326	PPIA_ECOLI	EG10757	ppiA	P0AFL3	JW3326	Counterclockwise	3489747	3490319
P23869	ppiB		b0525	JW0514	PPIB_ECOLI	EG10758	ppiB	P23869	JW0514	Counterclockwise	553166	553660
P23538	ppsA	pps	b1702	JW1692	PPSA_ECOLI	EG10759	ppsA	P23538	JW1692	Counterclockwise	1782758	1785136
P23865	prc	tsp	b1830	JW1819	PRC_ECOLI	EG10760	prc	P23865	JW1819	Counterclockwise	1910792	1912840
P0A7I0	prfA	sueB uar	b1211	JW1202	RF1_ECOLI	EG10761	prfA	P0A7I0	JW1202	Clockwise	1264235	1265317
P07012	prfB	supK	b2891	JW5847	RF2_ECOLI	EG10762	prfB	P07012	JW5847	Counterclockwise	3033206	3034304
P17888	priA		b3935	JW3906	PRIA_ECOLI	EG10763	priA	P17888	JW3906	Counterclockwise	4122635	4124833
P07013	priB		b4201	JW4159	PRIB_ECOLI	EG10764	priB	P07013	JW4159	Clockwise	4423543	4423857
P23862	priC		b0467	JW0456	PRIC_ECOLI	EG10765	priC	P23862	JW0456	Counterclockwise	489509	490036
P0AGA2	secY	prlA	b3300	JW3262	SECY_ECOLI	EG10766	secY	P0AGA2	JW3262	Counterclockwise	3440788	3442119
P07004	proA		b0243	JW0233	PROA_ECOLI	EG10767	proA	P07004	JW0233	Clockwise	260727	261980
P0A7B5	proB		b0242	JW0232	PROB_ECOLI	EG10768	proB	P0A7B5	JW0232	Clockwise	259612	260715
P0A9L8	proC		b0386	JW0377	P5CR_ECOLI	EG10769	proC	P0A9L8	JW0377	Counterclockwise	404059	404868
P16659	proS	drpA	b0194	JW0190	SYP_ECOLI	EG10770	proS	P16659	JW0190	Counterclockwise	217057	218775
P14175	proV		b2677	JW2652	PROV_ECOLI	EG10771	proV	P14175	JW2652	Clockwise	2802837	2804039
P14176	proW		b2678	JW2653	PROW_ECOLI	EG10772	proW	P14176	JW2653	Clockwise	2804032	2805096
P0AFM2	proX	proU	b2679	JW2654	PROX_ECOLI	EG10773	proX	P0AFM2	JW2654	Clockwise	2805154	2806146
P0A717	prs	prsA	b1207	JW1198	KPRS_ECOLI	EG10774	prs	P0A717	JW1198	Counterclockwise	1260151	1261098
P0A8K1	psd		b4160	JW4121	PSD_ECOLI	EG10775	psd	P0A8K1	JW4121	Counterclockwise	4387415	4388383
P0AFM6	pspA		b1304	JW1297	PSPA_ECOLI	EG10776	pspA	P0AFM6	JW1297	Clockwise	1366103	1366771
P0AFM9	pspB		b1305	JW1298	PSPB_ECOLI	EG10777	pspB	P0AFM9	JW1298	Clockwise	1366825	1367049
P0AFN2	pspC		b1306	JW1299	PSPC_ECOLI	EG10778	pspC	P0AFN2	JW1299	Clockwise	1367049	1367408
P0AFV8	pspD		b1307	JW1300	PSPD_ECOLI	EG10779	pspD	P0AFV8	JW1300	Clockwise	1367417	1367638
P23857	pspE		b1308	JW1301	PSPE_ECOLI	EG10780	pspE	P23857	JW1301	Clockwise	1367713	1368027
P23830	pssA	pss	b2585	JW2569	PSS_ECOLI	EG10781	pssA	P23830	JW2569	Clockwise	2720749	2722104
P07654	pstA	phoT	b3726	JW3704	PSTA_ECOLI	EG10782	pstA	P07654	JW3704	Counterclockwise	3906572	3907462
P0AAH0	pstB	phoT	b3725	JW3703	PSTB_ECOLI	EG10783	pstB	P0AAH0	JW3703	Counterclockwise	3905616	3906389
P0AGH8	pstC	phoW	b3727	JW3705	PSTC_ECOLI	EG10784	pstC	P0AGH8	JW3705	Counterclockwise	3907462	3908421
P0A7D1	pth		b1204	JW1195	PTH_ECOLI	EG10785	pth	P0A7D1	JW1195	Counterclockwise	1257152	1257736
P05458	ptrA	ptr	b2821	JW2789	PTRA_ECOLI	EG10786	ptrA	P05458	JW2789	Counterclockwise	2954018	2956906
P69786	ptsG	glcA umg	b1101	JW1087	PTGCB_ECOLI	EG10787	ptsG	P69786	JW1087	Clockwise	1157092	1158525
P0AA04	ptsH	hpr	b2415	JW2408	PTHP_ECOLI	EG10788	ptsH	P0AA04	JW2408	Clockwise	2531786	2532043
P08839	ptsI		b2416	JW2409	PT1_ECOLI	EG10789	ptsI	P08839	JW2409	Clockwise	2532088	2533815
P0A7D4	purA	adeK	b4177	JW4135	PURA_ECOLI	EG10790	purA	P0A7D4	JW4135	Clockwise	4402710	4404008
P0A7D7	purC		b2476	JW2461	PUR7_ECOLI	EG10791	purC	P0A7D7	JW2461	Counterclockwise	2594927	2595640
P15640	purD		b4005	JW3969	PUR2_ECOLI	EG10792	purD	P15640	JW3969	Counterclockwise	4202665	4203954
P0AG18	purE		b0523	JW0512	PUR6_ECOLI	EG10793	purE	P0AG18	JW0512	Counterclockwise	551814	552323
P0AG16	purF		b2312	JW2309	PUR1_ECOLI	EG10794	purF	P0AG16	JW2309	Counterclockwise	2426743	2428260
P15639	purH		b4006	JW3970	PUR9_ECOLI	EG10795	purH	P15639	JW3970	Counterclockwise	4203966	4205555
P09029	purK		b0522	JW0511	PURK_ECOLI	EG10796	purK	P09029	JW0511	Counterclockwise	550750	551817
P15254	purL	purI	b2557	JW2541	PUR4_ECOLI	EG10797	purL	P15254	JW2541	Counterclockwise	2689678	2693565
P08178	purM	purG	b2499	JW2484	PUR5_ECOLI	EG10798	purM	P08178	JW2484	Clockwise	2619219	2620256
P08179	purN		b2500	JW2485	PUR3_ECOLI	EG10799	purN	P08179	JW2485	Clockwise	2620256	2620894
P0ACP7	purR		b1658	JW1650	PURR_ECOLI	EG10800	purR	P0ACP7	JW1650	Clockwise	1735868	1736893
P09546	putA	poaA	b1014	JW0999	PUTA_ECOLI	EG10801	putA	P09546	JW0999	Counterclockwise	1074143	1078105
P07117	putP		b1015	JW1001	PUTP_ECOLI	EG10802	putP	P07117	JW1001	Clockwise	1078528	1080036
P21599	pykA		b1854	JW1843	KPYK2_ECOLI	EG10803	pykA	P21599	JW1843	Clockwise	1935673	1937115
P0AD61	pykF		b1676	JW1666	KPYK1_ECOLI	EG10804	pykF	P0AD61	JW1666	Clockwise	1753722	1755134
P0A786	pyrB		b4245	JW4204	PYRB_ECOLI	EG10805	pyrB	P0A786	JW4204	Counterclockwise	4469483	4470418
P05020	pyrC		b1062	JW1049	PYRC_ECOLI	EG10806	pyrC	P05020	JW1049	Counterclockwise	1120784	1121830
P0A7E1	pyrD		b0945	JW0928	PYRD_ECOLI	EG10807	pyrD	P0A7E1	JW0928	Clockwise	1003991	1005001
P0A7E3	pyrE		b3642	JW3617	PYRE_ECOLI	EG10808	pyrE	P0A7E3	JW3617	Counterclockwise	3813150	3813791
P08244	pyrF		b1281	JW1273	PYRF_ECOLI	EG10809	pyrF	P08244	JW1273	Clockwise	1339945	1340682
P0A7E5	pyrG		b2780	JW2751	PYRG_ECOLI	EG10810	pyrG	P0A7E5	JW2751	Counterclockwise	2906051	2907688
P0A7F3	pyrI		b4244	JW4203	PYRI_ECOLI	EG10811	pyrI	P0A7F3	JW4203	Counterclockwise	4469009	4469470
P0A7F9	queA		b0405	JW0395	QUEA_ECOLI	EG10812	queA	P0A7F9	JW0395	Clockwise	424235	425305
P15033	racC		b1351	JW1345	RACC_ECOLI	EG10813	racC	P15033	JW1345	Counterclockwise	1415512	1415787
P04983	rbsA		b3749	JW3728	RBSA_ECOLI	EG10814	rbsA	P04983	JW3728	Clockwise	3931801	3933306
P02925	rbsB	prlB rbsP	b3751	JW3730	RBSB_ECOLI	EG10815	rbsB	P02925	JW3730	Clockwise	3934301	3935191
P0AGI1	rbsC		b3750	JW3729	RBSC_ECOLI	EG10816	rbsC	P0AGI1	JW3729	Clockwise	3933311	3934276
P04982	rbsD		b3748	JW5857	RBSD_ECOLI	EG10817	rbsD	P04982	JW5857	Clockwise	3931374	3931793
P0A9J6	rbsK		b3752	JW3731	RBSK_ECOLI	EG10818	rbsK	P0A9J6	JW3731	Clockwise	3935317	3936246
P0ACQ0	rbsR		b3753	JW3732	RBSR_ECOLI	EG10819	rbsR	P0ACQ0	JW3732	Clockwise	3936250	3937242
P69405	rcsA		b1951	JW1935	RCSA_ECOLI	EG10820	rcsA	P69405	JW1935	Clockwise	2021992	2022615
P69407	rcsB		b2217	JW2205	RCSB_ECOLI	EG10821	rcsB	P69407	JW2205	Clockwise	2314199	2314849
P14376	rcsC		b2218	JW5917 JW5920	RCSC_ECOLI	EG10822	rcsC	P14376	"JW5917;JW5920"	Counterclockwise	2315049	2317898
P0A7G6	recA	lexB recH rnmB tif umuB zab	b2699	JW2669	RECA_ECOLI	EG10823	recA	P0A7G6	JW2669	Counterclockwise	2820730	2821791
P08394	recB	rorA	b2820	JW2788	EX5B_ECOLI	EG10824	recB	P08394	JW2788	Counterclockwise	2950483	2954025
P07648	recC		b2822	JW2790	EX5C_ECOLI	EG10825	recC	P07648	JW2790	Counterclockwise	2957082	2960450
P04993	recD		b2819	JW2787	EX5A_ECOLI	EG10826	recD	P04993	JW2787	Counterclockwise	2948657	2950483
P15032	recE		b1350	JW1344	RECE_ECOLI	EG10827	recE	P15032	JW1344	Counterclockwise	1412810	1415410
P0A7H0	recF	uvrF	b3700	JW3677	RECF_ECOLI	EG10828	recF	P0A7H0	JW3677	Counterclockwise	3878171	3879244
P24230	recG	radC	b3652	JW3627	RECG_ECOLI	EG10829	recG	P24230	JW3627	Clockwise	3823233	3825314
P21893	recJ		b2892	JW2860	RECJ_ECOLI	EG10830	recJ	P21893	JW2860	Counterclockwise	3034395	3036128
P05824	recN	radB	b2616	JW5416	RECN_ECOLI	EG10831	recN	P05824	JW5416	Clockwise	2749817	2751478
P0A7H3	recO		b2565	JW2549	RECO_ECOLI	EG10832	recO	P0A7H3	JW2549	Counterclockwise	2699763	2700491
P15043	recQ		b3822	JW5855	RECQ_ECOLI	EG10833	recQ	P15043	JW5855	Clockwise	4003887	4005716
P0A7H6	recR		b0472	JW0461	RECR_ECOLI	EG10834	recR	P0A7H6	JW0461	Clockwise	493629	494234
P0AG20	relA		b2784	JW2755	RELA_ECOLI	EG10835	relA	P0AG20	JW2755	Counterclockwise	2909439	2911673
P0C079	relB		b1564	JW1556	RELB_ECOLI	EG10836	relB	P0C079	JW1556	Counterclockwise	1643657	1643896
P09980	rep		b3778	JW5604	REP_ECOLI	EG10837	rep	P09980	JW5604	Clockwise	3958700	3960721
P67910	hldD	htrM rfaD waaD	b3619	JW3594	HLDD_ECOLI	EG10838	rfaD	P67910	JW3594	Clockwise	3792010	3792942
P0AFW0	rfaH	hlyT sfrB	b3842	JW3818	RFAH_ECOLI	EG10839	rfaH	P0AFW0	JW3818	Counterclockwise	4022356	4022844
P0AC78	wecA	rfe	b3784	JW3758	WECA_ECOLI	EG10840	rfe	P0AC78	JW3758	Clockwise	3965939	3967042
P24216	fliD	flaV flbC	b1924	JW1909	FLID_ECOLI	EG10841	fliD	P24216	JW1909	Clockwise	2001896	2003302
P09378	rhaR	rhaC1	b3906	JW3877	RHAR_ECOLI	EG10842	rhaR	P09378	JW3877	Clockwise	4096669	4097517
P09377	rhaS	rhaC2	b3905	JW3876	RHAS_ECOLI	EG10843	rhaS	P09377	JW3876	Clockwise	4095759	4096595
P0A8J8	rhlB	mmrA	b3780	JW3753	RHLB_ECOLI	EG10844	rhlB	P0A8J8	JW3753	Counterclockwise	3962388	3963653
P0AG30	rho	nitA psuA rnsC sbaA tsu	b3783	JW3756	RHO_ECOLI	EG10845	rho	P0AG30	JW3756	Clockwise	3964440	3965699
P16916	rhsA		b3593	JW3566	RHSA_ECOLI	EG10846	rhsA	P16916	JW3566	Clockwise	3760206	3764339
P16917	rhsB		b3482	JW5679	RHSB_ECOLI	EG10847	rhsB	P16917	JW5679	Clockwise	3617215	3621450
P16918	rhsC		b0700	JW0689	RHSC_ECOLI	EG10848	rhsC	P16918	JW0689	Clockwise	728806	732999
P16919	rhsD		b0497	JW0486	RHSD_ECOLI	EG10849	rhsD	P16919	JW0486	Clockwise	522485	526765
P0A944	rimI		b4373	JW4335	RIMI_ECOLI	EG10850	rimI	P0A944	JW4335	Clockwise	4606208	4606654
P0A948	rimJ		b1066	JW1053	RIMJ_ECOLI	EG10851	rimJ	P0A948	JW1053	Clockwise	1124785	1125369
P0C0U4	rimK		b0852	JW0836	RIMK_ECOLI	EG10852	rimK	P0C0U4	JW0836	Clockwise	891190	892092
P13857	rimL		b1427	JW1423	RIML_ECOLI	EG10853	rimL	P13857	JW1423	Clockwise	1496962	1497501
P10100	rlpA		b0633	JW0628	RLPA_ECOLI	EG10854	rlpA	P10100	JW0628	Counterclockwise	663325	664413
P0ADC1	lptE	rlpB	b0641	JW0636	LPTE_ECOLI	EG10855	lptE	P0ADC1	JW0636	Counterclockwise	670828	671409
P21338	rna	rnsA	b0611	JW0603	RNI_ECOLI	EG10856	rna	P21338	JW0603	Counterclockwise	643420	644226
P0A7Y0	rnc		b2567	JW2551	RNC_ECOLI	EG10857	rnc	P0A7Y0	JW2551	Counterclockwise	2701405	2702085
P09155	rnd		b1804	JW1793	RND_ECOLI	EG10858	rnd	P09155	JW1793	Counterclockwise	1884888	1886015
P21513	rne	ams hmp1	b1084	JW1071	RNE_ECOLI	EG10859	rne	P21513	JW1071	Counterclockwise	1140405	1143590
P0A7Y4	rnhA	dasF herA rnh sdrA	b0214	JW0204	RNH_ECOLI	EG10860	rnhA	P0A7Y4	JW0204	Counterclockwise	235535	236002
P10442	rnhB		b0183	JW0178	RNH2_ECOLI	EG10861	rnhB	P10442	JW0178	Clockwise	204493	205089
P0A7Y8	rnpA		b3704	JW3681	RNPA_ECOLI	EG10862	rnpA	P0A7Y8	JW3681	Clockwise	3882516	3882875
P0A7L0	rplA		b3984	JW3947	RL1_ECOLI	EG10864	rplA	P0A7L0	JW3947	Clockwise	4176902	4177606
P60422	rplB		b3317	JW3279	RL2_ECOLI	EG10865	rplB	P60422	JW3279	Counterclockwise	3448565	3449386
