AAEA_ECOLI	P46482	C6EGL9_ECOBD
IBSD_ECOLI	C1P616	Null
IDH_ECOLI	P08200	C6EGV5_ECOBD
IDND_ECOLI	P39346	C6EC84_ECOBD
IDNT_ECOLI	P39344	C6EC86_ECOBD
IGAA_ECOLI	P45800	C6EFH7_ECOBD
IMDH_ECOLI	P0ADG7	C6EKK1_ECOBD
INF7_ECOLI	Q9JMT3	Null
INSG_ECOLI	P03835	C6EC80_ECOBD
INSO2_ECOLI	Q47718	Null
INTA_ECOLI	P32053	Null
INTB_ECOLI	P39347	C6EC81_ECOBD
ISPZ_ECOLI	P0A710	C6EFY2_ECOBD
IVY_ECOLI	P0AD59	C6EA68_ECOBD
KCH_ECOLI	P31069	C6EFY6_ECOBD
KDGL_ECOLI	P0ABN1	C6EDX8_ECOBD
KDGT_ECOLI	P0A712	C6EEY8_ECOBD
KDPD_ECOLI	P21865	C6EJN9_ECOBD
KDPF_ECOLI	P36937	Null
KDRA_ECOLI	P76469	Null
KDSC_ECOLI	P0ABZ4	C6EH29_ECOBD
KDSD_ECOLI	P45395	C6EH30_ECOBD
KDTA_ECOLI	P0AC75	C6EDF8_ECOBD
KEFA_ECOLI	P77338	C6EKZ9_ECOBD
KEFB_ECOLI	P45522	C6EGB3_ECOBD
KEFC_ECOLI	P03819	C6EB06_ECOBD
KEFF_ECOLI	P0A754	C6EB07_ECOBD
KEFG_ECOLI	P0A756	C6EGB2_ECOBD
KGTP_ECOLI	P0AEX3	C6EJZ9_ECOBD
KUP_ECOLI	P63183	C6EG56_ECOBD
LACY_ECOLI	P02920	C6ELN7_ECOBD
LAMB_ECOLI	P02943	C6EDY6_ECOBD
LCFA_ECOLI	P69451	C6EC26_ECOBD
LDRA_ECOLI	Q6BF86	Null
LDRB_ECOLI	Q6BF87	C6EGP9_ECOBD
LDRD_ECOLI	Q6BF25	C6EEE4_ECOBD
LEP_ECOLI	P00803	C6EK19_ECOBD
LEP4_ECOLI	P25960	C6EGD1_ECOBD
LEPA_ECOLI	P60785	C6EK18_ECOBD
LEUD_ECOLI	P30126	C6EAY3_ECOBD
LEUE_ECOLI	P76249	C6EC32_ECOBD
LGT_ECOLI	P60955	C6EJ41_ECOBD
LHR_ECOLI	P30015	C6ECV0_ECOBD
LIVF_ECOLI	P22731	C6EFC0_ECOBD
LIVG_ECOLI	P0A9S7	C6EFB9_ECOBD
LIVH_ECOLI	P0AEX7	C6EFB7_ECOBD
LIVJ_ECOLI	P0AD96	C6EFB4_ECOBD
LIVK_ECOLI	P04816	C6EFB6_ECOBD
LIVM_ECOLI	P22729	C6EFB8_ECOBD
LLDD_ECOLI	P33232	C6EDI4_ECOBD
LLDP_ECOLI	P33231	C6EDI6_ECOBD
LNT_ECOLI	P23930	C6EK38_ECOBD
LOLA_ECOLI	P61316	C6EI91_ECOBD
LOLB_ECOLI	P61320	C6EGQ7_ECOBD
LOLC_ECOLI	P0ADC3	C6EGX6_ECOBD
LOLD_ECOLI	P75957	C6EGX5_ECOBD
LOLE_ECOLI	P75958	C6EGX4_ECOBD
LPLT_ECOLI	P39196	C6EJ33_ECOBD
LPP_ECOLI	P69776	C6ECS8_ECOBD
LPTA_ECOLI	P0ADV1	C6EH27_ECOBD
LPTB_ECOLI	P0A9V1	C6EH26_ECOBD
LPTC_ECOLI	P0ADV9	C6EH28_ECOBD
LPTD_ECOLI	P31554	C6EAZ9_ECOBD
LPTE_ECOLI	P0ADC1	C6EK52_ECOBD
LPTF_ECOLI	P0AF98	C6EC90_ECOBD
LPTG_ECOLI	P0ADC6	C6EC89_ECOBD
LPXB_ECOLI	P10441	C6EAA3_ECOBD
LPXH_ECOLI	P43341	C6EKU2_ECOBD
LPXK_ECOLI	P27300	C6EI67_ECOBD
LRP_ECOLI	P0ACJ0	C6EI93_ECOBD
LSPA_ECOLI	P00804	C6EB26_ECOBD
LSRA_ECOLI	P77257	Null
LSRB_ECOLI	P76142	C6EEK7_ECOBD
LSRC_ECOLI	P77672	Null
LSRD_ECOLI	P0AFS1	Null
LYSD_ECOLI	P78285	Null
LYSP_ECOLI	P25737	C6EAF7_ECOBD
LYSQ_ECOLI	P76159	Null
MACA_ECOLI	P75830	C6EIA3_ECOBD
MACB_ECOLI	P75831	C6EIA2_ECOBD
MAK_ECOLI	P23917	C6ELJ0_ECOBD
MALE_ECOLI	P0AEX9	C6EDY9_ECOBD
MALF_ECOLI	P02916	C6EDZ0_ECOBD
MALG_ECOLI	P68183	C6EDZ1_ECOBD
MALK_ECOLI	P68187	C6EDY7_ECOBD
MALM_ECOLI	P03841	C6EDY5_ECOBD
MALT_ECOLI	P06993	Null
MALY_ECOLI	P23256	C6EDM5_ECOBD
MAOC_ECOLI	P77455	Null
MARB_ECOLI	P31121	C6EDV5_ECOBD
MARC_ECOLI	P0AEY1	C6EDW0_ECOBD
MATB_ECOLI	P0AAA3	C6ELT7_ECOBD
MATC_ECOLI	P77188	C6ELT8_ECOBD
MBHL_ECOLI	P0ACD8	C6EHN5_ECOBD
MBHM_ECOLI	P0ACE0	C6EHZ8_ECOBD
MBHS_ECOLI	P69739	C6EI10_ECOBD
MBHT_ECOLI	P69741	C6EHZ5_ECOBD
MCBA_ECOLI	P0AAX6	C6EIX6_ECOBD
MCP1_ECOLI	P02942	C6EBL4_ECOBD
MCP2_ECOLI	P07017	C6EBU1_ECOBD
MCP3_ECOLI	P05704	C6EEU1_ECOBD
MCP4_ECOLI	P07018	C6EBU2_ECOBD
MDAB_ECOLI	P0AEY5	C6EHW5_ECOBD
MDFA_ECOLI	P0AEY8	C6EIU1_ECOBD
MDH_ECOLI	P61889	C6EGZ6_ECOBD
MDLA_ECOLI	P77265	C6EL15_ECOBD
MDLB_ECOLI	P0AAG5	C6EL14_ECOBD
MDTA_ECOLI	P76397	C6EAN1_ECOBD
MDTB_ECOLI	P76398	C6EAN0_ECOBD
MDTC_ECOLI	P76399	C6EAM9_ECOBD
MDTD_ECOLI	P36554	C6EAM8_ECOBD
MDTE_ECOLI	P37636	C6EEH1_ECOBD
MDTF_ECOLI	P37637	C6EEH0_ECOBD
MDTG_ECOLI	P25744	C6EHG0_ECOBD
MDTH_ECOLI	P69367	C6EHE8_ECOBD
MDTI_ECOLI	P69210	C6EDP9_ECOBD
MDTJ_ECOLI	P69212	C6EDP8_ECOBD
MDTK_ECOLI	P37340	C6ECU0_ECOBD
MDTL_ECOLI	P31462	C6EG93_ECOBD
MDTM_ECOLI	P39386	C6EBP1_ECOBD
MDTN_ECOLI	P32716	C6ED42_ECOBD
MDTO_ECOLI	P32715	C6ED43_ECOBD
MDTP_ECOLI	P32714	C6ED44_ECOBD
MDTQ_ECOLI	P33369	C6EAH3_ECOBD
MELB_ECOLI	P02921	C6ED04_ECOBD
MENA_ECOLI	P32166	C6EE79_ECOBD
MEPA_ECOLI	P0C0T5	C6ELC5_ECOBD
METI_ECOLI	P31547	C6EA86_ECOBD
METN_ECOLI	P30750	C6EA85_ECOBD
METQ_ECOLI	P28635	C6EA87_ECOBD
MGLA_ECOLI	P0AAG8	C6EAG3_ECOBD
MGLC_ECOLI	P23200	C6EAG4_ECOBD
MGRB_ECOLI	P64512	C6EC04_ECOBD
MHPA_ECOLI	P77397	C6ELN3_ECOBD
MHPT_ECOLI	P77589	C6ELM7_ECOBD
MIND_ECOLI	P0AEZ3	C6EGU1_ECOBD
MINE_ECOLI	P0A734	C6EGU2_ECOBD
MIPA_ECOLI	P0A908	C6EC47_ECOBD
MLAB_ECOLI	P64602	C6EH36_ECOBD
MLAF_ECOLI	P63386	C6EH32_ECOBD
MLC_ECOLI	P50456	C6EDQ4_ECOBD
MLIC_ECOLI	P28224	C6EDK6_ECOBD
MLRA_ECOLI	P33358	C6EAI5_ECOBD
MLTA_ECOLI	P0A935	C6EJ53_ECOBD
MLTB_ECOLI	P41052	C6EJT0_ECOBD
MLTC_ECOLI	P0C066	C6EIE7_ECOBD
MLTD_ECOLI	P0AEZ7	C6EA79_ECOBD
MLTF_ECOLI	P0AGC5	C6EK32_ECOBD
MMUP_ECOLI	Q47689	Null
MNME_ECOLI	P25522	C6EG97_ECOBD
MNMG_ECOLI	P0A6U3	C6EG62_ECOBD
MNTH_ECOLI	P0A769	C6EL77_ECOBD
MOBB_ECOLI	P32125	C6EF47_ECOBD
MODA_ECOLI	P37329	Null
MODB_ECOLI	P0AF01	Null
MODC_ECOLI	P09833	Null
MODF_ECOLI	P31060	Null
MOKC_ECOLI	P33236	C6EB36_ECOBD
MOTA_ECOLI	P09348	C6EBT7_ECOBD
MOTB_ECOLI	P0AF06	C6EBT8_ECOBD
MPPA_ECOLI	P77348	C6EFQ2_ECOBD
MQO_ECOLI	P33940	C6E9Y9_ECOBD
MRAY_ECOLI	P0A6W3	C6EAW8_ECOBD
MREB_ECOLI	P0A9X4	C6EGL0_ECOBD
MREC_ECOLI	P16926	C6EGL1_ECOBD
MRED_ECOLI	P0ABH4	C6EGL2_ECOBD
MSBA_ECOLI	P60752	C6EI68_ECOBD
MSBB_ECOLI	P24205	C6EBX2_ECOBD
MSCL_ECOLI	P0A742	C6EGH6_ECOBD
MSCS_ECOLI	P0C0S1	C6EII5_ECOBD
MTFA_ECOLI	P76346	C6EB91_ECOBD
MTGA_ECOLI	P46022	C6EH19_ECOBD
MTOX_ECOLI	P40874	C6EHF4_ECOBD
MTR_ECOLI	P0AAD2	C6EH64_ECOBD
MURG_ECOLI	P17443	C6EAW5_ECOBD
MURR_ECOLI	P77245	C6EL50_ECOBD
MUTS_ECOLI	P23909	C6EJD4_ECOBD
MVIN_ECOLI	P0AF16	C6EHE4_ECOBD
NADR_ECOLI	P27278	C6EBI1_ECOBD
NAGB_ECOLI	P0A759	C6EJQ7_ECOBD
NAGC_ECOLI	P0AF20	C6EJQ9_ECOBD
NANC_ECOLI	P69856	C6EBS4_ECOBD
NANK_ECOLI	P45425	C6EH10_ECOBD
NANM_ECOLI	P39371	C6EBS5_ECOBD
NANT_ECOLI	P41036	C6EH08_ECOBD
NAPA_ECOLI	P33937	C6E9Z4_ECOBD
NAPB_ECOLI	P0ABL3	C6E9Z7_ECOBD
NAPC_ECOLI	P0ABL5	C6E9Z8_ECOBD
NAPG_ECOLI	P0AAL3	C6E9Z5_ECOBD
NAPH_ECOLI	P33934	C6E9Z6_ECOBD
NARG_ECOLI	P09152	C6EGN9_ECOBD
NARH_ECOLI	P11349	C6EGN8_ECOBD
NARI_ECOLI	P11350	C6EGN6_ECOBD
NARK_ECOLI	P10903	C6EGP0_ECOBD
NARQ_ECOLI	P27896	C6EKP3_ECOBD
NARU_ECOLI	P37758	C6EEP6_ECOBD
NARV_ECOLI	P0AF32	C6EEQ0_ECOBD
NARX_ECOLI	P0AFA2	C6EGP2_ECOBD
NARY_ECOLI	P19318	C6EEP8_ECOBD
NARZ_ECOLI	P19319	C6EEP7_ECOBD
NEPI_ECOLI	P0ADL1	C6EDA7_ECOBD
NFRA_ECOLI	P31600	Null
NFRB_ECOLI	P0AFA5	Null
NHAA_ECOLI	P13738	C6EB35_ECOBD
NHAB_ECOLI	P0AFA7	C6EGT1_ECOBD
NIKA_ECOLI	P33590	C6EF98_ECOBD
NIKB_ECOLI	P33591	C6EF97_ECOBD
NIKC_ECOLI	P0AFA9	C6EF96_ECOBD
NIKD_ECOLI	P33593	C6EF95_ECOBD
NIKE_ECOLI	P33594	C6EF94_ECOBD
NIRC_ECOLI	P0AC26	C6EFK9_ECOBD
NLPA_ECOLI	P04846	C6EDB0_ECOBD
NLPB_ECOLI	P0A903	C6EKN4_ECOBD
NLPC_ECOLI	P23898	C6ECP9_ECOBD
NLPD_ECOLI	P0ADA3	C6EJC5_ECOBD
NLPE_ECOLI	P40710	C6EA92_ECOBD
NLPI_ECOLI	P0AFB1	C6EH62_ECOBD
NMPC_ECOLI	P21420	Null
NRFA_ECOLI	P0ABK9	C6ED55_ECOBD
NRFB_ECOLI	P0ABL1	C6ED54_ECOBD
NRFC_ECOLI	P0AAK7	C6ED53_ECOBD
NRFD_ECOLI	P32709	C6ED52_ECOBD
NRFE_ECOLI	P32710	C6ED51_ECOBD
NRFF_ECOLI	P32711	C6ED50_ECOBD
NRFG_ECOLI	P32712	C6ED49_ECOBD
NUDL_ECOLI	P43337	C6EC18_ECOBD
NUOA_ECOLI	P0AFC3	C6E9R4_ECOBD
NUOB_ECOLI	P0AFC7	C6E9R5_ECOBD
NUOCD_ECOLI	P33599	C6E9R6_ECOBD
NUOE_ECOLI	P0AFD1	C6E9R7_ECOBD
NUOF_ECOLI	P31979	C6E9R8_ECOBD
NUOG_ECOLI	P33602	C6E9R9_ECOBD
NUOH_ECOLI	P0AFD4	C6E9S0_ECOBD
NUOI_ECOLI	P0AFD6	C6E9S1_ECOBD
NUOJ_ECOLI	P0AFE0	C6E9S2_ECOBD
NUOK_ECOLI	P0AFE4	C6E9S3_ECOBD
NUOL_ECOLI	P33607	C6E9S4_ECOBD
NUOM_ECOLI	P0AFE8	C6E9S5_ECOBD
NUON_ECOLI	P0AFF0	C6E9S6_ECOBD
NUPC_ECOLI	P0AFF2	C6EL76_ECOBD
NUPG_ECOLI	P0AFF4	Null
NUPX_ECOLI	P33021	C6EAF2_ECOBD
ODP1_ECOLI	P0AFG8	C6EAU3_ECOBD
ODP2_ECOLI	P06959	C6EAU2_ECOBD
OMPA_ECOLI	P0A910	C6EI25_ECOBD
OMPC_ECOLI	P06996	Null
OMPF_ECOLI	P02931	C6EI53_ECOBD
OMPG_ECOLI	P76045	C6EFR3_ECOBD
OMPL_ECOLI	P76773	C6EF26_ECOBD
OMPN_ECOLI	P77747	C6EEW8_ECOBD
OMPP_ECOLI	P34210	Null
OMPT_ECOLI	P09169	Null
OMPW_ECOLI	P0A915	C6EFY0_ECOBD
OMPX_ECOLI	P0A917	C6EIW8_ECOBD
OPGB_ECOLI	P39401	C6EBL1_ECOBD
OPGC_ECOLI	P75920	C6EHG5_ECOBD
OPGD_ECOLI	P40120	C6EET8_ECOBD
OPGG_ECOLI	P33136	C6EHG4_ECOBD
OPGH_ECOLI	P62517	C6EHG3_ECOBD
OPPA_ECOLI	P23843	C6EGM4_ECOBD
OPPB_ECOLI	P0AFH2	C6EGM3_ECOBD
OPPC_ECOLI	P0AFH6	C6EFZ1_ECOBD
OPPD_ECOLI	P76027	C6EFZ0_ECOBD
OPPF_ECOLI	P77737	C6EFY9_ECOBD
OSMB_ECOLI	P0ADA7	C6EFV1_ECOBD
OSME_ECOLI	P0ADB1	C6ECL9_ECOBD
OSMF_ECOLI	P33362	C6EAI0_ECOBD
OSMY_ECOLI	P0AFH8	C6EBJ6_ECOBD
OXAA_ECOLI	P25714	C6EG98_ECOBD
PA1_ECOLI	P0A921	C6EF90_ECOBD
PAAH_ECOLI	P76083	Null
PAL_ECOLI	P0A912	C6EJJ6_ECOBD
PANE_ECOLI	P0A9J4	C6EL44_ECOBD
PANF_ECOLI	P16256	C6EGK2_ECOBD
PARC_ECOLI	P0AFI2	C6EHX4_ECOBD
PAT_ECOLI	P42588	C6EHS3_ECOBD
PBL_ECOLI	Q46790	Null
PBP2_ECOLI	P0AD65	C6EK58_ECOBD
PBP7_ECOLI	P0AFI5	C6EAH7_ECOBD
PBPA_ECOLI	P02918	C6EFI0_ECOBD
PBPB_ECOLI	P02919	C6EAD5_ECOBD
PBPC_ECOLI	P76577	C6EKJ0_ECOBD
PCNB_ECOLI	P0ABF1	C6EAE1_ECOBD
PERM_ECOLI	P0AFI9	C6EKL8_ECOBD
PGAA_ECOLI	P69434	C6EHI3_ECOBD
PGAB_ECOLI	P75906	C6EHI4_ECOBD
PGAC_ECOLI	P75905	C6EHI5_ECOBD
PGAD_ECOLI	P69432	C6EHI6_ECOBD
PGPA_ECOLI	P18200	C6ELG6_ECOBD
PGPB_ECOLI	P0A924	C6EFV6_ECOBD
PGSA_ECOLI	P0ABF8	C6EBF0_ECOBD
PHEP_ECOLI	P24207	C6EKC5_ECOBD
PHNC_ECOLI	P16677	C6ED18_ECOBD
PHND_ECOLI	P16682	C6ED19_ECOBD
PHNE_ECOLI	P16683	C6ED20_ECOBD
PHNK_ECOLI	P16678	C6ED26_ECOBD
PHNL_ECOLI	P16679	C6ED27_ECOBD
PHNP_ECOLI	P16692	C6ED31_ECOBD
PHOE_ECOLI	P02932	C6EA44_ECOBD
PHOQ_ECOLI	P23837	C6EGW2_ECOBD
PHOR_ECOLI	P08400	C6ELI4_ECOBD
PHOU_ECOLI	P0A9K7	C6EG79_ECOBD
PHSC_ECOLI	P77409	C6ECT5_ECOBD
PIL1_ECOLI	P04737	Null
PIOO_ECOLI	P03825	C6EGE4_ECOBD
PITA_ECOLI	P0AFJ7	C6EEJ2_ECOBD
PITB_ECOLI	P43676	C6EI05_ECOBD
PLDB_ECOLI	P07000	C6EF86_ECOBD
PLSB_ECOLI	P0A7A7	C6EDX9_ECOBD
PLSC_ECOLI	P26647	C6EHX6_ECOBD
PLSY_ECOLI	P60782	C6EHT6_ECOBD
PNTA_ECOLI	P07001	C6EDP5_ECOBD
PNTB_ECOLI	P0AB67	C6EDP6_ECOBD
PNUC_ECOLI	P0AFK2	C6EJJ3_ECOBD
POTA_ECOLI	P69874	C6EGW5_ECOBD
POTB_ECOLI	P0AFK4	C6EGW6_ECOBD
POTC_ECOLI	P0AFK6	C6EGW7_ECOBD
POTD_ECOLI	P0AFK9	C6EGW8_ECOBD
POTE_ECOLI	P0AAF1	C6EJP3_ECOBD
POTF_ECOLI	P31133	C6EIC7_ECOBD
POTG_ECOLI	P31134	C6EIC6_ECOBD
POTH_ECOLI	P31135	C6EIC5_ECOBD
POTI_ECOLI	P0AFL1	C6EIC4_ECOBD
POXB_ECOLI	P07003	C6EIB0_ECOBD
PPA_ECOLI	P07102	C6EHM7_ECOBD
PPB_ECOLI	P00634	C6ELK4_ECOBD
PPDA_ECOLI	P33554	C6EJ43_ECOBD
PPDB_ECOLI	P08371	C6EJ44_ECOBD
PPDC_ECOLI	P08372	C6EJ46_ECOBD
PPDD_ECOLI	P36647	C6EAU9_ECOBD
PPIA_ECOLI	P0AFL3	C6EFL3_ECOBD
PPID_ECOLI	P0ADY1	C6EL22_ECOBD
PPK_ECOLI	P0A7B1	C6EKL0_ECOBD
PPNK_ECOLI	P0A7B3	C6EJX8_ECOBD
PPPA_ECOLI	Q46836	C6EID8_ECOBD
PPX_ECOLI	P0AFL6	C6EKK9_ECOBD
PQIA_ECOLI	P0AFL9	C6EI32_ECOBD
PQIB_ECOLI	P43671	C6EI31_ECOBD
PQQL_ECOLI	P31828	C6EEM3_ECOBD
PRC_ECOLI	P23865	C6EBZ9_ECOBD
PRIM_ECOLI	P0ABS5	C6EHS9_ECOBD
PROP_ECOLI	P0C0L7	C6ED13_ECOBD
PROV_ECOLI	P14175	C6EJU8_ECOBD
PROW_ECOLI	P14176	C6EJU7_ECOBD
PROX_ECOLI	P0AFM2	C6EJU6_ECOBD
PROY_ECOLI	P0AAE2	C6ELI2_ECOBD
PRPB_ECOLI	P77541	C6ELP9_ECOBD
PSD_ECOLI	P0A8K1	C6ECW5_ECOBD
PSIE_ECOLI	P0A7C8	C6EDZ3_ECOBD
PSIF_ECOLI	P0AFM4	C6ELK3_ECOBD
PSPA_ECOLI	P0AFM6	C6EFS8_ECOBD
PSPB_ECOLI	P0AFM9	Null
PSPC_ECOLI	P0AFN2	C6EFS6_ECOBD
PSPD_ECOLI	P0AFV8	Null
PSPE_ECOLI	P23857	C6EFS4_ECOBD
PSPG_ECOLI	P32696	C6EDX0_ECOBD
PSS_ECOLI	P23830	C6EK01_ECOBD
PSTA_ECOLI	P07654	C6EG77_ECOBD
PSTB_ECOLI	P0AAH0	C6EG78_ECOBD
PSTC_ECOLI	P0AGH8	C6EG76_ECOBD
PSTS_ECOLI	P0AG82	C6EG75_ECOBD
PSUG_ECOLI	P33025	C6EAE8_ECOBD
PSUT_ECOLI	P33024	C6EAE9_ECOBD
PT1_ECOLI	P08839	C6EL61_ECOBD
PT1P_ECOLI	P37177	C6EJ40_ECOBD
PTA_ECOLI	P0A9M8	C6ELF6_ECOBD
PTFA_ECOLI	P32155	C6EEZ9_ECOBD
PTFAH_ECOLI	P69811	C6EA29_ECOBD
PTFB1_ECOLI	P69808	C6EL81_ECOBD
PTFB2_ECOLI	P69816	C6EE59_ECOBD
PTFB3_ECOLI	P32676	C6EE56_ECOBD
PTFBC_ECOLI	P20966	C6EA31_ECOBD
PTFC1_ECOLI	P77579	C6EL82_ECOBD
PTFC2_ECOLI	P32672	C6EE60_ECOBD
PTFLB_ECOLI	P32154	C6EF00_ECOBD
PTFX1_ECOLI	P77439	C6EL85_ECOBD
PTFX2_ECOLI	P32670	C6EE61_ECOBD
PTGA_ECOLI	P69783	C6EL60_ECOBD
PTGCB_ECOLI	P69786	C6EGZ1_ECOBD
PTHA_ECOLI	P05706	C6EJS7_ECOBD
PTHB_ECOLI	P56580	C6EJS8_ECOBD
PTHC_ECOLI	P56579	C6EJS9_ECOBD
PTIBC_ECOLI	P24241	C6EJR6_ECOBD
PTKA_ECOLI	P69828	C6EAL6_ECOBD
PTKB_ECOLI	P37188	C6EAL7_ECOBD
PTKC_ECOLI	P69831	C6EAL8_ECOBD
PTM3C_ECOLI	P00550	C6EDJ3_ECOBD
PTMA_ECOLI	P69824	C6EIH6_ECOBD
PTMCB_ECOLI	P69826	C6EIH7_ECOBD
PTNAB_ECOLI	P69797	C6EC13_ECOBD
PTNC_ECOLI	P69801	C6EC12_ECOBD
PTND_ECOLI	P69805	C6EC11_ECOBD
PTOCB_ECOLI	P19642	C6EDM6_ECOBD
PTPC1_ECOLI	P42910	C6EH86_ECOBD
PTPC2_ECOLI	P42905	C6EH93_ECOBD
PTPD_ECOLI	P42911	C6EH85_ECOBD
PTQA_ECOLI	P69791	C6ECM2_ECOBD
PTQB_ECOLI	P69795	C6ECM0_ECOBD
PTQC_ECOLI	P17334	C6ECM1_ECOBD
PTRA_ECOLI	P05458	C6EJ48_ECOBD
PTSN_ECOLI	P69829	C6EH23_ECOBD
PTTBC_ECOLI	P36672	C6ECA8_ECOBD
PTV3B_ECOLI	P08722	C6EG81_ECOBD
PTW3C_ECOLI	P09323	C6EJQ6_ECOBD
PTXB_ECOLI	P69789	C6ED86_ECOBD
PTXC_ECOLI	P31452	Null
PTYBC_ECOLI	P77272	C6EKS4_ECOBD
PUTA_ECOLI	P09546	C6EHJ3_ECOBD
PUTP_ECOLI	P07117	C6EHJ1_ECOBD
PUUP_ECOLI	P76037	C6EFT6_ECOBD
PYRD_ECOLI	P0A7E1	C6EI37_ECOBD
PYRG_ECOLI	P0A7E5	C6EJ92_ECOBD
QMCA_ECOLI	P0AA53	C6EKX5_ECOBD
QSEC_ECOLI	P40719	C6EHW7_ECOBD
QUEC_ECOLI	P77756	C6EL19_ECOBD
RARD_ECOLI	P27844	C6EFZ3_ECOBD
RBSA_ECOLI	P04983	C6EG53_ECOBD
RBSB_ECOLI	P02925	C6EG51_ECOBD
RBSC_ECOLI	P0AGI1	C6EG52_ECOBD
RCNA_ECOLI	P76425	Null
RCSC_ECOLI	P14376	C6E9Y2_ECOBD
RCSF_ECOLI	P69411	C6EA88_ECOBD
RECA_ECOLI	P0A7G6	C6EJT2_ECOBD
RECJ_ECOLI	P21893	C6EIL6_ECOBD
RECN_ECOLI	P05824	C6EJX7_ECOBD
RECO_ECOLI	P0A7H3	C6EK22_ECOBD
RFAL_ECOLI	P27243	C6EDG8_ECOBD
RFBX_ECOLI	P37746	Null
RFC_ECOLI	P37748	Null
RHAT_ECOLI	P27125	C6EEZ0_ECOBD
RHTA_ECOLI	P0AA67	C6EIW9_ECOBD
RHTB_ECOLI	P0AG34	C6EF87_ECOBD
RHTC_ECOLI	P0AG38	C6EF88_ECOBD
RIBB_ECOLI	P0A7J0	C6EHV2_ECOBD
RIR2_ECOLI	P69924	C6E9W6_ECOBD
RIR4_ECOLI	P37146	C6EJU9_ECOBD
RLPA_ECOLI	P10100	C6EK60_ECOBD
RMLA1_ECOLI	P37744	C6EAR8_ECOBD
RMUC_ECOLI	P0AG71	C6EF64_ECOBD
RNE_ECOLI	P21513	C6EHC9_ECOBD
RNFA_ECOLI	P0A766	C6EDL9_ECOBD
RNFB_ECOLI	P77223	C6EDL8_ECOBD
RNFC_ECOLI	P77611	C6EDL7_ECOBD
RNFD_ECOLI	P76182	C6EDL6_ECOBD
RNFE_ECOLI	P77179	C6EDL4_ECOBD
RNFG_ECOLI	P77285	C6EDL5_ECOBD
RNI_ECOLI	P21338	C6EK83_ECOBD
RODA_ECOLI	P0ABG7	C6EK59_ECOBD
RODZ_ECOLI	P27434	C6EKJ3_ECOBD
RPIR_ECOLI	P0ACS7	C6ED34_ECOBD
RPOE_ECOLI	P0AGB6	C6EK14_ECOBD
RSEA_ECOLI	P0AFX7	C6EK15_ECOBD
RSEB_ECOLI	P0AFX9	C6EK16_ECOBD
RSEC_ECOLI	P46187	C6EK17_ECOBD
RSEP_ECOLI	P0AEH1	C6EAA9_ECOBD
RSMB_ECOLI	P36929	C6EGH8_ECOBD
RSPB_ECOLI	P38105	C6EDR8_ECOBD
RSTB_ECOLI	P18392	C6EDN9_ECOBD
RTN_ECOLI	P76446	C6EA21_ECOBD
RUTC_ECOLI	P0AFQ5	C6EHJ7_ECOBD
RUTG_ECOLI	P75892	C6EHK1_ECOBD
RZOD_ECOLI	P58041	Null
RZOQ_ECOLI	C1P601	Null
RZOR_ECOLI	P58042	Null
RZPD_ECOLI	P75719	Null
RZPQ_ECOLI	P76158	Null
RZPR_ECOLI	P77551	Null
SANA_ECOLI	P0AFY2	C6EAG8_ECOBD
SAPA_ECOLI	Q47622	C6EFT8_ECOBD
SAPB_ECOLI	P0AGH3	C6EFT9_ECOBD
SAPC_ECOLI	P0AGH5	C6EFU0_ECOBD
SAPD_ECOLI	P0AAH4	C6EFU1_ECOBD
SAPF_ECOLI	P0AAH8	C6EFU2_ECOBD
SBCC_ECOLI	P13458	C6ELI7_ECOBD
SBMA_ECOLI	P0AFY6	C6ELL0_ECOBD
SDAC_ECOLI	P0AAD6	C6EJ75_ECOBD
SDHL_ECOLI	P16095	C6EC17_ECOBD
SECA_ECOLI	P10408	C6EAV7_ECOBD
SECB_ECOLI	P0AG86	C6EDI0_ECOBD
SECD_ECOLI	P0AG90	C6ELH6_ECOBD
SECE_ECOLI	P0AG96	C6EE38_ECOBD
SECF_ECOLI	P0AG93	C6ELH5_ECOBD
SECG_ECOLI	P0AG99	C6EH52_ECOBD
SECM_ECOLI	P62395	C6EAV8_ECOBD
SECY_ECOLI	P0AGA2	C6EGG6_ECOBD
SEQA_ECOLI	P0AFY8	C6EJP7_ECOBD
SERB_ECOLI	P0AGB0	C6EBI3_ECOBD
SETA_ECOLI	P31675	C6EAY4_ECOBD
SETB_ECOLI	P33026	C6EA28_ECOBD
SETC_ECOLI	P31436	C6EDB2_ECOBD
SFA_ECOLI	P0AAA5	C6EHL7_ECOBD
SFMA_ECOLI	P0ABW5	C6EKT6_ECOBD
SFMC_ECOLI	P77249	C6EKT5_ECOBD
SFMD_ECOLI	P77468	C6EKT4_ECOBD
SFMF_ECOLI	P38052	C6EKT2_ECOBD
SFMH_ECOLI	P75715	C6EKT3_ECOBD
SGCB_ECOLI	P58035	C6EC54_ECOBD
SGCC_ECOLI	P39365	C6EC55_ECOBD
SHIA_ECOLI	P76350	C6EB88_ECOBD
SHOB_ECOLI	C1P611	Null
SIEB_ECOLI	P38392	C6EFN0_ECOBD
SIRB1_ECOLI	P0AGM5	C6EGQ2_ECOBD
SIRB2_ECOLI	Q46755	C6EGQ3_ECOBD
SIXA_ECOLI	P76502	C6ELB4_ECOBD
SKP_ECOLI	P0AEU7	C6EAA7_ECOBD
