Accession	Uniprot Entry Name K12	Uniprot Accession BL21(DE3)	Uniprot Entry Name BL21(DE3)	Localization
P23367	MUTL_ECOLI	C6ECV8	C6ECV8_ECOBD	A
P26365	AMIB_ECOLI	C6ECV9	C6ECV9_ECOBD	G
P0AF67	YJEE_ECOLI	C6ECW0	C6ECW0_ECOBD	A
P39288	YJES_ECOLI	C6ECW2	C6ECW2_ECOBD	A
P0A784	ORN_ECOLI	C6ECW3	C6ECW3_ECOBD	A
P39286	RSGA_ECOLI	C6ECW4	C6ECW4_ECOBD	A
P39285	YJEP_ECOLI	C6ECW6	C6ECW6_ECOBD	B
P00363	FRDA_ECOLI	C6ECW9	C6ECW9_ECOBD	F1
P00811	AMPC_ECOLI	C6ECX3	C6ECX3_ECOBD	G
P0A6N4	EFP_ECOLI	C6ECX8	C6ECX8_ECOBD	A
P0AF70	YJEI_ECOLI	C6ECY1	C6ECY1_ECOBD	I
P0A6F5	CH60_ECOLI	C6ECY2	C6ECY2_ECOBD	A
P0AC38	ASPA_ECOLI	C6ECY6	C6ECY6_ECOBD	A
P0A8N5	SYK2_ECOLI	C6ECZ5	C6ECZ5_ECOBD	A
P06720	AGAL_ECOLI	C6ED05	C6ED05_ECOBD	A
P0ACH8	MELR_ECOLI	C6ED06	C6ED06_ECOBD	A
P30845	EPTA_ECOLI	C6ED10	C6ED10_ECOBD	B
P30843	BASR_ECOLI	C6ED11	C6ED11_ECOBD	A
P30844	BASS_ECOLI	C6ED12	C6ED12_ECOBD	B
P0C0L7	PROP_ECOLI	C6ED13	C6ED13_ECOBD	B
P39267	YJCZ_ECOLI	C6ED14	C6ED14_ECOBD	A
P16684	PHNF_ECOLI	C6ED21	C6ED21_ECOBD	A
P16691	PHNO_ECOLI	C6ED30	C6ED30_ECOBD	A
P21345	GLTP_ECOLI	C6ED48	C6ED48_ECOBD	B
P27550	ACSA_ECOLI	C6ED56	C6ED56_ECOBD	A
P0ACS2	SOXR_ECOLI	C6ED61	C6ED61_ECOBD	A
P0AGE0	SSB_ECOLI	C6ED65	C6ED65_ECOBD	A
P0AF50	YJBR_ECOLI	C6ED67	C6ED67_ECOBD	A
P04693	TYRB_ECOLI	C6ED71	C6ED71_ECOBD	A
P0A6B4	ALR1_ECOLI	C6ED72	C6ED72_ECOBD	A
P0A8Y5	YIDA_ECOLI	C6ED73	C6ED73_ECOBD	A
P0ADM4	YIDQ_ECOLI	C6ED82	C6ED82_ECOBD	E
P0C054	IBPA_ECOLI	C6ED83	C6ED83_ECOBD	A
P0C058	IBPB_ECOLI	C6ED84	C6ED84_ECOBD	A
P08142	ILVB_ECOLI	C6ED98	C6ED98_ECOBD	A
P0ADF8	ILVN_ECOLI	C6ED99	C6ED99_ECOBD	A
P0AGA6	UHPA_ECOLI	C6EDA0	C6EDA0_ECOBD	A
P0ADL3	YICN_ECOLI	C6EDA6	C6EDA6_ECOBD	B
P0ADL1	NEPI_ECOLI	C6EDA7	C6EDA7_ECOBD	B
P31433	YICH_ECOLI	C6EDD4	C6EDD4_ECOBD	B
P24230	RECG_ECOLI	C6EDD8	C6EDD8_ECOBD	A
P0AGJ2	TRMH_ECOLI	C6EDD9	C6EDD9_ECOBD	A
P0AG24	SPOT_ECOLI	C6EDE0	C6EDE0_ECOBD	A
P60546	KGUA_ECOLI	C6EDE2	C6EDE2_ECOBD	A
P23839	YICC_ECOLI	C6EDE7	C6EDE7_ECOBD	A
P0A7E3	PYRE_ECOLI	C6EDE9	C6EDE9_ECOBD	A
P0C093	SLMA_ECOLI	C6EDF0	C6EDF0_ECOBD	A
P06968	DUT_ECOLI	C6EDF1	C6EDF1_ECOBD	A
P05523	FPG_ECOLI	C6EDF6	C6EDF6_ECOBD	A
P0AC75	KDTA_ECOLI	C6EDF8	C6EDF8_ECOBD	B
P24173	RFAC_ECOLI	C6EDG9	C6EDG9_ECOBD	A
P37692	RFAF_ECOLI	C6EDH0	C6EDH0_ECOBD	A
P67910	HLDD_ECOLI	C6EDH1	C6EDH1_ECOBD	A
P0AB77	KBL_ECOLI	C6EDH2	C6EDH2_ECOBD	A
P07913	TDH_ECOLI	C6EDH3	C6EDH3_ECOBD	A
P11290	YIBD_ECOLI	C6EDH4	C6EDH4_ECOBD	A
P37691	YIBQ_ECOLI	C6EDH5	C6EDH5_ECOBD	G
P37690	YIBP_ECOLI	C6EDH6	C6EDH6_ECOBD	G
P37689	GPMI_ECOLI	C6EDH7	C6EDH7_ECOBD	A
P0AG27	YIBN_ECOLI	C6EDH8	C6EDH8_ECOBD	B
P0AG86	SECB_ECOLI	C6EDI0	C6EDI0_ECOBD	F1
P0A6S7	GPDA_ECOLI	C6EDI1	C6EDI1_ECOBD	A
P0A9D4	CYSE_ECOLI	C6EDI2	C6EDI2_ECOBD	A
P0AGJ7	YIBK_ECOLI	C6EDI3	C6EDI3_ECOBD	A
P33232	LLDD_ECOLI	C6EDI4	C6EDI4_ECOBD	B
P0ACL7	LLDR_ECOLI	C6EDI5	C6EDI5_ECOBD	A
P0AF10	MTLR_ECOLI	C6EDJ1	C6EDJ1_ECOBD	A
P00550	PTM3C_ECOLI	C6EDJ3	C6EDJ3_ECOBD	B
P76187	YDHF_ECOLI	C6EDJ8	C6EDJ8_ECOBD	A
P0AGD1	SODC_ECOLI	C6EDJ9	C6EDJ9_ECOBD	G
P0A8W2	SLYA_ECOLI	C6EDK3	C6EDK3_ECOBD	A
P28224	MLIC_ECOLI	C6EDK6	C6EDK6_ECOBD	I
P0AFI7	PDXH_ECOLI	C6EDK7	C6EDK7_ECOBD	A
P77150	PDXY_ECOLI	C6EDK9	C6EDK9_ECOBD	A
P0A9D2	GST_ECOLI	C6EDL0	C6EDL0_ECOBD	A
P77304	DTPA_ECOLI	C6EDL1	C6EDL1_ECOBD	B
P0AB83	END3_ECOLI	C6EDL3	C6EDL3_ECOBD	A
P77285	RNFG_ECOLI	C6EDL5	C6EDL5_ECOBD	G
P76182	RNFD_ECOLI	C6EDL6	C6EDL6_ECOBD	B
P0A766	RNFA_ECOLI	C6EDL9	C6EDL9_ECOBD	B
P77376	YDGJ_ECOLI	C6EDM3	C6EDM3_ECOBD	A
P22333	ADD_ECOLI	C6EDM4	C6EDM4_ECOBD	A
P0AET8	HDHA_ECOLI	C6EDM8	C6EDM8_ECOBD	A
P77804	YDGA_ECOLI	C6EDN4	C6EDN4_ECOBD	F2
P00946	MANA_ECOLI	C6EDN5	C6EDN5_ECOBD	A
P0AC33	FUMA_ECOLI	C6EDN6	C6EDN6_ECOBD	A
P05042	FUMC_ECOLI	C6EDN7	C6EDN7_ECOBD	A
P16525	TUS_ECOLI	C6EDN8	C6EDN8_ECOBD	A
P18392	RSTB_ECOLI	C6EDN9	C6EDN9_ECOBD	B
P52108	RSTA_ECOLI	C6EDP0	C6EDP0_ECOBD	A
P07001	PNTA_ECOLI	C6EDP5	C6EDP5_ECOBD	B
P0AB67	PNTB_ECOLI	C6EDP6	C6EDP6_ECOBD	B
P76176	YDGD_ECOLI	C6EDQ0	C6EDQ0_ECOBD	G
P77559	YNFL_ECOLI	C6EDQ3	C6EDQ3_ECOBD	A
P50456	MLC_ECOLI	C6EDQ4	C6EDQ4_ECOBD	F1
P69853	DMSD_ECOLI	C6EDQ7	C6EDQ7_ECOBD	F1
P0AAJ1	YNFG_ECOLI	C6EDQ9	C6EDQ9_ECOBD	F2
P67553	YNFC_ECOLI	C6EDR3	C6EDR3_ECOBD	E
P0A951	ATDA_ECOLI	C6EDR4	C6EDR4_ECOBD	A
P0ACM2	YDFH_ECOLI	C6EDU6	C6EDU6_ECOBD	A
P39831	YDFG_ECOLI	C6EDU7	C6EDU7_ECOBD	A
P24171	DCP_ECOLI	C6EDU8	C6EDU8_ECOBD	A
P27245	MARR_ECOLI	C6EDV7	C6EDV7_ECOBD	A
P0AEY1	MARC_ECOLI	C6EDW0	C6EDW0_ECOBD	B
P76149	YNEI_ECOLI	C6EDW4	C6EDW4_ECOBD	A
P0ACB0	DNAB_ECOLI	C6EDW8	C6EDW8_ECOBD	A
P32695	DUSA_ECOLI	C6EDX1	C6EDX1_ECOBD	A
P0A7C2	LEXA_ECOLI	C6EDX7	C6EDX7_ECOBD	A
P0AEX9	MALE_ECOLI	C6EDY9	C6EDY9_ECOBD	G
P0A6T1	G6PI_ECOLI	C6EDZ9	C6EDZ9_ECOBD	A
P32684	RLUF_ECOLI	C6EE02	C6EE02_ECOBD	A
P13009	METH_ECOLI	C6EE05	C6EE05_ECOBD	A
P16528	ICLR_ECOLI	C6EE06	C6EE06_ECOBD	A
P0A9G6	ACEA_ECOLI	C6EE08	C6EE08_ECOBD	A
P08997	MASY_ECOLI	C6EE09	C6EE09_ECOBD	A
P07623	META_ECOLI	C6EE10	C6EE10_ECOBD	A
P09163	YJAB_ECOLI	C6EE11	C6EE11_ECOBD	A
P15639	PUR9_ECOLI	C6EE12	C6EE12_ECOBD	A
P32681	YJAH_ECOLI	C6EE17	C6EE17_ECOBD	I
P32680	YJAG_ECOLI	C6EE19	C6EE19_ECOBD	A
P68739	NFI_ECOLI	C6EE20	C6EE20_ECOBD	A
P29680	DCUP_ECOLI	C6EE21	C6EE21_ECOBD	A
P32664	NUDC_ECOLI	C6EE22	C6EE22_ECOBD	A
P0AFX4	RSD_ECOLI	C6EE23	C6EE23_ECOBD	A
P30137	THIE_ECOLI	C6EE25	C6EE25_ECOBD	A
P30138	THIF_ECOLI	C6EE26	C6EE26_ECOBD	B
P0A8T7	RPOC_ECOLI	C6EE31	C6EE31_ECOBD	A
P0A8V2	RPOB_ECOLI	C6EE32	C6EE32_ECOBD	A
P0A7J3	RL10_ECOLI	C6EE34	C6EE34_ECOBD	A
P0AFG0	NUSG_ECOLI	C6EE37	C6EE37_ECOBD	A
P06709	BIRA_ECOLI	C6EE41	C6EE41_ECOBD	B
P22634	MURI_ECOLI	C6EE43	C6EE43_ECOBD	A
P23003	TRMA_ECOLI	C6EE44	C6EE44_ECOBD	A
P0AF40	YIJD_ECOLI	C6EE45	C6EE45_ECOBD	B
P27306	STHA_ECOLI	C6EE47	C6EE47_ECOBD	A
P0ACQ4	OXYR_ECOLI	C6EE48	C6EE48_ECOBD	A
P11447	ARLY_ECOLI	C6EE49	C6EE49_ECOBD	A
P0A6C8	ARGB_ECOLI	C6EE50	C6EE50_ECOBD	A
P11446	ARGC_ECOLI	C6EE51	C6EE51_ECOBD	A
P23908	ARGE_ECOLI	C6EE52	C6EE52_ECOBD	A
P00864	CAPP_ECOLI	C6EE53	C6EE53_ECOBD	A
P0CB39	CPTA_ECOLI	C6EE54	C6EE54_ECOBD	B
P0A9S5	GLDA_ECOLI	C6EE63	C6EE63_ECOBD	A
P13029	KATG_ECOLI	C6EE66	C6EE66_ECOBD	A
P0AEZ1	METF_ECOLI	C6EE67	C6EE67_ECOBD	A
P00562	AK2H_ECOLI	C6EE68	C6EE68_ECOBD	A
P00935	METB_ECOLI	C6EE69	C6EE69_ECOBD	A
P17888	PRIA_ECOLI	C6EE74	C6EE74_ECOBD	A
P0A7B8	HSLV_ECOLI	C6EE77	C6EE77_ECOBD	A
P0A6H5	HSLU_ECOLI	C6EE78	C6EE78_ECOBD	A
P32166	MENA_ECOLI	C6EE79	C6EE79_ECOBD	B
P14081	SELB_ECOLI	C6EE85	C6EE85_ECOBD	A
P09053	AVTA_ECOLI	C6EEA7	C6EEA7_ECOBD	A
P0ACI3	XYLR_ECOLI	C6EEB0	C6EEB0_ECOBD	A
P00944	XYLA_ECOLI	C6EEB3	C6EEB3_ECOBD	A
P00961	SYGB_ECOLI	C6EEC0	C6EEC0_ECOBD	A
P0A9V5	YIAG_ECOLI	C6EEC5	C6EEC5_ECOBD	A
P0ADK0	YIAF_ECOLI	C6EEC7	C6EEC7_ECOBD	E
P37666	GHRB_ECOLI	C6EEC8	C6EEC8_ECOBD	A
P23847	DPPA_ECOLI	C6EED6	C6EED6_ECOBD	G
P0AEF8	DPPB_ECOLI	C6EED7	C6EED7_ECOBD	B
P37313	DPPF_ECOLI	C6EEE0	C6EEE0_ECOBD	F1
P37652	BCSB_ECOLI	C6EEF1	C6EEF1_ECOBD	B
P37651	GUN_ECOLI	C6EEF2	C6EEF2_ECOBD	G
P37649	YHJK_ECOLI	C6EEF4	C6EEF4_ECOBD	B
P37648	YHJJ_ECOLI	C6EEF6	C6EEF6_ECOBD	G
P37647	KDGK_ECOLI	C6EEF7	C6EEF7_ECOBD	A
P37642	YHJD_ECOLI	C6EEG1	C6EEG1_ECOBD	B
P37641	YHJC_ECOLI	C6EEG2	C6EEG2_ECOBD	B
P37640	YHJB_ECOLI	C6EEG3	C6EEG3_ECOBD	A
P62601	TREF_ECOLI	C6EEG4	C6EEG4_ECOBD	A
P37637	MDTF_ECOLI	C6EEH0	C6EEH0_ECOBD	B
P37636	MDTE_ECOLI	C6EEH1	C6EEH1_ECOBD	E
P37194	SLP_ECOLI	C6EEH9	C6EEH9_ECOBD	I
P06715	GSHR_ECOLI	C6EEI5	C6EEI5_ECOBD	A
P37634	YHIR_ECOLI	C6EEI6	C6EEI6_ECOBD	A
P27298	OPDA_ECOLI	C6EEI7	C6EEI7_ECOBD	A
P68567	YHIQ_ECOLI	C6EEI8	C6EEI8_ECOBD	A
P0AED0	USPA_ECOLI	C6EEJ0	C6EEJ0_ECOBD	F1
P0AFJ7	PITA_ECOLI	C6EEJ2	C6EEJ2_ECOBD	B
P37624	YHIH_ECOLI	C6EEJ8	C6EEJ8_ECOBD	B
P77561	YDEP_ECOLI	C6EEL6	C6EEL6_ECOBD	A
P26616	MAO1_ECOLI	C6EEN8	C6EEN8_ECOBD	A
P19319	NARZ_ECOLI	C6EEP7	C6EEP7_ECOBD	F1
P19318	NARY_ECOLI	C6EEP8	C6EEP8_ECOBD	F1
P34209	YDCF_ECOLI	C6EEU9	C6EEU9_ECOBD	A
P43329	HRPA_ECOLI	C6EEV0	C6EEV0_ECOBD	A
P52645	YDBH_ECOLI	C6EEW3	C6EEW3_ECOBD	B
P52643	LDHD_ECOLI	C6EEW4	C6EEW4_ECOBD	A
P52647	NIFJ_ECOLI	C6EEW7	C6EEW7_ECOBD	A
P0AER0	GLPF_ECOLI	C6EEX1	C6EEX1_ECOBD	B
P0A6F3	GLPK_ECOLI	C6EEX2	C6EEX2_ECOBD	A
P0A9C9	GLPX_ECOLI	C6EEX3	C6EEX3_ECOBD	A
P28861	FENR_ECOLI	C6EEX4	C6EEX4_ECOBD	A
P0AAB8	USPD_ECOLI	C6EEX5	C6EEX5_ECOBD	A
P32162	YIIS_ECOLI	C6EEX6	C6EEX6_ECOBD	A
P0AF34	YIIR_ECOLI	C6EEX7	C6EEX7_ECOBD	B
P32160	YIIQ_ECOLI	C6EEX8	C6EEX8_ECOBD	G
P0A858	TPIS_ECOLI	C6EEX9	C6EEX9_ECOBD	A
P06282	CDH_ECOLI	C6EEY0	C6EEY0_ECOBD	B
P0A796	K6PF1_ECOLI	C6EEY2	C6EEY2_ECOBD	A
P69380	FIEF_ECOLI	C6EEY3	C6EEY3_ECOBD	B
P0AE82	CPXA_ECOLI	C6EEY6	C6EEY6_ECOBD	B
P32157	YIIM_ECOLI	C6EEY7	C6EEY7_ECOBD	A
P00448	SODM_ECOLI	C6EEY9	C6EEY9_ECOBD	A
P09377	RHAS_ECOLI	C6EEZ2	C6EEZ2_ECOBD	A
P32169	RHAD_ECOLI	C6EEZ6	C6EEZ6_ECOBD	A
P0AAJ5	FDOH_ECOLI	C6EF06	C6EF06_ECOBD	B
P0AEL0	FDOI_ECOLI	C6EF07	C6EF07_ECOBD	B
P13024	FDHE_ECOLI	C6EF08	C6EF08_ECOBD	A
P0A6M4	DTD_ECOLI	C6EF14	C6EF14_ECOBD	A
P0A8Y3	YIHX_ECOLI	C6EF16	C6EF16_ECOBD	A
P32132	TYPA_ECOLI	C6EF30	C6EF30_ECOBD	A
P0A9C5	GLNA_ECOLI	C6EF31	C6EF31_ECOBD	A
P0AFB5	NTRB_ECOLI	C6EF32	C6EF32_ECOBD	A
P0AFB8	NTRC_ECOLI	C6EF33	C6EF33_ECOBD	A
P32131	HEMN_ECOLI	C6EF35	C6EF35_ECOBD	A
P0A6P7	ENGB_ECOLI	C6EF37	C6EF37_ECOBD	A
P32129	YIHG_ECOLI	C6EF40	C6EF40_ECOBD	B
P0C0K3	RDOA_ECOLI	C6EF44	C6EF44_ECOBD	A
P0ADP9	YIHD_ECOLI	C6EF45	C6EF45_ECOBD	A
P32173	MOBA_ECOLI	C6EF46	C6EF46_ECOBD	A
P0ACB4	HEMG_ECOLI	C6EF48	C6EF48_ECOBD	A
P0AFZ7	TRKH_ECOLI	C6EF49	C6EF49_ECOBD	B
P27862	YIGZ_ECOLI	C6EF50	C6EF50_ECOBD	A
P21165	PEPQ_ECOLI	C6EF51	C6EF51_ECOBD	A
P21177	FADB_ECOLI	C6EF52	C6EF52_ECOBD	A
P21151	FADA_ECOLI	C6EF53	C6EF53_ECOBD	A
P0AEN1	FRE_ECOLI	C6EF54	C6EF54_ECOBD	A
P0AAB4	UBID_ECOLI	C6EF55	C6EF55_ECOBD	F1
P0AFW0	RFAH_ECOLI	C6EF56	C6EF56_ECOBD	A
P69423	TATC_ECOLI	C6EF58	C6EF58_ECOBD	B
P69425	TATB_ECOLI	C6EF59	C6EF59_ECOBD	B
P0A6A0	UBIB_ECOLI	C6EF61	C6EF61_ECOBD	B
P0ADP7	YIGP_ECOLI	C6EF62	C6EF62_ECOBD	A
P0A887	UBIE_ECOLI	C6EF63	C6EF63_ECOBD	A
P0AG71	RMUC_ECOLI	C6EF64	C6EF64_ECOBD	B
P12758	UDP_ECOLI	C6EF71	C6EF71_ECOBD	A
P56262	DLHH_ECOLI	C6EF72	C6EF72_ECOBD	A
P25665	METE_ECOLI	C6EF82	C6EF82_ECOBD	A
P27848	YIGL_ECOLI	C6EF85	C6EF85_ECOBD	A
P07000	PLDB_ECOLI	C6EF86	C6EF86_ECOBD	F1
P0A921	PA1_ECOLI	C6EF90	C6EF90_ECOBD	H
P37623	ACPT_ECOLI	C6EF99	C6EF99_ECOBD	A
P0AEE1	DCRB_ECOLI	C6EFA2	C6EFA2_ECOBD	E
P0ADX9	RSMD_ECOLI	C6EFA9	C6EFA9_ECOBD	A
P10121	FTSY_ECOLI	C6EFB0	C6EFB0_ECOBD	F1
P0A9R7	FTSE_ECOLI	C6EFB1	C6EFB1_ECOBD	F1
P0AC30	FTSX_ECOLI	C6EFB2	C6EFB2_ECOBD	B
P0AD96	LIVJ_ECOLI	C6EFB4	C6EFB4_ECOBD	G
P0A9S7	LIVG_ECOLI	C6EFB9	C6EFB9_ECOBD	F1
P22731	LIVF_ECOLI	C6EFC0	C6EFC0_ECOBD	F1
P0AG80	UGPB_ECOLI	C6EFC1	C6EFC1_ECOBD	G
P10905	UGPA_ECOLI	C6EFC2	C6EFC2_ECOBD	B
P10906	UGPE_ECOLI	C6EFC3	C6EFC3_ECOBD	B
P10907	UGPC_ECOLI	C6EFC4	C6EFC4_ECOBD	F1
P46853	YHHX_ECOLI	C6EFD4	C6EFD4_ECOBD	A
P0ACP5	GNTR_ECOLI	C6EFD7	C6EFD7_ECOBD	A
P46859	GNTK_ECOLI	C6EFD8	C6EFD8_ECOBD	A
P0A9Q9	DHAS_ECOLI	C6EFE1	C6EFE1_ECOBD	B
P07762	GLGB_ECOLI	C6EFE2	C6EFE2_ECOBD	A
P0A6V1	GLGC_ECOLI	C6EFE4	C6EFE4_ECOBD	A
P0A6U8	GLGA_ECOLI	C6EFE5	C6EFE5_ECOBD	A
P0AC86	PHSG_ECOLI	C6EFE6	C6EFE6_ECOBD	A
P09391	GLPG_ECOLI	C6EFF0	C6EFF0_ECOBD	B
P0ACL0	GLPR_ECOLI	C6EFF1	C6EFF1_ECOBD	A
P46850	RTCB_ECOLI	C6EFF3	C6EFF3_ECOBD	A
P00490	PHSM_ECOLI	C6EFF7	C6EFF7_ECOBD	A
P15977	MALQ_ECOLI	C6EFF8	C6EFF8_ECOBD	A
P63020	NFUA_ECOLI	C6EFG0	C6EFG0_ECOBD	A
P13001	BIOH_ECOLI	C6EFG2	C6EFG2_ECOBD	A
P33650	FEOB_ECOLI	C6EFG5	C6EFG5_ECOBD	B
P46837	YHGF_ECOLI	C6EFG7	C6EFG7_ECOBD	A
P30128	GREB_ECOLI	C6EFG8	C6EFG8_ECOBD	A
P0AA16	OMPR_ECOLI	C6EFG9	C6EFG9_ECOBD	A
P0AEJ4	ENVZ_ECOLI	C6EFH0	C6EFH0_ECOBD	B
P22259	PCKA_ECOLI	C6EFH1	C6EFH1_ECOBD	A
P64636	YRFG_ECOLI	C6EFH6	C6EFH6_ECOBD	A
P45800	IGAA_ECOLI	C6EFH7	C6EFH7_ECOBD	B
P45799	NUDE_ECOLI	C6EFH9	C6EFH9_ECOBD	A
P02918	PBPA_ECOLI	C6EFI0	C6EFI0_ECOBD	B
P0A6D7	AROK_ECOLI	C6EFI6	C6EFI6_ECOBD	A
P07639	AROB_ECOLI	C6EFI7	C6EFI7_ECOBD	A
P0AEE8	DMA_ECOLI	C6EFI9	C6EFI9_ECOBD	A
P0AG07	RPE_ECOLI	C6EFJ0	C6EFJ0_ECOBD	A
P32662	GPH_ECOLI	C6EFJ1	C6EFJ1_ECOBD	A
P00954	SYW_ECOLI	C6EFJ2	C6EFJ2_ECOBD	A
P0AEA8	CYSG_ECOLI	C6EFK8	C6EFK8_ECOBD	A
P08201	NIRB_ECOLI	C6EFL1	C6EFL1_ECOBD	A
P37903	USPF_ECOLI	C6EFL5	C6EFL5_ECOBD	A
P76055	TTCA_ECOLI	C6EFN8	C6EFN8_ECOBD	A
P21693	DBPA_ECOLI	C6EFN9	C6EFN9_ECOBD	A
P64423	ZNTB_ECOLI	C6EFP1	C6EFP1_ECOBD	B
P76053	YDAL_ECOLI	C6EFP3	C6EFP3_ECOBD	A
P0AAC0	USPE_ECOLI	C6EFP9	C6EFP9_ECOBD	A
P0AEB5	YNAI_ECOLI	C6EFQ1	C6EFQ1_ECOBD	B
P51981	AEEP_ECOLI	C6EFQ7	C6EFQ7_ECOBD	B
P07604	TYRR_ECOLI	C6EFQ9	C6EFQ9_ECOBD	A
P0A8R7	YCJF_ECOLI	C6EFR0	C6EFR0_ECOBD	B
P76046	YCJX_ECOLI	C6EFR1	C6EFR1_ECOBD	A
P37344	PSPF_ECOLI	C6EFS9	C6EFS9_ECOBD	A
Q47622	SAPA_ECOLI	C6EFT8	C6EFT8_ECOBD	G
P0AGH3	SAPB_ECOLI	C6EFT9	C6EFT9_ECOBD	B
P0AGH5	SAPC_ECOLI	C6EFU0	C6EFU0_ECOBD	B
P0AAH4	SAPD_ECOLI	C6EFU1	C6EFU1_ECOBD	F1
P0AAH8	SAPF_ECOLI	C6EFU2	C6EFU2_ECOBD	F1
P0AEK4	FABI_ECOLI	C6EFU4	C6EFU4_ECOBD	F1
P30850	RNB_ECOLI	C6EFU6	C6EFU6_ECOBD	A
P77334	GMR_ECOLI	C6EFU8	C6EFU8_ECOBD	A
P76034	YCIT_ECOLI	C6EFV0	C6EFV0_ECOBD	A
P08244	PYRF_ECOLI	C6EFV3	C6EFV3_ECOBD	A
P0AB58	YCIM_ECOLI	C6EFV4	C6EFV4_ECOBD	G
P0A924	PGPB_ECOLI	C6EFV6	C6EFV6_ECOBD	B
P0A7I7	RIBA_ECOLI	C6EFV7	C6EFV7_ECOBD	A
P0A9F3	CYSB_ECOLI	C6EFW2	C6EFW2_ECOBD	A
P06612	TOP1_ECOLI	C6EFW3	C6EFW3_ECOBD	A
P0AB61	YCIN_ECOLI	C6EFW4	C6EFW4_ECOBD	A
P31808	YCIK_ECOLI	C6EFW6	C6EFW6_ECOBD	A
P37765	RLUB_ECOLI	C6EFW8	C6EFW8_ECOBD	A
P0AFR4	YCIO_ECOLI	C6EFX0	C6EFX0_ECOBD	A
P77766	TRPH_ECOLI	C6EFX1	C6EFX1_ECOBD	A
P0A879	TRPB_ECOLI	C6EFX5	C6EFX5_ECOBD	B
P0A8Z0	YCIA_ECOLI	C6EFY3	C6EFY3_ECOBD	A
P0AB55	YCII_ECOLI	C6EFY5	C6EFY5_ECOBD	A
P31069	KCH_ECOLI	C6EFY6	C6EFY6_ECOBD	B
P0A6H8	CLS_ECOLI	C6EFY7	C6EFY7_ECOBD	B
P0A8L7	YCIU_ECOLI	C6EFY8	C6EFY8_ECOBD	A
P77737	OPPF_ECOLI	C6EFY9	C6EFY9_ECOBD	F1
P76027	OPPD_ECOLI	C6EFZ0	C6EFZ0_ECOBD	F1
P0ADP2	YIGI_ECOLI	C6EFZ2	C6EFZ2_ECOBD	B
P0ABI4	CORA_ECOLI	C6EFZ7	C6EFZ7_ECOBD	B
P03018	UVRD_ECOLI	C6EG01	C6EG01_ECOBD	A
P0A6K1	DAPF_ECOLI	C6EG05	C6EG05_ECOBD	A
P27838	CYAY_ECOLI	C6EG08	C6EG08_ECOBD	A
P06983	HEM3_ECOLI	C6EG10	C6EG10_ECOBD	A
P09126	HEM4_ECOLI	C6EG11	C6EG11_ECOBD	A
P0ACB7	HEMY_ECOLI	C6EG13	C6EG13_ECOBD	B
P25550	ASLB_ECOLI	C6EG15	C6EG15_ECOBD	A
P27836	WECG_ECOLI	C6EG17	C6EG17_ECOBD	A
P27833	RFFA_ECOLI	C6EG21	C6EG21_ECOBD	A
P61887	RMLA2_ECOLI	C6EG23	C6EG23_ECOBD	A
P27830	RMLB2_ECOLI	C6EG24	C6EG24_ECOBD	A
P27829	WECC_ECOLI	C6EG25	C6EG25_ECOBD	H
P27828	WECB_ECOLI	C6EG26	C6EG26_ECOBD	A
P0AG00	WZZE_ECOLI	C6EG27	C6EG27_ECOBD	B
P0AG30	RHO_ECOLI	C6EG30	C6EG30_ECOBD	A
P0A8J8	RHLB_ECOLI	C6EG33	C6EG33_ECOBD	A
P09980	REP_ECOLI	C6EG35	C6EG35_ECOBD	A
P0A9L5	PPIC_ECOLI	C6EG36	C6EG36_ECOBD	A
P05793	ILVC_ECOLI	C6EG37	C6EG37_ECOBD	A
P05827	ILVY_ECOLI	C6EG38	C6EG38_ECOBD	A
P04968	THD1_ECOLI	C6EG39	C6EG39_ECOBD	B
P0AB80	ILVE_ECOLI	C6EG41	C6EG41_ECOBD	A
P0ADN2	YIFE_ECOLI	C6EG45	C6EG45_ECOBD	A
P31475	YIEP_ECOLI	C6EG47	C6EG47_ECOBD	A
P0A9J6	RBSK_ECOLI	C6EG50	C6EG50_ECOBD	A
P02925	RBSB_ECOLI	C6EG51	C6EG51_ECOBD	G
P63183	KUP_ECOLI	C6EG56	C6EG56_ECOBD	B
P00963	ASNA_ECOLI	C6EG59	C6EG59_ECOBD	A
P0ACI6	ASNC_ECOLI	C6EG60	C6EG60_ECOBD	A
P03817	MIOC_ECOLI	C6EG61	C6EG61_ECOBD	A
P0AB98	ATP6_ECOLI	C6EG65	C6EG65_ECOBD	B
P0ABA6	ATPG_ECOLI	C6EG70	C6EG70_ECOBD	F1
P0ABB4	ATPB_ECOLI	C6EG71	C6EG71_ECOBD	F1
P0ACC7	GLMU_ECOLI	C6EG73	C6EG73_ECOBD	A
P0AG82	PSTS_ECOLI	C6EG75	C6EG75_ECOBD	G
P07654	PSTA_ECOLI	C6EG77	C6EG77_ECOBD	B
P0AAH0	PSTB_ECOLI	C6EG78	C6EG78_ECOBD	F1
P0A9K7	PHOU_ECOLI	C6EG79	C6EG79_ECOBD	F1
P31466	PURP_ECOLI	C6EG89	C6EG89_ECOBD	B
P0AGE6	YIEF_ECOLI	C6EG90	C6EG90_ECOBD	A
P0ADM8	YIEE_ECOLI	C6EG91	C6EG91_ECOBD	B
P25522	MNME_ECOLI	C6EG97	C6EG97_ECOBD	F1
