Merge ID	TableS3_K12_ProteomeV13_BasicProteome_3900	Molloy1999	Molloy2000	Gevaert2002	Yan2002	Corbin2003	Fountoulakis2003	Taoka2004	Butland2005	Pan2010	Thein2010	Lopez2005	Spelbrink2005	Stenberg2005	Wagner2005	Arifuzzaman2006	Baars2006	Huang2006	Ji2006	Lasserre2006	Marani2006	Cirulli2007	Wagner2007	Zhang2007	Jarchow2008	Wagner2008	Xia2008	Qian2008	Iwasaki2009	Masuda2009	Vertommen2009	Hemm2010	Iwasaki2010	Peng2010	Price2010	Wickstrom2010	Manddalo2011	OurStudy_Feb2011_Common	# Studies	TableS3_K12_ProteomeV13_BasicProteome_3900 Duplicates	Molloy1999 Duplicates	Molloy2000 Duplicates	Gevaert2002 Duplicates	Yan2002 Duplicates	Corbin2003 Duplicates	Fountoulakis2003 Duplicates	Taoka2004 Duplicates	Butland2005 Duplicates	Pan2010 Duplicates	Thein2010 Duplicates	Lopez2005 Duplicates	Spelbrink2005 Duplicates	Stenberg2005 Duplicates	Wagner2005 Duplicates	Arifuzzaman2006 Duplicates	Baars2006 Duplicates	Huang2006 Duplicates	Ji2006 Duplicates	Lasserre2006 Duplicates	Marani2006 Duplicates	Cirulli2007 Duplicates	Wagner2007 Duplicates	Zhang2007 Duplicates	Jarchow2008 Duplicates	Wagner2008 Duplicates	Xia2008 Duplicates	Qian2008 Duplicates	Iwasaki2009 Duplicates	Masuda2009 Duplicates	Vertommen2009 Duplicates	Hemm2010 Duplicates	Iwasaki2010 Duplicates	Peng2010 Duplicates	Price2010 Duplicates	Wickstrom2010 Duplicates	Manddalo2011 Duplicates	OurStudy_Feb2011_Common Duplicates	Subcellular Location(this study)	Entry name (Uniprot)	Mobole Element	Accession	
P19318	1							1	1							1													1	1			1					1	8	1							1	1							1													1	1			1					1	F1	NARY_ECOLI	0	P19318	
P19319	1			1					1						1	1	1			1			1	1					1	1			1					1	13	1			1					1						1	1	1			1			1	1					1	1			1					1	F1	NARZ_ECOLI	0	P19319	
P19323	1															1								1					1	1			1						6	1															1								1					1	1			1						A	FHLA_ECOLI	0		
P19624	1			1												1																	1					1	5	1			1												1																	1					1	A	PDXA_ECOLI	0	P19624	
P19931	1															1																	1						3	1															1																	1						A	HYAE_ECOLI	0		
P19932	1																																1						2	1																																1						A	HYAF_ECOLI	0		
P20083	1			1		1		1	1		1					1													1	1			1					1	11	1			1		1		1	1		1					1													1	1			1					1	A	PARE_ECOLI	0	P20083	
P21151	1							1								1													1	1			1					1	7	1							1								1													1	1			1					1	A	FADA_ECOLI	0	P21151	
P21156	1					1										1			1														1					1	6	1					1										1			1														1					1	A	CYSD_ECOLI	0	P21156	
P21165	1			1	1	1	1	1	1			1								1									1	1			1					1	13	1			1	1	1	1	1	1			1								1									1	1			1					1	A	PEPQ_ECOLI	0	P21165	
P21169	1															1														1			1					1	5	1															1														1			1					1	A	DCOR_ECOLI	0	P21169	
P21170	1			1		1		1					1			1			1										1	1			1					1	11	1			1		1		1					1			1			1										1	1			1					1	A	SPEA_ECOLI	0	P21170	
P21177	1			1				1								1													1	1			1					1	8	1			1				1								1													1	1			1					1	A	FADB_ECOLI	0	P21177	
P21179	1				1	1	1	1	1											1						1			1	1			1					1	12	1				1	1	1	1	1											1						1			1	1			1					1	A	CATE_ECOLI	0	P21179	
P21338	1								1							1													1	1			1					1	7	1								1							1													1	1			1					1	G	RNI_ECOLI	0	P21338	
P21345	1																													1								1	3	1																													1								1	B	GLTP_ECOLI	0	P21345	
P21369	1					1																											1						3	1					1																											1						A	PNCA_ECOLI	0		
P21499	1			1		1	1	1	1		1					1			1										1	1			1					1	13	1			1		1	1	1	1		1					1			1										1	1			1					1	A	RNR_ECOLI	0	P21499	
P21503	1																																						1	1																																						B	YCAD_ECOLI	0		
P21517	1								1							1																	1						4	1								1							1																	1						A	MALZ_ECOLI	0		
P21599	1			1		1	1	1	1		1									1									1	1			1					1	12	1			1		1	1	1	1		1									1									1	1			1					1	A	KPYK2_ECOLI	0	P21599	
P21645	1			1					1																				1	1			1					1	7	1			1					1																				1	1			1					1	A	LPXD_ECOLI	0	P21645	
P21693	1															1			1										1				1					1	6	1															1			1										1				1					1	A	DBPA_ECOLI	0	P21693	
P21866	1					1										1																	1					1	5	1					1										1																	1					1	A	KDPE_ECOLI	0	P21866	
P21888	1			1		1		1	1							1													1	1			1					1	10	1			1		1		1	1							1													1	1			1					1	A	SYC_ECOLI	0	P21888	
P21889	1			1		1	1	1	1							1				1									1	1			1					1	12	1			1		1	1	1	1							1				1									1	1			1					1	F1	SYD_ECOLI	0	P21889	
P21893	1								1							1			1											1			1					1	7	1								1							1			1											1			1					1	B	RECJ_ECOLI	0	P21893	
P22106	1					1		1	1			1				1			1										1	1			1					1	11	1					1		1	1			1				1			1										1	1			1					1	A	ASNB_ECOLI	0	P22106	
P22256	1			1		1		1	1							1													1	1			1					1	10	1			1		1		1	1							1													1	1			1					1	A	GABT_ECOLI	0	P22256	
P22259	1					1	1	1			1	1								1									1	1			1					1	11	1					1	1	1			1	1								1									1	1			1					1	A	PCKA_ECOLI	0	P22259	
P22333	1						1	1	1		1	1							1										1	1			1					1	11	1						1	1	1		1	1							1										1	1			1					1	A	ADD_ECOLI	0	P22333	
P22523	1			1		1		1	1		1					1			1										1	1			1					1	12	1			1		1		1	1		1					1			1										1	1			1					1	A	MUKB_ECOLI	0	P22523	
P22524	1			1				1	1							1													1	1			1					1	9	1			1				1	1							1													1	1			1					1	A	MUKE_ECOLI	0	P22524	
P22525	1								1							1													1	1			1					1	7	1								1							1													1	1			1					1	B	YCBB_ECOLI	0	P22525	
P22634	1							1	1		1					1														1			1					1	8	1							1	1		1					1														1			1					1	A	MURI_ECOLI	0	P22634	
P22731	1					1										1			1										1						1			1	7	1					1										1			1										1						1			1	F1	LIVF_ECOLI	0	P22731	
P22787	1															1																							2	1															1																							A	YIFB_ECOLI	0		
P22939	1							1	1			1																	1	1			1					1	8	1							1	1			1																	1	1			1					1	A	ISPA_ECOLI	0	P22939	
P23003	1			1				1	1			1																		1			1					1	8	1			1				1	1			1																		1			1					1	A	TRMA_ECOLI	0	P23003	
P23256	1			1																													1						3	1			1																													1						B	MALY_ECOLI	0		
P23331	1							1								1														1			1						5	1							1								1														1			1						A	KITH_ECOLI	0		
P23367	1								1							1													1	1			1					1	7	1								1							1													1	1			1					1	A	MUTL_ECOLI	0	P23367	
P23522	1			1												1										1				1			1						6	1			1												1										1				1			1						A	GARL_ECOLI	0		
P23524	1								1							1																	1						4	1								1							1																	1						B	GLXK2_ECOLI	0		
P23538	1			1		1	1	1			1				1	1	1		1				1	1					1	1			1					1	16	1			1		1	1	1			1				1	1	1		1				1	1					1	1			1					1	A	PPSA_ECOLI	0	P23538	
P23721	1			1	1	1	1	1	1			1			1	1	1									1			1	1			1					1	16	1			1	1	1	1	1	1			1			1	1	1									1			1	1			1					1	A	SERC_ECOLI	0	P23721	
P23830	1					1	1	1	1		1					1			1										1	1			1					1	12	1					1	1	1	1		1					1			1										1	1			1					1	F1	PSS_ECOLI	0	P23830	
P23836	1					1	1	1				1			1	1	1						1						1	1			1			1		1	14	1					1	1	1				1			1	1	1						1						1	1			1			1		1	A	PHOP_ECOLI	0	P23836	
P23837	1															1			1										1	1			1		1			1	8	1															1			1										1	1			1		1			1	B	PHOQ_ECOLI	0	P23837	
P23839	1			1		1	1	1	1							1				1									1	1			1					1	12	1			1		1	1	1	1							1				1									1	1			1					1	A	YICC_ECOLI	0	P23839	
P23843	1		1	1	1	1	1	1				1			1		1						1	1	1	1	1		1	1			1					1	19	1		1	1	1	1	1	1				1			1		1						1	1	1	1	1		1	1			1					1	G	OPPA_ECOLI	0	P23843	
P23845	1					1			1										1														1					1	6	1					1			1										1														1					1	A	CYSN_ECOLI	0	P23845	
P23847	1		1	1		1		1	1			1			1	1	1								1	1	1		1	1			1		1			1	18	1		1	1		1		1	1			1			1	1	1								1	1	1		1	1			1		1			1	G	DPPA_ECOLI	0	P23847	
P23862	1															1																	1					1	4	1															1																	1					1	A	PRIC_ECOLI	0	P23862	
P23865	1			1		1	1	1	1			1							1			1							1	1			1					1	13	1			1		1	1	1	1			1							1			1							1	1			1					1	F2	PRC_ECOLI	0	P23865	
P23871	1							1																						1			1					1	5	1							1																						1			1					1	A	HEMH_ECOLI	0	P23871	
P23872	1			1																													1						3	1			1																													1						A	AES_ECOLI	0		
P23878	1															1																						1	3	1															1																						1	F1	FEPC_ECOLI	0	P23878	
P23882	1			1		1		1				1				1													1	1			1					1	10	1			1		1		1				1				1													1	1			1					1	A	FMT_ECOLI	0	P23882	
P23886	1							1			1				1	1	1		1					1					1	1			1		1		1	1	14	1							1			1				1	1	1		1					1					1	1			1		1		1	1	B	CYDC_ECOLI	0	P23886	
P23893	1			1		1		1			1								1	1									1	1			1					1	11	1			1		1		1			1								1	1									1	1			1					1	A	GSA_ECOLI	0	P23893	
P23894	1					1		1			1								1					1					1	1			1					1	10	1					1		1			1								1					1					1	1			1					1	B	HTPX_ECOLI	0	P23894	
P23898	1																													1	1								3	1																													1	1								I	NLPC_ECOLI	0		
P23908	1					1	1	1																						1			1					1	7	1					1	1	1																						1			1					1	A	ARGE_ECOLI	0	P23908	
P23909	1			1				1	1		1					1													1	1			1					1	10	1			1				1	1		1					1													1	1			1					1	B	MUTS_ECOLI	0	P23909	
P23917	1					1		1																					1	1			1					1	7	1					1		1																					1	1			1					1	B	MAK_ECOLI	0	P23917	
P23930	1					1		1	1		1								1					1					1	1			1		1			1	12	1					1		1	1		1								1					1					1	1			1		1			1	B	LNT_ECOLI	0	P23930	
P24171	1			1		1		1								1													1	1			1					1	9	1			1		1		1								1													1	1			1					1	A	DCP_ECOLI	0	P24171	
P24173	1															1													1	1			1					1	6	1															1													1	1			1					1	A	RFAC_ECOLI	0	P24173	
P24174	1															1																						1	3	1															1																						1	A	MANC_ECOLI	0	P24174	
P24175	1														1	1	1												1									1	6	1														1	1	1												1									1	A	MANB_ECOLI	0	P24175	
P24177	1								1		1																		1	1			1					1	7	1								1		1																		1	1			1					1	B	ACRD_ECOLI	0	P24177	
P24178	1								1							1														1			1						5	1								1							1														1			1						A	YFFB_ECOLI	0		
P24182	1			1		1	1	1	1		1	1				1													1	1			1					1	13	1			1		2	1	2	1		1	1				1													1	1			1					1	A	ACCC_ECOLI	0	P24182	
P24186	1					1													1										1	1			1					1	7	1					1													1										1	1			1					1	A	FOLD_ECOLI	0	P24186	
P24188	1								1																					1			1					1	5	1								1																					1			1					1	A	YCEA_ECOLI	0	P24188	
P24192	1								1																				1	1			1					1	6	1								1																				1	1			1					1	A	HYPD_ECOLI	0	P24192	
P24193	1			1				1	1																					1			1					1	7	1			1				1	1																					1			1					1	A	HYPE_ECOLI	0	P24193	
P24197	1																																						1	1																																						A	YGID_ECOLI	0		
P24205	1							1	1							1			1										1	1			1					1	9	1							1	1							2			1										1	1			1					1	B	MSBB_ECOLI	0	P24205	
P24228	1						1				1	1				1													1	1			1					1	9	1						1				1	1				1													1	1			1					1	F2	DACB_ECOLI	0	P24228	
P24230	1			1				1	1							1													1				1					1	8	1			1				1	1							1													1				1					1	A	RECG_ECOLI	0	P24230	
P24232	1			1				1			1																			1			1					1	7	1			1				1			1																			1			1					1	A	HMP_ECOLI	0	P24232	
P24238	1																																						1	1																																						A	YEBB_ECOLI	0		
P24252	1															1																	1						3	1															1																	1						A	YBGA_ECOLI	0		
P24554	1					1		1	1		1																		1	1			1					1	9	1					1		1	1		1																		1	1			1					1	A	RADA_ECOLI	0	P24554	
P24555	1															1													1				1						4	1															1													1				1						A	PTRB_ECOLI	0		
P25437	1			1		1		1	1											1										1			1					1	9	1			1		1		1	1											1										1			1					1	A	FRMA_ECOLI	0	P25437	
P25519	1					1	1	1			1																		1	1			1			1		1	10	1					1	1	1			1																		1	1			1			1		1	A	HFLX_ECOLI	0	P25519	
P25522	1					1		1	1															1					1	1			1					1	9	1					1		1	1															2					1	1			1					1	F1	MNME_ECOLI	0	P25522	
P25527	1								1																								1						3	1								1																								1						B	GABP_ECOLI	0		
P25531	1																																						1	1																																						A	YICR_ECOLI	0		
P25534	1			1			1	1	1							1													1	1			1					1	10	1			1			1	1	1							1													1	1			1					1	F1	UBIH_ECOLI	0	P25534	
P25535	1						1	1								1													1	1			1					1	8	1						1	1								1													1	1			1					1	B	VISC_ECOLI	0	P25535	
P25536	1					1		1			1	1				1																	1					1	8	1					1		1			1	1				1																	1					1	A	YHDE_ECOLI	0	P25536	
P25539	1			1		1		1	1							1													1	1			1					1	10	1			1		1		1	1							1													1	1			1					1	A	RIBD_ECOLI	0	P25539	
P25550	1																																					1	2	1																																					1	A	ASLB_ECOLI	0	P25550	
P25665	1					1			1		1					1			1														1					1	8	1					1			1		1					1			1														1					1	A	METE_ECOLI	0	P25665	
P25714	1			1		1		1			1		1	1	1		1		1	1			1	1		1			1	1			1		1		1	1	20	1			1		1		1			1		1	1	1		1		1	1			1	1		1			1	1			1		1		2	1	B	OXAA_ECOLI	0	P25714	
P25718	1			1			1		1						1		1						1			1			1				1						10	1			1			1		1						1		1						1			1			1				1						G	AMY1_ECOLI	0		
P25728	1															1													1										3	1															1													1										A	YGBA_ECOLI	0		
P25737	1																							1					1	1			1					1	6	1																							1					1	1			1					1	B	LYSP_ECOLI	0	P25737	
P25738	1			1		1		1																									1					1	6	1			1		1		1																									1					1	A	MSYB_ECOLI	0	P25738	
P25743	1			1				1																					1										4	1			1				1																					1										B	YCHE_ECOLI	0		
P25745	1			1		1		1	1																				1	1			1					1	9	1			1		1		1	1																				1	1			1					1	A	MNMA_ECOLI	0	P25745	
P25746	1							1																1					1	1			1					1	7	1							1																1					1	1			1					1	F1	HFLD_ECOLI	0	P25746	
P25748	1															1														1			1						4	1															1														1			1						A	GALS_ECOLI	0		
P25772	1															1																	1						3	1															1																	1						A	LIGB_ECOLI	0		
P25888	1							1	1							1														1			1					1	7	1							1	1							1														1			1					1	A	RHLE_ECOLI	0	P25888	
P25889	1			1				1												1									1				1						6	1			1				1												1									1				1						A	YEIA_ECOLI	0		
P26365	1																													1			1					1	4	1																													1			1					1	G	AMIB_ECOLI	0	P26365	
P26458	1															1													1										3	1															2													1										B	APPB_ECOLI	0		
P26459	1			1															1	1				1					1	1			1					1	9	1			1															1	1				1					1	1			1					1	B	APPC_ECOLI	0	P26459	
P26616	1			1		1	1	1								1													1	1			1					1	10	1			1		1	1	1								1													1	1			1					1	A	MAO1_ECOLI	0	P26616	
P26647	1										1					1			1					1					1	1			1					1	9	1										1					1			1					1					1	1			1					1	F1	PLSC_ECOLI	0	P26647	
P26648	1			1		1						1													1					1			1					1	8	1			1		1						1													1					1			1					1	G	SUFI_ECOLI	0	P26648	
P27238	1															1																	1						3	1															1																	1						A	YFED_ECOLI	0		
P27245	1															1													1	1								1	5	1															1													1	1								1	A	MARR_ECOLI	0	P27245	
P27249	1							1	1		1					1													1	1			1					1	9	1							1	1		1					1													1	1			1					1	A	GLND_ECOLI	0	P27249	
P27278	1			1				1			1					1													1	1			1					1	9	1			1				1			1					1													1	1			1					1	F1	NADR_ECOLI	0	P27278	
P27294	1							1			1					1			1																			1	6	1							1			1					1			1																			1	A	INAA_ECOLI	0	P27294	
P27296	1															1																	1					1	4	1															1																	1					1	A	DING_ECOLI	0	P27296	
P27297	1															1																							2	1															1																							G	BAX_ECOLI	0		
P27298	1			1		1		1	1											1									1	1			1					1	10	1			1		1		1	1											1									1	1			1					1	A	OPDA_ECOLI	0	P27298	
P27302	1			1		1	1	1	1		1	1			1	1	1			1			1						1	1			1					1	17	1			1		1	1	1	1		1	1			1	1	1			1			1						1	1			1					1	A	TKT1_ECOLI	0	P27302	
P27305	1								1																					1			1					1	5	1								1																					1			1					1	A	GLUQ_ECOLI	0	P27305	
P27306	1			1		1	1	1								1													1	1			1					1	10	1			1		1	1	1								1													1	1			1					1	A	STHA_ECOLI	0	P27306	
P27431	1			1		1		1																									1					1	6	1			1		1		1																									1					1	A	YCFD_ECOLI	0	P27431	
P27550	1					1		1			1					1													1	1			1					1	9	1					1		1			1					1													1	1			1					1	A	ACSA_ECOLI	0	P27550	
P27828	1					1										1														1			1					1	6	1					1										1														1			1					1	A	WECB_ECOLI	0	P27828	
P27829	1			1																									1	1			1					1	6	1			1																									1	1			1					1	H	WECC_ECOLI	0	P27829	
P27830	1			1				1																						1			1					1	6	1			1				1																						1			1					1	A	RMLB2_ECOLI	0	P27830	
P27833	1					1		1																						1			1					1	6	1					1		1																						1			1					1	A	RFFA_ECOLI	0	P27833	
P27836	1							1	1		1					1			1					1					1	1			1					1	11	1							1	1		1					1			1					1					1	1			1					1	A	WECG_ECOLI	0	P27836	
P27838	1					1		1																									1					1	5	1					1		1																									1					1	A	CYAY_ECOLI	0	P27838	
P27844	1																																						1	1																																						B	RARD_ECOLI	0		
P27848	1							1				1														1			1	1			1					1	8	1							1				1														1			1	1			1					1	A	YIGL_ECOLI	0	P27848	
P27862	1								1							1																						1	4	1								1							1																						1	A	YIGZ_ECOLI	0	P27862	
P27896	1								1																				1	1			1					1	6	1								1																				1	1			1					1	B	NARQ_ECOLI	0	P27896	
P28224	1								1																				1	1			1					1	6	1								1																				1	1			1					1	I	MLIC_ECOLI	0	P28224	
P28248	1					1		1								1													1	1			1					1	8	1					1		1								1													1	1			1					1	A	DCD_ECOLI	0	P28248	
P28249	1			1		1		1			1					1			1										1	1			1					1	11	1			1		1		1			1					1			1										1	1			1					1	B	ASMA_ECOLI	0	P28249	
P28305	1															1																	1					1	4	1															1																	1					1	A	PABC_ECOLI	0	P28305	
P28306	1										1					1			1										1	1			1					1	8	1										1					1			1										1	1			1					1	B	YCEG_ECOLI	0	P28306	
P28634	1			1												1																	1						4	1			1												1																	1						A	YAEB_ECOLI	0		
P28635	1	1			1	1	1		1		1	1			1		1	1	1					1		1			1	1			1		1		1	1	20	1	1			1	1	1		1		1	1			1		1	1	1					1		1			1	1			1		1		2	1	E	METQ_ECOLI	0	P28635	
P28638	1								1							1																							3	1								1							1																							A	YHDJ_ECOLI	0		
P28696	1															1																							2	1															1																							G	YAAI_ECOLI	0		
P28861	1			1												1														1			1					1	6	1			1												1														1			1					1	A	FENR_ECOLI	0	P28861	
P28903	1							1			1					1													1	1			1					1	8	1							1			1					1													1	1			1					1	A	NRDD_ECOLI	0	P28903	
P28904	1			1		1	1	1			1				1		1		1	1			1						1	1			1					1	15	1			1		1	1	1			1				1		1		1	1			1						1	1			1					1	A	TREC_ECOLI	0	P28904	
P28905	1								1																								1					1	4	1								1																								1					1	A	HOLC_ECOLI	0	P28905	
P29012	1					1		1																						1			1					1	6	1					1		1																						1			1					1	A	ALR2_ECOLI	0	P29012	
P29013	1			1				1																					1	1			1					1	7	1			1				1																					1	1			1					1	A	YCGB_ECOLI	0	P29013	
P29018	1					1		1			1		1		1	1	1		1					1					1	1			1				1	1	15	1					1		1			1		1		1	1	1		1					1					1	1			1				1	1	B	CYDD_ECOLI	0	P29018	
P29208	1			1					1							1														1			1						6	1			1					1							1														1			1						A	MENC_ECOLI	0		
P29217	1			1		1		1	1																				1	1			1					1	9	1			1		1		1	1																				1	1			1					1	B	YCEH_ECOLI	0	P29217	
P29680	1			1				1				1				1													1	1			1					1	9	1			1				1				1				1													1	1			1					1	A	DCUP_ECOLI	0	P29680	
P29744	1											1			1	1	1						1							1									7	1											1			1	1	1						1							1									F4	FLGL_ECOLI	0		
P29745	1			1		1		1	1							1				1									1	1			1					1	11	1			1		1		1	1							1				1									1	1			1					1	A	PEPT_ECOLI	0	P29745	
P30011	1							1	1			1				1														1			1					1	8	1							1	1			1				1														1			1					1	A	NADC_ECOLI	0	P30011	
P30014	1							1	1			1																					1					1	6	1							1	1			1																					1					1	A	RNT_ECOLI	0	P30014	
P30128	1			1		1			1							1													1				1					1	8	1			1		1			1							1													1				1					1	A	GREB_ECOLI	0	P30128	
P30136	1					1										1													1										4	1					1										1													1										B	THIC_ECOLI	0		
P30137	1				1	1			1			1				1																	1					1	8	1				1	1			1			1				1																	1					1	A	THIE_ECOLI	0	P30137	
P30138	1					1										1																	1					1	5	1					1										1																	1					1	B	THIF_ECOLI	0	P30138	
P30139	1					1			1			1																											4	1					1			1			1																											A	THIG_ECOLI	0		
P30140	1															1																	1						3	1															1																	1						A	THIH_ECOLI	0		
P30143	1																												1										2	1																												1										B	YAAJ_ECOLI	0		
P30177	1															1													1	1			1					1	6	1															1													1	1			1					1	A	YBIB_ECOLI	0	P30177	
P30178	1					1		1											1											1			1					1	7	1					1		1											1											1			1					1	A	YBIC_ECOLI	0	P30178	
P30745	1								1							1														1			1					1	6	1								1							1														1			1					1	A	MOAA_ECOLI	0	P30745	
P30749	1			1		1		1	1							1														1			1						8	1			1		1		1	1							1														1			1						A	MOAE_ECOLI	0		
P30750	1					1		1	1							1			1										1	1			1		1			1	11	1					1		1	1							1			1										1	1			1		1			1	F1	METN_ECOLI	0	P30750	
P30843	1							1							1	1	1						1						1				1					1	9	1							1							1	1	1						1						1				1					1	A	BASR_ECOLI	0	P30843	
P30844	1								1		1													1					1	1			1					1	8	1								1		1													1					1	1			1					1	B	BASS_ECOLI	0	P30844	
P30845	1								1		1			1	1		1		1							1											1	1	10	1								1		1			1	1		1		1							1											1	1	B	EPTA_ECOLI	0	P30845	
P30847	1															1		1	1										1	1			1					1	8	1															1		1	1										1	1			1					1	B	BAES_ECOLI	0	P30847	
P30850	1			1		1	1	1	1		1					1			1										1	1			1					1	13	1			1		1	1	1	1		1					1			1										1	1			1					1	A	RNB_ECOLI	0	P30850	
P30859	1			1	1	1		1				1			1	1	1									1	1	1		1			1		1			1	16	1			1	1	1		1				1			1	1	1									1	1	1		1			1		1			1	G	ARTI_ECOLI	0	P30859	
P30863	1					1		1																						1			1					1	6	1					1		1																						1			1					1	A	DKGB_ECOLI	0	P30863	
P30864	1								1							1			1														1					1	6	1								1							1			1														1					1	B	YAFC_ECOLI	0	P30864	
P30866	1			1																																			2	1			1																																			A	YAFE_ECOLI	0		
P30870	1					1		1								1													1	1			1					1	8	1					1		1								1													1	1			1					1	A	GLNE_ECOLI	0	P30870	
P30871	1					1		1	1		1					1													1	1			1					1	10	1					1		1	1		1					1													1	1			1					1	A	YGIF_ECOLI	0	P30871	
P30958	1			1		1		1	1							1													1	1			1					1	10	1			1		1		1	1							1													1	1			1					1	A	MFD_ECOLI	0	P30958	
P31069	1																												1	1			1					1	5	1																												1	1			1					1	B	KCH_ECOLI	0	P31069	
P31119	1			1					1		1					1			1					1					1	1			1					1	11	1			1					1		1					1			1					1					1	1			1					1	B	AAS_ECOLI	0	P31119	
P31120	1			1		1		1	1							1													1	1			1					1	10	1			1		1		1	1							1													1	1			1					1	A	GLMM_ECOLI	0	P31120	
P31125	1																																						1	1																																						B	EAMA_ECOLI	0		
P31129	1															1																							2	1															1																							A	YDEH_ECOLI	0		
P31133	1				1							1															1								1				5	1				1							1															1								1				G	POTF_ECOLI	0		
P31134	1															1			1														1					1	5	1															1			1														1					1	F1	POTG_ECOLI	0	P31134	
P31142	1					1		1	1			1																	1	1			1					1	9	1					1		1	1			1																	1	1			1					1	A	THTM_ECOLI	0	P31142	
P31433	1					1		1			1								1					1					1	1			1					1	10	1					1		1			1								1					1					1	1			1					1	B	YICH_ECOLI	0	P31433	
P31435	1																																						1	1																																						B	YICJ_ECOLI	0		
P31440	1																																						1	1																																						B	YICO_ECOLI	0		
P31443	1															1																							2	1															1																							A	YIDF_ECOLI	0		
P31455	1															1													1				1						4	1															1													1				1						A	YIDR_ECOLI	0		
P31462	1								1																								1						3	1								1																								1						B	MDTL_ECOLI	0		
P31466	1																							1					1				1					1	5	1																							1					1				1					1	B	PURP_ECOLI	0	P31466	
P31474	1								1																														2	1								1																														B	HSRA_ECOLI	0		
P31475	1																												1	1			1					1	5	1																												1	1			1					1	A	YIEP_ECOLI	0	P31475	
P31545	1															1																						1	3	1															1																						1	G	YCDB_ECOLI	0	P31545	
P31551	1			1												1																							3	1			1												1																							A	CAID_ECOLI	0		
P31552	1															1			1																				3	1															1			1																				A	CAIC_ECOLI	0		
P31553	1																																						1	1																																						B	CAIT_ECOLI	0		
P31554	1		1	1	1	1	1	1	1		1	1		1	1	1	1	1	1				1		1				1	1	1		1				1	1	24	1		1	1	1	1	1	1	1		1	1		1	1	1	1	1	1				1		1				1	1	1		1				1	1	H	LPTD_ECOLI	0	P31554	
P31658	1			1	1	1		1				1				1				1									1	1			1						11	1			1	1	1		1				1				1				1									1	1			1						A	HCHA_ECOLI	0		
P31663	1			1	1	1		1	1			1				1				1									1	1			1					1	13	1			1	1	1		1	1			1				1				1									1	1			1					1	A	PANC_ECOLI	0	P31663	
P31666	1										1					1													1				1					1	6	1										1					1													1				1					1	G	YADE_ECOLI	0	P31666	
P31677	1					1		1											1					1					1	1			1					1	9	1					1		1											1					1					1	1			1					1	A	OTSA_ECOLI	0	P31677	
P31678	1			1	1	1		1								1													1	1			1					1	10	1			1	1	1		1								1													1	1			1					1	A	OTSB_ECOLI	0	P31678	
P31679	1																																						1	1																																						B	YAAU_ECOLI	0		
P31802	1							1			1																		1	1			1			1		1	8	1							1			1																		1	1			1			1		1	A	NARP_ECOLI	0	P31802	
P31808	1			1		1		1								1													1	1			1					1	9	1			1		1		1								1													1	1			1					1	A	YCIK_ECOLI	0	P31808	
P31979	1			1		1	1	1		1	1		1		1	1	1		1				1	1		1			1	1			1	1				1	20	1			1		1	1	1		1	1		1		1	1	1		1				1	1		1			1	1			1	1				1	F1	NUOF_ECOLI	0	P31979	
P32055	1																													1								1	3	1																													1								1	A	FCL_ECOLI	0	P32055	
P32056	1																																						1	1																																						A	NUDD_ECOLI	0		
P32057	1								1																														2	1								1																														B	WCAI_ECOLI	0		
P32099	1								1										1										1	1			1					1	7	1								1										1										1	1			1					1	A	LPLA_ECOLI	0	P32099	
P32108	1																																						1	1																																						B	YIBI_ECOLI	0		
P32125	1								1							1																	1						4	1								1							1																	1						B	MOBB_ECOLI	0		
P32129	1																																					1	2	1																																					1	B	YIHG_ECOLI	0	P32129	
P32131	1							1																					1	1			1					1	6	1							1																					1	1			1					1	A	HEMN_ECOLI	0	P32131	
P32132	1					1	1	1	1		1	1			1	1	1	1	1				1	1					1	1			1			1		1	19	1					1	1	1	1		1	1			1	1	1	1	1				1	2					1	1			1			1		1	A	TYPA_ECOLI	0	P32132	
P32156	1															1																							2	1															1																							A	RHAM_ECOLI	0		
P32157	1					1		1								1																	1					1	6	1					1		1								1																	1					1	A	YIIM_ECOLI	0	P32157	
P32160	1															1																	1					1	4	1															1																	1					1	G	YIIQ_ECOLI	0	P32160	
P32162	1															1																	1					1	4	1															1																	1					1	A	YIIS_ECOLI	0	P32162	
P32166	1																		1										1				1					1	5	1																		1										1				1					1	B	MENA_ECOLI	0	P32166	
P32169	1															1																						1	3	1															1																						1	A	RHAD_ECOLI	0	P32169	
P32170	1															1													1										3	1															1													1										A	RHAA_ECOLI	0		
P32171	1																												1										2	1																												1										A	RHAB_ECOLI	0		
P32173	1								1							1														1			1					1	6	1								1							1														1			1					1	A	MOBA_ECOLI	0	P32173	
P32177	1								1							1																	1						4	1								1							1																	1						A	FDHD_ECOLI	0		
P32662	1			1	1			1				1																		1			1					1	8	1			1	1			1				1																		1			1					1	A	GPH_ECOLI	0	P32662	
P32664	1								1																					1			1					1	5	1								1																					1			1					1	A	NUDC_ECOLI	0	P32664	
P32669	1															1																							2	1															1																							A	FSAB_ECOLI	0		
P32670	1															1													1				1						4	1															1													1				1						F1	PTFX2_ECOLI	0		
P32674	1															1																							2	1															1																							A	PFLD_ECOLI	0		
P32675	1							1								1													1										4	1							1								1													1										A	PFLC_ECOLI	0		
P32676	1																																						1	1																																						F1	PTFB3_ECOLI	0		
