C6EI25_ECOBD	OMPA_ECOLI	P0A910
C6ECW6_ECOBD	YJEP_ECOLI	P39285
C6EGL4_ECOBD	RNG_ECOLI	P0A9J0
C6EIU8_ECOBD	RIMO_ECOLI	P0AEI4
C6EAX5_ECOBD	FRUR_ECOLI	P0ACP1
C6EF33_ECOBD	NTRC_ECOLI	P0AFB8
C6EAP0_ECOBD	YEGE_ECOLI	P38097
C6EAG8_ECOBD	SANA_ECOLI	P0AFY2
C6EKJ1_ECOBD	NDK_ECOLI	P0A763
C6EE43_ECOBD	MURI_ECOLI	P22634
C6EL61_ECOBD	PT1_ECOLI	P08839
C6EFY7_ECOBD	CLS_ECOLI	P0A6H8
C6EDN7_ECOBD	FUMC_ECOLI	P05042
C6EGL3_ECOBD	YHDE_ECOLI	P25536
C6EK65_ECOBD	LIPA_ECOLI	P60716
C6EI77_ECOBD	YCAO_ECOLI	P75838
C6EB58_ECOBD	WZZB_ECOLI	P76372
C6EJ77_ECOBD	YGDH_ECOLI	P0ADR8
C6EKX1_ECOBD	YBBO_ECOLI	P0AFP4
C6EFU4_ECOBD	FABI_ECOLI	P0AEK4
C6ECA9_ECOBD	TREC_ECOLI	P28904
C6EAV9_ECOBD	LPXC_ECOLI	P0A725
C6E9S6_ECOBD	NUON_ECOLI	P0AFF0
C6EH38_ECOBD	MURA_ECOLI	P0A749
C6EB40_ECOBD	DNAK_ECOLI	P0A6Y8
C6EJ88_ECOBD	RELA_ECOLI	P0AG20
C6EFE5_ECOBD	GLGA_ECOLI	P0A6U8
C6EK53_ECOBD	HOLA_ECOLI	P28630
C6E9S0_ECOBD	NUOH_ECOLI	P0AFD4
C6EAW1_ECOBD	FTSA_ECOLI	P0ABH0
C6E9V8_ECOBD	GLPC_ECOLI	P0A996
C6ECH9_ECOBD	RECF_ECOLI	P0A7H0
C6EFY9_ECOBD	OPPF_ECOLI	P77737
C6EIK4_ECOBD	GCSH_ECOLI	P0A6T9
C6EJS9_ECOBD	PTHC_ECOLI	P56579
C6EAN8_ECOBD	YEGD_ECOLI	P36928
C6EB05_ECOBD	DYR_ECOLI	P0ABQ4
C6EG56_ECOBD	KUP_ECOLI	P63183
C6ECY3_ECOBD	CH10_ECOLI	P0A6F9
C6EAA1_ECOBD	DPO3A_ECOLI	P10443
C6EA07_ECOBD	NARP_ECOLI	P31802
C6EL67_ECOBD	DNLJ_ECOLI	P15042
C6EAX3_ECOBD	RSMH_ECOLI	P60390
C6E9R5_ECOBD	NUOB_ECOLI	P0AFC7
C6EHB7_ECOBD	YCEG_ECOLI	P28306
C6EGY4_ECOBD	YCFP_ECOLI	P0A8E1
C6EII4_ECOBD	ALF_ECOLI	P0AB71
C6EFA7_ECOBD	YHHM_ECOLI	P37615
C6EJ03_ECOBD	UVRB_ECOLI	P0A8F8
C6ECQ2_ECOBD	AROH_ECOLI	P00887
C6ELL5_ECOBD	HEM2_ECOLI	P0ACB2
C6EJ86_ECOBD	BARA_ECOLI	P0AEC5
C6EIL8_ECOBD	SYK1_ECOLI	P0A8N3
C6EG43_ECOBD	ILVG_ECOLI	P00892
C6EG04_ECOBD	YIGA_ECOLI	P23305
C6EAH8_ECOBD	DLD_ECOLI	P06149
C6EAW4_ECOBD	MURC_ECOLI	P17952
C6EAT0_ECOBD	YADG_ECOLI	P36879
C6EJ51_ECOBD	ARGA_ECOLI	P0A6C5
C6ECX4_ECOBD	BLC_ECOLI	P0A901
C6EH26_ECOBD	LPTB_ECOLI	P0A9V1
C6EC50_ECOBD	G3P1_ECOLI	P0A9B2
C6EFB1_ECOBD	FTSE_ECOLI	P0A9R7
C6ECY6_ECOBD	ASPA_ECOLI	P0AC38
C6EBF4_ECOBD	FTNA_ECOLI	P0A998
C6EKL3_ECOBD	UPP_ECOLI	P0A8F0
C6EF63_ECOBD	UBIE_ECOLI	P0A887
C6EKF6_ECOBD	GLYA_ECOLI	P0A825
C6EE06_ECOBD	ICLR_ECOLI	P16528
C6EBN0_ECOBD	T1RK_ECOLI	P08956
C6EBH6_ECOBD	GPMB_ECOLI	P0A7A2
C6EJL0_ECOBD	SUCC_ECOLI	P0A836
C6EB56_ECOBD	6PGD_ECOLI	P00350
C6EIB5_ECOBD	YBJQ_ECOLI	P0A8C1
C6EGX5_ECOBD	LOLD_ECOLI	P75957
C6ECW9_ECOBD	FRDA_ECOLI	P00363
C6EF37_ECOBD	ENGB_ECOLI	P0A6P7
C6EJI9_ECOBD	GPMA_ECOLI	P62707
C6EJ40_ECOBD	PT1P_ECOLI	P37177
C6ECG0_ECOBD	BSMA_ECOLI	P39297
C6EF06_ECOBD	FDOH_ECOLI	P0AAJ5
C6EK89_ECOBD	AHPC_ECOLI	P0AE08
C6EHY7_ECOBD	EXBB_ECOLI	P0ABU7
C6EJY4_ECOBD	RIMM_ECOLI	P0A7X6
C6EJW0_ECOBD	YGAU_ECOLI	P0ADE6
C6EL60_ECOBD	PTGA_ECOLI	P69783
C6EFF1_ECOBD	GLPR_ECOLI	P0ACL0
C6EE08_ECOBD	ACEA_ECOLI	P0A9G6
C6EEH9_ECOBD	SLP_ECOLI	P37194
C6EDK7_ECOBD	PDXH_ECOLI	P0AFI7
C6EB91_ECOBD	MTFA_ECOLI	P76346
C6EGG7_ECOBD	RL36_ECOLI	P0A7Q6
C6EHP5_ECOBD	YQJD_ECOLI	P64581
C6EKU1_ECOBD	PPIB_ECOLI	P23869
C6EH54_ECOBD	ASSY_ECOLI	P0A6E4
C6EAU6_ECOBD	AMPE_ECOLI	P0AE14
C6ECU2_ECOBD	CFA_ECOLI	P0A9H7
C6EAR7_ECOBD	RMLD_ECOLI	P37760
C6EG73_ECOBD	GLMU_ECOLI	P0ACC7
C6EHC3_ECOBD	FABH_ECOLI	P0A6R0
C6EJS6_ECOBD	SRLD_ECOLI	P05707
C6EGH7_ECOBD	TRKA_ECOLI	P0AGI8
C6EFR0_ECOBD	YCJF_ECOLI	P0A8R7
C6EKN5_ECOBD	PUR7_ECOLI	P0A7D7
C6EAG0_ECOBD	GCH1_ECOLI	P0A6T5
C6EEF1_ECOBD	BCSB_ECOLI	P37652
C6EJL8_ECOBD	CISY_ECOLI	P0ABH7
C6EHY2_ECOBD	DKGA_ECOLI	Q46857
C6EFH1_ECOBD	PCKA_ECOLI	P22259
C6E9V0_ECOBD	YFAZ_ECOLI	P76471
C6EC93_ECOBD	SYV_ECOLI	P07118
C6EFB0_ECOBD	FTSY_ECOLI	P10121
C6EA14_ECOBD	RSUA_ECOLI	P0AA43
C6ED56_ECOBD	ACSA_ECOLI	P27550
C6EFU6_ECOBD	RNB_ECOLI	P30850
C6EBX6_ECOBD	G6PD_ECOLI	P0AC53
C6EK21_ECOBD	ERA_ECOLI	P06616
C6EBW9_ECOBD	ZNUC_ECOLI	P0A9X1
C6EAB4_ECOBD	PYRH_ECOLI	P0A7E9
C6EL28_ECOBD	CLPP_ECOLI	P0A6G7
C6EBV1_ECOBD	SYR_ECOLI	P11875
C6EA50_ECOBD	PEPD_ECOLI	P15288
C6EKI4_ECOBD	PEPB_ECOLI	P37095
C6EFX3_ECOBD	TRPG_ECOLI	P00904
C6EFY0_ECOBD	OMPW_ECOLI	P0A915
C6E9S5_ECOBD	NUOM_ECOLI	P0AFE8
C6EDH3_ECOBD	TDH_ECOLI	P07913
C6EFV4_ECOBD	YCIM_ECOLI	P0AB58
C6EAT6_ECOBD	SPEE_ECOLI	P09158
C6E9R7_ECOBD	NUOE_ECOLI	P0AFD1
C6EEH0_ECOBD	MDTF_ECOLI	P37637
C6EIB7_ECOBD	ARTP_ECOLI	P0AAF6
C6EIK5_ECOBD	GCSP_ECOLI	P33195
C6EI78_ECOBD	FOCA_ECOLI	P0AC23
C6E9Y2_ECOBD	RCSC_ECOLI	P14376
C6EJ32_ECOBD	AAS_ECOLI	P31119
C6EK51_ECOBD	SYL_ECOLI	P07813
C6EBG1_ECOBD	TALB_ECOLI	P0A870
C6EAB5_ECOBD	EFTS_ECOLI	P0A6P1
C6EAI6_ECOBD	YEHU_ECOLI	P0AD14
C6EEW3_ECOBD	YDBH_ECOLI	P52645
C6EKI9_ECOBD	YFHM_ECOLI	P76578
C6ELF7_ECOBD	ACKA_ECOLI	P0A6A3
C6EGW5_ECOBD	POTA_ECOLI	P69874
C6EK19_ECOBD	LEP_ECOLI	P00803
C6EIE7_ECOBD	MLTC_ECOLI	P0C066
C6EKP2_ECOBD	ACRD_ECOLI	P24177
C6EI54_ECOBD	AAT_ECOLI	P00509
C6EGT8_ECOBD	YCGK_ECOLI	P76002
C6EJ42_ECOBD	TYSY_ECOLI	P0A884
