Join Name	BL21Remv	K12Total	No files found in	BL21Remv Duplicates	K12Total Duplicates
P0A8V6	1	1	2	1	1	C6EGT0
P32055	1	1	2	1	1	C6EAQ5
P69902	1	1	2	1	1	C6EL94
P32177	1	1	2	1	1	C6EF04
P13024	1	1	2	1	1	C6EF08
P0AAJ3	1	1	2	1	1	C6EEP2
P0AEK7	1	1	2	1	1	C6EEP1
P0AAJ5	1	1	2	1	1	C6EF06
P0AEL0	1	1	2	1	1	C6EF07
Q47208	1	1	2	1	1	C6EKU8
P80668	1	1	2	1	1	C6EEV9
Q47129	1	1	2	1	1	C6EEW0
P13036	1	1	2	1	1	C6EC65
P15028	1	1	2	1	1	C6EC66
P15031	1	1	2	1	1	C6EC69
P23484	1	1	2	1	1	C6EC63
P23485	1	1	2	1	1	C6EC64
P28861	1	1	2	1	1	C6EEX4
P0AEL3	1	1	2	1	1	C6EFG6
P33650	1	1	2	1	1	C6EFG5
P64638	1	1	2	1	1	C6EFG4
P05825	1	1	2	1	1	C6EKB2
P0AEL6	1	1	2	1	1	C6EKA3
P23878	1	1	2	1	1	C6EKA7
P26266	1	1	2	1	1	C6EKA8
P23877	1	1	2	1	1	C6EKA6
P0A9R4	1	1	2	1	1	C6EKI2
P13039	1	1	2	1	1	C6EKB1
P0A8P3	1	1	2	1	1	C6EIE8
Q47153	1	1	2	1	1	C6EA58
P19323	1	1	2	1	1	C6EJD7
P07821	1	1	2	1	1	C6EAD3
P07822	1	1	2	1	1	C6EAD2
P16869	1	1	2	1	1	C6EGZ0
P39405	1	1	2	1	1	C6EBK3
P20605	1	1	2	1	1	C6EGA2
P69380	1	1	2	1	1	C6EEY3
P31697	1	1	2	1	1	C6EBR7
P30130	1	1	2	1	1	C6EBR6
P08189	1	1	2	1	1	C6EBR5
P08190	1	1	2	1	1	C6EBR4
P08191	1	1	2	1	1	C6EBR3
P39264	1	1	2	1	1	C6EBR8
P0AEL8	1	1	2	1	1	C6EKT1
P0A6R3	1	1	2	1	1	C6EGJ9
P75780	1	1	2	1	1	C6EIX7
P60566	1	1	2	1	1	C6EB12
P31574	1	1	2	1	1	C6EB11
P68644	1	1	2	1	1	C6EB10
P68646	1	1	2	1	1	C6EB09
P45523	1	1	2	1	1	C6EGB7
P0A9L3	1	1	2	1	1	C6ECD7
P0AEM0	1	1	2	1	1	C6EB25
P61949	1	1	2	1	1	C6EJQ0
P0ABY4	1	1	2	1	1	C6EIL3
P75933	1	1	2	1	1	C6EHE1
P0ABW9	1	1	2	1	1	C6EHE0
P0ABX2	1	1	2	1	1	C6EHD9
P75936	1	1	2	1	1	C6EHD8
P75937	1	1	2	1	1	C6EHD7
P75938	1	1	2	1	1	C6EHD6
P0ABX5	1	1	2	1	1	C6EHD5
P0A6S0	1	1	2	1	1	C6EHD4
P0A6S3	1	1	2	1	1	C6EHD3
P75942	1	1	2	1	1	C6EHD2
P33235	1	1	2	1	1	C6EHD1
P29744	1	1	2	1	1	C6EHD0
P43533	1	1	2	1	1	C6EHE3
P76299	1	1	2	1	1	C6EBU7
P0ABY7	1	1	2	1	1	C6EBT6
P0A8S9	1	1	2	1	1	C6EBT5
P76297	1	1	2	1	1	C6EBU9
P0AEM6	1	1	2	1	1	C6EBD9
P04949	1	1	2	1	1	C6EBD8
P24216	1	1	2	1	1	C6EBD7
P0A8T5	1	1	2	1	1	C6EBC8
P25798	1	1	2	1	1	C6EBC7
P0ABZ1	1	1	2	1	1	C6EBC6
P31068	1	1	2	1	1	C6EBC5
P52612	1	1	2	1	1	C6EBC4
P52613	1	1	2	1	1	C6EBC3
P52614	1	1	2	1	1	C6EBC2
P0ABX8	1	1	2	1	1	C6EBC1
P06974	1	1	2	1	1	C6EBC0
P15070	1	1	2	1	1	C6EBB9
P0AC05	1	1	2	1	1	C6EBB7
P33135	1	1	2	1	1	C6EBB5
P26608	1	1	2	1	1	C6EBD6
P0ABY2	1	1	2	1	1	C6EBD5
P0AEM9	1	1	2	1	1	C6EBE1
P15286	1	1	2	1	1	C6ELD2
P23882	1	1	2	1	1	C6EGH9
P0AC23	1	1	2	1	1	C6EI78
P77733	1	1	2	1	1	C6EKL9
P0AC16	1	1	2	1	1	C6EHT7
P08192	1	1	2	1	1	C6ELD8
P24186	1	1	2	1	1	C6EKT7
P0AFS3	1	1	2	1	1	C6EDP2
P0AC19	1	1	2	1	1	C6ELF0
P05523	1	1	2	1	1	C6EDF6
P00363	1	1	2	1	1	C6ECW9
P0AC47	1	1	2	1	1	C6ECX0
P0A8Q0	1	1	2	1	1	C6ECX1
P0A8Q3	1	1	2	1	1	C6ECX2
P0AEN1	1	1	2	1	1	C6EF54
P45539	1	1	2	1	1	C6EFK6
P0AC00	1	1	2	1	1	C6EFK5
P45541	1	1	2	1	1	C6EFK4
P45543	1	1	2	1	1	C6EFK3
P45544	1	1	2	1	1	C6EFK2
P25437	1	1	2	1	1	C6ELM4
P0AAP3	1	1	2	1	1	C6ELM3
P04335	1	1	2	1	1	C6EA48
P0ACP1	1	1	2	2	1	C6EAX5;C6EJ69
P32152	1	1	2	1	1	C6EF02
P32153	1	1	2	1	1	C6EF01
P78055	1	1	2	1	1	C6EIV7
P32669	1	1	2	1	1	C6EE62
P0A998	1	1	2	1	1	C6EBF4
P0A9A2	1	1	2	1	1	C6EBF8
P0ABH0	1	1	2	1	1	C6EAW1
P0A6S5	1	1	2	1	1	C6EJB9
P0A9R7	1	1	2	1	1	C6EFB1
P0AAI3	1	1	2	1	1	C6EH49
P0AD68	1	1	2	1	1	C6EAX1
P46889	1	1	2	1	1	C6EI92
P0AEN4	1	1	2	1	1	C6EAX2
P06136	1	1	2	1	1	C6EAW2
P0ABG4	1	1	2	1	1	C6EAW6
P0AC30	1	1	2	1	1	C6EFB2
P10121	1	1	2	1	1	C6EFB0
P0A9A6	1	1	2	1	1	C6EAW0
P69922	1	1	2	1	1	C6EJ64
P11553	1	1	2	1	1	C6EJ63
P0AEN8	1	1	2	1	1	C6EJ62
P0A9S1	1	1	2	1	1	C6EJ72
P0ACK8	1	1	2	1	1	C6EJ61
P0AC33	1	1	2	1	1	C6EDN6
P14407	1	1	2	1	1	C6ED02
P05042	1	1	2	1	1	C6EDN7
P0A9A9	1	1	2	1	1	C6EJQ1
P0A9B2	1	1	2	1	1	C6EC50
P33898	1	1	2	1	1	C6EEU7
P0AC53	1	1	2	1	1	C6EBX6
P0A6T1	1	1	2	1	1	C6EDZ9
P25526	1	1	2	1	1	C6EJW4
P25527	1	1	2	1	1	C6EJW2
P22256	1	1	2	1	1	C6EJW3
P63235	1	1	2	1	1	C6EEM5
P63204	1	1	2	1	1	C6EEH3
P63201	1	1	2	1	1	C6EEG9
P37639	1	1	2	1	1	C6EEG8
P0AAB6	1	1	2	1	1	C6EAR5
P0AEP1	1	1	2	1	1	C6EIG8
P03024	1	1	2	1	1	C6EJ31
P25748	1	1	2	1	1	C6EAG2
P0AEP3	1	1	2	1	1	C6EGN1
P39829	1	1	2	1	1	C6EH98
P23522	1	1	2	1	1	C6EHA0
P0AA80	1	1	2	1	1	C6EH99
P0ABQ2	1	1	2	1	1	C6EHA1
P0A9S3	1	1	2	1	1	C6EAL9
P0C8J6	1	1	2	1	1	C6EAL4
P0C8J8	1	1	2	1	1	C6EAL5
P0A6T5	1	1	2	1	1	C6EAG0
P0AEP7	1	1	2	1	1	C6EKV8
P05852	1	1	2	1	1	C6EHT1
P0A6T9	1	1	2	1	1	C6EIK4
P33195	1	1	2	1	1	C6EIK5
P27248	1	1	2	1	1	C6EIK3
P0A9F6	1	1	2	1	1	C6EJ58
P0A9I3	1	1	2	1	1	C6EKN2
P75884	1	1	2	1	1	C6EHM1
P75883	1	1	2	1	1	C6EHM2
P75882	1	1	2	1	1	C6EHM3
P0A932	1	1	2	1	1	C6EHM4
P18956	1	1	2	1	1	C6EFC7
P75913	1	1	2	1	1	C6EHH9
P37666	1	1	2	1	1	C6EEC8
Q46839	1	1	2	1	1	C6EID6
P0ACL5	1	1	2	1	1	C6EID0
P0AEP9	1	1	2	1	1	C6EID1
P52073	1	1	2	1	1	C6EID2
P52074	1	1	2	1	1	C6EID3
P0AEQ1	1	1	2	1	1	C6EID4
P0A9S5	1	1	2	1	1	C6EE63
P0A6U8	1	1	2	1	1	C6EFE5
P07762	1	1	2	1	1	C6EFE2
P0A6V1	1	1	2	1	1	C6EFE4
P26649	1	1	2	1	1	C6EHU6
P15067	1	1	2	1	1	C6EFE3
P0A6V8	1	1	2	1	1	C6EL80
P31120	1	1	2	1	1	C6EH51
P17169	1	1	2	1	1	C6EG74
P0ACC7	1	1	2	1	1	C6EG73
P0A9C5	1	1	2	1	1	C6EF31
P0A9Z1	1	1	2	1	1	C6EKF4
P27249	1	1	2	1	1	C6EAB8
P30870	1	1	2	1	1	C6EHU2
P0AEQ3	1	1	2	1	1	C6EIX1
P0AC55	1	1	2	1	1	C6EL13
P0AEQ6	1	1	2	1	1	C6EIX2
P10346	1	1	2	1	1	C6EIX3
P0AC84	1	1	2	1	1	C6EA78
P0A9C0	1	1	2	1	1	C6E9W0
P13033	1	1	2	1	1	C6E9V9
P0A996	1	1	2	1	1	C6E9V8
P13035	1	1	2	1	1	C6EFE8
P0A6V5	1	1	2	1	1	C6EFE9
P0AER0	1	1	2	1	1	C6EEX1
P09391	1	1	2	1	1	C6EFF0
P0A6F3	1	1	2	1	1	C6EEX2
P09394	1	1	2	1	1	C6E9W2
P0ACL0	1	1	2	1	1	C6EFF1
P08194	1	1	2	1	1	C6E9W1
P0A9C9	1	1	2	1	1	C6EEX3
P68688	1	1	2	1	1	C6EIQ6
P0AC59	1	1	2	1	1	C6EHE9
P0AC62	1	1	2	1	1	C6EDH9
P0AC69	1	1	2	1	1	C6ECU9
P77454	1	1	2	1	1	C6EKX9
P0A6W0	1	1	2	1	1	C6EDW5
P09831	1	1	2	1	1	C6EH15
P09832	1	1	2	1	1	C6EH14
P37902	1	1	2	1	1	C6EK40
P0AER3	1	1	2	1	1	C6EK41
P0AER5	1	1	2	1	1	C6EK42
P21345	1	1	2	1	1	C6ED48
P0AER8	1	1	2	1	1	C6EDD6
P27305	1	1	2	1	1	C6EAE0
P31450	1	1	2	1	1	C6ED87
P77364	1	1	2	1	1	C6EKV2
P23524	1	1	2	1	1	C6EHA2
P77161	1	1	2	1	1	C6EKV6
P0A825	1	1	2	1	1	C6EKF6
P0AC88	1	1	2	1	1	C6EAQ4
P63224	1	1	2	1	1	C6EA66
P63228	1	1	2	1	1	C6EA84
P77334	1	1	2	1	1	C6EFU8
P46859	1	1	2	1	1	C6EFD8
P0AC94	1	1	2	1	1	C6EBR2
P0ACP5	1	1	2	1	1	C6EFD7
P39835	1	1	2	1	1	C6EFF9
P46846	1	1	2	1	1	C6EFG1
P0A6S7	1	1	2	1	1	C6EDI1
P32662	1	1	2	1	1	C6EFJ1
P62707	1	1	2	1	1	C6EJI9
P0A7A2	1	1	2	1	1	C6EBH6
P37689	1	1	2	1	1	C6EDH7
P25552	1	1	2	1	1	C6EG34
P0A6W5	1	1	2	1	1	C6EH46
P30128	1	1	2	1	1	C6EFG8
P09372	1	1	2	1	1	C6EJX9
P23893	1	1	2	1	1	C6EAD0
P0A6W9	1	1	2	1	1	C6EJT8
P04425	1	1	2	1	1	C6EIG4
P06715	1	1	2	1	1	C6EEI5
P75796	1	1	2	1	1	C6EIV3
P75797	1	1	2	1	1	C6EIV2
P75798	1	1	2	1	1	C6EIV1
P75799	1	1	2	1	1	C6EIV0
P0AES0	1	1	2	1	1	C6EI04
P45756	1	1	2	1	1	C6EGE3
P45757	1	1	2	1	1	C6EGE2
P45758	1	1	2	1	1	C6EGE1
P45759	1	1	2	1	1	C6EGE0
P41441	1	1	2	1	1	C6EGD9
P41442	1	1	2	1	1	C6EGD8
P41443	1	1	2	1	1	C6EGD7
P45760	1	1	2	1	1	C6EGD6
P45761	1	1	2	1	1	C6EGD5
P45762	1	1	2	1	1	C6EGD4
P45763	1	1	2	1	1	C6EGD3
P36678	1	1	2	1	1	C6EGD2
P0A9D2	1	1	2	1	1	C6EDL0
P04079	1	1	2	1	1	C6EKK2
P60560	1	1	2	1	1	C6EAV2
P76641	1	1	2	1	1	C6EIM5
P0AES2	1	1	2	1	1	C6EJ85
Q46916	1	1	2	1	1	C6EJ83
Q46915	1	1	2	1	1	C6EJ84
P37651	1	1	2	1	1	C6EEF2
P15081	1	1	2	1	1	C6EJS5
P17115	1	1	2	1	1	C6EJS3
P0AES4	1	1	2	1	1	C6E9X0
P0AES6	1	1	2	1	1	C6ECI0
P33012	1	1	2	1	1	C6EB74
P77646	1	1	2	1	1	C6EKG6
P0ABW0	1	1	2	1	1	C6EKG7
P77650	1	1	2	1	1	C6EKG5
P0ABR5	1	1	2	1	1	C6EKG9
Q47140	1	1	2	1	1	C6EKG8
Q47141	1	1	2	1	1	C6EKH0
Q47142	1	1	2	1	1	C6EKH1
P31658	1	1	2	1	1	C6EBA1
P75825	1	1	2	1	1	C6EIA8
P75824	1	1	2	1	1	C6EIA9
P69931	1	1	2	1	1	C6EKL5
P0AES9	1	1	2	1	1	C6EEH5
P0AET2	1	1	2	1	1	C6EEH6
P0AET5	1	1	2	1	1	C6EEH4
P0A8R9	1	1	2	1	1	C6EG46
P0AET8	1	1	2	1	1	C6EDM8
P15038	1	1	2	1	1	C6EI19
P0A6X1	1	1	2	1	1	C6EGQ6
P0ACB2	1	1	2	1	1	C6ELL5
P06983	1	1	2	1	1	C6EG10
P09126	1	1	2	1	1	C6EG11
P36553	1	1	2	1	1	C6EKR8
P0ACB4	1	1	2	1	1	C6EF48
P23871	1	1	2	1	1	C6EKY9
P0ACC1	1	1	2	1	1	C6EGQ4
P32131	1	1	2	1	1	C6EF35
P09127	1	1	2	1	1	C6EG12
P0ACB7	1	1	2	1	1	C6EG13
P46118	1	1	2	1	1	C6EBX4
P25746	1	1	2	1	1	C6EGV9
P25519	1	1	2	1	1	C6ECH6
P0A6X3	1	1	2	1	1	C6ECV6
P0ACE3	1	1	2	1	1	C6EL04
P0ACE7	1	1	2	1	1	C6EGY9
P23874	1	1	2	1	1	C6EEL1
P23873	1	1	2	1	1	C6EEL0
P60757	1	1	2	1	1	C6EB66
P06989	1	1	2	1	1	C6EB59
P10371	1	1	2	1	1	C6EB61
P60595	1	1	2	1	1	C6EB62
P60664	1	1	2	1	1	C6EB60
P06987	1	1	2	1	1	C6EB63
P06986	1	1	2	1	1	C6EB64
P0AEU0	1	1	2	1	1	C6ELE4
P0AEU3	1	1	2	1	1	C6ELE6
P07109	1	1	2	1	1	C6ELE7
P52094	1	1	2	1	1	C6ELE5
P06988	1	1	2	1	1	C6EB65
P76341	1	1	2	1	1	C6EB98
P67910	1	1	2	1	1	C6EDH1
P76658	1	1	2	1	1	C6EHU3
P24232	1	1	2	1	1	C6EKF5
P0AEV1	1	1	2	1	1	C6EGN2
P0ACF8	1	1	2	1	1	C6EGN0
P51020	1	1	2	1	1	C6ELM8
P36645	1	1	2	1	1	C6EAV0
P36646	1	1	2	1	1	C6EAV1
P34749	1	1	2	1	1	C6EFI5
P28630	1	1	2	1	1	C6EK53
P28631	1	1	2	1	1	C6EGZ3
P28905	1	1	2	1	1	C6EC92
P28632	1	1	2	1	1	C6EBK0
P0ABS8	1	1	2	1	1	C6EBY7
P26281	1	1	2	1	1	C6EAE2
P0A9M2	1	1	2	1	1	C6EAT2
P43329	1	1	2	1	1	C6EEV0
P37024	1	1	2	1	1	C6EAD6
P54745	1	1	2	1	1	C6EJK7
P0A6Z1	1	1	2	1	1	C6EKI1
P0A6L9	1	1	2	1	1	C6EKI0
P77319	1	1	2	1	1	C6EK46
P52644	1	1	2	1	1	C6EEW5
P0A6Y5	1	1	2	1	1	C6EFH4
P0ACG8	1	1	2	1	1	C6EFH5
P0A6H5	1	1	2	1	1	C6EE78
P0A7B8	1	1	2	1	1	C6EE77
P0AB20	1	1	2	1	1	C6EI15
P31474	1	1	2	1	1	C6EG48
P0A6Z3	1	1	2	1	1	C6EKZ1
P23894	1	1	2	1	1	C6EC00
P0ACV0	1	1	2	1	1	C6EHF9
P27375	1	1	2	1	1	C6EE30
P33129	1	1	2	1	1	C6EAE5
P19930	1	1	2	1	1	C6EHN3
P19931	1	1	2	1	1	C6EHN2
P19932	1	1	2	1	1	C6EHN1
P0AAJ8	1	1	2	1	1	C6EHZ6
P37180	1	1	2	1	1	C6EHZ7
P37182	1	1	2	1	1	C6EHZ9
P0AAN1	1	1	2	1	1	C6EI00
P0A703	1	1	2	1	1	C6EI01
P0AAM7	1	1	2	1	1	C6EI02
P0AEV4	1	1	2	1	1	C6EJE3
P0AAK1	1	1	2	1	1	C6EJE4
P16429	1	1	2	1	1	C6EJE5
P16430	1	1	2	1	1	C6EJE6
P16431	1	1	2	1	1	C6EJE7
P16432	1	1	2	1	1	C6EJE8
P16433	1	1	2	1	1	C6EJR2
P0AEV7	1	1	2	1	1	C6EJR3
P0AEV9	1	1	2	1	1	C6EJR4
P0AAK4	1	1	2	1	1	C6EJR8
P23481	1	1	2	1	1	C6EKN0
P77416	1	1	2	2	1	C6EKM7;C6EKM8
P0AEW1	1	1	2	1	1	C6EKM6
P77437	1	1	2	1	1	C6EKM5
P77329	1	1	2	1	1	C6EKM4
P77423	1	1	2	1	1	C6EKM3
P77668	1	1	2	1	1	C6EKM2
P77453	1	1	2	1	1	C6EKM1
P71229	1	1	2	1	1	C6EKM0
P30147	1	1	2	1	1	C6EKV7
P0A700	1	1	2	1	1	C6EJE2
P0AAN3	1	1	2	1	1	C6EJE1
P0AAM3	1	1	2	1	1	C6EJE0
P24192	1	1	2	1	1	C6EJD9
P24193	1	1	2	1	1	C6EJD8
P30131	1	1	2	1	1	C6EJR9
P37595	1	1	2	1	1	C6EIV4
P39377	1	1	2	1	1	C6EBQ1
P10423	1	1	2	1	1	C6EJB4
P0C054	1	1	2	1	1	C6ED83
P0C058	1	1	2	1	1	C6ED84
P0AEW4	1	1	2	1	1	C6EHW1
P0A8S1	1	1	2	1	1	C6EIJ3
P16528	1	1	2	1	1	C6EE06
P08200	1	1	2	1	1	C6EGV5
Q46822	1	1	2	1	1	C6EIL9
P39346	1	1	2	1	1	C6EC84
P39208	1	1	2	1	1	C6EC83
P0A9P9	1	1	2	1	1	C6EC85
P39343	1	1	2	1	1	C6EC87
P39344	1	1	2	1	1	C6EC86
P69222	1	1	2	1	1	C6EI98
P0A705	1	1	2	1	1	C6EH57
P0A707	1	1	2	1	1	C6ECN9
P45800	1	1	2	1	1	C6EFH7
P0A6X7	1	1	2	1	1	C6ECP5
P0A6Y1	1	1	2	1	1	C6EI70
P08142	1	1	2	1	1	C6ED98
P05793	1	1	2	1	1	C6EG37
P05791	1	1	2	2	1	C6EG40;C6ELI9
P0AB80	1	1	2	1	1	C6EG41
P00892	1	1	2	1	1	C6EG43
P00894	1	1	2	1	1	C6EAX6
P00893	1	1	2	1	1	C6EAX7
P0ADG1	1	1	2	1	1	C6EG42
P0ADF8	1	1	2	1	1	C6ED99
P05827	1	1	2	1	1	C6EG38
P0ADG7	1	1	2	1	1	C6EKK1
P27294	1	1	2	1	1	C6E9W4
P0AEW6	1	1	2	1	1	C6EKY7
P0A7A9	1	1	2	1	1	C6ECC2
P39375	1	1	2	1	1	C6EBQ3
P75987	1	1	2	1	1	C6EGV4
P0AAN9	1	1	2	1	1	C6ELK5
P0AAC8	1	1	2	1	1	C6EKH9
P0AGK8	1	1	2	1	1	C6EKH6
P0A6B7	1	1	2	1	1	C6EKH7
P0C0L9	1	1	2	1	1	C6EKI3
P22939	1	1	2	1	1	C6EL48
P0AD57	1	1	2	1	1	C6EH40
Q46893	1	1	2	1	1	C6EJC0
P62615	1	1	2	1	1	C6EGQ8
P62617	1	1	2	1	1	C6EJC1
P62620	1	1	2	1	1	C6EKJ4
P62623	1	1	2	1	1	C6EB24
P0A710	1	1	2	1	1	C6EFY2
P0AD59	1	1	2	1	1	C6EA68
P0AEW9	1	1	2	1	1	C6EA30
P0A796	1	1	2	1	1	C6EEY2
P06999	1	1	2	1	1	C6ECN5
P69441	1	1	2	1	1	C6EKZ0
P13029	1	1	2	1	1	C6EE66
P0AB74	1	1	2	1	1	C6EH88
P0C8K0	1	1	2	1	1	C6EH95
P0AB77	1	1	2	1	1	C6EDH2
P31069	1	1	2	1	1	C6EFY6
P0A6I0	1	1	2	1	1	C6EI72
P37647	1	1	2	1	1	C6EEF7
P0ABN1	1	1	2	1	1	C6EDX8
P76268	1	1	2	1	1	C6EC02
P0A712	1	1	2	1	1	C6EEY8
P21865	1	1	2	1	1	C6EJN9
P21866	1	1	2	1	1	C6EJP0
P76469	1	1	2	2	1	C6E9V5;C6EBM1
P0A715	1	1	2	1	1	C6EGQ1
P04951	1	1	2	1	1	C6EI64
P0ABZ4	1	1	2	1	1	C6EH29
P45395	1	1	2	1	1	C6EH30
P0AC75	1	1	2	1	1	C6EDF8
Q46938	1	1	2	1	1	C6EIQ0
P77338	1	1	2	1	1	C6EKZ9
P45522	1	1	2	1	1	C6EGB3
P03819	1	1	2	1	1	C6EB06
P0A754	1	1	2	1	1	C6EB07
P0A756	1	1	2	1	1	C6EGB2
P0AEX3	1	1	2	1	1	C6EJZ9
P60546	1	1	2	1	1	C6EDE2
P00547	1	1	2	1	1	C6EBG6
P23331	1	1	2	1	1	C6EGM9
P0AEX5	1	1	2	1	1	C6EGA8
P0A717	1	1	2	1	1	C6EGQ9
P39380	1	1	2	1	1	C6EBP8
P0AD61	1	1	2	1	1	C6ECS9
P21599	1	1	2	1	1	C6EBX3
P0A720	1	1	2	1	1	C6EHB6
P63183	1	1	2	1	1	C6EG56
P03023	1	1	2	1	1	C6EJI7
P02920	1	1	2	1	1	C6ELN7
P02943	1	1	2	1	1	C6EDY6
P37005	1	1	2	1	1	C6EBG8
P69451	1	1	2	1	1	C6EC26
P76008	1	1	2	1	1	C6EGS5
P0A9H3	1	1	2	1	1	C6ECZ3
P52643	1	1	2	1	1	C6EEW4
P00803	1	1	2	1	1	C6EK19
P25960	1	1	2	1	1	C6EGD1
P60785	1	1	2	1	1	C6EK18
P09151	1	1	2	1	1	C6EAY0
P30125	1	1	2	1	1	C6EAY1
P0A6A6	1	1	2	1	1	C6EAY2
P30126	1	1	2	1	1	C6EAY3
P76249	1	1	2	1	1	C6EC32
P10151	1	1	2	1	1	C6EAX8
P0A7C2	1	1	2	1	1	C6EDX7
P0A8P1	1	1	2	1	1	C6EI97
P60955	1	1	2	1	1	C6EJ41
P0AC81	1	1	2	1	1	C6ECV2
P30015	1	1	2	1	1	C6ECV0
P25772	1	1	2	1	1	C6EDE3
P37025	1	1	2	1	1	C6EAD7
P60716	1	1	2	1	1	C6EK65
P60720	1	1	2	1	1	C6EK63
P22731	1	1	2	1	1	C6EFC0
P0A9S7	1	1	2	1	1	C6EFB9
P0AEX7	1	1	2	1	1	C6EFB7
P0AD96	1	1	2	1	1	C6EFB4
P04816	1	1	2	1	1	C6EFB6
P33232	1	1	2	1	1	C6EDI4
P33231	1	1	2	1	1	C6EDI6
P0ACL7	1	1	2	1	1	C6EDI5
P23930	1	1	2	1	1	C6EK38
P61316	1	1	2	1	1	C6EI91
P61320	1	1	2	1	1	C6EGQ7
P0ADC3	1	1	2	1	1	C6EGX6
P75957	1	1	2	1	1	C6EGX5
P75958	1	1	2	1	1	C6EGX4
P0A9M0	1	1	2	1	1	C6EL24
P75867	1	1	2	1	1	C6EI27
P0AD79	1	1	2	1	1	C6EAX9
P32099	1	1	2	1	1	C6EBI5
P39196	1	1	2	1	1	C6EJ33
P69776	1	1	2	1	1	C6ECS8
P0ADF3	1	1	2	1	1	C6EG31
P0ADV1	1	1	2	1	1	C6EH27
P0A9V1	1	1	2	1	1	C6EH26
P0ADV9	1	1	2	1	1	C6EH28
P31554	1	1	2	1	1	C6EAZ9
P0ADC1	1	1	2	1	1	C6EK52
P0AF98	1	1	2	1	1	C6EC90
P0ADC6	1	1	2	1	1	C6EC89
P0AD89	1	1	2	1	1	C6EG96
P0A722	1	1	2	1	1	C6EAA4
P10441	1	1	2	1	1	C6EAA3
P0A725	1	1	2	1	1	C6EAV9
P21645	1	1	2	1	1	C6EAA6
P43341	1	1	2	1	1	C6EKU2
P27300	1	1	2	1	1	C6EI67
P36771	1	1	2	1	1	C6E9R2
P0ACJ0	1	1	2	1	1	C6EI93
P00804	1	1	2	1	1	C6EB26
P76142	1	1	2	1	1	C6EEK7
P76143	1	1	2	1	1	C6EEK6
P64461	1	1	2	1	1	C6EEK5
P75823	1	1	2	1	1	C6EIB1
P45578	1	1	2	1	1	C6EJT9
P25737	1	1	2	1	1	C6EAF7
P03030	1	1	2	1	1	C6EJ29
P37677	1	1	2	1	1	C6EE99
P77791	1	1	2	1	1	C6EL05
P75830	1	1	2	1	1	C6EIA3
P75831	1	1	2	1	1	C6EIA2
P23917	1	1	2	1	1	C6ELJ0
P0AEX9	1	1	2	1	1	C6EDY9
P02916	1	1	2	1	1	C6EDZ0
P68183	1	1	2	1	1	C6EDZ1
P18811	1	1	2	1	1	C6EDM7
P68187	1	1	2	1	1	C6EDY7
P03841	1	1	2	1	1	C6EDY5
P15977	1	1	2	1	1	C6EFF8
P23256	1	1	2	1	1	C6EDM5
P21517	1	1	2	1	1	C6ELI1
P00946	1	1	2	1	1	C6EDN5
P24175	1	1	2	2	1	C6EAQ9;C6EB55
P24174	1	1	2	3	1	C6EAQ8;C6ECB3;C6EB54
P26616	1	1	2	1	1	C6EEN8
P76558	1	1	2	1	1	C6EKP9
P0ACH5	1	1	2	1	1	C6EDV6
P31121	1	1	2	1	1	C6EDV5
P0AEY1	1	1	2	1	1	C6EDW0
P27245	1	1	2	1	1	C6EDV7
P08997	1	1	2	1	1	C6EE09
P37330	1	1	2	1	1	C6EID5
P71301	1	1	2	1	1	C6ELT6
P0AAA3	1	1	2	1	1	C6ELT7
P77188	1	1	2	1	1	C6ELT8
P0AEY3	1	1	2	1	1	C6EJ91
Q47154	1	1	2	1	1	C6EA57
P0ACD8	1	1	2	1	1	C6EHN5
P0ACE0	1	1	2	1	1	C6EHZ8
P69739	1	1	2	1	1	C6EI10
P69741	1	1	2	1	1	C6EHZ5
P0AAX6	1	1	2	1	1	C6EIX6
P76114	1	1	2	1	1	C6EER3
P02942	1	1	2	1	1	C6EBL4
P07017	1	1	2	1	1	C6EBU1
P05704	1	1	2	1	1	C6EEU1
P07018	1	1	2	1	1	C6EBU2
P15005	1	1	2	1	1	C6EBN5
P15006	1	1	2	1	1	C6EBN6
P0AEY5	1	1	2	1	1	C6EHW5
P0AEY8	1	1	2	1	1	C6EIU1
P61889	1	1	2	1	1	C6EGZ6
P77265	1	1	2	1	1	C6EL15
P0AAG5	1	1	2	1	1	C6EL14
P76397	1	1	2	1	1	C6EAN1
P76398	1	1	2	1	1	C6EAN0
P76399	1	1	2	1	1	C6EAM9
P36554	1	1	2	1	1	C6EAM8
P37636	1	1	2	1	1	C6EEH1
P37637	1	1	2	1	1	C6EEH0
P25744	1	1	2	1	1	C6EHG0
P69367	1	1	2	1	1	C6EHE8
P69210	1	1	2	1	1	C6EDP9
P69212	1	1	2	1	1	C6EDP8
P37340	1	1	2	1	1	C6ECU0
P31462	1	1	2	1	1	C6EG93
P39386	1	1	2	1	1	C6EBP1
P32716	1	1	2	1	1	C6ED42
P32715	1	1	2	1	1	C6ED43
P32714	1	1	2	1	1	C6ED44
P33369	1	1	2	1	1	C6EAH3
P02921	1	1	2	1	1	C6ED04
P0ACH8	1	1	2	1	1	C6ED06
P32166	1	1	2	1	1	C6EE79
P0ABU0	1	1	2	1	1	C6E9T7
P29208	1	1	2	1	1	C6E9T8
P17109	1	1	2	1	1	C6E9T5
P37353	1	1	2	1	1	C6E9T9
