Gene Name	B Number	Class	Description	A (mRNA per cell cycle)_RNAseq
b1240	b1240		"predicted protein; N-ter fragment (pseudogene)"	
b1248	b1248	noessential	predicted protein	
kch	b1250	noessential	voltage-gated potassium channel	1,995479308
yciI	b1251	noessential	predicted enzyme	5,667029666
yciE	b1257	noessential	conserved protein	
yciF	b1258	noessential	conserved protein	
yciL	b1269	noessential	23S rRNA pseudouridylate synthase	
sohB	b1272	noessential	predicted inner membrane peptidase	4,169782582
yciN	b1273	noessential	predicted protein	3,580623265
topA	b1274	essential	"DNA topoisomerase I; omega subunit"	5,895671855
cysB	b1275	noessential	"DNA-binding transcriptional dual regulator; O-acetyl-L-serine-binding"	4,904980447
yciM	b1280	noessential	conserved protein	3,182649139
sapF	b1290	noessential	predicted antimicrobial peptide transporter subunit -!- ATP-binding component of ABC superfamily	0,552000348
sapA	b1294	noessential	predicted antimicrobial peptide transporter subunit -!- periplasmic-binding component of ABC superfamily	0,861984195
ymjA	b1295	noessential	predicted protein	
ycjX	b1321	noessential	conserved protein with nucleoside triphosphate hydrolase domain	
tyrR	b1323	noessential	"DNA-binding transcriptional dual regulator; tyrosine-binding"	3,302857875
b1327	b1327	noessential	predicted hydrolase	
ydaA	b1333	noessential	stress-induced protein	
ogt	b1335	noessential	O-6-alkylguanine-DNA:cysteine-protein methyltransferase	0,977181047
b1337	b1337	noessential	"predicted peptidase; aminobenzoyl-glutamate utilization protein"	
b1341	b1341	noessential	"predicted diguanylate cyclase; GGDEF domain signalling protein"	
recE	b1350	noessential	"Rac prophage; exonuclease VIII; 5' -> 3' specific dsDNA exonuclease"	
b1355	b1355	noessential	"Rac prophage; predicted protein"	
ydaW	b1361	noessential	"Rac prophage; predicted DNA-binding protein"	
b1371	b1371		"Rac prophage; predicted protein; C-ter fragment (pseudogene)"	
b1374	b1374	noessential	"Rac prophage; predicted site-specific recombinase"	
ydbK	b1378	noessential	fused predicted pyruvate-flavodoxin oxidoreductase: conserved protein -!- conserved protein -!- FeS binding protein	1,026808698
hslJ	b1379	noessential	heat-inducible protein	5,522329556
ydbO	b1388	noessential	predicted multicomponent oxygenase/reductase subunit for phenylacetic acid degradation	
b1391	b1391	noessential	predicted multicomponent oxygenase/reductase subunit for phenylacetic acid degradation	
paaF	b1393	noessential	enoyl-CoA hydratase-isomerase	
b1396	b1396	noessential	predicted thioesterase	
b1398	b1398	noessential	phenylacetyl-CoA ligase	
b1399	b1399	noessential	"DNA-binding transcriptional repressor of phenylacetic acid degradation; aryl-CoA responsive"	
ydbC	b1406	noessential	"predicted oxidoreductase; NAD(P)-binding"	0,868819386
b1410	b1410	noessential	predicted hydrolase	
hrpA	b1413	noessential	ATP-dependent helicase	0,95173677
ydcI	b1422	noessential	predicted DNA-binding transcriptional regulator	2,759114729
b1423	b1423	noessential	conserved protein	
tehB	b1430	noessential	predicted S-adenosyl-L-methionine-dependent methyltransferase	
ydcN	b1434	noessential	predicted DNA-binding transcriptional regulator	1,574719705
ydcP	b1435	noessential	predicted peptidase	1,750395533
yncB	b1449	noessential	"predicted oxidoreductase; Zn-dependent and NAD(P)-binding"	
narW	b1466	noessential	"nitrate reductase 2 (NRZ); delta subunit (assembly subunit)"	
narZ	b1468	noessential	"nitrate reductase 2 (NRZ); alpha subunit"	0,263113058
fdnG	b1474	noessential	"formate dehydrogenase-N; alpha subunit; nitrate-inducible"	0,020566152
osmC	b1482	noessential	"osmotically inducible; stress-inducible membrane protein"	
ddpA	b1487	noessential	D-ala-D-a la transporter subunit -!- periplasmic-binding component of ABC superfamily	
pqqL	b1494	noessential	predicted peptidase	
b1501	b1501	noessential	predicted oxidoreductase	
hipA	b1507	noessential	regulator with hipB	0,915922521
ydeH	b1535	noessential	conserved protein	3,211751566
ydeI	b1536	noessential	conserved protein	1,370189996
ydeJ	b1537	noessential	conserved protein	
dcp	b1538	noessential	dipeptidyl carboxypeptidase II	1,302591021
b1552	b1552	noessential	"Qin prophage; cold shock protein"	
cspB	b1557	noessential	"Qin prophage; cold shock protein"	5,188877733
relE	b1563	noessential	"Qin prophage; toxin of the RelE-RelB toxin-antitoxin system"	
relB	b1564	noessential	"Qin prophage; bifunctional antitoxin of the RelE-RelB toxin-antitoxin system and transcriptional repressor"	
rspA	b1581	noessential	predicted dehydratase	
b1593	b1593	noessential	predicted dethiobiotin synthetase	
b1598	b1598	noessential	predicted peptidase	
fumC	b1611	noessential	"fumarate hydratase (fumarase C);aerobic Class II"	0,943162377
manA	b1613	noessential	mannose-6-phosphate isomerase	2,774594433
b1624	b1624	noessential	predicted oxidoreductase	
b1625	b1625	noessential	predicted regulator	
b1628	b1628	noessential	predicted iron-sulfur protein	
rsxC	b1629	noessential	fused predicted 4Fe-4S ferredoxin-type protein -!- conserved protein	1,002873836
nth	b1633	noessential	DNA glycosylase and apyrimidinic (AP) lyase (endonuclease III)	
pdxH	b1638	noessential	pyridoxine 5'-phosphate oxidase	4,017367335
b1648	b1648	noessential	conserved protein	
b1649	b1649	noessential	predicted DNA-binding transcriptional regulator	
gloA	b1651	noessential	"glyoxalase I; Ni-dependent"	
lhr	b1653	noessential	predicted ATP-dependent helicase	0,151489303
b1667	b1667	noessential	predicted protein	
b1668	b1668	noessential	conserved protein with FAD/NAD(P)-binding domain	
b1672	b1672	noessential	predicted protein	
b1673	b1673	noessential	predicted oxidoreductase	
b1675	b1675	noessential	predicted protein	
pykF	b1676	noessential	pyruvate kinase I	
ynhG	b1678	noessential	conserved protein	0,809792465
b1685	b1685	noessential	predicted protein	
ydiJ	b1687	noessential	predicted FAD-linked oxidoreductase	2,638270487
ydiB	b1692	noessential	"quinate/shikimate 5-dehydrogenase; NAD(P)-binding"	0,846013275
ydiA	b1703	noessential	conserved protein	1,61089891
pfkB	b1723	noessential	6-phosphofructokinase II	
b1731	b1731	noessential	cell division modulator	
ydjC	b1733	noessential	conserved protein	
nadE	b1740	essential	"NAD synthetase; NH3/glutamine-dependent"	2,18571279
spy	b1743	noessential	envelope stress induced periplasmic protein	
b1745	b1745	noessential	succinylarginine dihydrolase	
astC	b1748	noessential	"succinylornithine transaminase; PLP-dependent"	0,819362533
xthA	b1749	noessential	exonuclease III	3,295807248
topB	b1763	noessential	DNA topoisomerase III	1,620805501
ydjA	b1765	noessential	predicted oxidoreductase	4,577463274
ansA	b1767	noessential	cytoplasmic L-asparaginase I	1,258095296
ydjB	b1768	noessential	nicotinamidase/pyrazinamidase	
b1770	b1770	noessential	predicted DNA-binding transcriptional regulator	
b1773	b1773	noessential	predicted aldolase	
yeaA	b1778	noessential	methionine sulfoxide reductase B	15,79789913
gapA	b1779	essential	glyceraldehyde-3-phosphate dehydrogenase A	
yeaU	b1800	noessential	predicted dehydrogenase	
rnd	b1804	noessential	ribonuclease D	1,716342953
yeaB	b1813	noessential	predicted NUDIX hydrolase	1,849759001
manX	b1817	noessential	fused mannose-specific PTS enzymes: IIA component -!- IIB component	
cspC	b1823	noessential	"stress protein; member of the CspA-family"	99,26409993
htpX	b1829	noessential	predicted endopeptidase	9,085872423
yebE	b1846	noessential	conserved protein	1,688660975
yebG	b1848	noessential	conserved protein regulated by LexA	3,979177637
edd	b1851	noessential	6-phosphogluconate dehydratase	
lpxM	b1855	noessential	myristoyl-acyl carrier protein (ACP)-dependent acyltransferase	5,128878117
yebM	b1858	noessential	zinc transporter subunit: ATP-binding component of ABC superfamily	
yebB	b1862	noessential	predicted protein	
ruvC	b1863	noessential	"component of RuvABC resolvasome; endonuclease"	1,20838335
aspS	b1866	essential	aspartyl-tRNA synthetase	5,511100467
yecM	b1875	noessential	predicted metal-binding enzyme	4,807710253
cheY	b1882	noessential	chemotaxis regulator transmitting signal to flagellar motor component	
tar	b1886	noessential	methyl-accepting chemotaxis protein II	
cheW	b1887	noessential	purine-binding chemotaxis protein	
flhC	b1891	noessential	DNA-binding transcriptional dual regulator with FlhD	4,125375966
flhD	b1892	noessential	DNA-binding transcriptional dual regulator with FlhC	10,78381483
otsA	b1896	noessential	trehalose-6-phosphate synthase	2,815969266
pgsA	b1912	essential	phosphatidylglycerophosphate synthetase	1,365633334
uvrC	b1913	noessential	"excinuclease UvrABC; endonuclease subunit"	3,31346875
uvrY	b1914	noessential	DNA-binding response regulator in two-component regulatory system with BarA	9,330285967
sdiA	b1916	noessential	DNA-binding transcriptional activator	1,608406824
yecC	b1917	noessential	predicted transporter subunit: ATP-binding component of ABC superfamily	
yedO	b1919	noessential	"D-cysteine desulfhydrase; PLP-dependent"	0,479412407
fliY	b1920	noessential	cystine transporter subunit -!- periplasmic-binding component of ABC superfamily	5,348256628
fliN	b1946	noessential	flagellar motor switching and energizing component	
yedJ	b1962	noessential	predicted phosphohydrolase	4,808055464
yedU	b1967	noessential	Hsp31 molecular chaperone	
yedV	b1968	noessential	predicted sensory kinase in two-component regulatory system with YedW	
yedW	b1969	noessential	predicted DNA-binding response regulator in two-component system with YedV	
b1983	b1983	noessential	conserved protein	
cobT	b1991	noessential	nicotinate-nucleotide dimethylbenzimidazole-P phophoribosyl transferase	1,346552947
flu	b2000	noessential	"CP4-44 prophage; antigen 43 (Ag43) phase-variable biofilm formation autotransporter"	
yeeR	b2001	noessential	"CP4-44 prophage; predicted membrane protein"	
yeeX	b2007	noessential	conserved protein	11,65102078
sbcB	b2011	noessential	exonuclease I	
hisC	b2021	noessential	histidinol-phosphate aminotransferase	1,063402271
hisI	b2026	noessential	fused phosphoribosyl-AMP cyclohydrolase -!- phosphoribosyl-ATP pyrophosphatase	
gnd	b2029	noessential	"gluconate-6-phosphate dehydrogenase; decarboxylating"	
wbbK	b2032	noessential	lipopolysaccharide biosynthesis protein	
rfbD	b2040	noessential	"dTDP-4-dehydrorhamnose reductase subunit; NAD(P)-binding; of dTDP-L-rhamnose synthase"	6,254310572
yegH	b2063	noessential	fused predicted membrane protein -!- predicted membrane protein	0,452873437
asmA	b2064	noessential	predicted assembly protein	2,576487483
dcd	b2065	noessential	2'-deoxycytidine 5'-triphosphate deaminase	
yegE	b2067	noessential	"predicted diguanylate cyclase; GGDEF domain signalling protein"	0,924697288
alkA	b2068	noessential	3-methyl-adenine DNA glycosylase II	0,593185116
b2073	b2073	noessential	conserved protein	
b2074	b2074	noessential	"multidrug efflux system; subunit A"	
baeR	b2079	noessential	DNA-binding response regulator in two-component regulatory system with BaeS	
b2085	b2085	noessential	predicted protein	
gatB	b2093	noessential	galactitol-specific enzyme IIB component of PTS	3,608141692
gatA	b2094	noessential	galactitol-specific enzyme IIA component of PTS	3,850556796
gatY	b2096	noessential	"D-tagatose 1;6-bisphosphate aldolase 2; catalytic subunit"	25,95754551
b2097	b2097	noessential	fructose-bisphosphate aldolase class I	
yegU	b2099	noessential	predicted hydrolase	
metG	b2114	essential	methionyl-tRNA synthetase	5,153160907
yehL	b2119	noessential	predicted transporter subunit: ATP-binding component of ABC superfamily	
mlrA	b2127	noessential	DNA-binding transcriptional regulator	2,414915665
pbpG	b2134	noessential	D-alanyl-D-alanine endopeptidase	1,619175982
yohF	b2137	noessential	predicted oxidoreductase with NAD(P)-binding Rossmann-fold domain	0,601540374
yohI	b2140	noessential	tRNA-dihydrouridine synthase C	
yeiA	b2147	noessential	predicted oxidoreductase	0,117945121
cirA	b2155	noessential	ferric iron-catecholate outer membrane transporter	0,563265057
nfo	b2159	noessential	endonuclease IV with intrinsic 3'-5' exonuclease activity	2,358690538
fruK	b2168	noessential	fructose-1-phosphate kinase	1,11744857
yeiP	b2171	noessential	predicted elongtion factor	3,231115817
rtn	b2176	noessential	conserved protein	1,11085989
rsuA	b2183	noessential	16S rRNA pseudouridylate 516 synthase	4,376377356
yejH	b2184	noessential	predicted ATP-dependet helicase	0,819158478
yejL	b2187	noessential	conserved protein	5,065692358
napD	b2207	noessential	assembly protein for periplasmic nitrate reductase	
yojL	b2214	noessential	predicted thiamine biosynthesis lipoprotein	
ompC	b2215	noessential	outer membrane porin protein C	66,11476382
yojN	b2216	noessential	phosphotransfer intermediate protein in two-component regulatory system with RcsBC	
rcsC	b2218	noessential	hybrid sensory kinase in two-component regulatory system with RcsB and YojN	
gyrA	b2231	essential	"DNA gyrase (type II topoisomerase); subunit A"	6,570290688
ubiG	b2232	noessential	bifunctional 3-demethylubiquinone-9 3-methyltransferase and 2-octaprenyl-6-hydroxy phenol methylase	3,69724593
glpC	b2243	noessential	"sn-glycerol-3-phosphate dehydrogenase (anaerobic); small subunit"	
b2248	b2248	noessential	predicted DNA-binding transcriptional regulator	
yfaO	b2251	noessential	predicted NUDIX hydrolase	
b2255	b2255	noessential	fused UDP-L-Ara4N formyltransferase -!- UDP-GlcA C-4'-decarboxylase	
menC	b2261	noessential	o-succinylbenzoyl-CoA synthase	
menB	b2262	noessential	dihydroxynaphthoic acid synthetase	
menD	b2264	noessential	bifunctional 2-oxoglutarate decarboxylase and SHCHC synthase	0,498770426
elaA	b2267	noessential	predicted acyltransferase with acyl-CoA N-acyltransferase domain	3,797671114
nuoG	b2283	noessential	"NADH:ubiquinone oxidoreductase; chain G"	
nuoF	b2284	noessential	"NADH:ubiquinone oxidoreductase; chain F"	1,356570869
nuoE	b2285	noessential	"NADH:ubiquinone oxidoreductase; chain E"	8,009589916
nuoC	b2286	noessential	"NADH:ubiquinone oxidoreductase; chain C;D"	6,287468662
nuoB	b2287	noessential	"NADH:ubiquinone oxidoreductase; chain B"	11,66003673
b2290	b2290	noessential	predicted aminotransferase	
yfbT	b2293	noessential	predicted hydrolase or phosphatase	2,394876395
ackA	b2296	noessential	acetate kinase A and propionate kinase 2	4,180004927
pta	b2297	noessential	phosphate acetyltransferase	
b2299	b2299	noessential	predicted NUDIX hydrolase	
yfcE	b2300	noessential	predicted phosphatase	
yfcF	b2301	noessential	predicted enzyme	
hisJ	b2309	noessential	histidine/lysine/arginine/ornithine transporter subunit -!- periplasmic-binding component of ABC superfamily	1,520671808
argT	b2310	noessential	lysine/arginine/ornithine transporter subunit -!- periplasmic-binding component of ABC superfamily	3,144975363
ubiX	b2311	noessential	3-octaprenyl-4-hydroxybenzoate carboxy-lyase	
dedD	b2314	noessential	conserved protein	2,516803424
folC	b2315	essential	bifunctional folylpolyglutamate synthase and dihydrofolate synthase	1,160324446
truA	b2318	noessential	pseudouridylate synthase I	2,440254338
fabB	b2323	essential	3-oxoacyl-[acyl-carrier-protein] synthase I	14,34719178
b2341	b2341	noessential	fused enoyl-CoA hydratase and epimerase and isomerase -!- 3-hydroxyacyl-CoA dehydrogenase	
intC	b2349	noessential	"CPS-53 (KpLE1) prophage; predicted prophage CPS-53 integrase"	
dsdA	b2366	noessential	D-serine ammonia-lyase	0,100001475
evgS	b2370	noessential	hybrid sensory histidine kinase in two-component regulatory system with EvgA	1,525168314
oxc	b2373	noessential	predicted oxalyl-CoA decarboxylase	0,105754324
b2384	b2384	noessential	predicted peptidase	
b2385	b2385	noessential	predicted peptidase	
yfeR	b2409	noessential	predicted DNA-binding transcriptional regulator	
lig	b2411	essential	"DNA ligase; NAD(+)-dependent"	
cysM	b2421	noessential	cysteine synthase B (O-acetylserine sulfhydrolase B)	2,678685217
ucpA	b2426	noessential	"predicted oxidoredutase; sulfate metabolism protein"	1,308974723
yfeU	b2428	noessential	predicted PTS component	0,05292741
hemF	b2436	noessential	coproporphyrinogen III oxidase	
eutB	b2441	noessential	"ethanolamine ammonia-lyase; large subunit; heavy chain"	2,616573071
b2443	b2443	noessential	"CPZ-55 prophage; predicted protein"	
eutI	b2458	noessential	predicted phosphotransacetylase subunit	
b2459	b2459	noessential	predicted cobalamin adenosyltransferase in ethanolamine utilization	
b2463	b2463	noessential	fused malic enzyme predicted oxidoreductase -!- predicted phosphotransacetylase	
tktB	b2465	noessential	"transketolase 2; thiamin-binding"	0,679359815
yffH	b2467	noessential	predicted NUDIX hydrolase	
ypfI	b2474	noessential	predicted hydrolase	0,467995667
dapA	b2478	essential	dihydrodipicolinate synthase	17,66472705
b2496	b2496	essential	ATPase regulatory factor involved in DnaA inactivation	
ppk	b2501	noessential	"polyphosphate kinase; component of RNA degradosome"	2,020893684
guaA	b2507	noessential	GMP synthetase (glutamine aminotransferase)	6,412027304
b2511	b2511	essential	predicted GTP-binding protein	
hisS	b2514	essential	histidyl tRNA synthetase	9,212667882
gcpE	b2515	essential	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase	
yfgA	b2516	noessential	conserved protein	6,107724348
yfgB	b2517	noessential	predicted enzyme	3,669631762
b2520	b2520	noessential	conserved protein	
pepB	b2523	noessential	aminopeptidase B	
yphE	b2547	noessential	fused predicted sugar transporter subunits of ABC superfamily: ATP-binding components	
glnB	b2553	noessential	regulatory protein P-II for glutamine synthetase	5,276979561
yfhA	b2554	noessential	predicted DNA-binding response regulator in two-component system	0,986434861
purL	b2557	noessential	phosphoribosylformyl-glycineamide synthetase	5,370401963
yfhC	b2559	noessential	tRNA-specific adenosine deaminase	
acpS	b2563	essential	holo-[acyl-carrier-protein] synthase 1	
recO	b2565	noessential	gap repair protein	1,968372918
era	b2566	essential	"membrane-associated; 16S rRNA-binding GTPase"	7,761329258
rnc	b2567	noessential	RNase III	12,37439758
lepA	b2569	noessential	GTP-binding membrane protein	2,846063946
yfiD	b2579	noessential	pyruvate formate lyase subunit	3,612923022
ung	b2580	noessential	uracil-DNA-glycosylase	1,242139903
yfiF	b2581	noessential	predicted methyltransferase	1,320536007
yfiQ	b2584	noessential	fused predicted acyl-CoA synthetase: NAD(P)-binding subunit -!- ATP-binding subunit	1,163851466
sfhB	b2594	noessential	23S rRNA pseudouridine synthase	
tyrA	b2600	noessential	fused chorismate mutase T -!- prephenate dehydrogenase	1,379707445
yfjB	b2615	essential	NAD kinase	
recN	b2616	noessential	recombination and repair protein	
smpB	b2620	noessential	trans-translation protein	6,366705984
yfjK	b2627	noessential	"CP4-57 prophage; conserved protein"	0,557358931
yfjL	b2628	noessential	"CP4-57 prophage; predicted protein"	1,53880126
gabD	b2661	noessential	"succinate-semialdehyde dehydrogenase I; NADP-dependent"	
b2667	b2667	noessential	predicted DNA-binding transcriptional regulator	
ygaP	b2668	noessential	predicted inner membrane protein with hydrolase activity	
nrdH	b2673	noessential	glutaredoxin-like protein	
gshA	b2688	noessential	gamma-glutamate-cysteine ligase	4,810161152
yqaB	b2690	noessential	predicted hydrolase	3,614570282
alaS	b2697	essential	alanyl-tRNA synthetase	9,756847146
mltB	b2701	noessential	membrane-bound lytic murein transglycosylase B	0,745002085
hycI	b2717	noessential	protease involved in processing C-terminal end of HycE	
hycE	b2721	noessential	"hydrogenase 3; large subunit"	
hycA	b2725	noessential	regulator of the transcriptional regulator FhlA	
hypA	b2726	noessential	protein involved in nickel insertion into hydrogenases 3	
hypB	b2727	noessential	GTP hydrolase involved in nickel liganding into hydrogenases	
hypC	b2728	noessential	protein required for maturation of hydrogenases 1 and 3	
hypD	b2729	noessential	protein required for maturation of hydrogenases	0,448070179
hypE	b2730	noessential	"carbamoyl phosphate phosphatase; hydrogenase 3 maturation protein"	0,556928449
ygbO	b2745	noessential	pseudoruidine synthase	
ygbB	b2746	essential	"2C-methyl-D-erythritol 2;4-cyclodiphosphate synthase"	
cysN	b2751	noessential	"sulfate adenylyltransferase; subunit 1"	0,202560865
ygbT	b2755	noessential	conserved protein	0,147332895
ygcM	b2765	noessential	6-pyruvoyl tetrahydrobiopterin synthase (PTPS)	1,952334595
ygcW	b2774	noessential	predicted deoxygluconate dehydrogenase	
ygcE	b2776	noessential	predicted kinase	
ygcF	b2777	noessential	conserved protein	2,883885264
barA	b2786	noessential	"hybrid sensory histidine kinase; in two-component regulatory system with UvrY"	0,726401996
syd	b2793	noessential	predicted protein	
exo	b2798	noessential	exonuclease IX (5'-3' exonuclease)	1,87895379
fucK	b2803	noessential	L-fuculokinase	
fucU	b2804	noessential	L-fucose mutarotase	1,059549192
b2810	b2810	noessential	cysteine sulfinate desulfinase	
mltA	b2813	noessential	membrane-bound lytic murein transglycosylase A	4,574332476
recD	b2819	noessential	"exonuclease V (RecBCD complex); alpha chain"	
recB	b2820	noessential	"exonuclease V (RecBCD complex); beta subunit"	0,49877229
thyA	b2827	noessential	thymidylate synthetase	3,005701487
ygdP	b2830	noessential	nucleotide hydrolase	
mutH	b2831	noessential	methyl-directed mismatch repair protein	
lysA	b2838	noessential	"diaminopimelate decarboxylase; PLP-binding"	0,711113997
kduI	b2843	noessential	predicted 5-keto 4-deoxyuronate isomerase	0,158435863
yqeF	b2844	noessential	predicted acyltransferase	5,576979593
b2865	b2865	noessential	Tetratricopeptide repeat transcriptional regulator	
b2866	b2866	noessential	"xanthine dehydrogenase; molybdenum binding subunit"	
ygeV	b2869	noessential	predicted DNA-binding transcriptional regulator	0,185304671
hyuA	b2873	noessential	D-stereospecific phenylhydantoinase	
yqeA	b2874	noessential	predicted amino acid kinase	
yqeB	b2875	noessential	conserved protein with NAD(P)-binding Rossman fold	
ygfT	b2887	noessential	fused predicted oxidoreductase: Fe-S subunit -!- nucleotide-binding subunit	
ygfU	b2888	noessential	predicted transporter	
recJ	b2892	noessential	"ssDNA exonuclease; 5' --> 3'-specific"	1,754960541
dsbC	b2893	noessential	protein disulfide isomerase II	5,196620063
gcvP	b2903	noessential	"glycine decarboxylase; PLP-dependent; subunit (protein P) of glycine cleavage complex"	1,055721158
gcvT	b2905	noessential	"aminomethyltransferase; tetrahydrofolate-dependent; subunit (T protein) of glycine cleavage complex"	1,254846917
visC	b2906	noessential	predicted oxidoreductase with FAD/NAD(P)-binding domain	0,829592795
ubiH	b2907	noessential	"2-octaprenyl-6-methoxyphenol hydroxylase; FAD/NAD(P)-binding"	1,527041809
pepP	b2908	noessential	proline aminopeptidase P II	3,379149323
ygfB	b2909	noessential	predicted protein	9,306331272
ygfA	b2912	noessential	predicted ligase	
iciA	b2916	noessential	"DNA-binding transcriptional activator; replication initiation inhibitor"	
ygfH	b2920	noessential	propionyl-CoA:succinate-CoA transferase	0,213332002
yggE	b2922	noessential	conserved protein	2,931300406
sprT	b2944	noessential	conserved protein	
yqgE	b2948	noessential	predicted protein	5,263417051
yqgF	b2949	essential	predicted Holliday junction resolvase	
yggS	b2951	noessential	predicted enzyme	
yggV	b2954	noessential	dITP/XTP pyrophosphatase	
yggW	b2955	noessential	predicted oxidoreductase	0,994455502
yggH	b2960	noessential	"tRNA (m7G46) methyltransferase; SAM-dependent"	
mutY	b2961	noessential	adenine DNA glycosylase	1,16914864
speC	b2965	noessential	"ornithine decarboxylase; constitutive"	0,727186865
b2971	b2971	noessential	predicted protein	
glcB	b2976	noessential	malate synthase G	
hybD	b2993	noessential	predicted maturation element for hydrogenase 2	
yghA	b3003	noessential	"predicted glutathionylspermidine synthase; with NAD(P)-binding Rossmann-fold domain"	
yqhD	b3011	noessential	"alcohol dehydrogenase; NAD(P)-dependent"	
parC	b3019	essential	"DNA topoisomerase IV; subunit A"	2,906842346
parE	b3030	essential	"DNA topoisomerase IV; subunit B"	2,361299233
glnE	b3053	noessential	fused deadenylyltransferase -!- adenylyltransferase for glutamine synthetase	1,348551728
ygiF	b3054	noessential	predicted adenylate cyclase	2,272661504
cca	b3056	essential	fused tRNA nucleotidyl transferase -!- 2'3'-cyclic phosphodiesterase and 2'nucleotidase and phosphatase	4,76177142
ygiP	b3060	noessential	predicted DNA-binding transcriptional regulator	
ygjD	b3064	essential	predicted peptidase	3,507489076
yqjI	b3071	noessential	predicted transcriptional regulator	2,770633606
ygjG	b3073	noessential	"putrescine:2-oxoglutaric acid aminotransferase; PLP-dependent"	2,015494555
ygjH	b3074	noessential	conserved protein	
uxaA	b3091	noessential	altronate hydrolase	0,252414059
yqjG	b3102	noessential	predicted S-transferase	
yhaJ	b3105	noessential	predicted DNA-binding transcriptional regulator	
tdcD	b3115	noessential	"propionate kinase/acetate kinase C; anaerobic"	
yhaD	b3124	noessential	glycerate kinase I	
garL	b3126	noessential	alpha-dehydro-beta-deoxy-D-glucarate aldolase	
yraL	b3146	noessential	predicted methyltransferase	1,563868445
yraM	b3147	noessential	conserved protein	2,493939623
yraN	b3148	noessential	conserved protein	2,155870228
yhbV	b3159	noessential	predicted protease	
yhbM	b3163	noessential	conserved protein	
rbfA	b3167	noessential	30s ribosome binding factor	1,362466451
yhbC	b3170	noessential	conserved protein	11,09981314
argG	b3172	noessential	argininosuccinate synthetase	1,816946833
mrsA	b3176	essential	phosphoglucosamine mutase	
hflB	b3178	essential	"protease; ATP-dependent zinc-metallo"	
ftsJ	b3179	noessential	23S rRNA methyltransferase	
dacB	b3182	noessential	D-alanyl-D-alanine carboxypeptidase	
yhbZ	b3183	essential	GTPase involved in cell partioning and DNA repair	
murA	b3189	essential	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	2,70706299
yrbA	b3190	noessential	predicted DNA-binding transcriptional regulator	9,59748842
yrbB	b3191	noessential	predicted protein	
yrbC	b3192	noessential	predicted ABC-type organic solvent transporter	1,754402379
yrbH	b3197	noessential	D-arabinose 5-phosphate isomerase	
yrbI	b3198	essential	3-deoxy-D-manno-octulosonate 8-phosphate phosphatase	
rpoN	b3202	noessential	"RNA polymerase; sigma 54 (sigma N) factor"	3,140466104
yhbJ	b3205	noessential	predicted protein with nucleoside triphosphate hydrolase domain	
arcB	b3210	noessential	hybrid sensory histidine kinase in two-component regulatory system with ArcA	1,440061606
yhcC	b3211	noessential	predicted Fe-S oxidoreductase	
b3223	b3223	noessential	predicted N-acetylmannosamine-6-P epimerase	
sspB	b3228	noessential	ClpXP protease specificity-enhancing factor	10,69193305
yhcO	b3239	noessential	predicted barnase inhibitor	
tldD	b3244	noessential	predicted peptidase	2,802845032
yhdA	b3252	noessential	conserved inner membrane protein	2,092399378
prmA	b3259	noessential	methylase for 50S ribosomal subunit protein L11	1,653296403
aroE	b3281	noessential	"dehydroshikimate reductase; NAD(P)-binding"	2,510758683
yrdC	b3282	essential	predicted ribosome maturation factor	3,775543585
def	b3287	essential	peptide deformylase	19,24461847
fmt	b3288	essential	10-formyltetrahydrofolate:L-methionyl-tRNA(fMet) N-formyltransferase	5,471811141
yheL	b3343	noessential	predicted intracellular sulfur oxidation protein	1,518632001
yheM	b3344	noessential	predicted intraceullular sulfur oxidation protein	2,38993471
yheN	b3345	noessential	predicted intracellular sulfur oxidation protein	5,630372289
fkpA	b3347	noessential	FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase)	12,01148278
yheT	b3353	noessential	predicted hydrolase	
prkB	b3355	noessential	predicted phosphoribulokinase	2,745774668
yhfG	b3362	noessential	predicted protein	8,214973384
yhfR	b3375	noessential	predicted DNA-binding transcriptional regulator	
yhfV	b3379	noessential	predicted hydrolase	
dam	b3387	noessential	DNA adenine methylase	1,149695641
aroB	b3389	noessential	3-dehydroquinate synthase	13,98626278
mrcA	b3396	noessential	fused penicillin-binding protein 1a: murein transglycosylase -!- murein transpeptidase	1,620642202
yrfG	b3399	noessential	predicted hydrolase	3,606938638
yrfH	b3400	noessential	ribosome-associated heat shock protein Hsp15	
ompR	b3405	noessential	DNA-binding response regulator in two-component regulatory system with EnvZ	2,541374712
feoA	b3408	noessential	"ferrous iron transporter; protein A"	
malQ	b3416	noessential	4-alpha-glucanotransferase (amylomaltase)	1,60497022
malP	b3417	noessential	maltodextrin phosphorylase	1,813535785
glpD	b3426	noessential	"sn-glycerol-3-phosphate dehydrogenase; aerobic; FAD/NAD(P)-binding"	0,790897797
glgP	b3428	noessential	glycogen phosphorylase	
glgC	b3430	noessential	glucose-1-phosphate adenylyltransferase	
ggt	b3447	noessential	gamma-glutamyltranspeptidase	
ugpB	b3453	noessential	glycerol-3-phosphate transporter subunit -!- periplasmic-binding component of ABC superfamily	
livJ	b3460	noessential	leucine/isoleucine/valine transporter subunit -!- periplasmic-binding component of ABC superfamily	4,91322568
