Merge ID	Masuda2009_fin2	Wang2007_fin	Wang2007_noglucose_fin	Oberto2009_fin	Wei2001_fin	mRNA_Taniguchi_fin	OurStudy_Feb2011_Common	# Studies	TableS3_K12_ProteomeV13_BasicProteome Duplicates	Entry name (Uniprot)	mRNA	ABS_CALL	ABS_CALL	ABS_CALL	ABS_CALL	ABS_CALL	A (mRNA per cell cycle)_RNAseq	Localization	Abundance Level
P0AAW5	0	1	1	1	0	0	0	3	B	YBHQ_ECOLI			2	2	2				P
P0AAX3	0	1	1	1	0	0	0	3	G	YBIJ_ECOLI			2	0	0				P
P0AB01	0	1	1	1	0	0	1	4	B	YCBC_ECOLI			2	2	2			B	P
P0AB31	0	1	1	1	0	0	0	3	I	YCEK_ECOLI			2	2					P
P0AB35	0	1	1	1	0	0	0	3	B	YCFJ_ECOLI			2	2					P
P0AB46	0	1	1	1	0	0	0	3	G	YMGD_ECOLI			0	2					P
P0AB49	0	1	1	1	0	0	0	3	B	YCHH_ECOLI			2	2	2				P
P0AB93	0	1	1	1	0	0	0	3	B	ARSB_ECOLI			2	0					P
P0ABA0	1	1	1	1	0	0	1	5	B	ATPF_ECOLI	9.77	2	2	2	2			B	P
P0ABA4	1	1	1	1	0	1	1	6	F1	ATPD_ECOLI	5.03	2	2	2	2		16.23167566	F1	P
P0ABB0	1	1	1	1	0	1	1	6	F1	ATPA_ECOLI	6	2	2	2	2			F1	P
P0ABC0	0	1	1	1	0	0	0	3	B	ATPZ_ECOLI			2	2	2				P
P0ABC9	0	1	1	1	1	0	1	5	B	BETT_ECOLI			2	2	0	0		B	P
P0ABE5	0	1	1	1	0	0	0	3	B	C561_ECOLI			2	2	2				P
P0ABG4	0	1	1	1	0	0	1	4	B	FTSW_ECOLI			2	2	2			B	P
P0ABG7	0	1	1	1	0	0	1	4	B	RODA_ECOLI			2	2	2			B	P
P0ABK2	1	1	1	1	0	0	1	5	B	CYDB_ECOLI	2.91	2	2	2	2			B	P
P0ABL1	0	1	1	1	1	0	0	4	G	NRFB_ECOLI			0	0	2	0			P
P0ABL8	0	1	1	1	1	0	0	4	B	CCMB_ECOLI			0	0	2	0			P
P0ABM1	0	1	1	1	1	0	1	5	B	CCMC_ECOLI			0	0	0	0		B	A
P0ABM5	0	1	1	1	1	0	1	5	B	CCMD_ECOLI			0	0	0	0		B	A
P0ABN1	0	1	1	1	1	0	1	5	B	KDGL_ECOLI			2	2	2	0		B	P
P0ABN5	1	1	1	1	0	0	1	5	B	DCUA_ECOLI	1	2	0	0	2			B	P
P0ABN9	0	1	1	1	0	0	0	3	B	DCUB_ECOLI			0	0	2				P
P0ABP3	0	1	1	1	0	0	0	3	B	DCUC_ECOLI			1	2	2				P
P0ABP6	0	1	1	1	1	0	1	5	B	DEDA_ECOLI			2	2	2	0		B	P
P0ABW5	0	1	1	1	0	0	0	3	G	SFMA_ECOLI			0	0	0				A
P0ABX8	0	1	1	1	1	0	0	4	F1	FLIL_ECOLI			2	2		0			P
P0ABZ1	0	1	1	1	1	0	0	4	F1	FLIG_ECOLI			2	2	2	0			P
P0ABZ6	1	1	1	1	0	1	1	6	G	SURA_ECOLI	1.12	2	2	2	2		8.470450082	G	P
P0AC05	0	1	1	1	1	0	0	4	B	FLIP_ECOLI			2	2	2	0			P
P0AC07	0	1	1	1	1	0	0	4	B	FLIQ_ECOLI			2	2		0			P
P0AC47	1	1	1	1	0	0	1	5	F1	FRDB_ECOLI	1.57	2	2	2	2			F1	P
P0AC78	0	1	1	1	0	0	1	4	B	WECA_ECOLI			2	2	2			B	P
P0AC94	0	1	1	1	0	0	0	3	B	GNTP_ECOLI			2	0	0				P
P0AC96	0	1	1	1	1	0	0	4	B	GNTU_ECOLI			2	0		0			P
P0ACA1	0	1	1	1	0	0	0	3	B	YIBF_ECOLI			2	2					P
P0ACD8	0	1	1	1	1	0	1	5	F1	MBHL_ECOLI			0	1		0		F1	A
P0ACS7	0	1	1	1	1	0	1	5	B	RPIR_ECOLI			2	2	2	0		B	P
P0ACU0	0	1	1	1	0	0	1	4	B	YBIH_ECOLI			2	2	2			B	P
P0ACV4	0	1	1	1	0	0	1	4	B	YCIS_ECOLI			2	2	2			B	P
P0ACW2	0	0	0	0	0	0	0	0	I	YDBJ_ECOLI									E
P0ACW4	0	1	1	1	0	0	0	3	G	YDCA_ECOLI			2	2	2				P
P0ACY6	0	1	1	1	0	0	0	3	B	YEAL_ECOLI			0	0	0				A
P0AD42	0	0	1	1	0	0	1	3	B	YFHB_ECOLI				2	2			B	P
P0AD44	0	1	1	1	0	0	1	4	I	YFHG_ECOLI			2	2	2			I	P
P0AD47	0	1	1	1	0	0	0	3	B	YPHA_ECOLI			1	0	0				A
P0ADA1	0	1	1	1	0	0	1	4	G	TESA_ECOLI			2	2	2			G	P
P0ADA3	1	1	1	1	0	0	1	5	I	NLPD_ECOLI	7.37	2	2	2	2			I	P
P0ADA7	0	1	1	1	1	0	0	4	I	OSMB_ECOLI			2	2	0	0			P
P0ADB7	0	0	0	0	0	0	1	1	I	ECNB_ECOLI								I	E
P0ADC1	1	1	1	1	0	0	1	5	I	LPTE_ECOLI	0.96	2	2	2	2			I	P
P0ADC3	0	1	1	1	0	0	1	4	B	LOLC_ECOLI			2	2	2			B	P
P0ADG7	1	1	1	1	0	0	1	5	B	IMDH_ECOLI	2.37	2	2	2	2			B	P
P0ADI9	0	1	1	1	0	0	0	3	B	YHHN_ECOLI			2	2	2				P
P0ADJ5	0	1	1	1	0	0	0	3	B	YHJT_ECOLI			2	2	2				P
P0ADJ8	0	1	1	1	0	0	0	3	B	YIAA_ECOLI			2	0	2				P
P0ADK4	0	1	1	1	0	0	0	3	B	YIAW_ECOLI			0	0	0				A
P0ADL6	0	1	1	1	0	0	0	3	B	YIDG_ECOLI			2	2					P
P0ADM0	0	1	1	1	0	1	0	4	B	YIDH_ECOLI			2	2	2				P
P0ADM6	0	1	1	1	1	0	0	4	I	YIDX_ECOLI			0	0	2	0			P
P0ADN6	1	0	0	0	0	0	1	2	I	YIFL_ECOLI	1.52	2						I	P
P0ADP5	0	1	1	1	0	0	0	3	B	YIGM_ECOLI			2	0	0				P
P0ADQ2	0	1	1	1	0	1	1	5	B	YIID_ECOLI			2	2	2		2.095254035	B	P
P0ADQ7	1	1	1	1	0	0	1	5	B	YGAM_ECOLI	4.32	2	0	2	0			B	P
P0ADT8	1	1	1	1	0	0	1	5	B	YGIM_ECOLI	0.41	2	2	2	2			B	P
P0ADW3	1	1	1	1	0	0	1	5	B	YHCB_ECOLI		2	2	2	2			B	P
P0ADX7	0	1	1	1	0	0	1	4	G	YHHA_ECOLI			0	2	2			G	P
P0AE06	1	1	1	1	0	0	1	5	E	ACRA_ECOLI	1.04	2	2	2	2			E	P
P0AE16	0	1	1	1	0	0	0	3	B	AMPG_ECOLI			2	2	2				P
P0AE22	1	1	1	1	0	0	1	5	G	APHA_ECOLI	1.76	2	2	2	2			G	P
P0AE24	0	1	1	1	1	0	0	4	B	ARAE_ECOLI			0	2		0			P
P0AE26	0	1	1	1	1	0	1	5	B	ARAH_ECOLI			2	2	2	0		B	P
P0AE30	0	1	1	1	1	0	1	5	B	ARTM_ECOLI			0	1	0	0		B	A
P0AE42	0	1	1	1	0	0	0	3	B	YQAE_ECOLI			2	2	2				P
P0AE85	0	0	0	0	0	0	1	1	F2	CPXP_ECOLI								F2	E
P0AE88	1	1	1	1	0	1	1	6	F1	CPXR_ECOLI	0.59	2	2	2	2		3.54371108	F1	P
P0AE98	0	1	1	1	1	0	0	4	G	CSGF_ECOLI			0	2	0	0			P
P0AEB0	0	1	1	1	1	0	0	4	B	CYSW_ECOLI			0	2		0			P
P0AEC5	0	1	1	1	0	1	1	5	B	BARA_ECOLI			2	2	2		0.726401996	B	P
P0AEE3	1	1	1	1	1	0	1	6	B	DEGS_ECOLI	0.38	2	2	2	2	0		B	P
P0AEG1	0	1	1	1	1	0	1	5	B	DPPC_ECOLI			2	2	2	0		B	P
P0AEH5	1	1	1	1	0	1	1	6	B	ELAB_ECOLI	4	2	2	2	2		47.72701918	B	P
P0AEH8	0	1	1	1	0	0	0	3	B	YJIG_ECOLI			2	2	2				P
P0AEM9	1	1	1	1	0	1	1	6	G	FLIY_ECOLI	2.72	2	2	2	2		5.348256628	G	P
P0AEN4	0	1	1	1	1	0	1	5	B	FTSL_ECOLI			2	2	2	0		B	P
P0AEP1	0	1	1	1	1	0	1	5	B	GALP_ECOLI			2	0		0		B	P
P0AEQ6	1	1	1	1	0	0	1	5	B	GLNP_ECOLI	0.44	2	2	2	2			B	P
P0AER8	0	1	1	1	0	0	1	4	B	GLTS_ECOLI			0	0	0			B	A
P0AET5	0	1	1	1	0	0	0	3	B	HDED_ECOLI			2	0	2				P
P0AEU3	0	1	1	1	0	0	1	4	B	HISM_ECOLI			2	2	0			B	P
P0AEU7	1	1	1	1	0	1	1	6	G	SKP_ECOLI	5.15	2	2	2	2			G	P
P0AEW1	0	1	1	1	0	0	0	3	B	HYFE_ECOLI			0	0					A
P0AEX7	0	1	1	1	0	0	0	3	B	LIVH_ECOLI			2	2	1				P
P0AF16	0	1	1	1	0	0	1	4	B	MVIN_ECOLI			2	2	2			B	P
P0AF32	0	1	1	1	0	0	0	3	B	NARV_ECOLI			2	2	0				P
P0AF36	1	1	1	1	0	1	1	6	F1	ZAPB_ECOLI	4	2	2	2	2		29.80977577	F1	P
P0AF43	0	1	1	1	0	0	1	4	B	YJBB_ECOLI			0	0	0			B	A
P0AF45	0	1	1	1	0	0	0	3	G	YJBE_ECOLI			0	0	0				A
P0AF52	0	1	1	1	0	0	1	4	B	YJCD_ECOLI			2	0				B	P
P0AF54	0	1	1	1	0	0	1	4	B	YJCH_ECOLI			0	2	0			B	P
P0AF73	0	1	1	1	0	0	1	4	B	YJET_ECOLI			0	0	0			B	A
P0AF86	0	1	1	1	0	0	0	3	G	YJFY_ECOLI			0	0	0				A
P0AF98	1	1	1	1	0	0	1	5	B	LPTF_ECOLI	0.18	2	2	2	2			B	P
P0AFA7	0	1	1	1	0	0	1	4	B	NHAB_ECOLI			2	2				B	P
P0AFA9	0	1	1	1	0	1	0	4	B	NIKC_ECOLI			0	0	2				P
P0AFE0	0	1	1	1	0	0	1	4	B	NUOJ_ECOLI			2	2	2			B	P
P0AFE4	0	1	1	1	0	0	1	4	B	NUOK_ECOLI			2	2	2			B	P
P0AFH2	1	1	1	1	0	0	1	5	B	OPPB_ECOLI	3.28	2	2	2	2			B	P
P0AFH6	1	1	1	1	0	0	1	5	B	OPPC_ECOLI	1.71	2	2	2	2			B	P
P0AFI9	0	1	1	1	0	0	1	4	B	PERM_ECOLI			2	2				B	P
P0AFL1	0	1	1	1	0	0	0	3	B	POTI_ECOLI			0	0	0				A
P0AFL3	0	1	1	1	0	0	1	4	G	PPIA_ECOLI			2	2	2			G	P
P0AFM4	0	1	1	1	1	0	0	4	G	PSIF_ECOLI			2	2	2	0			P
P0AFN6	0	1	1	1	0	0	1	4	B	YADH_ECOLI			2	2	2			B	P
P0AFP0	0	1	1	1	0	0	0	3	B	YADS_ECOLI			0	0	0				A
P0AFR2	1	1	1	1	0	0	1	5	B	YCHM_ECOLI		2	0	0	0			B	P
P0AFR7	0	1	1	1	0	0	0	3	B	YCJO_ECOLI			1	2	0				P
P0AFR9	0	1	1	1	0	0	0	3	B	YDCV_ECOLI			0	2	0				P
P0AFS5	0	1	1	1	0	0	1	4	B	TQSA_ECOLI			0	0	0			B	A
P0AFS7	0	1	1	1	0	0	1	4	B	YDIK_ECOLI			2	2	2			B	P
P0AFT2	1	1	1	1	0	0	0	4	B	YECS_ECOLI		2	2	2	2				P
P0AFU2	0	1	1	1	1	0	0	4	B	YFBS_ECOLI			2	2	2	0			P
P0AFX7	0	1	1	1	0	0	1	4	B	RSEA_ECOLI			2	2	2			B	P
P0AG14	1	1	1	1	0	1	1	6	B	SOHB_ECOLI	2.79	2	2	2	2		4.169782582	B	P
P0AG34	0	1	1	1	0	0	1	4	B	RHTB_ECOLI			2	1				B	P
P0AG38	0	1	1	1	0	0	1	4	B	RHTC_ECOLI			2	2	2			B	P
P0AG96	1	1	1	1	0	0	1	5	B	SECE_ECOLI	0.49	2	2	2	2			B	P
P0AGC5	0	1	1	1	0	0	0	3	F3	MLTF_ECOLI			0	0	0				A
P0AGE4	0	1	1	1	0	0	1	4	B	SSTT_ECOLI			2	2	2			B	P
P0AGF4	0	1	1	1	0	0	0	3	B	XYLE_ECOLI			0	0	0				A
P0AGH1	0	1	1	1	0	0	1	4	B	YHHJ_ECOLI			2	2				B	P
P0AGH8	0	1	1	1	0	1	1	5	B	PSTC_ECOLI			2	0			20.50768187	B	P
P0AGI1	0	1	1	1	0	0	1	4	B	RBSC_ECOLI			2	2	2			B	P
P0AGI4	0	1	1	1	1	0	0	4	B	XYLH_ECOLI			0	0	0	0			A
P0AGI8	1	1	1	1	0	0	1	5	F1	TRKA_ECOLI	0.21	2	2	2	2			F1	P
P0AGK1	0	1	1	1	0	0	1	4	B	UBIA_ECOLI			2	2	2			B	P
P0AGM2	0	1	1	1	0	0	0	3	B	YICG_ECOLI			2	0	2				P
P0C0S1	1	1	1	1	0	0	1	5	B	MSCS_ECOLI	0.77	2	2	2	2			B	P
P0C0T5	0	1	1	1	1	0	1	5	G	MEPA_ECOLI			2	2	2	0		G	P
P0C0V0	1	1	1	1	0	0	1	5	G	DEGP_ECOLI	2.59	2	2	2	2			G	P
P0CE44	0	1	1	1	0	0	0	3	B	UIDB_ECOLI			0	0	0				A
P0CE47	1	1	1	1	0	1	1	6	F1	EFTU1_ECOLI	11.71	2	2	2	2			F1	P
P0CE48	0	1	1	1	0	1	1	5	F1	EFTU2_ECOLI			2	2	2			F1	P
P10100	1	1	1	1	0	0	1	5	I	RLPA_ECOLI	0.64	2	2	2	2			I	P
P10384	1	1	1	1	0	0	1	5	H	FADL_ECOLI	0.59	2	2	2	2			H	P
P10903	0	1	1	1	0	0	0	3	B	NARK_ECOLI			0	0	2				P
P11286	0	1	1	1	0	0	0	3	B	YIAB_ECOLI			0	0					A
P11557	1	1	1	1	0	0	1	5	B	DAMX_ECOLI	1.13	2	2	2	2			B	P
P11667	0	1	1	1	0	0	0	3	B	ARGO_ECOLI			2	2	2				P
P13035	1	1	1	1	0	1	1	6	F1	GLPD_ECOLI		2	2	0	2		0.790897797	F1	P
P13036	1	1	1	1	0	0	1	5	H	FECA_ECOLI	0.24	2	2	1	2			H	P
P13458	0	1	1	1	0	1	1	5	B	SBCC_ECOLI			2	2	2		0.485821032	B	P
P13482	0	1	1	1	0	1	1	5	G	TREA_ECOLI			0	0	0			G	A
P13656	0	1	1	1	0	0	0	3	G	CHIA_ECOLI			0	0					A
P13738	0	1	1	1	0	0	1	4	B	NHAA_ECOLI			2	2	2			B	P
P14175	0	1	1	1	1	0	1	5	F1	PROV_ECOLI			2	2		0		F1	P
P14176	0	1	1	1	1	0	1	5	B	PROW_ECOLI			2	0	0	0		B	P
P14377	0	1	1	1	0	1	1	5	B	ZRAS_ECOLI			1	2	2			B	P
P15028	1	1	1	1	0	0	1	5	G	FECB_ECOLI	3.23	2	2	0	2			G	P
P15029	0	1	1	1	0	0	1	4	B	FECD_ECOLI			2	0	2			B	P
P15030	0	1	1	1	0	0	0	3	B	FECC_ECOLI			2	0	0				P
P15031	0	1	1	1	0	0	1	4	F1	FECE_ECOLI			2	0	2			F1	P
P15070	0	1	1	1	0	1	0	4	F1	FLIN_ECOLI			2	2	2				P
P15286	1	1	1	1	0	0	1	5	B	FLK_ECOLI	0.71	2	2	0	0			B	P
P16256	0	1	1	1	1	0	0	4	B	PANF_ECOLI			2	0	0	0			P
P16429	0	1	1	1	0	0	0	3	B	HYCC_ECOLI			2	2					P
P16683	0	1	1	1	0	0	0	3	B	PHNE_ECOLI			0	0	0				A
P16692	0	1	1	1	0	1	0	4	G	PHNP_ECOLI			0	0	0				L
P16701	0	1	1	1	1	0	0	4	B	CYST_ECOLI			2	2	2	0			P
P16869	0	1	1	1	0	0	1	4	H	FHUE_ECOLI			2	2	0			H	P
P16926	1	1	1	1	0	0	1	5	B	MREC_ECOLI	0.64	2	2	2				B	P
P17315	0	1	1	1	0	1	1	5	H	CIRA_ECOLI			2	2			0.563265057	H	P
P17444	0	1	1	1	0	0	1	4	F1	BETA_ECOLI			2	2	0			F1	P
P17583	0	1	1	1	0	0	0	3	B	CYNX_ECOLI			0	0	0				A
P17994	0	1	1	1	0	0	0	3	G	YFAA_ECOLI			0	0	0				A
P18775	1	1	1	1	0	0	1	5	F2	DMSA_ECOLI	0.29	2	0	0	2			F2	P
P18777	0	1	1	1	1	0	1	5	B	DMSC_ECOLI			2	0	2	0		B	P
P19642	0	1	1	1	0	0	0	3	B	PTOCB_ECOLI			2	2	2				P
P19926	1	1	1	1	0	0	1	5	G	AGP_ECOLI	4.94	2	2	2	2			G	P
P19934	1	1	1	1	0	0	1	5	B	TOLA_ECOLI	1	2	2	2	2			B	P
P20966	0	1	1	1	0	0	1	4	B	PTFBC_ECOLI			0	0				B	A
P21365	1	1	1	1	0	0	1	5	B	YCIC_ECOLI	1	2	2	2	2			B	P
P21367	1	1	1	1	0	0	1	5	B	YCAC_ECOLI	5.76	2	0	2				B	P
P21513	1	1	1	1	0	0	1	5	F1	RNE_ECOLI	1.03	2	2	2	2			F1	P
P21865	1	1	1	1	0	1	1	6	B	KDPD_ECOLI	0.79	2	2	2	2		0.483934069	B	P
P22255	0	1	1	1	0	0	1	4	F1	CYSQ_ECOLI			2	0	0			F1	P
P22586	0	1	1	1	1	0	0	4	B	FLIO_ECOLI			2	2	2	0			P
P22729	0	1	1	1	0	0	0	3	B	LIVM_ECOLI			0	0	0				A
P23173	0	1	1	1	0	0	0	3	B	TNAB_ECOLI			0	0	2				P
P23200	0	1	1	1	0	0	1	4	B	MGLC_ECOLI			0	0	0			B	A
P23482	0	1	1	1	0	0	0	3	B	HYFB_ECOLI			0	0	0				A
P23485	0	1	1	1	1	0	0	4	B	FECR_ECOLI			0	0	0	0			A
P23827	1	1	1	1	0	0	1	5	G	ECOT_ECOLI		2	2	2	2			G	P
P23842	0	0	1	1	0	0	1	3	B	YFEA_ECOLI				2	2			B	P
P23876	0	1	1	1	1	0	1	5	B	FEPD_ECOLI			0	0	0	0		B	A
P23877	0	1	1	1	0	0	0	3	B	FEPG_ECOLI			0	0	0				A
P23890	0	1	1	1	1	0	1	5	B	CADC_ECOLI			2	0		0		B	P
P23910	0	1	1	1	0	0	0	3	B	ARAJ_ECOLI			0	0	0				A
P24077	0	1	1	1	0	0	0	3	B	ENTS_ECOLI			0	0	0				A
P24180	0	0	1	1	0	0	0	2	E	ACRE_ECOLI				0	0				A
P24181	0	1	1	1	1	0	0	4	B	ACRF_ECOLI			0	0	0	0			A
P24183	0	1	1	1	0	1	0	4	F2	FDNG_ECOLI			2	0	2		0.020566152		P
P24207	0	1	1	1	0	0	1	4	B	PHEP_ECOLI			0	0	0			B	A
P24216	0	1	1	1	0	0	0	3	F4	FLID_ECOLI			2	2	2				P
P24241	0	1	1	1	0	0	0	3	B	PTIBC_ECOLI			0	0	0				A
P24244	0	0	0	0	0	0	0	0	B	YCCB_ECOLI									E
P25396	0	1	1	1	0	0	1	4	B	TEHA_ECOLI			2	2	2			B	P
P25549	0	1	1	1	0	0	0	3	G	ASLA_ECOLI			2	2	2				P
P25552	0	1	1	1	0	1	1	5	B	GPPA_ECOLI			2	2	2		4.540985407	B	P
P25736	0	1	1	1	1	0	0	4	G	END1_ECOLI			0	0	2	0			P
P25744	0	1	1	1	0	0	1	4	B	MDTG_ECOLI			2	2	2			B	P
P25747	0	1	1	1	0	0	0	3	B	YEIB_ECOLI			0	0	0				A
P25798	0	1	1	1	1	0	0	4	B	FLIF_ECOLI			2	2	2	0			P
P25894	1	1	1	1	0	0	1	5	I	YGGG_ECOLI	1.88	2	2	2	2			I	P
P25907	0	1	1	1	0	0	0	3	G	YDBD_ECOLI			2	2					P
P25960	0	1	1	1	1	0	0	4	B	LEP4_ECOLI			0	0		0			A
P26218	0	1	1	1	0	0	0	3	H	BGLH_ECOLI			0	0	0				A
P26266	0	1	1	1	1	0	0	4	B	FEPE_ECOLI			0	0	0	0			A
P27125	0	1	1	1	0	0	1	4	B	RHAT_ECOLI			0	0	0			B	A
P27243	0	1	1	1	0	0	1	4	B	RFAL_ECOLI			2	2	2			B	P
P27250	0	1	1	1	0	0	1	4	B	YJGB_ECOLI			2	2	2			B	P
P27254	0	1	1	1	0	0	0	3	F1	ARGK_ECOLI			0	0	0				A
P27300	0	1	1	1	0	0	1	4	B	LPXK_ECOLI			2	2	2			B	P
P27303	1	1	1	1	0	0	1	5	B	EMRA_ECOLI	1.13	2	2	0	0			B	P
P27434	1	1	1	1	0	1	1	6	B	RODZ_ECOLI	2.61	2	2	2	2		6.107724348	B	P
P27835	0	0	1	1	0	0	0	2	B	WZYE_ECOLI				1	0				A
P27837	0	1	1	1	0	0	1	4	B	YIFK_ECOLI			2	2	2			B	P
P27842	0	1	1	1	0	0	0	3	B	YIGF_ECOLI			0	0	0				A
P28246	0	1	1	1	0	0	1	4	B	BCR_ECOLI			2	0	0			B	P
P28303	0	1	1	1	0	0	0	3	B	DINF_ECOLI			2	2					P
P28307	0	1	1	1	1	0	0	4	F4	CSGA_ECOLI			0	0	0	0			A
P28911	0	1	1	1	0	0	0	3	B	YHHH_ECOLI			2	2	2				P
P28915	0	1	1	1	0	0	0	3	G	YBFC_ECOLI			0	0	0				A
P29131	1	1	1	1	0	0	1	5	B	FTSN_ECOLI	0.48	2	2	2	2			B	P
P30015	0	1	1	1	1	1	0	5	B	LHR_ECOLI			0	0	0	0	0.151489303		L
P30126	0	1	1	1	1	0	1	5	B	LEUD_ECOLI			2	2	2	0		B	P
P30130	0	1	1	1	1	1	0	5	H	FIMD_ECOLI			0	0	0	0	0.363873177		L
P30149	0	1	1	1	0	0	1	4	B	YABI_ECOLI			2	2	2			B	P
P30855	0	1	1	1	1	1	0	5	B	EVGS_ECOLI			2	2		0	1.525168314		P
P30860	0	1	1	1	0	0	1	4	G	ARTJ_ECOLI			0	0	0			G	A
P31058	0	1	1	1	0	0	0	3	G	YADC_ECOLI			0	0					A
P31063	1	1	1	1	0	0	0	4	I	YEDD_ECOLI	0.25	2	2	2	2				P
P31064	0	1	1	1	0	0	0	3	B	YEDE_ECOLI			2	2	2				P
P31121	0	1	1	1	1	0	0	4	G	MARB_ECOLI			0	0	0	0			A
P31122	0	1	1	1	0	0	0	3	B	SOTB_ECOLI			2	2	0				P
P31126	0	1	1	1	0	0	0	3	B	YDEE_ECOLI			2	2	2				P
P31130	0	1	1	1	0	1	0	4	G	YDEI_ECOLI			0	0	0		1.370189996		P
P31131	0	1	1	1	0	1	0	4	B	YDEJ_ECOLI			2	2	2				P
P31135	0	1	1	1	1	0	0	4	B	POTH_ECOLI			2	0	0	0			P
P31224	0	1	1	1	0	0	1	4	B	ACRB_ECOLI			0	2	2			B	P
P31436	0	1	1	1	0	0	0	3	B	SETC_ECOLI			0	0	0				A
P31437	0	1	1	1	0	0	1	4	B	YICL_ECOLI			1	0	0			B	A
P31441	1	1	1	1	0	0	0	4	B	ADEC_ECOLI		2	2	0	0				P
P31442	0	1	1	1	0	0	0	3	B	EMRD_ECOLI			1	2					P
P31446	0	1	1	1	0	0	0	3	B	YIDI_ECOLI			0	0					A
P31448	0	1	1	1	0	0	0	3	B	YIDK_ECOLI			0	0	0				A
P31459	0	1	1	1	0	0	0	3	B	DGOK_ECOLI			0	2					P
P31468	0	1	1	1	0	0	0	3	B	CBRB_ECOLI			2	0					P
P31471	0	1	1	1	0	0	0	3	G	YIEL_ECOLI			0	0	0				A
P31547	0	1	1	1	0	0	1	4	B	METI_ECOLI			2	2	2			B	P
P31548	0	1	1	1	0	0	1	4	F1	THIQ_ECOLI			2	0				F1	P
P31549	0	1	1	1	0	0	0	3	B	THIP_ECOLI			2	2	2				P
P31550	0	1	1	1	0	0	1	4	G	THIB_ECOLI			0	2	0			G	P
P31675	0	1	1	1	0	0	0	3	B	SETA_ECOLI			2	0					P
P31680	0	1	1	1	0	0	1	4	B	DJLA_ECOLI			2	2	2			B	P
P31697	0	1	1	1	0	0	0	3	G	FIMC_ECOLI			2	2					P
P31801	0	1	1	1	0	0	1	4	B	CHAA_ECOLI			2	1	2			B	P
P31826	0	0	1	1	0	0	0	2	B	YDDA_ECOLI				0	0				A
P31827	0	1	1	1	0	0	1	4	G	YDDB_ECOLI			0	0				G	A
P31828	1	1	1	1	0	1	1	6	G	PQQL_ECOLI		2	0	0	0			G	P
P31991	0	1	1	1	0	0	0	3	B	YDCD_ECOLI			2	2					P
P32106	0	1	1	1	1	0	0	4	G	YIBG_ECOLI			0	0	0	0			A
P32128	0	1	1	1	0	0	0	3	B	YIHF_ECOLI			2	2	2				P
P32135	0	1	1	1	0	0	1	4	B	YIHN_ECOLI			0	0	0			B	A
P32136	0	1	1	1	0	0	0	3	B	YIHO_ECOLI			0	0					A
P32137	0	1	1	1	0	0	0	3	B	YIHP_ECOLI			0	0	0				A
P32151	0	1	1	1	0	0	0	3	E	YIIG_ECOLI			0	0	0				A
P32154	0	1	1	1	0	0	0	3	B	PTFLB_ECOLI			2	2					P
P32155	0	1	1	1	1	0	0	4	F1	PTFA_ECOLI			0	0	0	0			A
P32167	0	1	1	1	0	0	0	3	G	YIIX_ECOLI			0	0	0				A
P32176	1	1	1	1	0	0	1	5	G	FDOG_ECOLI	3.84	2	2	2	2			G	P
P32668	0	1	1	1	0	0	0	3	G	YIJF_ECOLI			0	0	0				A
P32672	0	1	1	1	0	0	0	3	B	PTFC2_ECOLI			0	0	0				A
P32688	0	1	1	1	0	0	0	3	G	YJBG_ECOLI			0	0	0				A
P32701	0	1	1	1	0	0	0	3	B	YJCC_ECOLI			0	0	0				A
P32703	0	1	1	1	0	0	1	4	B	YJCE_ECOLI			2	2	2			B	P
P32705	0	1	1	1	0	0	1	4	B	ACTP_ECOLI			2	2				B	P
P32709	0	1	1	1	0	0	0	3	B	NRFD_ECOLI			2	2	2				P
P32710	0	1	1	1	0	0	0	3	B	NRFE_ECOLI			0	0	0				A
P32711	0	1	1	1	1	0	0	4	B	NRFF_ECOLI			0	0	0	0			A
P32716	0	1	1	1	0	0	0	3	B	MDTN_ECOLI			0	0	0				A
P32717	0	1	1	1	0	0	0	3	G	YJCS_ECOLI			2	2	2				P
P32720	0	1	1	1	0	0	0	3	B	ALSC_ECOLI			1	0	0				A
P32721	0	1	1	1	0	1	0	4	F1	ALSA_ECOLI			2	2	2				P
P33013	0	1	1	1	0	0	0	3	F2	DACD_ECOLI			2	2	2				P
P33015	0	1	1	1	0	0	1	4	B	YEEE_ECOLI			0	2				B	P
P33021	0	1	1	1	0	0	0	3	B	NUPX_ECOLI			0	0	0				A
P33025	0	1	1	1	0	0	0	3	B	PSUG_ECOLI			0	2					P
P33026	0	1	1	1	0	0	0	3	B	SETB_ECOLI			0	0	2				P
P33128	0	1	1	1	1	0	0	4	G	ECPD_ECOLI			0	0	0	0			A
P33129	0	1	1	1	1	1	0	5	H	HTRE_ECOLI			0	0	0	0			L
P33135	0	1	1	1	1	0	0	4	B	FLIR_ECOLI			2	1	0	0			P
P33218	0	1	1	1	0	1	1	5	B	YEBE_ECOLI			2	2	2		1.688660975	B	P
P33231	1	1	1	1	0	0	0	4	B	LLDP_ECOLI	0.08	2	2	2	2				P
P33236	0	0	1	1	1	0	0	3	B	MOKC_ECOLI				2	2	0			P
P33354	0	1	1	1	0	0	0	3	I	YEHR_ECOLI			0	0	0				A
P33359	0	1	1	1	0	0	0	3	B	YEHW_ECOLI			0	0	0				A
