Gene Name	Ordered Locus Name	VALUE	ABS_CALL	DETECTION P-VALUE	NORMALIZED BY GLOBAL INTENSITY (EXPRESSED AS PARTS PER MILLION)
focB	b2492	100,447	A	0,0957232	28
folA	b0048	692,574	P	0,0234132	190
folC	b2315	968,1	P	0,000327479	266
folD	b0529	1412,97	P	0,00381521	388
folE	b2153	1977,33	P	0,00175518	543
folK	b0142	250,828	P	0,0234132	69
folP	b3177	874,088	P	0,00225703	240
folX	b2303	443,992	P	0,000327479	122
FPLMCG	Protein-A	2,57812	A	0,99859	1
FPLMCG	Protein-B	20,7215	A	0,368438	6
FPLMCG	Protein-C	63,8658	A	0,51489	18
FPLMCG	Protein-D	39,9586	A	0,287743	11
FPLMCG	Protein-E	2,46018	A	0,932322	1
FPLMCG	Protein-G	16,8694	A	0,712257	5
FPLMCG	Protein-H	13,0713	A	0,783476	4
fpr	b3924	1094,86	P	0,00049077	301
frdA	b4154	592,389	P	0,00320325	163
frdB	b4153	363,381	P	0,00657518	100
frdC	b4152	68,4058	A	0,088557	19
frdD	b4151	185,866	P	0,0133783	51
frr	b0172	2439,33	P	0,000402638	670
fruA	b2167	126,271	A	0,34162	35
fruB	b2169	733,274	P	0,000402638	202
fruK	b2168	306,814	P	0,0267372	84
fruL	b0079	119,387	P	0,00529677	33
fruR	b0080	656,851	P	0,00225703	181
frvA	b3900	67,3648	A	0,296809	19
frvB	b3899	114,539	P	0,00928336	31
frvR	b3897	18,2765	A	0,681117	5
frvX	b3898	63,4112	A	0,088557	17
frwB	b3950	61,7308	P	0,0234132	17
frwC	b3949	144,123	A	0,24776	40
frwD	b3953	14,163	A	0,611787	4
fsr	b0479	185,187	P	0,00459071	51
ftn	b1905	4950,76	P	0,000327479	1361
ftsA	b0094	1615,8	P	0,000603158	444
ftsE	b3463	1026,06	P	0,00157146	282
ftsI	b0084	290,234	P	0,0204441	80
ftsJ	b3179	1901,28	P	0,000327479	522
ftsK	b0890	1113,73	P	0,000603158	306
ftsL	b0083	1071,64	P	0,000892689	295
ftsN	b3933	488,863	P	0,00157146	134
ftsQ	b0093	1036,7	P	0,00214285	285
ftsW	b0089	391,265	P	0,00175518	108
ftsX	b3462	438,519	A	0,0990615	121
ftsY	b3464	1604,65	P	0,000612512	441
ftsZ	b0095	2429,47	P	0,000402638	668
fucA	b2800	65,0508	P	0,00993898	18
fucI	b2802	177,873	P	0,0442012	49
fucK	b2803	213,165	P	0,0178004	59
fucO	b2799	72,7054	A	0,122747	20
fucP	b2801	12,5923	A	0,71497	3
fucR	b2805	380,278	P	0,00108112	105
fucU	b2804	294,959	P	0,00188612	81
fumA	b1612	804,48	P	0,000612512	221
fumB	b4122	24,5435	A	0,801637	7
fumC	b1611	441,43	P	0,0072983	121
fur	b0683	1982,69	P	0,000612512	545
fusA	b3340	11919,7	P	0,000327479	3276
gabD	b2661	147,474	P	0,034572	41
gabP	b2663	15,8108	A	0,477354	4
gabT	b2662	184,058	A	0,167138	51
gadA	b3517	10,8557	A	0,54522	3
gadB	b1493	66,6347	P	0,000244141	18
galE	b0759	906,749	P	0,0421419	249
galF	b2042	1498,52	P	0,00049077	412
galK	b0757	972,031	P	0,00459071	267
galM	b0756	1138,99	P	0,000603158	313
galP	b2943	198,81	P	0,0044925	55
galR	b2837	478,515	P	0,00225703	132
galS	b2151	146,206	P	0,0239949	40
galT	b0758	520,635	P	0,00116472	143
galU	b1236	683,022	P	0,000327479	188
gapA	b1779	10895,2	P	8,15E-12	2994
gapC	b1417	808,835	P	0,00049077	222
gapC	b1416	921,017	P	0,00049077	253
gatA	b2094	2520,37	P	0,000327479	693
gatB	b2093	2058,15	P	0,00049077	566
gatC	b2092	1307,96	P	0,00260662	359
gatD	b2091	304,054	P	0,00157146	84
gatR	b2090	337,743	P	0,00306668	93
gatR1	b2087	27,2598	A	0,153312	7
gatY	b2096	5190,83	P	0,000327479	1427
gatZ	b2095	4494,55	P	0,00049077	1235
gcd	b0124	1188,85	P	0,00049077	327
gcl	b0507	39,3428	A	0,140265	11
gcpE	b2515	1497,79	P	0,000603158	412
gcvA	b2808	231,419	M	0,0620214	64
gcvH	b2904	6613,77	P	0,000327479	1818
gcvP	b2903	1740,78	P	0,00049077	478
gcvR	b2479	2072,56	P	0,000493549	570
gcvT	b2905	3547,24	P	0,00049077	975
gdhA	b1761	1753,58	P	0,000327479	482
gef	b0018	49,4048	P	0,036797	14
ggt	b3447	227,913	P	0,034572	63
gidA	b3741	267,563	P	0,00782678	74
gidB	b3740	144,789	P	0,0133783	40
gip	b0508	36,0418	A	0,0698779	10
glcB	b2976	128,114	P	0,00108112	35
glcC	b2980	209,837	P	0,0133783	58
glcD	b2979	58,814	A	0,254899	16
glcF	b2978	248,397	P	0,00529677	68
glcG	b2977	480,692	P	0,00459071	132
gldA	b3945	92,0452	A	0,150145	25
glf	b2036	1236,77	P	0,000327479	340
glgA	b3429	900,869	P	0,000327479	248
glgB	b3432	1710,5	P	0,000612512	470
glgC	b3430	1525,43	P	0,000493549	419
glgP	b3428	372,145	P	0,000612512	102
glgS	b3049	151,85	P	0,000603158	42
glgX	b3431	920,11	P	0,00094359	253
glk	b2388	929,85	P	0,00049077	256
glmS	b3729	2082,51	P	0,00379911	572
glmU	b3730	3351,69	P	0,000327479	921
glnA	b3870	1837,65	P	0,000327479	505
glnB	b2553	429,914	P	0,00143241	118
glnD	b0167	609,364	P	0,00049077	167
glnE	b3053	1137,79	P	0,000892689	313
glnG	b3868	273,437	A	0,167138	75
glnH	b0811	4871,55	P	0,000327479	1339
glnK	b0450	76,8142	A	0,11649	21
glnL	b3869	717,239	P	0,00214285	197
glnP	b0810	2140,28	P	0,000327479	588
glnQ	b0809	2039,63	P	0,000612512	561
glnS	b0680	1699,55	P	0,000402638	467
glnV	b0665	1654,16	P	0,000976563	455
glnW	b0668	3615,85	P	0,00049077	994
glnX	b0664	1321,25	P	0,00073689	363
gloA	b1651	1182,96	P	0,000327479	325
gloB	b0212	132,96	P	0,000327479	37
glpA	b2241	120,263	A	0,0778177	33
glpB	b2242	218,886	P	0,0239949	60
glpC	b2243	100,299	A	0,324781	28
glpD	b3426	328,491	P	0,034572	90
glpE	b3425	252,349	P	0,000402638	69
glpF	b3927	514,895	P	0,000402638	142
glpG	b3424	923,877	P	0,00143241	254
glpK	b3926	383,68	P	0,0234132	105
glpQ	b2239	110,557	P	0,00130539	30
glpR	b3423	530,389	P	0,00175518	146
glpT	b2240	130,111	P	0,0129214	36
glpX	b3925	419,368	P	0,00269283	115
gltA	b0720	3084,04	P	0,000327479	848
gltB	b3212	5831,55	P	0,000327479	1603
gltD	b3213	4131,33	P	0,00157146	1135
gltF	b3214	103,848	P	0,034572	29
gltJ	b0654	229,247	P	0,000603158	63
gltK	b0653	335,782	P	0,00622665	92
gltL	b0652	435,044	P	0,000612512	120
gltP	b4077	519,963	P	0,00852936	143
gltS	b3653	161,536	A	0,216313	44
gltT	b3969	6075,1	P	0,00390625	1670
gltU	b3757	5255,69	P	0,000976563	1444
gltV	b4008	4888,58	P	0,000244141	1343
gltW	b2590	5542,64	P	0,000327479	1523
gltX	b2400	1614,02	P	0,00381521	444
glvB	b3682	96,41	A	0,070073	26
glvC	b3683	58,7273	P	0,00320325	16
glvG	b3681	136,177	P	0,0442012	37
glyA	b2551	3510,15	P	0,000327479	965
glyQ	b3560	2433,02	P	0,000327479	669
glyS	b3559	2167,87	P	0,000761638	596
glyT	b3978	3575,39	P	0,000327479	983
glyU	b2864	551,792	P	0,00157146	152
glyV	b4163	2085,08	P	0,000488281	573
glyW	b1911	3121,44	P	0,000350905	858
glyX	b4164	2037,9	P	0,046875	560
glyY	b4165	545,836	A	0,1875	150
gmd	b2053	211,627	A	0,122747	58
gmhA	b0222	1246,54	P	0,000327479	343
gmk	b3648	2491,79	P	0,000402638	685
gnd	b2029	6696,18	P	1,20E-11	1840
gntK	b3437	87,0887	A	0,345472	24
gntP	b4321	109,52	P	0,0442012	30
gntR	b3438	769,608	P	0,00381521	211
gntT	b3415	338,763	P	0,00157146	93
gntU	b3436	107,073	P	0,0234132	29
gntU	b3435	145,083	P	0,036797	40
goaG	b1302	173,546	M	0,0625767	48
gor	b3500	1856,46	P	0,000402638	510
gph	b3385	2569,78	P	0,000327479	706
gpmA	b0755	2206,68	P	0,00049077	606
gpmB	b4395	275,944	P	0,0234132	76
gppA	b3779	611,887	P	0,000761638	168
gpsA	b3608	3135,91	P	0,00116472	862
gpt	b0238	668,206	P	0,000603158	184
greA	b3181	457,273	P	0,000603158	126
greB	b3406	292,331	P	0,000734887	80
grpE	b2614	1390,45	P	0,000327479	382
grxA	b0849	101,624	P	0,000327479	28
grxB	b1064	886,783	P	0,000612512	244
grxC	b3610	5589,09	P	0,000612512	1536
gshA	b2688	3201,68	P	0,000327479	880
gshB	b2947	1826,6	P	0,000327479	502
gsk	b0477	258,585	P	0,00130539	71
gsp	b2988	401,898	P	0,000327479	110
gst	b1635	722,966	P	0,000734887	199
guaA	b2507	2678,23	P	0,00049077	736
guaB	b2508	3777,51	P	0,00049077	1038
guaC	b0104	1426,63	P	0,0204441	392
gutM	b2706	123,067	P	0,0072983	34
gutQ	b2708	226,372	P	0,0267372	62
gyrA	b2231	1233,91	P	0,00049077	339
gyrB	b3699	1208,55	P	0,00269283	332
hcaA1	b2538	128,967	P	0,0277665	35
hcaA2	b2539	215,971	A	0,167138	59
hcaB	b2541	174,187	A	0,11649	48
hcaC	b2540	306,08	P	0,00459071	84
hcaD	b2542	171,672	A	0,11649	47
hcaR	b2537	77,5393	A	0,135974	21
hcaT	b2536	209,676	P	0,0151637	58
hdeA	b3510	993,325	P	0,000402638	273
hdeB	b3509	406,433	P	0,000612512	112
hdeD	b3511	172,828	P	0,0304463	47
hdhA	b1619	244,675	P	0,000493549	67
helD	b0962	474,669	P	0,000493549	130
hemA	b1210	1054,33	P	0,00379911	290
hemB	b0369	894,74	P	0,00225703	246
hemC	b3805	1960,33	P	0,00049077	539
hemD	b3804	2234,67	P	0,000612512	614
hemE	b3997	1472,66	P	0,000603158	405
hemF	b2436	316,226	P	0,0391461	87
hemG	b3850	770,439	P	0,00108112	212
hemH	b0475	261,552	P	0,0044925	72
hemK	b1212	286,954	P	0,00928336	79
hemL	b0154	778,828	P	0,00049077	214
hemM	b1209	1226,38	P	0,000327479	337
hemN	b3867	555,15	P	0,00108112	153
hemX	b3803	1619,05	P	0,00049077	445
hemY	b3802	734,581	M	0,0558844	202
hepA	b0059	540,993	P	0,00379911	149
hflB	b3178	1804,61	P	0,000327479	496
hflC	b4175	1426,17	P	0,00108112	392
hflK	b4174	2274,54	P	0,000327479	625
hflX	b4173	2847,25	P	0,000327479	782
hfq	b4172	3842,57	P	0,00049077	1056
hha	b0460	964,364	P	0,000734887	265
himA	b1712	1904,12	P	0,000327479	523
himD	b0912	2202,11	P	0,000603158	605
hipA	b1507	285,996	P	0,000402638	79
hipB	b1508	546,807	P	0,00094359	150
hisA	b2024	1426,5	P	0,00782678	392
hisB	b2022	773,507	P	0,00379911	213
hisC	b2021	965,216	P	0,00049077	265
hisD	b2020	776,719	P	0,00315926	213
hisF	b2025	1333,32	P	0,000327479	366
hisG	b2019	974,637	P	0,000402638	268
hisH	b2023	608,157	P	0,00381521	167
hisI	b2026	524,418	P	0,00188612	144
hisJ	b2309	954,375	P	0,000612512	262
hisL	b2018	482,62	P	0,00073689	133
hisM	b2307	165,59	P	0,0109718	46
hisP	b2306	478,658	P	0,00175518	132
hisQ	b2308	207,992	P	0,000402638	57
hisR	b3797	3972,68	P	0,000327479	1092
hisS	b2514	2528,18	P	0,00049077	695
hlpA	b0178	7056,26	P	0,000327479	1939
hlyE	b1182	3,05807	A	0,462489	1
hmpA	b2552	326,781	P	0,00269283	90
hnr	b1235	132,951	P	0,0178004	37
hns	b1237	4512,29	P	0,00049077	1240
hofB	b0107	25,8019	A	0,318883	7
hofC	b0106	73,7779	P	0,00379911	20
hofD	b3335	48,6687	A	0,28503	13
hofF	b3327	7,90565	A	0,432352	2
hofG	b3328	37,893	A	0,388213	10
hofH	b3329	163,988	A	0,150145	45
hofQ	b3391	78,3409	A	0,413046	22
holA	b0640	793,521	P	0,000402638	218
holB	b1099	362,188	P	0,0234132	100
holC	b4259	1325,07	P	0,00049077	364
holD	b4372	760,784	P	0,0151637	209
holE	b1842	334,719	P	0,0044925	92
hpt	b0125	1250,52	P	0,000327479	344
hrpA	b1413	483,89	P	0,000892689	133
hrpB	b0148	375,638	P	0,00529677	103
hrsA	b0731	133,551	P	0,0234132	37
hscA	b2526	1604,38	P	0,000327479	441
hsdM	b4349	518,245	P	0,0044925	142
hsdR	b4350	219,189	P	0,00143241	60
hsdS	b4348	376,487	P	0,00993898	103
hslJ	b1379	558,591	P	0,00143241	154
hslU	b3931	1143,31	P	0,00049077	314
hslV	b3932	2198,65	P	0,000493549	604
htgA	b0012	33,5019	A	0,266065	9
htpG	b0473	416,404	A	0,0864242	114
htpX	b1829	842,527	P	0,000327479	232
htrA	b0161	349,897	P	0,000892689	96
htrB	b1054	757,482	P	0,00049077	208
htrC	b3989	68,4911	A	0,0698779	19
htrE	b0139	15,3647	A	0,437646	4
htrL	b3618	254,591	P	0,00116472	70
hupA	b4000	8569,8	P	0,000327479	2355
hupB	b0440	1535,13	P	0,000327479	422
hyaA	b0972	14,0994	A	0,71497	4
hyaB	b0973	111,605	A	0,105738	31
hyaC	b0974	104,255	P	0,000493549	29
hyaD	b0975	85,9819	A	0,197123	24
hyaE	b0976	86,2736	A	0,413046	24
hyaF	b0977	19,2858	A	0,71497	5
hybA	b2996	249,496	P	0,00049077	69
hybB	b2995	199,713	P	0,0177324	55
hybC	b2994	253,571	P	0,0442012	70
hybD	b2993	235,334	P	0,015454	65
hybE	b2992	171,311	P	0,00657518	47
hybF	b2991	115,225	M	0,0625767	32
hybG	b2990	169,995	P	0,00143241	47
hycA	b2725	29,9527	A	0,254899	8
hycB	b2724	101,04	A	0,070073	28
hycC	b2723	77,5825	P	0,00928336	21
hycD	b2722	130,112	P	0,0177324	36
hycE	b2721	106,454	A	0,165268	29
hycF	b2720	167,707	A	0,230151	46
hycG	b2719	157,562	A	0,0990615	43
hycH	b2718	154,64	P	0,0277665	42
hycI	b2717	147,247	M	0,0625767	40
hydG	b4004	217,185	P	0,00269283	60
hydH	b4003	153,196	M	0,0547106	42
hydN	b2713	183,479	P	0,0151637	50
hyfA	b2481	13,1529	A	0,633364	4
hyfB	b2482	17,2575	A	0,724538	5
hyfC	b2483	10,5986	A	0,567648	3
hyfD	b2484	29,7988	A	0,937423	8
hyfE	b2485	119,761	A	0,153312	33
hyfF	b2486	124,787	A	0,198363	34
hyfG	b2487	12,4203	A	0,818256	3
hyfH	b2488	107,95	A	0,070073	30
hyfI	b2489	118,571	P	0,00782678	33
hyfR	b2491	102,522	P	0,0391461	28
hypA	b2726	131,649	P	0,0204441	36
hypB	b2727	172,446	P	0,0109718	47
hypC	b2728	268,422	M	0,0625767	74
hypD	b2729	218,441	P	0,00622665	60
hypE	b2730	239,775	P	0,0133783	66
hypF	b2712	82,8135	P	0,0391461	23
iadA	b4328	295,919	P	0,00108112	81
iap	b2753	174,368	P	0,0072983	48
ibpA	b3687	681,819	P	0,00320325	187
ibpB	b3686	139,96	P	0,0072983	38
icc	b3032	1392,06	P	0,00049077	383
icdA	b1136	8023,28	P	0,000327479	2205
iciA	b2916	242,421	P	0,00188612	67
iclR	b4018	351,354	P	0,00852936	97
idnD	b4267	128,523	A	0,070073	35
idnK	b4268	40,3522	P	0,0497698	11
idnO	b4266	61,1131	A	0,413046	17
idnR	b4264	98,1554	P	0,00381521	27
idnT	b4265	312,655	P	0,0109718	86
ileS	b0026	2149,75	P	0,000402638	591
ileT	b3852	2070,57	P	0,000488281	569
ileU	b3277	1921,6	P	0,000327479	528
ileX	b3069	17,7818	A	0,4375	5
ileY	b2652	166,136	P	0,0234375	46
ilvA	b3772	300,352	P	0,00188612	83
ilvB	b3671	247,507	P	0,0497698	68
ilvC	b3774	326,443	P	0,00188612	90
ilvD	b3771	501,633	P	0,00529677	138
ilvE	b3770	1151,88	P	0,000603158	317
ilvG	b3767	464,798	P	0,00381521	128
ilvH	b0078	805,366	P	0,00108112	221
ilvI	b0077	830,101	P	0,00108112	228
ilvL	b3766	1068,83	P	0,000734887	294
ilvM	b3769	263,996	P	0,000493549	73
ilvN	b3670	53,7175	A	0,304618	15
ilvY	b3773	231,695	A	0,0990615	64
imp	b0054	1777,26	P	0,000612512	488
inaA	b2237	508,62	P	0,000761638	140
infA	b0884	1772,57	P	0,00049077	487
infB	b3168	3253,43	P	0,00049077	894
infC	b1718	7661,58	P	0,00049077	2106
insA	b4294	269,261	M	0,0619646	74
insA	b0022	519,079	P	0,00390625	143
insA	b0265	462,422	P	0,015625	127
insA	b1894	436,819	P	0,015625	120
intA	b2622	395,765	P	0,00157146	109
intB	b4271	65,431	P	0,00320325	18
intC	b2349	128,936	P	0,00269283	35
intD	b0537	135,406	M	0,0558844	37
intE	b1140	11,6673	A	0,0778177	3
intF	b0281	91,9469	P	0,000493549	25
ispA	b0421	1378,95	P	0,000603158	379
ispB	b3187	2238,32	P	0,000402638	615
ivbL	b3672	1016,84	P	0,000327479	279
katE	b1732	160,416	A	0,11649	44
katG	b3942	630,992	P	0,00157146	173
kbl	b3617	3455,26	P	0,00049077	950
kch	b1250	229,609	P	0,00320325	63
kdgK	b3526	467,962	P	0,0304463	129
kdgT	b3909	43,5673	A	0,304618	12
kdpA	b0698	130,986	A	0,181744	36
kdpB	b0697	27,6831	A	0,364945	8
kdpC	b0696	179,556	P	0,00315926	49
kdpD	b0695	153,609	P	0,00993898	42
kdpE	b0694	210,428	P	0,00529677	58
kdsA	b1215	1175,74	P	0,000327479	323
kdsB	b0918	1335,82	P	0,000402638	367
kdtA	b3633	475,403	P	0,000327479	131
kdtB	b3634	267,041	P	0,00188612	73
kduD	b2842	117,609	A	0,477354	32
kduI	b2843	151,918	P	0,015454	42
kefB	b3350	536,431	P	0,0234132	147
kefC	b0047	279,401	P	0,00852936	77
kgtP	b2587	4986,71	P	0,000327479	1370
ksgA	b0051	1745,62	P	0,00049077	480
kup	b3747	124,373	M	0,0625767	34
lacA	b0342	9,16117	A	0,388213	3
lacI	b0345	206,258	A	0,0698779	57
lacY	b0343	27,136	A	0,432352	7
lacZ	b0344	170,853	A	0,140265	47
lamB	b4036	1733,02	P	0,000327479	476
lar	b1348	13,9908	A	0,58986	4
lasT	b4403	498,473	P	0,000327479	137
ldcC	b0186	162,784	P	0,00622665	45
ldhA	b1380	2305,1	P	0,000327479	633
lepA	b2569	963,931	P	0,00049077	265
lepB	b2568	489,181	P	0,00928336	134
leuA	b0074	761,943	P	0,000402638	209
leuB	b0073	791,327	P	0,00116472	217
leuC	b0072	655,691	P	0,00269283	180
leuD	b0071	297,49	P	0,000327479	82
leuL	b0075	58,7775	P	0,0320196	16
leuO	b0076	66,7255	P	0,0204441	18
leuP	b4369	1939,34	P	0,000244141	533
leuQ	b4370	1548,43	P	0,0078125	426
leuS	b0642	2276,72	P	0,00049077	626
leuT	b3798	1892,22	P	0,015625	520
leuU	b3174	3,80384	A	0,996797	1
leuV	b4368	1368,46	P	0,00073689	376
leuW	b0672	2361	P	0,000402638	649
leuX	b4270	63,2627	P	0,00157146	17
leuZ	b1909	1272,12	P	0,000892689	350
lexA	b4043	1532	P	0,000892689	421
lgt	b2828	1286,93	P	0,000612512	354
lhr	b1653	123,053	A	0,304618	34
lig	b2411	488,942	P	0,0277665	134
lipA	b0628	1272,17	P	0,000493549	350
lipB	b0630	252,541	P	0,00225703	69
lit	b1139	32,1765	P	0,00379911	9
livF	b3454	303,499	M	0,0558844	83
livG	b3455	217,652	A	0,0990615	60
livH	b3457	169,436	P	0,0109718	47
livJ	b3460	347,294	P	0,0239949	95
livK	b3458	116,563	A	0,413046	32
livM	b3456	191,527	A	0,110449	53
lldD	b3605	397,692	A	0,105738	109
lldP	b3603	248,516	P	0,00622665	68
lldR	b3604	342,768	P	0,0442012	94
lnt	b0657	331,17	P	0,00993898	91
lolA	b0891	1340,67	P	0,000327479	368
lon	b0439	2601,02	P	0,000327479	715
lpdA	b0116	6444,41	P	0,000327479	1771
lplA	b4386	426,351	P	0,000402638	117
lpp	b1677	7809,18	P	2,33E-11	2146
lpxA	b0181	1000,23	P	0,000402638	275
lpxB	b0182	506,647	P	0,000761638	139
lpxC	b0096	2634,88	P	0,000402638	724
lpxD	b0179	3176,5	P	0,000327479	873
lrhA	b2289	119,652	P	0,0204441	33
lrp	b0889	1613,8	P	0,000327479	443
lspA	b0027	1208,53	P	0,000327479	332
lysA	b2838	95,1403	A	0,135974	26
lysC	b4024	150,133	P	0,00130539	41
lysP	b2156	249,065	P	0,000612512	68
lysQ	b0749	7977,1	P	0,00390625	2192
lysR	b2839	136,595	A	0,127994	38
lysS	b2890	1642,52	P	0,000402638	451
lysT	b0743	7425,82	P	0,000327479	2041
lysU	b4129	1104,98	P	0,00049077	304
lysW	b0745	6435,28	P	0,00195313	1769
lysY	b0747	7250,2	P	0,000976563	1992
lysZ	b0748	7582,31	P	0,000488281	2084
lytB	b0029	509,656	P	0,000734887	140
lyxK	b3580	81,6894	M	0,0620214	22
malE	b4034	2890,39	P	0,00049077	794
malF	b4033	456,669	P	0,00214285	125
malG	b4032	472,968	P	0,00108112	130
malI	b1620	168,293	P	0,036797	46
malK	b4035	1795,62	P	0,000327479	493
malM	b4037	592,857	P	0,000327479	163
malP	b3417	1913,59	P	0,00049077	526
malQ	b3416	940,736	P	0,00049077	259
malS	b3571	184,941	P	0,00529677	51
malT	b3418	339,511	P	0,000734887	93
malX	b1621	143,766	P	0,00269283	40
malY	b1622	216,817	P	0,00108112	60
malZ	b0403	282,605	P	0,000402638	78
manA	b1613	1693,44	P	0,000402638	465
manX	b1817	4254,36	P	0,000327479	1169
manY	b1818	3306,03	P	0,000327479	909
manZ	b1819	461,901	P	0,000327479	127
maoC	b1387	105,718	A	0,198363	29
map	b0168	1414,38	P	2,98E-11	389
marA	b1531	491,044	P	0,00049077	135
marB	b1532	241,053	A	0,0778177	66
marR	b1530	370,769	P	0,0267372	102
mazG	b2781	544,643	P	0,000327479	150
mbhA	b0230	90,0378	A	0,213264	25
mcrA	b1159	21,7459	A	0,0864242	6
mcrB	b4346	321,892	P	0,000327479	88
mcrC	b4345	71,4145	P	0,00315926	20
mcrD	b4344	44,7345	A	0,366636	12
mdaA	b0851	1099,36	P	0,000402638	302
mdaB	b3028	385,207	P	0,00852936	106
mdh	b3236	2800,76	P	1,85E-12	770
mdlA	b0448	144,247	P	0,00928336	40
mdlB	b0449	165,337	P	0,00379911	45
mdoB	b4359	394,542	P	0,0044925	108
mdoG	b1048	1770,52	P	0,000612512	487
mdoH	b1049	436,207	P	0,00188612	120
melA	b4119	51,218	A	0,41014	14
melB	b4120	70,971	P	0,0442012	20
melR	b4118	73,6279	A	0,216313	20
menA	b3930	195,727	A	0,088557	54
menB	b2262	1252,59	P	0,00143241	344
menC	b2261	1378,16	P	0,000612512	379
menD	b2264	506,194	P	0,00143241	139
menE	b2260	558,36	P	0,00381521	153
menF	b2265	685,215	P	0,00143241	188
menG	b3929	1201,01	P	0,00049077	330
mepA	b2328	810,399	P	0,00049077	223
mesJ	b0188	303,45	P	0,00188612	83
metA	b4013	166,779	P	0,0304463	46
metB	b3939	380,866	P	0,0044925	105
metC	b3008	558,695	P	0,000892689	154
metE	b3829	333,297	P	0,000603158	92
metF	b3941	169,782	P	0,0072983	47
metG	b2114	769,971	P	0,000327479	212
metH	b4019	457,936	P	0,0133783	126
metJ	b3938	515,802	M	0,0558844	142
metK	b2942	896,709	P	0,000493549	246
metL	b3940	277,989	M	0,0558844	76
metR	b3828	181,827	A	0,150145	50
metT	b0673	3057,9	P	0,00390625	840
metU	b0666	2073,96	P	0,000327479	570
metV	b2816	1598,87	M	0,0625	439
metW	b2815	3118,47	P	0,0234375	857
metY	b3171	2107,04	P	0,000146526	579
metZ	b2814	2269,1	P	0,000244141	624
mfd	b1114	587,848	P	0,000327479	162
mglA	b2149	53,9053	P	0,0239949	15
mglB	b2150	172,915	M	0,0547106	48
mglC	b2148	95,3778	A	0,388782	26
mgsA	b0963	945,056	P	0,000327479	260
mgtA	b4242	435,067	P	0,000327479	120
mhpA	b0347	211,932	P	0,0178004	58
mhpB	b0348	10,5792	A	0,951901	3
mhpC	b0349	146,398	P	0,0072983	40
mhpD	b0350	71,7875	P	0,036797	20
mhpE	b0352	237,964	A	0,105738	65
mhpF	b0351	94,2553	P	0,0497698	26
mhpR	b0346	76,8794	A	0,304618	21
mhpT	b0353	204,198	A	0,135974	56
miaA	b4171	5070,05	P	0,000327479	1393
minC	b1176	2298,07	P	0,000327479	632
minD	b1175	1954	P	0,00049077	537
minE	b1174	1760,12	P	0,000327479	484
mioC	b3742	809,958	P	0,000327479	223
mipB	b0825	136,478	P	0,00320325	38
mlc	b1594	459,569	P	0,00260662	126
mltA	b2813	264,007	P	0,0129214	73
mltB	b2701	666,459	P	0,000892689	183
mltC	b2963	1092,2	P	0,000603158	300
mltE	b1193	395,478	P	0,0044925	109
moaA	b0781	625,405	M	0,0625767	172
moaB	b0782	691,354	P	0,00108112	190
moaC	b0783	879,493	P	0,00550396	242
moaD	b0784	401,042	P	0,00225703	110
moaE	b0785	310,786	P	0,00108112	85
mobA	b3857	224,521	P	0,000612512	62
mobB	b3856	182,647	P	0,034572	50
modA	b0763	1221,48	P	0,000327479	336
modB	b0764	1049,72	P	0,000402638	288
modC	b0765	468,791	P	0,00269283	129
modE	b0761	426,942	P	0,0320196	117
modF	b0760	236,708	P	0,000493549	65
moeA	b0827	1010,11	P	0,00260662	278
moeB	b0826	451,565	P	0,0391461	124
mog	b0009	711,79	P	0,000327479	196
molR1	b2115	17,6147	A	0,432352	5
molR2	b2116	12,0571	A	0,929927	3
molR3	b2117	59,7553	A	0,324781	16
mopA	b4143	2248,46	P	0,000327479	618
mopB	b4142	6031,09	P	0,000327479	1657
motA	b1890	3071,76	P	0,00049077	844
motB	b1889	3055,2	P	0,00049077	840
mraY	b0087	579,195	P	0,000493549	159
mrcA	b3396	488,264	P	0,034572	134
mrcB	b0149	398,838	P	0,034572	110
mrdA	b0635	333,087	P	0,0151637	92
mrdB	b0634	734,311	P	0,00157146	202
mreB	b3251	2249,86	P	0,000603158	618
mreC	b3250	633,789	P	0,0044925	174
mreD	b3249	509,165	P	0,00049077	140
mrp	b2113	2153,75	P	0,000612512	592
mrr	b4351	531,142	P	0,000493549	146
mrsA	b3176	1363,63	P	0,000612512	375
msbA	b0914	714,07	P	0,000761638	196
msbB	b1855	441,932	P	0,00094359	121
mscL	b3291	873,425	P	0,000327479	240
msrA	b4219	853,415	P	0,000327479	235
msyB	b1051	368,639	P	0,00529677	101
mtgA	b3208	297,892	P	0,000761638	82
mtlA	b3599	625,074	P	0,0178004	172
mtlD	b3600	335,757	P	0,000603158	92
mtlR	b3601	275,747	P	0,000734887	76
mtr	b3161	271,727	P	0,00260662	75
mukB	b0924	609,505	P	0,00269283	168
mukE	b0923	1404,28	P	0,000493549	386
mukF	b0922	1042,53	P	0,000327479	287
murA	b3189	1449,37	P	0,00049077	398
murB	b3972	569,641	P	0,000327479	157
murC	b0091	405,551	P	0,00315926	111
murD	b0088	647,232	P	0,000734887	178
murE	b0085	853,166	P	0,00130539	234
murF	b0086	515,292	P	0,00214285	142
murG	b0090	654,16	P	0,000734887	180
murI	b3967	690,956	P	0,000603158	190
mutH	b2831	98,3108	A	0,167138	27
mutL	b4170	297,035	P	0,00214285	82
mutM	b3635	300,916	P	0,0133783	83
mutS	b2733	695,534	P	0,000402638	191
