Accession	Molecular Function(EcoCyc)
B1X848	3-phosphoshikimate 1-carboxyvinyltransferase activity|transferase activity
C4ZX41	4 iron, 4 sulfur cluster binding|iron-sulfur cluster binding|metal ion binding
B1XAN3	carboxypeptidase activity
P23890	DNA binding
C4ZRW6	transferase activity
B1X7X0	DNA binding
P0A9T8	nucleotide binding|ATP binding
C4ZYX7	DNA binding|nucleotide binding|ATP binding
P03018	hydrolase activity|helicase activity|DNA binding|nucleotide binding|ATP binding
C5A1C9	metal ion binding
P76149	succinate-semialdehyde dehydrogenase [NAD(P)+] activity|oxidoreductase activity|succinate-semialdehyde dehydrogenase activity
B1X9V4	hydrolase activity|nucleotide binding|ATP binding
C5A1F6	exoribonuclease activity, producing 5'-phosphomonoesters|hydrolase activity|exonuclease activity|nuclease activity
P17315	receptor activity
B1XCY7	DNA binding
P04951	3-deoxy-manno-octulosonate cytidylyltransferase activity|transferase activity|nucleotidyltransferase activity
P0A7K6	RNA binding|rRNA binding
B1XBI8	lyase activity|cyanate hydratase activity
C4ZU95	transaminase activity|transferase activity
C4ZZ26	isomerase activity
B1X6X7	lyase activity|dTDP-glucose 4,6-dehydratase activity
B1XGN9	oxidoreductase activity
C4ZTT8	nucleotide binding|ATP binding
B1X855	transferase activity|tetraacyldisaccharide 4'-kinase activity|nucleotide binding|kinase activity|ATP binding
C4ZVI0	nucleotide binding|ATP binding
B1XFW9	DNA binding
P0CF71	DNA binding
P69797	transferase activity|protein-N(PI)-phosphohistidine-sugar phosphotransferase activity|kinase activity
P0ACT2	DNA binding
B1XG62	hydrolase activity|undecaprenyl-diphosphatase activity
C4ZRV0	methyltransferase activity|transferase activity
B1XC96	spermidine synthase activity|transferase activity
P30128	DNA binding
P0ACT6	DNA binding
C4ZQD5	FMN reductase activity|oxidoreductase activity
P77215	L-rhamnonate dehydratase activity|lyase activity|metal ion binding
C4ZSB5	hydrolase activity|phosphoribosyl-AMP cyclohydrolase activity|phosphoribosyl-ATP diphosphatase activity|nucleotide binding|catalytic activity|ATP binding
P0A930	porin activity
P17411	hydrolase activity|hydrolase activity, acting on glycosyl bonds|6-phospho-beta-glucosidase activity|metal ion binding
P65807	metallopeptidase activity|hydrolase activity|peptidase activity|metal ion binding
P77806	transaminase activity|transferase activity
P42632	transferase activity|acyltransferase activity
P76176	hydrolase activity|serine-type peptidase activity|peptidase activity
P39831	oxidoreductase activity
B1XG34	monooxygenase activity
C4ZZX4	exonuclease activity
B1XBJ4	oxidoreductase activity|oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NADH or NADPH as one donor, and incorporation of one atom of oxygen
P76187	oxidoreductase activity
C4ZQ14	oxidoreductase activity|thioredoxin-disulfide reductase activity
P69908	lyase activity|carboxy-lyase activity|glutamate decarboxylase activity
P13009	methyltransferase activity|cobalamin binding|transferase activity|metal ion binding|methionine synthase activity
B1XCP2	transferase activity|kinase activity
P33599	oxidoreductase activity|quinone binding|NADH dehydrogenase (quinone) activity|catalytic activity
C4ZT72	DNA binding|transferase activity|nucleotidyltransferase activity
C4ZVF2	hydrolase activity
B1X8M8	DNA binding|nucleotide binding|ATP binding
C5A009	methyltransferase activity|transferase activity
C5A1D1	lyase activity
B1XE20	DNA binding
C4ZWP7	oxidoreductase activity|metal ion binding
B1XGU9	tagatose-bisphosphate aldolase activity|lyase activity|metal ion binding
C4ZQ00	acetolactate synthase activity|transferase activity|metal ion binding
C4ZWM2	transferase activity|acyltransferase activity
B1XA17	hydrolase activity|hydrolase activity, acting on glycosyl bonds|beta-N-acetylhexosaminidase activity
P09546	oxidoreductase activity|proline dehydrogenase activity|DNA binding|catalytic activity|1-pyrroline-5-carboxylate dehydrogenase activity
C4ZT68	transferase activity|nucleotide binding|ATP binding
P0A9U6	DNA binding
P33650	GTP binding|nucleotide binding
C4ZR89	nucleotide binding|metal ion binding
P0AE82	transferase activity|protein histidine kinase activity|nucleotide binding|kinase activity|ATP binding
P0ACM5	DNA binding
B1XB14	oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen|oxidoreductase activity|3-phenylpropionate dioxygenase activity
B1XG96	isomerase activity|glucuronate isomerase activity
B1XD92	oxidoreductase activity
P45544	DNA binding
B1XAU5	exonuclease activity
P04983	hydrolase activity|monosaccharide-transporting ATPase activity|nucleotide binding|ATP binding
B1XA21	DNA binding
D0VEY1	hydrolase activity|UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase activity
P76261	hydrolase activity|cyclic-guanylate-specific phosphodiesterase activity
P52086	hydrolase activity|alpha-ribazole phosphatase activity
C4ZU54	nucleotide binding|ATP binding
C5A033	GTP binding|nucleotide binding
P08312	phenylalanine-tRNA ligase activity|aminoacyl-tRNA ligase activity|nucleotide binding|metal ion binding|ATP binding|ligase activity
C5A160	symporter activity
P0AAD8	symporter activity
B1XG95	hydrolase activity
C4ZXC0	oxidoreductase activity|metal ion binding
C4ZPU5	antiporter activity|sodium ion transmembrane transporter activity
P13857	transferase activity|acyltransferase activity
P63204	DNA binding
B1X6G2	RNA binding|rRNA binding
B1X5Y5	nucleotide binding|ATP binding
B1XFJ2	thymidine phosphorylase activity|transferase activity, transferring glycosyl groups|transferase activity
P0ACI6	DNA binding
P0A7Y4	ribonuclease H activity|hydrolase activity|metal ion binding|nuclease activity|endonuclease activity
B1XCD2	DNA binding|nucleotide binding|ATP binding
B1X7N9	DNA binding
P0A9Q5	acetyl-CoA carboxylase activity|RNA binding|nucleotide binding|metal ion binding|ATP binding|ligase activity
B1X816	water channel activity
B1X6H0	RNA binding|rRNA binding
C4ZWZ6	transferase activity
P00579	sigma factor activity|DNA binding
B1XE11	lyase activity
B1XA67	isomerase activity|hydrolase activity
B1X8Q8	3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase activity|lyase activity
B1X6F6	RNA binding|rRNA binding
B1XD14	DNA binding
Q46814	oxidoreductase activity|iron-sulfur cluster binding|2 iron, 2 sulfur cluster binding|metal ion binding
C4ZZ35	DNA binding
P13482	hydrolase activity|alpha,alpha-trehalase activity|hydrolase activity, acting on glycosyl bonds
B1X8B8	transferase activity
B1X8M5	methyltransferase activity|transferase activity
P0AC38	lyase activity|aspartate ammonia-lyase activity
P75864	methyltransferase activity|RNA binding|transferase activity|rRNA (guanine-N2-)-methyltransferase activity
P0A742	ion channel activity
P0ABU0	lyase activity|1,4-dihydroxy-2-naphthoyl-CoA synthase activity
B1XC38	lyase activity|chorismate lyase activity
C4ZYG6	3-deoxy-7-phosphoheptulonate synthase activity|transferase activity
P06610	oxidoreductase activity
B1X9U9	porin activity
C4ZRB5	hydrolase activity|nucleotide binding|ATP binding
B1X7A9	hydrolase activity|helicase activity|nucleotide binding|nuclease activity|ATP binding
C4ZWA8	transferase activity|nucleotide binding|kinase activity|ATP binding
C4ZYU4	DNA binding|nucleotide binding|ATP binding
C5A0T9	hydrolase activity|deoxyribonuclease V activity|endonuclease activity|nuclease activity
C4ZY51	hydrolase activity|nucleotide binding|ATP binding
C4ZXT8	hydrolase activity|6-phosphogluconolactonase activity
B1XBB9	DNA binding
C4ZS70	DNA binding
P69874	hydrolase activity|polyamine-transporting ATPase activity|nucleotide binding|ATP binding
P0A7L3	RNA binding|rRNA binding
P67699	DNA binding
B1X777	1,4-alpha-glucan branching enzyme activity|transferase activity, transferring glycosyl groups|transferase activity
P13035	oxidoreductase activity|glycerol-3-phosphate dehydrogenase activity|sn-glycerol-3-phosphate:ubiquinone oxidoreductase activity|sn-glycerol-3-phosphate:ubiquinone-8 oxidoreductase activity
P09394	hydrolase activity|glycerophosphodiester phosphodiesterase activity|metal ion binding
C4ZSX4	L-malate dehydrogenase activity|oxidoreductase activity
B1XAN9	transferase activity|kinase activity
P17846	sulfite reductase (NADPH) activity|4 iron, 4 sulfur cluster binding|oxidoreductase activity|iron-sulfur cluster binding|metal ion binding
C4ZUQ8	lyase activity|carboxy-lyase activity|nucleotide binding|phosphoenolpyruvate carboxykinase (ATP) activity|ATP binding
P0CF91	DNA binding
B1XBR1	ATP binding
C4ZTP2	DNA binding|nucleotide binding|ATP binding
P24232	oxidoreductase activity|oxygen transporter activity|nitric oxide dioxygenase activity|metal ion binding
B1XBX6	tRNA (uracil-5-)-methyltransferase activity|methyltransferase activity|transferase activity
B1X734	methyltransferase activity
B1XHJ6	isomerase activity|N-acylglucosamine-6-phosphate 2-epimerase activity
P0AG74	hydrolase activity|metal ion binding|crossover junction endodeoxyribonuclease activity|nuclease activity|endonuclease activity
P0AGJ9	RNA binding|tyrosine-tRNA ligase activity|nucleotide binding|aminoacyl-tRNA ligase activity|ligase activity|ATP binding
C4ZW47	oxidoreductase activity
P42593	4 iron, 4 sulfur cluster binding|2,4-dienoyl-CoA reductase (NADPH) activity|oxidoreductase activity|iron-sulfur cluster binding|metal ion binding
P77218	transferase activity|acyltransferase activity
B1X7R3	nucleotide binding|ATP binding
B1XCF2	peroxidase activity|thioredoxin peroxidase activity|antioxidant activity
P0AEC8	transferase activity|protein histidine kinase activity|nucleotide binding|kinase activity|ATP binding
B1XF57	ion channel activity|voltage-gated ion channel activity|chloride channel activity
D0VEZ2	acetyl-CoA carboxylase activity
P0A9K1	nucleotide binding|ATP binding
P15067	hydrolase activity|hydrolase activity, acting on glycosyl bonds
C4ZUR5	iron-sulfur cluster binding|metal ion binding
B1X9R7	DNA binding
B1XGC4	cysteine-tRNA ligase activity|aminoacyl-tRNA ligase activity|nucleotide binding|metal ion binding|ATP binding|ligase activity
C4ZXI2	transferase activity|L-seryl-tRNASec selenium transferase activity
P0C0S1	ion channel activity
C4ZVK4	lyase activity
B1XCC7	hydrolase activity
B1X8I0	transferase activity|kinase activity
B1XGB5	oxidoreductase activity
C4ZX34	hydrolase activity
P0AEP9	oxidoreductase activity
P00893	acetolactate synthase activity|transferase activity|metal ion binding
B1X680	sigma factor activity|DNA binding
P36548	hydrolase activity|N-acetylmuramoyl-L-alanine amidase activity
B1X733	isomerase activity|ribulose-phosphate 3-epimerase activity
B1X8D5	oxidoreductase activity
B1XGD5	exonuclease activity
B1XHK1	peptidase activity
C4ZQD9	hydrolase activity|hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides
C4ZZ44	oxidoreductase activity|ketol-acid reductoisomerase activity
P75919	transferase activity
B1XCW0	lyase activity
C4ZZL9	transferase activity|kinase activity
P0A715	3-deoxy-8-phosphooctulonate synthase activity|transferase activity
P25960	hydrolase activity|peptidase activity|transferase activity
B1XBK2	hydrolase activity
B1XB13	oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen|iron-sulfur cluster binding|2 iron, 2 sulfur cluster binding|3-phenylpropionate dioxygenase activity|iron ion binding|metal ion binding
B1XCQ8	DNA binding|nucleotide binding|ATP binding
C4ZUP0	hydrolase activity|phosphoglycolate phosphatase activity
P0A6J1	adenylylsulfate kinase activity|transferase activity|nucleotide binding|kinase activity|ATP binding
P0AEI1	4 iron, 4 sulfur cluster binding|iron-sulfur cluster binding|transferase activity|metal ion binding
C4ZS75	isomerase activity
B1X8Z9	4 iron, 4 sulfur cluster binding|oxidoreductase activity|quinone binding|iron-sulfur cluster binding|NADH dehydrogenase (quinone) activity|metal ion binding
B1XA01	beta-ketoacyl-acyl-carrier-protein synthase III activity|3-oxoacyl-[acyl-carrier-protein] synthase activity|transferase activity|catalytic activity|acyltransferase activity
C4ZT42	phosphatidylglycerol-membrane-oligosaccharide glycerophosphotransferase activity|transferase activity
B1X6K3	hydrolase activity
B1X805	nucleotide binding|ATP binding
C4ZVY7	DNA binding
P42909	transferase activity|protein-N(PI)-phosphohistidine-sugar phosphotransferase activity|kinase activity
B1X870	oxidoreductase activity
B1XCY1	lyase activity|nucleotide binding|ATP binding
P00448	oxidoreductase activity|superoxide dismutase activity|metal ion binding
P30863	oxidoreductase activity|2,5-didehydrogluconate reductase activity
B1XEB8	DNA binding
P39371	isomerase activity|racemase and epimerase activity, acting on carbohydrates and derivatives
B1XCY4	lyase activity
C4ZQL0	transferase activity|acyltransferase activity
C4ZUC2	oxidoreductase activity|quinone binding|NADH dehydrogenase (quinone) activity
B1XE03	methyltransferase activity|transferase activity
P76491	hydrolase activity|5'-nucleotidase activity|nucleotide binding|metal ion binding
C4ZRK0	hydrolase activity
C4ZX40	hydrolase activity
C4ZWV8	DNA binding
C4ZYF4	quinate/shikimate dehydrogenase activity|oxidoreductase activity
P36881	transferase activity|kinase activity
C5A0R8	DNA binding
C4ZQN8	transferase activity|nucleotide binding|kinase activity|ATP binding
C4ZY83	transferase activity|kinase activity
B1XCB7	kinase activity
B1XD99	DNA binding
B1XDC4	hydrolase activity
P0A978	DNA binding
C4ZVR9	DNA binding
P00957	alanine-tRNA ligase activity|tRNA binding|aminoacyl-tRNA editing activity|nucleotide binding|ATP binding|ligase activity|RNA binding|aminoacyl-tRNA ligase activity|metal ion binding
P31553	antiporter activity
C4ZYK4	methyltransferase activity|transferase activity
C4ZUP5	shikimate kinase activity|magnesium ion binding|transferase activity|kinase activity|nucleotide binding|metal ion binding|ATP binding
P18811	DNA binding
C5A0S7	DNA-directed RNA polymerase activity|transferase activity|nucleotidyltransferase activity
P00959	methionine-tRNA ligase activity|tRNA binding|nucleotide binding|ATP binding|ligase activity|RNA binding|aminoacyl-tRNA ligase activity|metal ion binding
P75949	hydrolase activity|hydrolase activity, acting on glycosyl bonds|beta-N-acetylhexosaminidase activity
P0A9E9	4 iron, 4 sulfur cluster binding|iron-sulfur cluster binding|DNA binding|metal ion binding
B1XDU5	transferase activity
B1X7K7	ATP binding
C4ZY82	DNA binding
B1XB68	isomerase activity|racemase and epimerase activity, acting on carbohydrates and derivatives
B1X757	iron-sulfur cluster binding|metal ion binding
B1XDY6	oxidoreductase activity|glutamate-5-semialdehyde dehydrogenase activity
B1X7F0	ATP binding
B1XFL6	transferase activity
Q46819	4 iron, 4 sulfur cluster binding|iron-sulfur cluster binding|metal ion binding
P33667	transferase activity
P30126	lyase activity|3-isopropylmalate dehydratase activity
P07649	isomerase activity|pseudouridine synthase activity
P0A9W3	nucleotide binding|ATP binding
C4ZUT1	transferase activity|kinase activity
B1XFQ7	translation elongation factor activity
P04079	GMP synthase (glutamine-hydrolyzing) activity|nucleotide binding|ligase activity|ATP binding
P33941	nucleotide binding|ATP binding
P0A9X1	hydrolase activity|nucleotide binding|ATP binding
B1X6E9	RNA binding|rRNA binding
C4ZQH5	DNA binding
P67660	DNA binding
P09127	methyltransferase activity|uroporphyrin-III C-methyltransferase activity|transferase activity
C5A0L8	hydrolase activity|nuclease activity
C4ZTI8	oxidoreductase activity
C4ZQV9	3,4-dihydroxy-2-butanone-4-phosphate synthase activity|lyase activity|metal ion binding
C4ZXZ2	ATP binding
C4ZX00	4 iron, 4 sulfur cluster binding|oxidoreductase activity|iron-sulfur cluster binding|metal ion binding
C4ZZH8	methyltransferase activity|transferase activity
C4ZR54	adenylosuccinate synthase activity|GTP binding|nucleotide binding|metal ion binding|ligase activity
P0AF67	nucleotide binding|ATP binding
C4ZVS4	transferase activity
C4ZYV0	oxidoreductase activity
P69826	transferase activity|protein-N(PI)-phosphohistidine-sugar phosphotransferase activity|kinase activity
P76138	DNA binding
C4ZQE4	hydrolase activity|helicase activity|nucleotide binding|ATP binding
B1X7X9	transferase activity
P0A9M2	guanine phosphoribosyltransferase activity|transferase activity, transferring glycosyl groups|transferase activity|nucleotide binding|hypoxanthine phosphoribosyltransferase activity|metal ion binding
P0AFP4	oxidoreductase activity
B1XC17	DNA binding
P37744	glucose-1-phosphate thymidylyltransferase activity|transferase activity|metal ion binding|nucleotidyltransferase activity
B1XA08	thymidylate kinase activity|transferase activity|nucleotide binding|kinase activity|ATP binding
P0A7J3	RNA binding
C4ZSU0	nucleotide binding|ATP binding
P30137	transferase activity|metal ion binding|thiamine-phosphate diphosphorylase activity
P77625	hydrolase activity
B1XCS0	hydrolase activity|3'-nucleotidase activity|5'-nucleotidase activity|exopolyphosphatase activity|nucleotide binding|catalytic activity|metal ion binding
C4ZUU4	nucleotide binding|ATP binding
B1X9A1	kinase activity
B1XGP3	hydrolase activity
P64612	nucleotide binding|ATP binding
P37664	transferase activity|acyltransferase activity
B1XD29	hydrolase activity|adenosylhomocysteine nucleosidase activity
C4ZVX1	RNA-3'-phosphate cyclase activity|nucleotide binding|ligase activity|ATP binding
P0A8P1	transferase activity|leucyltransferase activity|acyltransferase activity
B1XFA9	hydrolase activity|nuclease activity
C4ZQE1	DNA binding
P0A6Z6	DNA binding|metal ion binding
P0AA39	isomerase activity|RNA binding
B1X890	lyase activity
P0ABK2	oxidoreductase activity|metal ion binding
C4ZTJ7	DNA binding
P0AE22	hydrolase activity|metal ion binding|acid phosphatase activity
C4ZRT0	ligase activity, forming carbon-nitrogen bonds|nucleotide binding|ATP binding|ligase activity
C4ZV52	DNA binding|nucleotide binding|ATP binding
P0CF60	DNA binding
B1X8C8	oxidoreductase activity|ribonucleoside-diphosphate reductase activity
C4ZT11	oxidoreductase activity
B1XHN0	DNA binding
B1XCT7	oxidoreductase activity
C4ZVW8	transferase activity
B1XCC4	transferase activity
C4ZWB4	protein transporter activity
C5A076	oxidoreductase activity|superoxide dismutase activity
P0AFF0	oxidoreductase activity|quinone binding|NADH dehydrogenase (quinone) activity
B1XD15	DNA binding
C4ZS02	hydrolase activity|dihydroorotase activity|metal ion binding
P0AGK4	RNA binding
C4ZPS9	transferase activity|kinase activity
P0AA84	transferase activity
B1XES3	DNA binding
C4ZR72	transferase activity
P31992	isomerase activity
C4ZYA9	oxidoreductase activity|superoxide dismutase activity|metal ion binding
P0CF68	DNA binding
B1X7B0	transferase activity
C4ZQ13	nucleotide binding|ATP binding
P0A9F9	DNA binding
B1XDN7	hydrolase activity|nuclease activity|endonuclease activity
P33022	hydrolase activity|ribosylpyrimidine nucleosidase activity|hydrolase activity, acting on glycosyl bonds|metal ion binding
B1X7I7	tagatose-bisphosphate aldolase activity|lyase activity|metal ion binding
B1XBQ7	hydrolase activity|hydrolase activity, acting on glycosyl bonds
P16869	receptor activity
C4ZYV2	DNA binding
B1XFG2	DNA binding
C4ZX07	transferase activity, transferring acyl groups other than amino-acyl groups|transferase activity|acyltransferase activity
P21514	hydrolase activity|DNA binding
C4ZRB2	hydrolase activity
C4ZU55	methyltransferase activity
C4ZU63	DNA binding|nucleotide binding|ATP binding
P24203	GTP binding|nucleotide binding
B1X6B3	endonuclease activity
P39829	lyase activity|galactarate dehydratase activity
P77258	oxidoreductase activity
P46852	oxidoreductase activity|oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen|quercetin 2,3-dioxygenase activity|metal ion binding
P0A9H9	hydrolase activity|phosphoprotein phosphatase activity
C4ZTW7	isomerase activity|DNA topoisomerase activity|DNA topoisomerase type I activity|DNA binding|nucleotide binding|ATP binding
C4ZWR2	lyase activity
P27129	lipopolysaccharide glucosyltransferase I activity|transferase activity, transferring glycosyl groups|transferase activity
Q6BF17	lyase activity|galactonate dehydratase activity|metal ion binding
P0A847	queuine tRNA-ribosyltransferase activity|transferase activity, transferring glycosyl groups|transferase activity|metal ion binding
C4ZQY3	DNA-directed RNA polymerase activity|transferase activity|metal ion binding|nucleotidyltransferase activity
P0AB67	NAD(P)+ transhydrogenase (AB-specific) activity|oxidoreductase activity
P0A6G7	hydrolase activity|serine-type peptidase activity|peptidase activity|nucleotide binding|ATP binding
B1X6G1	RNA binding|rRNA binding
B1X7S8	transferase activity
B1XGX4	hydrolase activity|helicase activity|nucleotide binding|ATP binding
C5A0A8	methylenetetrahydrofolate reductase (NADPH) activity|oxidoreductase activity
P39099	hydrolase activity|serine-type peptidase activity|peptidase activity
C4ZU82	oxidoreductase activity
P76010	nucleotide binding|cyclic-di-GMP binding
P76173	oxidoreductase activity
C4ZXH1	transferase activity|nucleotide binding|kinase activity|ATP binding
B1X9P3	transferase activity
B1X7G5	nucleotide binding|ATP binding
P0ACM2	DNA binding
B1X7Y7	DNA binding
P0ABJ9	oxidoreductase activity|metal ion binding
Q47718	DNA binding
B1X6J5	DNA binding
P0AEZ7	lyase activity|carbon-oxygen lyase activity, acting on polysaccharides
B1XA73	antiporter activity
B1XB62	4 iron, 4 sulfur cluster binding|oxidoreductase activity|iron-sulfur cluster binding|metal ion binding
P10408	nucleotide binding|metal ion binding|ATP binding
C5A0U5	DNA binding|nucleotide binding|ATP binding
P33934	4 iron, 4 sulfur cluster binding|iron-sulfur cluster binding|metal ion binding
B1XE47	DNA binding
B1XG00	quinate/shikimate dehydrogenase activity|oxidoreductase activity
P23841	DNA binding
B1XDS9	iron-sulfur cluster binding|2 iron, 2 sulfur cluster binding|DNA binding|metal ion binding
C4ZTK3	hydrolase activity
P15082	DNA binding
P39315	oxidoreductase activity|NAD(P)H dehydrogenase (quinone) activity
C4ZVG6	transferase activity
B1XHJ9	DNA binding
B1X8S2	hydrolase activity|acylphosphatase activity
B1XBF4	4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase activity|iron-sulfur cluster binding|oxidoreductase activity|3 iron, 4 sulfur cluster binding|metal ion binding
C4ZZ91	DNA binding
P0A761	isomerase activity|N-acylglucosamine-6-phosphate 2-epimerase activity
P33029	oxidoreductase activity
B1XB07	methyltransferase activity|transferase activity
C4ZX98	hydrolase activity|peptidase activity|aminopeptidase activity|metal ion binding
C4ZXJ8	methyltransferase activity|S-adenosylmethionine-dependent methyltransferase activity|transferase activity|tRNA methyltransferase activity
P04036	oxidoreductase activity|dihydrodipicolinate reductase activity
P05055	polyribonucleotide nucleotidyltransferase activity|RNA binding|transferase activity|nucleotidyltransferase activity
B1XF10	hydrolase activity|exonuclease activity|nuclease activity|exodeoxyribonuclease VII activity
C4ZRZ9	oxidoreductase activity
P0AFI5	hydrolase activity
B1XA97	oxidoreductase activity
P0A6I6	pantetheine-phosphate adenylyltransferase activity|transferase activity|nucleotide binding|nucleotidyltransferase activity|ATP binding
P76135	DNA binding
C4ZS46	thiamine kinase activity|transferase activity|kinase activity|nucleotide binding|ATP binding
B1XCS9	aminopeptidase activity
B1XG44	oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen
C4ZU36	lyase activity
P0CF40	DNA binding
B1X643	ligase activity
C4ZTZ8	transaminase activity|transferase activity
P0AEN1	FMN reductase activity|oxidoreductase activity|aquacobalamin reductase activity
P0AEJ2	isomerase activity|isochorismate synthase activity
C5A0G6	tyrosine-based site-specific recombinase activity|DNA binding
C4ZYJ0	hydrolase activity|RNA binding|ribonuclease III activity|endonuclease activity|nuclease activity
B1XFK6	DNA binding
C4ZV40	ligase activity
C5A0J8	hydrolase activity
P33224	oxidoreductase activity|DNA binding
B1XGK9	succinylornithine transaminase activity|transaminase activity|transferase activity
B1XE84	lyase activity
C5A0C9	DNA binding
B1XBR2	transferase activity
C4ZQX0	[glutamate-ammonia-ligase] adenylyltransferase activity|transferase activity|nucleotide binding|nucleotidyltransferase activity|ATP binding
P0AC78	phosphotransferase activity, for other substituted phosphate groups|manganese ion binding|transferase activity, transferring glycosyl groups|magnesium ion binding|transferase activity
P0CF53	DNA binding
P77454	hydrolase activity|glutaminase activity
C4ZQJ5	nucleotide binding|ATP binding
C4ZYB6	hydrolase activity|helicase activity|nucleotide binding|ATP binding
P0A749	UDP-N-acetylglucosamine 1-carboxyvinyltransferase activity|transferase activity
Q46845	transferase activity
Q1PI83	transferase activity|nucleotide binding|kinase activity|ATP binding|adenylate kinase activity
P37049	hydrolase activity|metal ion binding
P0A6I0	cytidylate kinase activity|transferase activity|nucleotide binding|kinase activity|ATP binding
P0A725	hydrolase activity
B1XBL8	isomerase activity|RNA binding
B1X789	isomerase activity
P11988	hydrolase activity|hydrolase activity, acting on glycosyl bonds|6-phospho-beta-glucosidase activity
P04994	hydrolase activity|exonuclease activity|nuclease activity|exodeoxyribonuclease VII activity
B1X7Z3	nucleotide binding|metal ion binding|ATP binding
C4ZZZ3	isomerase activity
B1XDB3	ligase activity
P0ACU2	DNA binding
C5A0G2	magnesium ion binding|aminoacyl-tRNA ligase activity|nucleotide binding|metal ion binding|lysine-tRNA ligase activity|ATP binding|ligase activity
P77247	hydrolase activity
B1XE70	oxidoreductase activity|malate dehydrogenase (oxaloacetate-decarboxylating) activity|metal ion binding
C4ZSD7	transferase activity
C4ZTL1	methyltransferase activity|transferase activity
P77319	nucleotide binding|ATP binding
C4ZVM2	lyase activity|chorismate synthase activity
B1XBE0	metal ion binding
C4ZRR2	translation elongation factor activity
C4ZUZ0	DNA binding
P0AAF1	antiporter activity
C4ZR36	kinase activity
P0CE55	DNA binding
C4ZSU9	transferase activity|nucleotide binding|kinase activity|ATP binding
C4ZXB3	oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen|iron-sulfur cluster binding|2 iron, 2 sulfur cluster binding|3-phenylpropionate dioxygenase activity|iron ion binding|metal ion binding
C4ZZX1	exonuclease activity
B1XB78	transferase activity|nucleotide binding|kinase activity|ATP binding
P17109	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase activity|transferase activity|metal ion binding
P0ABT2	oxidoreductase activity|DNA binding|metal ion binding
C4ZZ73	isomerase activity|diaminopimelate epimerase activity
P0A8N5	aminoacyl-tRNA ligase activity|nucleotide binding|metal ion binding|ATP binding|lysine-tRNA ligase activity|ligase activity
P0AF10	DNA binding
B1XC84	transferase activity, transferring glycosyl groups|transferase activity
B1X6Y5	transferase activity
P0CF72	DNA binding
B1X8D9	DNA binding
B1XD67	receptor activity
C4ZZM8	4 iron, 4 sulfur cluster binding|iron-sulfur cluster binding|metal ion binding
P54746	hydrolase activity|hydrolase activity, acting on glycosyl bonds|metal ion binding
B1XC50	hydrolase activity|bis(5'-nucleosyl)-tetraphosphatase (symmetrical) activity
P75782	methyltransferase activity|transferase activity
C5A0Q0	hydrolase activity
P0ACJ0	DNA binding
B1XEE1	DNA binding
C5A0C0	DNA binding
C5A0E1	iron-sulfur cluster binding|metal ion binding
P06959	dihydrolipoyllysine-residue acetyltransferase activity|transferase activity|acyltransferase activity
B1X614	lyase activity
B1X770	transferase activity|thiosulfate sulfurtransferase activity
C4ZVD5	oxidoreductase activity|iron-sulfur cluster binding|2 iron, 2 sulfur cluster binding|metal ion binding
P21345	symporter activity
C4ZPW1	transferase activity
P00895	lyase activity|anthranilate synthase activity
P37624	nucleotide binding|ATP binding
P31057	methyltransferase activity|3-methyl-2-oxobutanoate hydroxymethyltransferase activity|transferase activity|metal ion binding
P76038	hydrolase activity|gamma-glutamyl-gamma-aminobutyrate hydrolase activity
B1XG31	transferase activity|nucleotide binding|kinase activity|ATP binding
B1XE52	oxidoreductase activity|choline dehydrogenase activity
C4ZW28	nucleotide binding|ATP binding
P75836	DNA binding
P0A9C3	isomerase activity|aldose 1-epimerase activity
P10805	DNA binding
C5A0K2	transferase activity
B1XF75	DNA binding
B1XFR4	transferase activity|kinase activity
C4ZTD5	carboxypeptidase activity
C4ZQU5	transferase activity|nucleotide binding|kinase activity|ATP binding
P39874	hydrolase activity
B1X769	hydrolase activity|serine-type peptidase activity|peptidase activity
P25906	oxidoreductase activity
C4ZR32	DNA binding
C4ZSE2	transferase activity
P06993	DNA binding|nucleotide binding|ATP binding
B1X6B9	DNA binding
Q46806	hydrolase activity|metal ion binding
B1XGK0	DNA binding
B1X8I9	4 iron, 4 sulfur cluster binding|iron-sulfur cluster binding|metal ion binding
B1XCN4	DNA binding
B1XBY2	GTP binding|translation elongation factor activity|nucleotide binding
P37759	lyase activity|dTDP-glucose 4,6-dehydratase activity
P21499	hydrolase activity|RNA binding|exoribonuclease II activity|exonuclease activity|nuclease activity
B1XAG2	transaminase activity|transferase activity
