Join Name	CommonCore	CommonCore_MG1655_ref	No files found in	CommonCore Duplicates	CommonCore_MG1655_ref Duplicates
b0082	1	1	2	1	1	EG11085
b0159	1	1	2	1	1	EG11090
b0398	1	1	2	1	1	EG11094
b0407	1	1	2	1	1	EG11096
b0422	1		1	1		EG11098
b0471	1		1	1		EG11100
b0535	1		1	1		EG11103
b0591	1		1	1		EG11104
b0597	1	1	2	1	1	EG11105
b0736	1	1	2	1	1	EG11110
b0880	1		1	1		EG11111
b0885	1	1	2	1	1	EG11112
b0970	1	1	2	1	1	EG11113
b1086	1	1	2	1	1	EG11118
b1253	1	1	2	1	1	EG11121
b1282	1		1	1		EG11128
b1703	1	1	2	1	1	EG11132
b1708	1	1	2	1	1	EG11133
b1765	1	1	2	1	1	EG11134
b1768	1	1	2	1	1	EG11135
b1864	1	1	2	1	1	EG11137
b1908	1	1	2	1	1	EG11139
b1914	1		1	1		EG11140
b1959	1		1	1		EG11141
b2232	1	1	2	1	1	EG11143
b2327	1	1	2	1	1	EG11144
b2395	1		1	1		EG11145
b2405	1		1	1		EG11146
b2471	1	1	2	1	1	EG11147
b2597	1		1	1		EG11151
b2605	1	1	2	1	1	EG11152
b2608	1	1	2	1	1	EG11153
b2840	1	1	2	1	1	EG11157
b2912	1	1	2	1	1	EG11158
b2923	1		1	1		EG11159
b2924	1		1	1		EG11160
b3038	1	1	2	1	1	EG11165
b3039	1	1	2	1	1	EG11166
b3040	1		1	1		EG11167
b3061	1	1	2	1	1	EG11168
b3062	1	1	2	1	1	EG11169
b3064	1	1	2	1	1	EG11171
b3115	1		1	1		EG11172
b3124	1	1	2	1	1	EG11175
b3166	1	1	2	1	1	EG11177
b3167	1	1	2	1	1	EG11178
b3170	1	1	2	1	1	EG11179
b3291	1		1	1		EG11180
b3356	1	1	2	1	1	EG11182
b3388	1		1	1		EG11183
b3621	1	1	2	1	1	EG11189
b3634	1		1	1		EG11190
b3641	1	1	2	1	1	EG11191
b3644	1	1	2	1	1	EG11192
b3654	1	1	2	1	1	EG11194
b3705	1	1	2	1	1	EG11197
b3730	1	1	2	1	1	EG11198
b3742	1	1	2	1	1	EG11199
b3812	1	1	2	1	1	EG11202
b3865	1	1	2	1	1	EG11203
b3967	1	1	2	1	1	EG11204
b3972	1	1	2	1	1	EG11205
b4155	1	1	2	1	1	EG11211
b4178	1	1	2	1	1	EG11212
b4398	1	1	2	1	1	EG11218
b1852	1	1	2	1	1	EG11221
b2068	1		1	1		EG11222
b3960	1	1	2	1	1	EG11223
b0074	1		1	1		EG11226
b1474	1		1	1		EG11227
b1475	1		1	1		EG11228
b1476	1	1	2	1	1	EG11229
b4118	1	1	2	1	1	EG11230
b1717	1		1	1		EG11231
b3299	1		1	1		EG11232
b0797	1	1	2	1	1	EG11235
b0315	1		1	1		EG11236
b0773	1	1	2	1	1	EG11238
b0898	1	1	2	1	1	EG11242
b1333	1	1	2	1	1	EG11246
b2785	1	1	2	1	1	EG11247
b1214	1	1	2	1	1	EG11251
b0925	1	1	2	1	1	EG11253
b0636	1	1	2	1	1	EG11254
b0637	1		1	1		EG11255
b0385	1	1	2	1	1	EG11257
b0904	1	1	2	1	1	EG11258
b4179	1	1	2	1	1	EG11259
b3765	1	1	2	1	1	EG11260
b3364	1	1	2	1	1	EG11262
b0910	1		1	1		EG11265
b3615	1	1	2	1	1	EG11266
b3288	1	1	2	1	1	EG11268
b4170	1	1	2	1	1	EG11281
b0180	1	1	2	1	1	EG11284
b2554	1	1	2	1	1	EG11285
b3957	1	1	2	1	1	EG11286
b0394	1	1	2	1	1	EG11288
b2152	1		1	1		EG11290
b2936	1		1	1		EG11291
b3003	1	1	2	1	1	EG11292
b1208	1	1	2	1	1	EG11294
b4389	1	1	2	1	1	EG11296
b3248	1	1	2	1	1	EG11298
b3247	1	1	2	1	1	EG11299
b0628	1	1	2	1	1	EG11306
b1406	1		1	1		EG11309
b3260	1	1	2	1	1	EG11311
b3638	1	1	2	1	1	EG11312
b1131	1	1	2	1	1	EG11314
b3253	1		1	1		EG11315
b1092	1	1	2	1	1	EG11317
b1093	1		1	1		EG11318
b1236	1	1	2	1	1	EG11319
b0413	1	1	2	1	1	EG11320
b0414	1	1	2	1	1	EG11321
b0415	1	1	2	1	1	EG11322
b2907	1	1	2	1	1	EG11324
b1276	1		1	1		EG11325
b0337	1		1	1		EG11326
b0336	1		1	1		EG11327
b2525	1	1	2	1	1	EG11328
b2661	1		1	1		EG11329
b2663	1	1	2	1	1	EG11330
b1277	1	1	2	1	1	EG11331
b2498	1	1	2	1	1	EG11332
b2906	1	1	2	1	1	EG11333
b3647	1	1	2	1	1	EG11334
b2945	1		1	1		EG11336
b2156	1	1	2	1	1	EG11337
b3631	1		1	1		EG11339
b3632	1		1	1		EG11341
b1242	1	1	2	1	1	EG11342
b1133	1	1	2	1	1	EG11344
b1937	1		1	1		EG11346
b1938	1		1	1		EG11347
b3627	1		1	1		EG11352
b3626	1		1	1		EG11353
b2685	1		1	1		EG11354
b1922	1		1	1		EG11355
b0799	1	1	2	1	1	EG11357
b3189	1		1	1		EG11358
b3335	1		1	1		EG11359
b0144	1	1	2	1	1	EG11362
b4169	1	1	2	1	1	EG11363
b4396	1	1	2	1	1	EG11366
b2786	1		1	1		EG11367
b2262	1	1	2	1	1	EG11368
b4040	1		1	1		EG11370
b2559	1	1	2	1	1	EG11372
b2558	1		1	1		EG11373
b0142	1		1	1		EG11374
b1684	1	1	2	1	1	EG11378
b0979	1	1	2	1	1	EG11379
b0978	1	1	2	1	1	EG11380
b0605	1	1	2	1	1	EG11384
b0606	1	1	2	1	1	EG11385
b1925	1		1	1		EG11388
b4376	1	1	2	1	1	EG11391
b3963	1		1	1		EG11394
b3843	1	1	2	1	1	EG11396
b4239	1	1	2	1	1	EG11402
b2502	1	1	2	1	1	EG11403
b1203	1	1	2	1	1	EG11404
b0887	1	1	2	1	1	EG11405
b1662	1	1	2	1	1	EG11406
b1189	1	1	2	1	1	EG11407
b0915	1		1	1		EG11409
b0167	1	1	2	1	1	EG11411
b0640	1		1	1		EG11412
b0812	1	1	2	1	1	EG11415
b4238	1	1	2	1	1	EG11417
b2182	1		1	1		EG11419
b0338	1		1	1		EG11421
b2935	1	1	2	1	1	EG11427
b4219	1	1	2	1	1	EG11433
b1530	1	1	2	1	1	EG11435
b4269	1		1	1		EG11436
b1090	1		1	1		EG11437
b1087	1	1	2	1	1	EG11438
b2686	1	1	2	1	1	EG11439
b3287	1	1	2	1	1	EG11440
b3498	1	1	2	1	1	EG11441
b2905	1		1	1		EG11442
b2914	1	1	2	1	1	EG11443
b4069	1	1	2	1	1	EG11448
b4480	1		1	1		EG11449
b3786	1	1	2	1	1	EG11451
b3787	1	1	2	1	1	EG11452
b3788	1	1	2	1	1	EG11453
b3789	1	1	2	1	1	EG11454
b3791	1	1	2	1	1	EG11456
b2469	1	1	2	1	1	EG11460
b3816	1	1	2	1	1	EG11463
b3819	1	1	2	1	1	EG11466
b3820	1	1	2	1	1	EG11467
b3823	1		1	1		EG11468
b3824	1		1	1		EG11469
b3826	1	1	2	1	1	EG11470
b3827	1		1	1		EG11471
b3832	1	1	2	1	1	EG11472
b3833	1	1	2	1	1	EG11473
b3835	1	1	2	1	1	EG11476
b3836	1		1	1		EG11478
b3839	1	1	2	1	1	EG11479
b3848	1	1	2	1	1	EG11484
b1638	1	1	2	1	1	EG11487
b4044	1		1	1		EG11491
b4051	1		1	1		EG11492
b1096	1	1	2	1	1	EG11493
b1097	1	1	2	1	1	EG11494
b3259	1		1	1		EG11497
b3184	1	1	2	1	1	EG11499
b1099	1		1	1		EG11500
b0195	1	1	2	1	1	EG11503
b0197	1	1	2	1	1	EG11504
b3178	1		1	1		EG11506
b3179	1	1	2	1	1	EG11507
b0009	1	1	2	1	1	EG11511
b1188	1	1	2	1	1	EG11516
b3924	1	1	2	1	1	EG11518
b2193	1	1	2	1	1	EG11527
b1288	1	1	2	1	1	EG11528
b3933	1		1	1		EG11529
b1805	1	1	2	1	1	EG11530
b1661	1	1	2	1	1	EG11531
b2261	1	1	2	1	1	EG11532
b1067	1	1	2	1	1	EG11537
b0171	1	1	2	1	1	EG11539
b1004	1		1	1		EG11540
b3747	1	1	2	1	1	EG11541
b0494	1		1	1		EG11542
b3997	1	1	2	1	1	EG11543
b1083	1	1	2	1	1	EG11545
b0109	1	1	2	1	1	EG11546
b2712	1		1	1		EG11551
b3176	1	1	2	1	1	EG11553
b0007	1	1	2	1	1	EG11555
b0008	1	1	2	1	1	EG11556
b0046	1	1	2	1	1	EG11568
b0054	1	1	2	1	1	EG11569
b0055	1		1	1		EG11570
b0065	1		1	1		EG11571
b0068	1		1	1		EG11574
b0071	1		1	1		EG11575
b0072	1		1	1		EG11576
b0073	1		1	1		EG11577
b3406	1	1	2	1	1	EG11578
b0507	1		1	1		EG11583
b0508	1		1	1		EG11584
b3994	1	1	2	1	1	EG11585
b3993	1	1	2	1	1	EG11586
b3992	1	1	2	1	1	EG11587
b0630	1	1	2	1	1	EG11591
b0629	1		1	1		EG11594
b0781	1	1	2	1	1	EG11595
b0782	1	1	2	1	1	EG11596
b2521	1	1	2	1	1	EG11600
b3053	1	1	2	1	1	EG11602
b3054	1	1	2	1	1	EG11603
b4473	1		1	1		EG11604
b1251	1	1	2	1	1	EG11607
b1249	1	1	2	1	1	EG11608
b2369	1		1	1		EG11609
b2370	1		1	1		EG11610
b4111	1	1	2	1	1	EG11612
b4114	1	1	2	1	1	EG11613
b4112	1	1	2	1	1	EG11614
b4113	1	1	2	1	1	EG11615
b4148	1		1	1		EG11616
b2078	1	1	2	1	1	EG11617
b2079	1	1	2	1	1	EG11618
b1114	1	1	2	1	1	EG11619
b1286	1	1	2	1	1	EG11620
b0199	1	1	2	1	1	EG11621
b0448	1	1	2	1	1	EG11622
b2797	1		1	1		EG11623
b0864	1	1	2	1	1	EG11624
b0863	1	1	2	1	1	EG11625
b0862	1	1	2	1	1	EG11626
b0861	1		1	1		EG11627
b0860	1		1	1		EG11628
b0854	1	1	2	1	1	EG11629
b0855	1	1	2	1	1	EG11630
b0856	1		1	1		EG11631
b0857	1		1	1		EG11632
b1528	1		1	1		EG11636
b1529	1	1	2	1	1	EG11637
b1533	1	1	2	1	1	EG11639
b1534	1		1	1		EG11640
b1535	1	1	2	1	1	EG11643
b1537	1		1	1		EG11645
b0185	1		1	1		EG11647
b0207	1	1	2	1	1	EG11648
b0208	1	1	2	1	1	EG11649
b0210	1	1	2	1	1	EG11651
b3235	1		1	1		EG11652
b1939	1		1	1		EG11654
b1940	1		1	1		EG11656
b0495	1		1	1		EG11657
b1929	1		1	1		EG11660
b3349	1	1	2	1	1	EG11663
b3057	1	1	2	1	1	EG11665
b0783	1	1	2	1	1	EG11666
b2220	1		1	1		EG11668
b2221	1		1	1		EG11669
b2222	1		1	1		EG11670
b2224	1		1	1		EG11672
b3058	1		1	1		EG11673
b3059	1	1	2	1	1	EG11674
b0134	1		1	1		EG11675
b3932	1	1	2	1	1	EG11676
b2836	1	1	2	1	1	EG11679
b3201	1	1	2	1	1	EG11680
b3203	1	1	2	1	1	EG11681
b3204	1	1	2	1	1	EG11682
b3646	1		1	1		EG11683
b3659	1		1	1		EG11687
b3662	1	1	2	1	1	EG11689
b3664	1	1	2	1	1	EG11691
b3673	1		1	1		EG11693
b0756	1		1	1		EG11698
b0755	1	1	2	1	1	EG11699
b2066	1	1	2	1	1	EG11701
b3996	1	1	2	1	1	EG11702
b0463	1		1	1		EG11703
b0462	1		1	1		EG11704
b3680	1		1	1		EG11707
b3684	1		1	1		EG11711
b3691	1		1	1		EG11715
b4477	1		1	1		EG11716
b4479	1		1	1		EG11718
b3710	1	1	2	1	1	EG11720
b3711	1		1	1		EG11721
b3713	1	1	2	1	1	EG11723
b3714	1	1	2	1	1	EG11724
b3715	1		1	1		EG11725
b3754	1	1	2	1	1	EG11732
b3755	1	1	2	1	1	EG11733
b1020	1		1	1		EG11734
b0200	1	1	2	1	1	EG11736
b0198	1		1	1		EG11737
b3264	1	1	2	1	1	EG11741
b1496	1		1	1		EG11742
b0133	1	1	2	1	1	EG11746
b0131	1	1	2	1	1	EG11747
b1216	1		1	1		EG11753
b0070	1		1	1		EG11754
b0333	1		1	1		EG11756
b4168	1	1	2	1	1	EG11757
b4167	1		1	1		EG11758
b1271	1	1	2	1	1	EG11759
b3592	1		1	1		EG11762
b3597	1	1	2	1	1	EG11764
b3485	1		1	1		EG11767
b0503	1		1	1		EG11768
b2277	1	1	2	1	1	EG11773
b2284	1	1	2	1	1	EG11774
b0686	1	1	2	1	1	EG11776
b2960	1	1	2	1	1	EG11779
b2620	1	1	2	1	1	EG11782
b2581	1	1	2	1	1	EG11786
b2053	1	1	2	1	1	EG11787
b2052	1	1	2	1	1	EG11788
b2807	1	1	2	1	1	EG11793
b2806	1	1	2	1	1	EG11794
b2808	1	1	2	1	1	EG11795
b2464	1	1	2	1	1	EG11797
b0106	1		1	1		EG11798
b2996	1	1	2	1	1	EG11799
b2994	1	1	2	1	1	EG11801
b2993	1	1	2	1	1	EG11802
b2991	1	1	2	1	1	EG11804
b2990	1		1	1		EG11805
b1849	1		1	1		EG11809
b2903	1	1	2	1	1	EG11810
b4187	1	1	2	1	1	EG11811
b4186	1		1	1		EG11812
b2744	1	1	2	1	1	EG11817
b1056	1	1	2	1	1	EG11820
b0451	1		1	1		EG11821
b1301	1		1	1		EG11822
b2435	1	1	2	1	1	EG11823
b3009	1		1	1		EG11824
b0981	1		1	1		EG11826
b3856	1	1	2	1	1	EG11828
b3857	1	1	2	1	1	EG11829
b3859	1	1	2	1	1	EG11831
b3867	1	1	2	1	1	EG11836
b3871	1	1	2	1	1	EG11837
b3872	1		1	1		EG11838
b3884	1		1	1		EG11849
b3886	1		1	1		EG11851
b3887	1	1	2	1	1	EG11852
b3892	1	1	2	1	1	EG11856
b3893	1	1	2	1	1	EG11857
b3894	1		1	1		EG11858
b3895	1	1	2	1	1	EG11859
b3910	1	1	2	1	1	EG11870
b3385	1	1	2	1	1	EG11871
b3929	1		1	1		EG11879
b3931	1	1	2	1	1	EG11881
b1429	1		1	1		EG11883
b1430	1		1	1		EG11884
b1048	1	1	2	1	1	EG11885
b2582	1	1	2	1	1	EG11887
b3606	1	1	2	1	1	EG11888
b2010	1		1	1		EG11893
b2014	1	1	2	1	1	EG11896
b2573	1	1	2	1	1	EG11897
b3945	1	1	2	1	1	EG11904
b3946	1	1	2	1	1	EG11905
b3949	1		1	1		EG11908
b3950	1		1	1		EG11909
b3953	1	1	2	1	1	EG11912
b3954	1	1	2	1	1	EG11913
b4020	1		1	1		EG11919
b4029	1	1	2	1	1	EG11926
b4045	1		1	1		EG11928
b4046	1	1	2	1	1	EG11929
b4049	1	1	2	1	1	EG11932
b4061	1		1	1		EG11938
b4064	1		1	1		EG11939
b4065	1		1	1		EG11940
b4067	1		1	1		EG11942
b4072	1	1	2	1	1	EG11946
b4074	1		1	1		EG11948
b4075	1		1	1		EG11949
b4076	1	1	2	1	1	EG11950
b4078	1	1	2	1	1	EG11951
b4087	1		1	1		EG11959
b3386	1	1	2	1	1	EG11960
b3603	1		1	1		EG11961
b3604	1	1	2	1	1	EG11962
b3605	1	1	2	1	1	EG11963
b4116	1		1	1		EG11966
b1082	1	1	2	1	1	EG11967
b3292	1	1	2	1	1	EG11969
b1948	1		1	1		EG11975
b1949	1		1	1		EG11976
b1950	1		1	1		EG11977
b2039	1		1	1		EG11978
b2038	1		1	1		EG11979
b2109	1		1	1		EG11988
b2125	1	1	2	1	1	EG12006
b2126	1	1	2	1	1	EG12007
b2128	1		1	1		EG12009
b2130	1		1	1		EG12011
b2132	1	1	2	1	1	EG12013
b2134	1	1	2	1	1	EG12015
b2136	1		1	1		EG12017
b2140	1	1	2	1	1	EG12022
b2142	1	1	2	1	1	EG12024
b2154	1	1	2	1	1	EG12026
b2158	1		1	1		EG12027
b2161	1		1	1		EG12029
b2162	1	1	2	1	1	EG12030
b2164	1	1	2	1	1	EG12032
b2170	1		1	1		EG12034
b2171	1		1	1		EG12035
b2172	1		1	1		EG12036
b2177	1		1	1		EG12037
b2178	1	1	2	1	1	EG12038
b2179	1	1	2	1	1	EG12040
b2180	1	1	2	1	1	EG12041
b2183	1	1	2	1	1	EG12044
b2188	1	1	2	1	1	EG12049
b2194	1	1	2	1	1	EG12052
b2195	1		1	1		EG12053
b2196	1	1	2	1	1	EG12054
b2197	1	1	2	1	1	EG12055
b2199	1		1	1		EG12057
b2200	1		1	1		EG12058
b2201	1		1	1		EG12059
b2202	1	1	2	1	1	EG12060
b2204	1	1	2	1	1	EG12062
b2206	1	1	2	1	1	EG12067
b2208	1		1	1		EG12068
b2214	1	1	2	1	1	EG12073
b3477	1	1	2	1	1	EG12076
b3478	1		1	1		EG12077
b3479	1	1	2	1	1	EG12078
b3480	1	1	2	1	1	EG12079
b2698	1	1	2	1	1	EG12080
b2288	1	1	2	1	1	EG12082
b2287	1	1	2	1	1	EG12083
b2286	1	1	2	1	1	EG12084
b2285	1	1	2	1	1	EG12086
b2283	1	1	2	1	1	EG12087
b2282	1	1	2	1	1	EG12088
b2281	1	1	2	1	1	EG12089
b2280	1		1	1		EG12090
b2279	1		1	1		EG12091
b2278	1	1	2	1	1	EG12092
b2276	1	1	2	1	1	EG12093
b3175	1	1	2	1	1	EG12095
b2593	1	1	2	1	1	EG12097
b2594	1	1	2	1	1	EG12098
b4147	1	1	2	1	1	EG12099
b2465	1	1	2	1	1	EG12100
b3409	1	1	2	1	1	EG12102
b2173	1		1	1		EG12104
b2157	1	1	2	1	1	EG12105
b0107	1	1	2	1	1	EG12106
b0108	1	1	2	1	1	EG12107
b2709	1	1	2	1	1	EG12108
b2742	1		1	1		EG12111
b3391	1	1	2	1	1	EG12113
b4375	1	1	2	1	1	EG12114
b0464	1	1	2	1	1	EG12116
b1233	1	1	2	1	1	EG12119
b1234	1	1	2	1	1	EG12120
b1235	1	1	2	1	1	EG12121
b2289	1	1	2	1	1	EG12123
b2309	1	1	2	1	1	EG12124
b2308	1		1	1		EG12125
b2828	1	1	2	1	1	EG12128
b2526	1	1	2	1	1	EG12130
b2528	1		1	1		EG12132
b0813	1		1	1		EG12134
b2077	1		1	1		EG12136
b0192	1	1	2	1	1	EG12137
b1659	1	1	2	1	1	EG12140
b1660	1		1	1		EG12141
b2796	1	1	2	1	1	EG12142
b0688	1	1	2	1	1	EG12144
b3205	1	1	2	1	1	EG12146
b3206	1	1	2	1	1	EG12147
b1992	1		1	1		EG12150
b1991	1	1	2	1	1	EG12151
b4268	1		1	1		EG12152
b1469	1	1	2	1	1	EG12153
b0391	1	1	2	1	1	EG12159
b3289	1	1	2	1	1	EG12163
b4395	1		1	1		EG12164
b0920	1		1	1		EG12166
b1103	1	1	2	1	1	EG12172
b4135	1		1	1		EG12176
b4137	1		1	1		EG12177
b4136	1		1	1		EG12178
b0623	1		1	1		EG12179
b1654	1	1	2	1	1	EG12181
b3034	1	1	2	1	1	EG12184
b3032	1	1	2	1	1	EG12187
b2829	1	1	2	1	1	EG12188
b2436	1	1	2	1	1	EG12189
b2437	1	1	2	1	1	EG12190
b0450	1	1	2	1	1	EG12191
b2615	1	1	2	1	1	EG12192
b1000	1	1	2	1	1	EG12193
b2069	1	1	2	1	1	EG12200
b4241	1	1	2	1	1	EG12202
b1823	1		1	1		EG12204
b1822	1	1	2	1	1	EG12207
b0624	1		1	1		EG12209
b3620	1	1	2	1	1	EG12210
b3469	1		1	1		EG12215
b3470	1		1	1		EG12216
b3471	1	1	2	1	1	EG12217
b3473	1		1	1		EG12219
b3474	1	1	2	1	1	EG12220
b3475	1	1	2	1	1	EG12221
b3486	1	1	2	1	1	EG12223
b3487	1		1	1		EG12224
b3492	1	1	2	1	1	EG12229
b3493	1	1	2	1	1	EG12230
b3496	1	1	2	1	1	EG12232
b3497	1	1	2	1	1	EG12233
b3499	1	1	2	1	1	EG12234
b3502	1		1	1		EG12236
b3503	1	1	2	1	1	EG12237
b3513	1	1	2	1	1	EG12240
b3514	1	1	2	1	1	EG12241
b3515	1	1	2	1	1	EG12242
b3516	1		1	1		EG12243
b3518	1		1	1		EG12244
b3520	1	1	2	1	1	EG12246
b3521	1	1	2	1	1	EG12247
b3523	1		1	1		EG12249
b3525	1	1	2	1	1	EG12252
b3526	1	1	2	1	1	EG12253
b3529	1	1	2	1	1	EG12256
b3530	1		1	1		EG12257
b3531	1	1	2	1	1	EG12258
b3532	1	1	2	1	1	EG12259
b3533	1		1	1		EG12260
b3546	1	1	2	1	1	EG12267
b3547	1		1	1		EG12268
b3550	1	1	2	1	1	EG12270
b3552	1		1	1		EG12271
b3553	1	1	2	1	1	EG12272
b3567	1		1	1		EG12275
b3568	1		1	1		EG12276
b3574	1		1	1		EG12278
b3575	1		1	1		EG12279
b3577	1		1	1		EG12281
b3578	1		1	1		EG12282
b3579	1		1	1		EG12283
b3585	1		1	1		EG12289
b3586	1		1	1		EG12290
b3588	1		1	1		EG12292
b3589	1	1	2	1	1	EG12293
b3610	1		1	1		EG12294
b3611	1	1	2	1	1	EG12295
b3612	1	1	2	1	1	EG12296
b3613	1	1	2	1	1	EG12297
b1013	1	1	2	1	1	EG12301
b1098	1	1	2	1	1	EG12302
b1100	1	1	2	1	1	EG12303
b1291	1	1	2	1	1	EG12304
b1290	1	1	2	1	1	EG12305
b0963	1	1	2	1	1	EG12307
b4403	1		1	1		EG12309
b2523	1	1	2	1	1	EG12310
b2524	1		1	1		EG12311
b0103	1	1	2	1	1	EG12312
b0101	1		1	1		EG12314
b0117	1		1	1		EG12315
b0118	1	1	2	1	1	EG12316
b0126	1	1	2	1	1	EG12319
b0148	1	1	2	1	1	EG12329
b0147	1	1	2	1	1	EG12330
b0156	1	1	2	1	1	EG12332
b0157	1		1	1		EG12333
b0158	1	1	2	1	1	EG12334
b4391	1	1	2	1	1	EG12343
b1303	1	1	2	1	1	EG12344
b1539	1	1	2	1	1	EG12345
b1917	1		1	1		EG12347
b3775	1	1	2	1	1	EG12352
b0191	1	1	2	1	1	EG12354
b1701	1	1	2	1	1	EG12357
b0933	1		1	1		EG12358
b2236	1	1	2	1	1	EG12360
b2842	1		1	1		EG12361
b2265	1	1	2	1	1	EG12362
b3355	1	1	2	1	1	EG12365
b2946	1	1	2	1	1	EG12366
b0575	1	1	2	1	1	EG12367
b1859	1		1	1		EG12368
b2798	1	1	2	1	1	EG12372
b2795	1	1	2	1	1	EG12373
b0913	1		1	1		EG12375
b2410	1	1	2	1	1	EG12376
b4140	1		1	1		EG12382
b2216	1		1	1		EG12385
b2664	1	1	2	1	1	EG12386
b2660	1	1	2	1	1	EG12387
b1206	1		1	1		EG12392
b1778	1	1	2	1	1	EG12394
b1663	1	1	2	1	1	EG12400
b2517	1	1	2	1	1	EG12401
b1217	1		1	1		EG12402
b0828	1	1	2	1	1	EG12407
b2468	1	1	2	1	1	EG12409
b2467	1	1	2	1	1	EG12410
b2040	1		1	1		EG12411
b2041	1		1	1		EG12412
b1212	1	1	2	1	1	EG12424
b0763	1		1	1		EG12427
b1299	1		1	1		EG12431
b1694	1		1	1		EG12432
b1269	1	1	2	1	1	EG12433
b0176	1	1	2	1	1	EG12436
b4233	1	1	2	1	1	EG12440
b4461	1		1	1		EG12442
b1584	1	1	2	1	1	EG12447
b2330	1	1	2	1	1	EG12449
b2711	1	1	2	1	1	EG12450
b1581	1		1	1		EG12451
b0481	1		1	1		EG12454
b2835	1		1	1		EG12455
b4130	1	1	2	1	1	EG12469
b4141	1		1	1		EG12470
b4149	1	1	2	1	1	EG12474
b4159	1	1	2	1	1	EG12478
b4161	1	1	2	1	1	EG12479
b4162	1	1	2	1	1	EG12480
b4166	1	1	2	1	1	EG12481
b4180	1	1	2	1	1	EG12483
b4182	1		1	1		EG12485
b4184	1	1	2	1	1	EG12487
b4207	1		1	1		EG12503
b4208	1	1	2	1	1	EG12504
b4209	1	1	2	1	1	EG12505
b4211	1	1	2	1	1	EG12507
b4212	1	1	2	1	1	EG12508
b4218	1	1	2	1	1	EG12512
b4220	1	1	2	1	1	EG12513
b4221	1	1	2	1	1	EG12514
b4485	1		1	1		EG12518
b3128	1	1	2	1	1	EG12522
b4237	1	1	2	1	1	EG12523
b4243	1	1	2	1	1	EG12524
b4242	1	1	2	1	1	EG12525
b4249	1		1	1		EG12528
b4256	1	1	2	1	1	EG12532
b4261	1		1	1		EG12535
b4262	1	1	2	1	1	EG12536
b4264	1		1	1		EG12538
b4266	1		1	1		EG12540
b4267	1		1	1		EG12541
b4299	1		1	1		EG12551
b4300	1		1	1		EG12552
b4301	1		1	1		EG12553
b4321	1		1	1		EG12563
b4327	1		1	1		EG12566
b4332	1		1	1		EG12571
b4337	1		1	1		EG12576
b4340	1		1	1		EG12579
b4354	1		1	1		EG12586
b4356	1		1	1		EG12588
b4359	1		1	1		EG12591
b4365	1	1	2	1	1	EG12593
b4366	1	1	2	1	1	EG12594
b4371	1	1	2	1	1	EG12596
b4378	1	1	2	1	1	EG12598
b1095	1	1	2	1	1	EG12606
b0035	1	1	2	1	1	EG12608
b0058	1	1	2	1	1	EG12609
b3234	1		1	1		EG12612
b1635	1	1	2	1	1	EG12613
b0995	1	1	2	1	1	EG12615
b0993	1	1	2	1	1	EG12617
b3200	1	1	2	1	1	EG12618
b0577	1	1	2	1	1	EG12620
b1478	1		1	1		EG12622
b0478	1		1	1		EG12623
b3543	1	1	2	1	1	EG12625
b3542	1		1	1		EG12626
b3541	1		1	1		EG12627
b3540	1	1	2	1	1	EG12628
b3437	1	1	2	1	1	EG12629
b3438	1	1	2	1	1	EG12630
b0610	1	1	2	1	1	EG12637
b3028	1	1	2	1	1	EG12656
b1057	1		1	1		EG12659
b0654	1	1	2	1	1	EG12661
b0652	1		1	1		EG12663
b0524	1	1	2	1	1	EG12666
b1324	1		1	1		EG12672
b1376	1	1	2	1	1	EG12674
b2665	1	1	2	1	1	EG12675
b0177	1	1	2	1	1	EG12676
b2530	1	1	2	1	1	EG12677
b1857	1		1	1		EG12678
b1780	1	1	2	1	1	EG12679
b1920	1		1	1		EG12680
b1990	1	1	2	1	1	EG12682
b0891	1	1	2	1	1	EG12684
b2898	1	1	2	1	1	EG12685
b0892	1	1	2	1	1	EG12690
b1280	1	1	2	1	1	EG12691
b1813	1	1	2	1	1	EG12693
b3060	1	1	2	1	1	EG12694
b1412	1		1	1		EG12695
b2700	1	1	2	1	1	EG12698
b2701	1	1	2	1	1	EG12699
b0655	1		1	1		EG12700
b0651	1	1	2	1	1	EG12701
b1958	1		1	1		EG12709
b1962	1		1	1		EG12710
b1473	1	1	2	1	1	EG12713
b0173	1		1	1		EG12715
b3073	1	1	2	1	1	EG12718
b3081	1	1	2	1	1	EG12723
b3083	1		1	1		EG12725
b3088	1	1	2	1	1	EG12731
b3089	1		1	1		EG12732
b3093	1		1	1		EG12738
b3095	1	1	2	1	1	EG12740
b3101	1		1	1		EG12745
b3102	1		1	1		EG12746
b3103	1	1	2	1	1	EG12747
b3104	1		1	1		EG12748
b3105	1	1	2	1	1	EG12749
b3106	1	1	2	1	1	EG12750
b4471	1		1	1		EG12756
b3113	1	1	2	1	1	EG12757
b3127	1		1	1		EG12760
b3131	1	1	2	1	1	EG12762
b3146	1	1	2	1	1	EG12777
b3148	1	1	2	1	1	EG12779
b3150	1		1	1		EG12781
b3152	1	1	2	1	1	EG12783
b3155	1	1	2	1	1	EG12786
b3156	1	1	2	1	1	EG12788
b3158	1	1	2	1	1	EG12790
b3159	1	1	2	1	1	EG12791
b3160	1	1	2	1	1	EG12792
b3180	1		1	1		EG12794
b3183	1		1	1		EG12795
b3193	1	1	2	1	1	EG12799
b3194	1	1	2	1	1	EG12800
