LPT_ECOLI	AP_000665.1
PNUC_ECOLI	AP_001382.1
ZITB_ECOLI	AP_001383.1
YBGS_ECOLI	AP_001384.1
AROG_ECOLI	AP_001385.1
GPMA_ECOLI	AP_001386.1
GALM_ECOLI	AP_001387.1
GAL1_ECOLI	AP_001388.1
GAL7_ECOLI	AP_001389.1
GALE_ECOLI	AP_001390.1
MODF_ECOLI	AP_001391.1
MODE_ECOLI	AP_001392.1
YBHT_ECOLI	AP_001393.1
MODA_ECOLI	AP_001394.1
MODB_ECOLI	AP_001395.1
MODC_ECOLI	AP_001396.1
YBHA_ECOLI	AP_001397.1
6PGL_ECOLI	AP_001398.1
YBHD_ECOLI	AP_001399.1
YBHH_ECOLI	AP_001400.1
YBHI_ECOLI	AP_001401.1
YBHJ_ECOLI	AP_001402.1
YBHC_ECOLI	AP_001403.1
YBHB_ECOLI	AP_001404.1
BIOA_ECOLI	AP_001405.1
BIOB_ECOLI	AP_001406.1
BIOF_ECOLI	AP_001407.1
BIOC_ECOLI	AP_001408.1
BIOD_ECOLI	AP_001409.1
UVRB_ECOLI	AP_001410.1
YBHK_ECOLI	AP_001411.1
MOAA_ECOLI	AP_001412.1
MOAB_ECOLI	AP_001413.1
MOAC_ECOLI	AP_001414.1
MOAD_ECOLI	AP_001415.1
MOAE_ECOLI	AP_001416.1
YBHL_ECOLI	AP_001417.1
YBHM_ECOLI	AP_001418.1
YBHN_ECOLI	AP_001419.1
YBHO_ECOLI	AP_001420.1
YBHP_ECOLI	AP_001421.1
YBHQ_ECOLI	AP_001422.1
YBHR_ECOLI	AP_001423.1
YBHS_ECOLI	AP_001424.1
YBHF_ECOLI	AP_001425.1
YBHG_ECOLI	AP_001426.1
YBIH_ECOLI	AP_001427.1
RHLE_ECOLI	AP_001428.1
YBIA_ECOLI	AP_001429.1
DING_ECOLI	AP_001430.1
YBIB_ECOLI	AP_001431.1
YBIC_ECOLI	AP_001432.1
YBIJ_ECOLI	AP_001433.1
YBII_ECOLI	AP_001434.1
YBIX_ECOLI	AP_001435.1
FIU_ECOLI	AP_001436.1
MCBA_ECOLI	AP_001437.1
RLMF_ECOLI	AP_001438.1
YBIO_ECOLI	AP_001439.1
GLNQ_ECOLI	AP_001440.1
GLNP_ECOLI	AP_001441.1
GLNH_ECOLI	AP_001442.1
DPS_ECOLI	AP_001443.1
RHTA_ECOLI	AP_001444.1
OMPX_ECOLI	AP_001445.1
YBIP_ECOLI	AP_001446.1
YLIL_ECOLI	AP_001447.1
MNTR_ECOLI	AP_001448.1
YBIR_ECOLI	AP_001449.1
YBIS_ECOLI	AP_001450.1
YBIT_ECOLI	AP_001451.1
YBIU_ECOLI	AP_001452.1
SUPH_ECOLI	AP_001453.1
PFLF_ECOLI	AP_001454.1
PFLE_ECOLI	AP_001455.1
FSAA_ECOLI	AP_001456.1
MOEB_ECOLI	AP_001457.1
MOEA_ECOLI	AP_001458.1
IAAA_ECOLI	AP_001459.1
GSIA_ECOLI	AP_001460.1
GSIB_ECOLI	AP_001461.1
GSIC_ECOLI	AP_001462.1
GSID_ECOLI	AP_001463.1
YLIE_ECOLI	AP_001464.1
YLIF_ECOLI	AP_001465.1
RIMO_ECOLI	AP_001466.1
BSSR_ECOLI	AP_001467.1
YLII_ECOLI	AP_001468.1
YLIJ_ECOLI	AP_001469.1
DACC_ECOLI	AP_001470.1
DEOR_ECOLI	AP_001471.1
YBJG_ECOLI	AP_001472.1
MDFA_ECOLI	AP_001473.1
YBJH_ECOLI	AP_001474.1
YBJI_ECOLI	AP_001475.1
YBJJ_ECOLI	AP_001476.1
YBJK_ECOLI	AP_001477.1
YBJL_ECOLI	AP_001478.1
YBJM_ECOLI	AP_001479.1
GLRX1_ECOLI	AP_001480.1
YBJC_ECOLI	AP_001481.1
NFSA_ECOLI	AP_001482.1
RIMK_ECOLI	AP_001483.1
YBJN_ECOLI	AP_001484.1
POTF_ECOLI	AP_001485.1
POTG_ECOLI	AP_001486.1
POTH_ECOLI	AP_001487.1
POTI_ECOLI	AP_001488.1
YBJO_ECOLI	AP_001489.1
RUMB_ECOLI	AP_001490.1
ARTJ_ECOLI	AP_001491.1
ARTM_ECOLI	AP_001492.1
ARTQ_ECOLI	AP_001493.1
ARTI_ECOLI	AP_001494.1
ARTP_ECOLI	AP_001495.1
YBJP_ECOLI	AP_001496.1
YBJQ_ECOLI	AP_001497.1
AMID_ECOLI	AP_001498.1
YBJS_ECOLI	AP_001499.1
YBJT_ECOLI	AP_001500.1
LTAE_ECOLI	AP_001501.1
POXB_ECOLI	AP_001502.1
HCR_ECOLI	AP_001503.1
HCP_ECOLI	AP_001504.1
YBJE_ECOLI	AP_001505.1
AQPZ_ECOLI	AP_001506.1
YBJD_ECOLI	AP_001507.1
YBJX_ECOLI	AP_001508.1
MACA_ECOLI	AP_001509.1
MACB_ECOLI	AP_001510.1
CSPD_ECOLI	AP_001511.1
CLPS_ECOLI	AP_001512.1
CLPA_ECOLI	AP_001513.1
IF1_ECOLI	AP_001514.1
LFTR_ECOLI	AP_001515.1
CYDC_ECOLI	AP_001516.1
CYDD_ECOLI	AP_001517.1
TRXB_ECOLI	AP_001518.1
LRP_ECOLI	AP_001519.1
FTSK_ECOLI	AP_001520.1
LOLA_ECOLI	AP_001521.1
RARA_ECOLI	AP_001522.1
SYS_ECOLI	AP_001523.1
DMSA_ECOLI	AP_001524.1
DMSB_ECOLI	AP_001525.1
DMSC_ECOLI	AP_001526.1
YCAC_ECOLI	AP_001527.1
YCAD_ECOLI	AP_001528.1
YCAM_ECOLI	AP_001529.1
YCAN_ECOLI	AP_001530.1
YCAK_ECOLI	AP_001531.1
PFLA_ECOLI	AP_001532.1
PFLB_ECOLI	AP_001533.1
FOCA_ECOLI	AP_001534.1
YCAO_ECOLI	AP_001535.1
YCAP_ECOLI	AP_001536.1
SERC_ECOLI	AP_001537.1
AROA_ECOLI	AP_001538.1
YCAL_ECOLI	AP_001539.1
KCY_ECOLI	AP_001540.1
RS1_ECOLI	AP_001541.1
IHFB_ECOLI	AP_001542.1
YCAI_ECOLI	AP_001543.1
MSBA_ECOLI	AP_001544.1
LPXK_ECOLI	AP_001545.1
YCAQ_ECOLI	AP_001546.1
YCAR_ECOLI	AP_001547.1
KDSB_ECOLI	AP_001548.1
YCBJ_ECOLI	AP_001549.1
YCBC_ECOLI	AP_001550.1
SMTA_ECOLI	AP_001551.1
MUKF_ECOLI	AP_001552.1
MUKE_ECOLI	AP_001553.1
MUKB_ECOLI	AP_001554.1
YCBB_ECOLI	AP_001555.1
YCBK_ECOLI	AP_001556.1
YCBL_ECOLI	AP_001557.1
AAT_ECOLI	AP_001558.1
OMPF_ECOLI	AP_001559.1
SYN_ECOLI	AP_001560.1
PNCB_ECOLI	AP_001561.1
AMPN_ECOLI	AP_001562.1
SSUB_ECOLI	AP_001563.1
SSUC_ECOLI	AP_001564.1
SSUD_ECOLI	AP_001565.1
SSUA_ECOLI	AP_001566.1
SSUE_ECOLI	AP_001567.1
YCBQ_ECOLI	AP_001568.1
YCBR_ECOLI	AP_001569.1
YCBS_ECOLI	AP_001570.1
YCBT_ECOLI	AP_001571.1
YCBU_ECOLI	AP_001572.1
YCBV_ECOLI	AP_001573.1
YCBF_ECOLI	AP_001574.1
PYRD_ECOLI	AP_001575.1
YCBW_ECOLI	AP_001576.1
YCBX_ECOLI	AP_001577.1
RLML_ECOLI	AP_001578.1
UUP_ECOLI	AP_001579.1
PQIA_ECOLI	AP_001580.1
PQIB_ECOLI	AP_001581.1
YMBA_ECOLI	AP_001582.1
RMF_ECOLI	AP_001583.1
FABA_ECOLI	AP_001584.1
LONH_ECOLI	AP_001585.1
YCBG_ECOLI	AP_001586.1
OMPA_ECOLI	AP_001587.1
SULA_ECOLI	AP_001588.1
SXY_ECOLI	AP_001589.1
YCCS_ECOLI	AP_001590.1
YCCF_ECOLI	AP_001591.1
HELD_ECOLI	AP_001592.1
MGSA_ECOLI	AP_001593.1
YCCT_ECOLI	AP_001594.1
YCCU_ECOLI	AP_001595.1
HSPQ_ECOLI	AP_001596.1
RLMI_ECOLI	AP_001597.1
ACYP_ECOLI	AP_001598.1
TUSE_ECOLI	AP_001599.1
YCCA_ECOLI	AP_001600.1
MBHS_ECOLI	AP_001601.1
MBHL_ECOLI	AP_001602.1
CYBH_ECOLI	AP_001603.1
HYAD_ECOLI	AP_001604.1
HYAE_ECOLI	AP_001605.1
HYAF_ECOLI	AP_001606.1
APPC_ECOLI	AP_001607.1
APPB_ECOLI	AP_001608.1
PPA_ECOLI	AP_001609.1
ETK_ECOLI	AP_001610.1
ETP_ECOLI	AP_001611.1
GFCE_ECOLI	AP_001612.1
GFCD_ECOLI	AP_001613.1
GFCC_ECOLI	AP_001614.1
GFCB_ECOLI	AP_001615.1
GFCA_ECOLI	AP_001616.1
INSB4_ECOLI	AP_001618.1
CSPH_ECOLI	AP_001619.1
CSPG_ECOLI	AP_001620.1
SFA_ECOLI	AP_001621.1
GNSA_ECOLI	AP_001622.1
YCCM_ECOLI	AP_001623.1
TORS_ECOLI	AP_001624.1
TORT_ECOLI	AP_001625.1
TORR_ECOLI	AP_001626.1
TORC_ECOLI	AP_001627.1
TORA_ECOLI	AP_001628.1
TORD_ECOLI	AP_001629.1
CBPM_ECOLI	AP_001630.1
CBPA_ECOLI	AP_001631.1
YCCE_ECOLI	AP_001632.1
AGP_ECOLI	AP_001633.1
YCCJ_ECOLI	AP_001634.1
WRBA_ECOLI	AP_001635.1
YMDF_ECOLI	AP_001636.1
RUTG_ECOLI	AP_001637.1
RUTF_ECOLI	AP_001638.1
RUTE_ECOLI	AP_001639.1
RUTD_ECOLI	AP_001640.1
RUTC_ECOLI	AP_001641.1
RUTB_ECOLI	AP_001642.1
RUTA_ECOLI	AP_001643.1
RUTR_ECOLI	AP_001644.1
PUTA_ECOLI	AP_001645.1
PUTP_ECOLI	AP_001646.1
YCDO_ECOLI	AP_001647.1
YCDB_ECOLI	AP_001648.1
PHOH_ECOLI	AP_001649.1
PGAD_ECOLI	AP_001650.1
PGAC_ECOLI	AP_001651.1
PGAB_ECOLI	AP_001652.1
PGAA_ECOLI	AP_001653.1
YCDT_ECOLI	AP_001654.1
YCDU_ECOLI	AP_001657.1
GHRA_ECOLI	AP_001658.1
YCDX_ECOLI	AP_001659.1
YCDY_ECOLI	AP_001660.1
YCDZ_ECOLI	AP_001661.1
CSGG_ECOLI	AP_001662.1
CSGF_ECOLI	AP_001663.1
CSGE_ECOLI	AP_001664.1
CSGD_ECOLI	AP_001665.1
CSGB_ECOLI	AP_001666.1
CSGA_ECOLI	AP_001667.1
CSGC_ECOLI	AP_001668.1
YMDA_ECOLI	AP_001671.1
YMDB_ECOLI	AP_001672.1
YMDC_ECOLI	AP_001673.1
OPGC_ECOLI	AP_001674.1
OPGG_ECOLI	AP_001675.1
OPGH_ECOLI	AP_001676.1
YCEK_ECOLI	AP_001677.1
MSYB_ECOLI	AP_001678.1
MDTG_ECOLI	AP_001679.1
HTRB_ECOLI	AP_001680.1
YCEA_ECOLI	AP_001681.1
YCEI_ECOLI	AP_001682.1
C56I_ECOLI	AP_001683.1
YCEO_ECOLI	AP_001684.1
MTOX_ECOLI	AP_001685.1
BSSS_ECOLI	AP_001686.1
DINI_ECOLI	AP_001687.1
PYRC_ECOLI	AP_001688.1
YCEB_ECOLI	AP_001689.1
GLRX2_ECOLI	AP_001690.1
MDTH_ECOLI	AP_001691.1
RIMJ_ECOLI	AP_001692.1
YCEH_ECOLI	AP_001693.1
MVIM_ECOLI	AP_001694.1
MVIN_ECOLI	AP_001695.1
FLGN_ECOLI	AP_001696.1
FLGM_ECOLI	AP_001697.1
FLGA_ECOLI	AP_001698.1
FLGB_ECOLI	AP_001699.1
FLGC_ECOLI	AP_001700.1
FLGD_ECOLI	AP_001701.1
FLGE_ECOLI	AP_001702.1
FLGF_ECOLI	AP_001703.1
FLGG_ECOLI	AP_001704.1
FLGH_ECOLI	AP_001705.1
FLGI_ECOLI	AP_001706.1
FLGJ_ECOLI	AP_001707.1
FLGK_ECOLI	AP_001708.1
FLGL_ECOLI	AP_001709.1
RNE_ECOLI	AP_001710.1
YCEQ_ECOLI	AP_001711.1
RLUC_ECOLI	AP_001712.1
YCEF_ECOLI	AP_001713.1
YCED_ECOLI	AP_001714.1
RL32_ECOLI	AP_001715.1
PLSX_ECOLI	AP_001716.1
FABH_ECOLI	AP_001717.1
FABD_ECOLI	AP_001718.1
FABG_ECOLI	AP_001719.1
ACP_ECOLI	AP_001720.1
FABF_ECOLI	AP_001721.1
PABC_ECOLI	AP_001722.1
YCEG_ECOLI	AP_001723.1
KTHY_ECOLI	AP_001724.1
HOLB_ECOLI	AP_001725.1
YCFH_ECOLI	AP_001726.1
PTGCB_ECOLI	AP_001727.1
FHUE_ECOLI	AP_001728.1
HINT_ECOLI	AP_001729.1
YCFL_ECOLI	AP_001730.1
YCFM_ECOLI	AP_001731.1
THIK_ECOLI	AP_001732.1
NAGZ_ECOLI	AP_001733.1
YCFP_ECOLI	AP_001734.1
DHNA_ECOLI	AP_001735.1
YCFJ_ECOLI	AP_001736.1
YCFQ_ECOLI	AP_001737.1
BHSA_ECOLI	AP_001738.1
YCFS_ECOLI	AP_001739.1
MFD_ECOLI	AP_001740.1
YCFT_ECOLI	AP_001741.1
LOLC_ECOLI	AP_001742.1
LOLD_ECOLI	AP_001743.1
LOLE_ECOLI	AP_001744.1
NAGK_ECOLI	AP_001745.1
NPD_ECOLI	AP_001746.1
YCFZ_ECOLI	AP_001747.1
YMFA_ECOLI	AP_001748.1
POTD_ECOLI	AP_001749.1
POTC_ECOLI	AP_001750.1
POTB_ECOLI	AP_001751.1
POTA_ECOLI	AP_001752.1
PEPT_ECOLI	AP_001753.1
YCFD_ECOLI	AP_001754.1
PHOQ_ECOLI	AP_001755.1
PHOP_ECOLI	AP_001756.1
PUR8_ECOLI	AP_001757.1
HFLD_ECOLI	AP_001758.1
MNMA_ECOLI	AP_001759.1
NUDJ_ECOLI	AP_001760.1
RLUE_ECOLI	AP_001761.1
IDH_ECOLI	AP_001762.1
YMFD_ECOLI	AP_001763.1
YMFE_ECOLI	AP_001764.1
LIT_ECOLI	AP_001765.1
INTE_ECOLI	AP_001766.1
VXIS_ECOLI	AP_001767.1
Y1142_ECOLI	AP_001768.1
YMFI_ECOLI	AP_001769.1
YMFJ_ECOLI	AP_001770.1
YMFK_ECOLI	AP_001771.1
YMFT_ECOLI	AP_001772.1
YMFL_ECOLI	AP_001773.1
YMFM_ECOLI	AP_001774.1
YMFN_ECOLI	AP_001775.1
YMFR_ECOLI	AP_001776.1
YMFO_ECOLI	AP_001777.1
YMFP_ECOLI	AP_001778.1
YMFQ_ECOLI	AP_001779.1
YCFK_ECOLI	AP_001780.1
YMFS_ECOLI	AP_001781.1
TFAE_ECOLI	AP_001782.1
PINE_ECOLI	AP_001783.1
MCRA_ECOLI	AP_001784.1
IRAM_ECOLI	AP_001785.1
YCGX_ECOLI	AP_001786.1
YCGE_ECOLI	AP_001787.1
YCGF_ECOLI	AP_001788.1
YCGZ_ECOLI	AP_001789.1
YMGA_ECOLI	AP_001790.1
ARIR_ECOLI	AP_001791.1
YMGC_ECOLI	AP_001792.1
YCGG_ECOLI	AP_001793.1
YMGF_ECOLI	AP_001794.1
YMGD_ECOLI	AP_001795.1
YMGG_ECOLI	AP_001796.1
YCGI_ECOLI	AP_001797.1
MINE_ECOLI	AP_001799.1
MIND_ECOLI	AP_001800.1
MINC_ECOLI	AP_001801.1
YCGJ_ECOLI	AP_001802.1
YCGK_ECOLI	AP_001803.1
YCGL_ECOLI	AP_001804.1
YCGM_ECOLI	AP_001805.1
YCGN_ECOLI	AP_001806.1
HLYE_ECOLI	AP_001807.1
UMUD_ECOLI	AP_001808.1
UMUC_ECOLI	AP_001809.1
DSBB_ECOLI	AP_001810.1
NHAB_ECOLI	AP_001811.1
FADR_ECOLI	AP_001812.1
YCGB_ECOLI	AP_001813.1
DADA_ECOLI	AP_001814.1
ALR2_ECOLI	AP_001815.1
CVRA_ECOLI	AP_001816.1
LDCA_ECOLI	AP_001817.1
EMTA_ECOLI	AP_001818.1
YCGR_ECOLI	AP_001819.1
YMGE_ECOLI	AP_001820.1
YCGY_ECOLI	AP_001821.1
TREA_ECOLI	AP_001822.1
DHAM_ECOLI	AP_001823.1
DHAL_ECOLI	AP_001824.1
DHAK_ECOLI	AP_001825.1
DHAR_ECOLI	AP_001826.1
YCGV_ECOLI	AP_001827.1
ENGD_ECOLI	AP_001828.1
PTH_ECOLI	AP_001829.1
YCHH_ECOLI	AP_001830.1
YCHM_ECOLI	AP_001831.1
KPRS_ECOLI	AP_001832.1
ISPE_ECOLI	AP_001833.1
LOLB_ECOLI	AP_001834.1
HEM1_ECOLI	AP_001835.1
RF1_ECOLI	AP_001836.1
HEMK_ECOLI	AP_001837.1
SIRB2_ECOLI	AP_001838.1
SIRB1_ECOLI	AP_001839.1
KDSA_ECOLI	AP_001840.1
LDRA_ECOLI	AP_001841.1
LDRB_ECOLI	AP_001842.1
CHAA_ECOLI	AP_001844.1
CHAB_ECOLI	AP_001845.1
CHAC_ECOLI	AP_001846.1
YCHN_ECOLI	AP_001847.1
YCHO_ECOLI	AP_001848.1
NARL_ECOLI	AP_001849.1
NARX_ECOLI	AP_001850.1
NARK_ECOLI	AP_001851.1
NARG_ECOLI	AP_001852.1
NARH_ECOLI	AP_001853.1
NARJ_ECOLI	AP_001854.1
NARI_ECOLI	AP_001855.1
YCHS_ECOLI	AP_001856.1
PRTL_ECOLI	AP_001857.1
PURU_ECOLI	AP_001858.1
YCHJ_ECOLI	AP_001859.1
RSSA_ECOLI	AP_001860.1
HNR_ECOLI	AP_001861.1
GALU_ECOLI	AP_001862.1
HNS_ECOLI	AP_001863.1
KITH_ECOLI	AP_001864.1
ADHE_ECOLI	AP_001865.1
YCHE_ECOLI	AP_001866.1
OPPA_ECOLI	AP_001869.1
OPPB_ECOLI	AP_001870.1
OPPC_ECOLI	AP_001871.1
OPPD_ECOLI	AP_001872.1
OPPF_ECOLI	AP_001873.1
YCIU_ECOLI	AP_001874.1
CLS_ECOLI	AP_001875.1
KCH_ECOLI	AP_001876.1
YCII_ECOLI	AP_001877.1
TONB_ECOLI	AP_001878.1
YCIA_ECOLI	AP_001879.1
ISPZ_ECOLI	AP_001880.1
YCIC_ECOLI	AP_001881.1
OMPW_ECOLI	AP_001882.1
YCIE_ECOLI	AP_001883.1
YCIF_ECOLI	AP_001884.1
YCIG_ECOLI	AP_001885.1
TRPA_ECOLI	AP_001886.1
TRPB_ECOLI	AP_001887.1
TRPC_ECOLI	AP_001888.1
TRPG_ECOLI	AP_001889.1
TRPE_ECOLI	AP_001890.1
LPW_ECOLI	AP_001891.1
TRPH_ECOLI	AP_001892.1
YCIO_ECOLI	AP_001893.1
YCIQ_ECOLI	AP_001894.1
RLUB_ECOLI	AP_001895.1
BTUR_ECOLI	AP_001896.1
YCIK_ECOLI	AP_001897.1
SOHB_ECOLI	AP_001898.1
YCIN_ECOLI	AP_001899.1
TOP1_ECOLI	AP_001900.1
CYSB_ECOLI	AP_001901.1
ACON1_ECOLI	AP_001902.1
RIBA_ECOLI	AP_001903.1
PGPB_ECOLI	AP_001904.1
YCIS_ECOLI	AP_001905.1
YCIM_ECOLI	AP_001906.1
PYRF_ECOLI	AP_001907.1
YCIH_ECOLI	AP_001908.1
OSMB_ECOLI	AP_001909.1
YCIT_ECOLI	AP_001910.1
GMR_ECOLI	AP_001911.1
RNB_ECOLI	AP_001912.1
YCIW_ECOLI	AP_001913.1
FABI_ECOLI	AP_001914.1
YCJD_ECOLI	AP_001915.1
SAPF_ECOLI	AP_001916.1
SAPD_ECOLI	AP_001917.1
SAPC_ECOLI	AP_001918.1
SAPB_ECOLI	AP_001919.1
SAPA_ECOLI	AP_001920.1
YMJA_ECOLI	AP_001921.1
PUUP_ECOLI	AP_001922.1
PUUA_ECOLI	AP_001923.1
PUUD_ECOLI	AP_001924.1
PUUR_ECOLI	AP_001925.1
PUUC_ECOLI	AP_001926.1
PUUB_ECOLI	AP_001927.1
PUUE_ECOLI	AP_001928.1
PSPF_ECOLI	AP_001929.1
PSPA_ECOLI	AP_001930.1
PSPB_ECOLI	AP_001931.1
PSPC_ECOLI	AP_001932.1
PSPD_ECOLI	AP_001933.1
PSPE_ECOLI	AP_001934.1
SUCP_ECOLI	AP_001935.1
YCJN_ECOLI	AP_001936.1
YCJO_ECOLI	AP_001937.1
YCJP_ECOLI	AP_001938.1
YCJQ_ECOLI	AP_001939.1
YCJR_ECOLI	AP_001940.1
YCJS_ECOLI	AP_001941.1
YCJT_ECOLI	AP_001942.1
PGMB_ECOLI	AP_001943.1
YCJV_ECOLI	AP_001944.1
OMPG_ECOLI	AP_001946.1
YCJW_ECOLI	AP_001947.1
YCJX_ECOLI	AP_001948.1
YCJF_ECOLI	AP_001949.1
TYRR_ECOLI	AP_001950.1
TPX_ECOLI	AP_001951.1
AEEP_ECOLI	AP_001952.1
MPAA_ECOLI	AP_001953.1
YMJC_ECOLI	AP_001954.1
YCJY_ECOLI	AP_001955.1
YCJZ_ECOLI	AP_001956.1
MPPA_ECOLI	AP_001957.1
YNAI_ECOLI	AP_001958.1
YNAJ_ECOLI	AP_001960.1
USPE_ECOLI	AP_001961.1
FNR_ECOLI	AP_001962.1
OGT_ECOLI	AP_001963.1
ABGT_ECOLI	AP_001964.1
ABGB_ECOLI	AP_001965.1
ABGA_ECOLI	AP_001966.1
ABGR_ECOLI	AP_001967.1
YDAL_ECOLI	AP_001968.1
YDAM_ECOLI	AP_001969.1
ZNTB_ECOLI	AP_001970.1
DBPA_ECOLI	AP_001971.1
TTCA_ECOLI	AP_001972.1
INTR_ECOLI	AP_001973.1
YDAQ_ECOLI	AP_001974.1
YDAC_ECOLI	AP_001975.1
LAR_ECOLI	AP_001976.1
RECT_ECOLI	AP_001977.1
RECE_ECOLI	AP_001978.1
RACC_ECOLI	AP_001979.1
YDAE_ECOLI	AP_001980.1
KIL_ECOLI	AP_001981.1
SIEB_ECOLI	AP_001982.1
YDAF_ECOLI	AP_001983.1
YDAG_ECOLI	AP_001984.1
RACR_ECOLI	AP_001985.1
YDAS_ECOLI	AP_001986.1
YDAT_ECOLI	AP_001987.1
YDAU_ECOLI	AP_001988.1
YDAV_ECOLI	AP_001989.1
YDAW_ECOLI	AP_001990.1
RZPR_ECOLI	AP_001991.1
RZOR_ECOLI	AP_001992.1
TRKG_ECOLI	AP_001993.1
YNAK_ECOLI	AP_001994.1
YDAY_ECOLI	AP_001995.1
YNAA_ECOLI	AP_001996.1
INSH5_ECOLI	AP_001997.1
STFR_ECOLI	AP_001998.1
TFAR_ECOLI	AP_001999.1
PINR_ECOLI	AP_002000.1
YNAE_ECOLI	AP_002001.1
USPF_ECOLI	AP_002002.1
OMPN_ECOLI	AP_002003.1
NIFJ_ECOLI	AP_002004.1
YDBJ_ECOLI	AP_002005.1
HSLJ_ECOLI	AP_002006.1
LDHD_ECOLI	AP_002007.1
YDBH_ECOLI	AP_002008.1
YNBE_ECOLI	AP_002009.1
YDBL_ECOLI	AP_002010.1
FEAR_ECOLI	AP_002011.1
FEAB_ECOLI	AP_002012.1
AMO_ECOLI	AP_002013.1
MAOC_ECOLI	AP_002014.1
PAAA_ECOLI	AP_002015.1
PAAB_ECOLI	AP_002016.1
PAAC_ECOLI	AP_002017.1
PAAD_ECOLI	AP_002018.1
PAAE_ECOLI	AP_002019.1
PAAF_ECOLI	AP_002020.1
PAAG_ECOLI	AP_002021.1
PAAH_ECOLI	AP_002022.1
PAAI_ECOLI	AP_002023.1
PAAJ_ECOLI	AP_002024.1
PAAK_ECOLI	AP_002025.1
PAAX_ECOLI	AP_002026.1
PAAY_ECOLI	AP_002027.1
INSI3_ECOLI	AP_002030.1
INSI4_ECOLI	AP_002030.1
YDBC_ECOLI	AP_002031.1
YDBD_ECOLI	AP_002032.1
YNBA_ECOLI	AP_002033.1
YNBB_ECOLI	AP_002034.1
YNBC_ECOLI	AP_002035.1
YNBD_ECOLI	AP_002036.1
AZOR_ECOLI	AP_002037.1
HRPA_ECOLI	AP_002038.1
YDCF_ECOLI	AP_002039.1
ALDA_ECOLI	AP_002040.1
C561_ECOLI	AP_002041.1
YDCA_ECOLI	AP_002042.1
HOKB_ECOLI	AP_002043.1
MOKB_ECOLI	AP_002044.1
MCP3_ECOLI	AP_002045.1
YDCI_ECOLI	AP_002046.1
YDCJ_ECOLI	AP_002047.1
OPGD_ECOLI	AP_002048.1
YDCH_ECOLI	AP_002049.1
RIML_ECOLI	AP_002050.1
YDCK_ECOLI	AP_002051.1
TEHA_ECOLI	AP_002052.1
TEHB_ECOLI	AP_002053.1
YDCL_ECOLI	AP_002054.1
YDCM_ECOLI	AP_002055.1
YDCO_ECOLI	AP_002056.1
YDCN_ECOLI	AP_002057.1
YDCP_ECOLI	AP_002058.1
YNCJ_ECOLI	AP_002059.1
YNCN_ECOLI	AP_002060.1
YDCQ_ECOLI	AP_002061.1
YDCR_ECOLI	AP_002062.1
YDCS_ECOLI	AP_002063.1
YDCT_ECOLI	AP_002064.1
YDCU_ECOLI	AP_002065.1
YDCV_ECOLI	AP_002066.1
ABDH_ECOLI	AP_002067.1
YDCX_ECOLI	AP_002068.1
YDCY_ECOLI	AP_002069.1
YDCZ_ECOLI	AP_002070.1
YNCA_ECOLI	AP_002071.1
YNCB_ECOLI	AP_002072.1
MCBR_ECOLI	AP_002073.1
YNCD_ECOLI	AP_002074.1
YNCE_ECOLI	AP_002075.1
ANSP_ECOLI	AP_002076.1
YNCG_ECOLI	AP_002077.1
YNCH_ECOLI	AP_002078.1
RHSE_ECOLI	AP_002079.1
YDCD_ECOLI	AP_002080.1
YNCI_ECOLI	AP_002081.1
YDCC_ECOLI	AP_002083.1
PPTA_ECOLI	AP_002084.1
YDDH_ECOLI	AP_002085.1
NHOA_ECOLI	AP_002086.1
YDDE_ECOLI	AP_002087.1
NARV_ECOLI	AP_002088.1
NARW_ECOLI	AP_002089.1
NARY_ECOLI	AP_002090.1
NARZ_ECOLI	AP_002091.1
NARU_ECOLI	AP_002092.1
YDDJ_ECOLI	AP_002093.1
YDDK_ECOLI	AP_002094.1
YDDL_ECOLI	AP_002095.1
YDDG_ECOLI	AP_002096.1
FDNG_ECOLI	AP_002097.1
FDNH_ECOLI	AP_002098.1
FDNI_ECOLI	AP_002099.1
YDDM_ECOLI	AP_002100.1
ADHP_ECOLI	AP_002101.1
MAO1_ECOLI	AP_002102.1
SRA_ECOLI	AP_002103.1
BDM_ECOLI	AP_002104.1
OSMC_ECOLI	AP_002105.1
DDPF_ECOLI	AP_002106.1
DDPD_ECOLI	AP_002107.1
DDPC_ECOLI	AP_002108.1
DDPB_ECOLI	AP_002109.1
DDPA_ECOLI	AP_002110.1
DDPX_ECOLI	AP_002111.1
DOS_ECOLI	AP_002112.1
YDDV_ECOLI	AP_002113.1
YDDW_ECOLI	AP_002114.1
GADC_ECOLI	AP_002115.1
DCEB_ECOLI	AP_002116.1
PQQL_ECOLI	AP_002117.1
YDDB_ECOLI	AP_002118.1
YDDA_ECOLI	AP_002119.1
YDEM_ECOLI	AP_002120.1
YDEN_ECOLI	AP_002121.1
YDEO_ECOLI	AP_002122.1
YDEP_ECOLI	AP_002123.1
YDEQ_ECOLI	AP_002124.1
YDER_ECOLI	AP_002125.1
YDES_ECOLI	AP_002126.1
YDET_ECOLI	AP_002127.1
YNEL_ECOLI	AP_002128.1
HIPA_ECOLI	AP_002129.1
HIPB_ECOLI	AP_002130.1
YDEK_ECOLI	AP_002131.1
LSRK_ECOLI	AP_002132.1
LSRR_ECOLI	AP_002133.1
LSRA_ECOLI	AP_002134.1
