K12 Entry name (Uniprot)	BL21(DE3) Accession name (Uniprot)	BL21(DE3) Entry name (Uniprot)
YDJH_ECOLI	C6ECI5	C6ECI5_ECOBD
YDJF_ECOLI	C6ECI7	C6ECI7_ECOBD
YDJE_ECOLI	C6ECI8	C6ECI8_ECOBD
PNCA_ECOLI	C6ECI9	C6ECI9_ECOBD
ASPG1_ECOLI	C6ECJ0	C6ECJ0_ECOBD
SPPA_ECOLI	C6ECJ1	C6ECJ1_ECOBD
YDJA_ECOLI	C6ECJ2	C6ECJ2_ECOBD
SELD_ECOLI	C6ECJ3	C6ECJ3_ECOBD
TOP3_ECOLI	C6ECJ4	C6ECJ4_ECOBD
DHE4_ECOLI	C6ECJ6	C6ECJ6_ECOBD
NUDG_ECOLI	C6ECJ8	C6ECJ8_ECOBD
YNJE_ECOLI	C6ECK0	C6ECK0_ECOBD
YNJA_ECOLI	C6ECK4	C6ECK4_ECOBD
YDJZ_ECOLI	C6ECK5	C6ECK5_ECOBD
EX3_ECOLI	C6ECK8	C6ECK8_ECOBD
ASTC_ECOLI	C6ECL0	C6ECL0_ECOBD
ASTA_ECOLI	C6ECL1	C6ECL1_ECOBD
ASTB_ECOLI	C6ECL3	C6ECL3_ECOBD
ASTE_ECOLI	C6ECL4	C6ECL4_ECOBD
VES_ECOLI	C6ECL6	C6ECL6_ECOBD
CHO_ECOLI	C6ECL7	C6ECL7_ECOBD
NADE_ECOLI	C6ECL8	C6ECL8_ECOBD
OSME_ECOLI	C6ECL9	C6ECL9_ECOBD
PTQC_ECOLI	C6ECM1	C6ECM1_ECOBD
PTQA_ECOLI	C6ECM2	C6ECM2_ECOBD
CHBR_ECOLI	C6ECM3	C6ECM3_ECOBD
CHBF_ECOLI	C6ECM4	C6ECM4_ECOBD
CHBG_ECOLI	C6ECM5	C6ECM5_ECOBD
CATE_ECOLI	C6ECM6	C6ECM6_ECOBD
CEDA_ECOLI	C6ECM7	C6ECM7_ECOBD
YDJM_ECOLI	C6ECN0	C6ECN0_ECOBD
YNIC_ECOLI	C6ECN1	C6ECN1_ECOBD
YNIB_ECOLI	C6ECN2	C6ECN2_ECOBD
YNIA_ECOLI	C6ECN3	C6ECN3_ECOBD
YDIZ_ECOLI	C6ECN4	C6ECN4_ECOBD
K6PF2_ECOLI	C6ECN5	C6ECN5_ECOBD
YDIY_ECOLI	C6ECN6	C6ECN6_ECOBD
SYT_ECOLI	C6ECN8	C6ECN8_ECOBD
SYFA_ECOLI	C6ECP3	C6ECP3_ECOBD
BTUE_ECOLI	C6ECP7	C6ECP7_ECOBD
BTUD_ECOLI	C6ECP8	C6ECP8_ECOBD
NLPC_ECOLI	C6ECP9	C6ECP9_ECOBD
AROH_ECOLI	C6ECQ2	C6ECQ2_ECOBD
YDIA_ECOLI	C6ECQ3	C6ECQ3_ECOBD
PPSA_ECOLI	C6ECQ5	C6ECQ5_ECOBD
FADK_ECOLI	C6ECQ6	C6ECQ6_ECOBD
YDIT_ECOLI	C6ECQ7	C6ECQ7_ECOBD
YDIS_ECOLI	C6ECQ8	C6ECQ8_ECOBD
YDIR_ECOLI	C6ECQ9	C6ECQ9_ECOBD
YDIQ_ECOLI	C6ECR0	C6ECR0_ECOBD
YDIP_ECOLI	C6ECR1	C6ECR1_ECOBD
AROD_ECOLI	C6ECR4	C6ECR4_ECOBD
YDIB_ECOLI	C6ECR5	C6ECR5_ECOBD
YDIN_ECOLI	C6ECR6	C6ECR6_ECOBD
YDIJ_ECOLI	C6ECR9	C6ECR9_ECOBD
YDII_ECOLI	C6ECS0	C6ECS0_ECOBD
YDIH_ECOLI	C6ECS1	C6ECS1_ECOBD
SUFB_ECOLI	C6ECS2	C6ECS2_ECOBD
SUFC_ECOLI	C6ECS3	C6ECS3_ECOBD
SUFD_ECOLI	C6ECS4	C6ECS4_ECOBD
SUFS_ECOLI	C6ECS5	C6ECS5_ECOBD
YNHG_ECOLI	C6ECS7	C6ECS7_ECOBD
KPYK1_ECOLI	C6ECS9	C6ECS9_ECOBD
YDHY_ECOLI	C6ECT1	C6ECT1_ECOBD
YDHT_ECOLI	C6ECT6	C6ECT6_ECOBD
YDHQ_ECOLI	C6ECT9	C6ECT9_ECOBD
MDTK_ECOLI	C6ECU0	C6ECU0_ECOBD
RISA_ECOLI	C6ECU1	C6ECU1_ECOBD
CFA_ECOLI	C6ECU2	C6ECU2_ECOBD
YDHB_ECOLI	C6ECU4	C6ECU4_ECOBD
SODF_ECOLI	C6ECU7	C6ECU7_ECOBD
GLRX4_ECOLI	C6ECU9	C6ECU9_ECOBD
RNT_ECOLI	C6ECV1	C6ECV1_ECOBD
LGUL_ECOLI	C6ECV2	C6ECV2_ECOBD
NEMA_ECOLI	C6ECV3	C6ECV3_ECOBD
NEMR_ECOLI	C6ECV4	C6ECV4_ECOBD
HFQ_ECOLI	C6ECV6	C6ECV6_ECOBD
MIAA_ECOLI	C6ECV7	C6ECV7_ECOBD
MUTL_ECOLI	C6ECV8	C6ECV8_ECOBD
AMIB_ECOLI	C6ECV9	C6ECV9_ECOBD
YJEE_ECOLI	C6ECW0	C6ECW0_ECOBD
YJES_ECOLI	C6ECW2	C6ECW2_ECOBD
ORN_ECOLI	C6ECW3	C6ECW3_ECOBD
RSGA_ECOLI	C6ECW4	C6ECW4_ECOBD
YJEP_ECOLI	C6ECW6	C6ECW6_ECOBD
YJEA_ECOLI	C6ECW8	C6ECW8_ECOBD
FRDA_ECOLI	C6ECW9	C6ECW9_ECOBD
AMPC_ECOLI	C6ECX3	C6ECX3_ECOBD
BLC_ECOLI	C6ECX4	C6ECX4_ECOBD
EFP_ECOLI	C6ECX8	C6ECX8_ECOBD
YJEJ_ECOLI	C6ECY0	C6ECY0_ECOBD
YJEI_ECOLI	C6ECY1	C6ECY1_ECOBD
CH60_ECOLI	C6ECY2	C6ECY2_ECOBD
ASPA_ECOLI	C6ECY6	C6ECY6_ECOBD
CADB_ECOLI	C6ECZ2	C6ECZ2_ECOBD
LDCI_ECOLI	C6ECZ3	C6ECZ3_ECOBD
YJDL_ECOLI	C6ECZ4	C6ECZ4_ECOBD
SYK2_ECOLI	C6ECZ5	C6ECZ5_ECOBD
FUMB_ECOLI	C6ED02	C6ED02_ECOBD
AGAL_ECOLI	C6ED05	C6ED05_ECOBD
MELR_ECOLI	C6ED06	C6ED06_ECOBD
ADIC_ECOLI	C6ED09	C6ED09_ECOBD
EPTA_ECOLI	C6ED10	C6ED10_ECOBD
BASR_ECOLI	C6ED11	C6ED11_ECOBD
BASS_ECOLI	C6ED12	C6ED12_ECOBD
PROP_ECOLI	C6ED13	C6ED13_ECOBD
YJCZ_ECOLI	C6ED14	C6ED14_ECOBD
PHNC_ECOLI	C6ED18	C6ED18_ECOBD
PHND_ECOLI	C6ED19	C6ED19_ECOBD
PHNF_ECOLI	C6ED21	C6ED21_ECOBD
PHNG_ECOLI	C6ED22	C6ED22_ECOBD
PHNH_ECOLI	C6ED23	C6ED23_ECOBD
PHNI_ECOLI	C6ED24	C6ED24_ECOBD
PHNK_ECOLI	C6ED26	C6ED26_ECOBD
PHNL_ECOLI	C6ED27	C6ED27_ECOBD
PHNM_ECOLI	C6ED28	C6ED28_ECOBD
PHNO_ECOLI	C6ED30	C6ED30_ECOBD
MDTO_ECOLI	C6ED43	C6ED43_ECOBD
MDTP_ECOLI	C6ED44	C6ED44_ECOBD
YJCO_ECOLI	C6ED47	C6ED47_ECOBD
GLTP_ECOLI	C6ED48	C6ED48_ECOBD
NRFG_ECOLI	C6ED49	C6ED49_ECOBD
NRFC_ECOLI	C6ED53	C6ED53_ECOBD
NRFA_ECOLI	C6ED55	C6ED55_ECOBD
ACSA_ECOLI	C6ED56	C6ED56_ECOBD
SOXR_ECOLI	C6ED61	C6ED61_ECOBD
YJCB_ECOLI	C6ED64	C6ED64_ECOBD
SSB_ECOLI	C6ED65	C6ED65_ECOBD
YJBR_ECOLI	C6ED67	C6ED67_ECOBD
YJBQ_ECOLI	C6ED68	C6ED68_ECOBD
TYRB_ECOLI	C6ED71	C6ED71_ECOBD
ALR1_ECOLI	C6ED72	C6ED72_ECOBD
YIDA_ECOLI	C6ED73	C6ED73_ECOBD
YIDR_ECOLI	C6ED81	C6ED81_ECOBD
YIDQ_ECOLI	C6ED82	C6ED82_ECOBD
IBPA_ECOLI	C6ED83	C6ED83_ECOBD
IBPB_ECOLI	C6ED84	C6ED84_ECOBD
YIDF_ECOLI	C6ED94	C6ED94_ECOBD
ILVB_ECOLI	C6ED98	C6ED98_ECOBD
ILVN_ECOLI	C6ED99	C6ED99_ECOBD
UHPA_ECOLI	C6EDA0	C6EDA0_ECOBD
UHPC_ECOLI	C6EDA2	C6EDA2_ECOBD
UHPT_ECOLI	C6EDA3	C6EDA3_ECOBD
YICO_ECOLI	C6EDA5	C6EDA5_ECOBD
YICN_ECOLI	C6EDA6	C6EDA6_ECOBD
NEPI_ECOLI	C6EDA7	C6EDA7_ECOBD
YICJ_ECOLI	C6EDD2	C6EDD2_ECOBD
YICH_ECOLI	C6EDD4	C6EDD4_ECOBD
XANP_ECOLI	C6EDD5	C6EDD5_ECOBD
RECG_ECOLI	C6EDD8	C6EDD8_ECOBD
TRMH_ECOLI	C6EDD9	C6EDD9_ECOBD
SPOT_ECOLI	C6EDE0	C6EDE0_ECOBD
KGUA_ECOLI	C6EDE2	C6EDE2_ECOBD
LIGB_ECOLI	C6EDE3	C6EDE3_ECOBD
YICC_ECOLI	C6EDE7	C6EDE7_ECOBD
PYRE_ECOLI	C6EDE9	C6EDE9_ECOBD
SLMA_ECOLI	C6EDF0	C6EDF0_ECOBD
DUT_ECOLI	C6EDF1	C6EDF1_ECOBD
YICR_ECOLI	C6EDF3	C6EDF3_ECOBD
FPG_ECOLI	C6EDF6	C6EDF6_ECOBD
KDTA_ECOLI	C6EDF8	C6EDF8_ECOBD
RFAC_ECOLI	C6EDG9	C6EDG9_ECOBD
RFAF_ECOLI	C6EDH0	C6EDH0_ECOBD
HLDD_ECOLI	C6EDH1	C6EDH1_ECOBD
KBL_ECOLI	C6EDH2	C6EDH2_ECOBD
TDH_ECOLI	C6EDH3	C6EDH3_ECOBD
YIBD_ECOLI	C6EDH4	C6EDH4_ECOBD
YIBQ_ECOLI	C6EDH5	C6EDH5_ECOBD
YIBP_ECOLI	C6EDH6	C6EDH6_ECOBD
GPMI_ECOLI	C6EDH7	C6EDH7_ECOBD
YIBN_ECOLI	C6EDH8	C6EDH8_ECOBD
SECB_ECOLI	C6EDI0	C6EDI0_ECOBD
GPDA_ECOLI	C6EDI1	C6EDI1_ECOBD
CYSE_ECOLI	C6EDI2	C6EDI2_ECOBD
YIBK_ECOLI	C6EDI3	C6EDI3_ECOBD
LLDD_ECOLI	C6EDI4	C6EDI4_ECOBD
LLDR_ECOLI	C6EDI5	C6EDI5_ECOBD
MTLR_ECOLI	C6EDJ1	C6EDJ1_ECOBD
MTLD_ECOLI	C6EDJ2	C6EDJ2_ECOBD
PTM3C_ECOLI	C6EDJ3	C6EDJ3_ECOBD
YIBI_ECOLI	C6EDJ4	C6EDJ4_ECOBD
YIBH_ECOLI	C6EDJ5	C6EDJ5_ECOBD
YDHF_ECOLI	C6EDJ8	C6EDJ8_ECOBD
SODC_ECOLI	C6EDJ9	C6EDJ9_ECOBD
SLYA_ECOLI	C6EDK3	C6EDK3_ECOBD
ANMK_ECOLI	C6EDK5	C6EDK5_ECOBD
MLIC_ECOLI	C6EDK6	C6EDK6_ECOBD
PDXH_ECOLI	C6EDK7	C6EDK7_ECOBD
PDXY_ECOLI	C6EDK9	C6EDK9_ECOBD
GST_ECOLI	C6EDL0	C6EDL0_ECOBD
DTPA_ECOLI	C6EDL1	C6EDL1_ECOBD
END3_ECOLI	C6EDL3	C6EDL3_ECOBD
RNFG_ECOLI	C6EDL5	C6EDL5_ECOBD
RNFD_ECOLI	C6EDL6	C6EDL6_ECOBD
RNFB_ECOLI	C6EDL8	C6EDL8_ECOBD
RNFA_ECOLI	C6EDL9	C6EDL9_ECOBD
YDGJ_ECOLI	C6EDM3	C6EDM3_ECOBD
ADD_ECOLI	C6EDM4	C6EDM4_ECOBD
MALY_ECOLI	C6EDM5	C6EDM5_ECOBD
HDHA_ECOLI	C6EDM8	C6EDM8_ECOBD
UIDR_ECOLI	C6EDM9	C6EDM9_ECOBD
BGLR_ECOLI	C6EDN0	C6EDN0_ECOBD
YDGA_ECOLI	C6EDN4	C6EDN4_ECOBD
MANA_ECOLI	C6EDN5	C6EDN5_ECOBD
FUMA_ECOLI	C6EDN6	C6EDN6_ECOBD
FUMC_ECOLI	C6EDN7	C6EDN7_ECOBD
TUS_ECOLI	C6EDN8	C6EDN8_ECOBD
RSTB_ECOLI	C6EDN9	C6EDN9_ECOBD
RSTA_ECOLI	C6EDP0	C6EDP0_ECOBD
YDGC_ECOLI	C6EDP1	C6EDP1_ECOBD
FOLM_ECOLI	C6EDP2	C6EDP2_ECOBD
ARCD_ECOLI	C6EDP3	C6EDP3_ECOBD
PNTA_ECOLI	C6EDP5	C6EDP5_ECOBD
PNTB_ECOLI	C6EDP6	C6EDP6_ECOBD
YDGD_ECOLI	C6EDQ0	C6EDQ0_ECOBD
YNFM_ECOLI	C6EDQ2	C6EDQ2_ECOBD
YNFL_ECOLI	C6EDQ3	C6EDQ3_ECOBD
MLC_ECOLI	C6EDQ4	C6EDQ4_ECOBD
BIOD2_ECOLI	C6EDQ5	C6EDQ5_ECOBD
DMSD_ECOLI	C6EDQ7	C6EDQ7_ECOBD
YNFG_ECOLI	C6EDQ9	C6EDQ9_ECOBD
YNFC_ECOLI	C6EDR3	C6EDR3_ECOBD
ATDA_ECOLI	C6EDR4	C6EDR4_ECOBD
YNFA_ECOLI	C6EDR6	C6EDR6_ECOBD
YDFI_ECOLI	C6EDU4	C6EDU4_ECOBD
YDFH_ECOLI	C6EDU6	C6EDU6_ECOBD
YDFG_ECOLI	C6EDU7	C6EDU7_ECOBD
DCP_ECOLI	C6EDU8	C6EDU8_ECOBD
YDEH_ECOLI	C6EDV1	C6EDV1_ECOBD
EAMA_ECOLI	C6EDV4	C6EDV4_ECOBD
MARA_ECOLI	C6EDV6	C6EDV6_ECOBD
MARR_ECOLI	C6EDV7	C6EDV7_ECOBD
MARC_ECOLI	C6EDW0	C6EDW0_ECOBD
YNEI_ECOLI	C6EDW4	C6EDW4_ECOBD
DNAB_ECOLI	C6EDW8	C6EDW8_ECOBD
DUSA_ECOLI	C6EDX1	C6EDX1_ECOBD
ZUR_ECOLI	C6EDX4	C6EDX4_ECOBD
LEXA_ECOLI	C6EDX7	C6EDX7_ECOBD
LAMB_ECOLI	C6EDY6	C6EDY6_ECOBD
MALK_ECOLI	C6EDY7	C6EDY7_ECOBD
MALE_ECOLI	C6EDY9	C6EDY9_ECOBD
MALF_ECOLI	C6EDZ0	C6EDZ0_ECOBD
MALG_ECOLI	C6EDZ1	C6EDZ1_ECOBD
YJBH_ECOLI	C6EDZ5	C6EDZ5_ECOBD
YJBF_ECOLI	C6EDZ7	C6EDZ7_ECOBD
G6PI_ECOLI	C6EDZ9	C6EDZ9_ECOBD
RLUF_ECOLI	C6EE02	C6EE02_ECOBD
PEPE_ECOLI	C6EE03	C6EE03_ECOBD
METH_ECOLI	C6EE05	C6EE05_ECOBD
ICLR_ECOLI	C6EE06	C6EE06_ECOBD
ACEK_ECOLI	C6EE07	C6EE07_ECOBD
ACEA_ECOLI	C6EE08	C6EE08_ECOBD
MASY_ECOLI	C6EE09	C6EE09_ECOBD
META_ECOLI	C6EE10	C6EE10_ECOBD
YJAB_ECOLI	C6EE11	C6EE11_ECOBD
PUR9_ECOLI	C6EE12	C6EE12_ECOBD
PUR2_ECOLI	C6EE13	C6EE13_ECOBD
YJAH_ECOLI	C6EE17	C6EE17_ECOBD
DBHA_ECOLI	C6EE18	C6EE18_ECOBD
YJAG_ECOLI	C6EE19	C6EE19_ECOBD
NFI_ECOLI	C6EE20	C6EE20_ECOBD
DCUP_ECOLI	C6EE21	C6EE21_ECOBD
NUDC_ECOLI	C6EE22	C6EE22_ECOBD
RSD_ECOLI	C6EE23	C6EE23_ECOBD
THIC_ECOLI	C6EE24	C6EE24_ECOBD
THIE_ECOLI	C6EE25	C6EE25_ECOBD
THIF_ECOLI	C6EE26	C6EE26_ECOBD
THIG_ECOLI	C6EE28	C6EE28_ECOBD
THIH_ECOLI	C6EE29	C6EE29_ECOBD
RPOC_ECOLI	C6EE31	C6EE31_ECOBD
RPOB_ECOLI	C6EE32	C6EE32_ECOBD
RL10_ECOLI	C6EE34	C6EE34_ECOBD
NUSG_ECOLI	C6EE37	C6EE37_ECOBD
COAA_ECOLI	C6EE40	C6EE40_ECOBD
BIRA_ECOLI	C6EE41	C6EE41_ECOBD
MURB_ECOLI	C6EE42	C6EE42_ECOBD
MURI_ECOLI	C6EE43	C6EE43_ECOBD
TRMA_ECOLI	C6EE44	C6EE44_ECOBD
YIJD_ECOLI	C6EE45	C6EE45_ECOBD
STHA_ECOLI	C6EE47	C6EE47_ECOBD
OXYR_ECOLI	C6EE48	C6EE48_ECOBD
ARLY_ECOLI	C6EE49	C6EE49_ECOBD
ARGB_ECOLI	C6EE50	C6EE50_ECOBD
ARGC_ECOLI	C6EE51	C6EE51_ECOBD
ARGE_ECOLI	C6EE52	C6EE52_ECOBD
CAPP_ECOLI	C6EE53	C6EE53_ECOBD
CPTA_ECOLI	C6EE54	C6EE54_ECOBD
YIJO_ECOLI	C6EE55	C6EE55_ECOBD
PTFB3_ECOLI	C6EE56	C6EE56_ECOBD
PFLC_ECOLI	C6EE57	C6EE57_ECOBD
PFLD_ECOLI	C6EE58	C6EE58_ECOBD
PTFX2_ECOLI	C6EE61	C6EE61_ECOBD
FSAB_ECOLI	C6EE62	C6EE62_ECOBD
GLDA_ECOLI	C6EE63	C6EE63_ECOBD
YIJE_ECOLI	C6EE65	C6EE65_ECOBD
KATG_ECOLI	C6EE66	C6EE66_ECOBD
METF_ECOLI	C6EE67	C6EE67_ECOBD
AK2H_ECOLI	C6EE68	C6EE68_ECOBD
METB_ECOLI	C6EE69	C6EE69_ECOBD
METJ_ECOLI	C6EE70	C6EE70_ECOBD
PRIA_ECOLI	C6EE74	C6EE74_ECOBD
CYTR_ECOLI	C6EE75	C6EE75_ECOBD
HSLV_ECOLI	C6EE77	C6EE77_ECOBD
HSLU_ECOLI	C6EE78	C6EE78_ECOBD
MENA_ECOLI	C6EE79	C6EE79_ECOBD
SELB_ECOLI	C6EE85	C6EE85_ECOBD
ADH2_ECOLI	C6EE86	C6EE86_ECOBD
YSAA_ECOLI	C6EEA6	C6EEA6_ECOBD
AVTA_ECOLI	C6EEA7	C6EEA7_ECOBD
AMY1_ECOLI	C6EEA8	C6EEA8_ECOBD
BAX_ECOLI	C6EEA9	C6EEA9_ECOBD
XYLR_ECOLI	C6EEB0	C6EEB0_ECOBD
XYLF_ECOLI	C6EEB2	C6EEB2_ECOBD
XYLA_ECOLI	C6EEB3	C6EEB3_ECOBD
SYGB_ECOLI	C6EEC0	C6EEC0_ECOBD
YIAG_ECOLI	C6EEC5	C6EEC5_ECOBD
YIAF_ECOLI	C6EEC7	C6EEC7_ECOBD
GHRB_ECOLI	C6EEC8	C6EEC8_ECOBD
YIAC_ECOLI	C6EED1	C6EED1_ECOBD
EPTB_ECOLI	C6EED5	C6EED5_ECOBD
DPPA_ECOLI	C6EED6	C6EED6_ECOBD
DPPB_ECOLI	C6EED7	C6EED7_ECOBD
DPPF_ECOLI	C6EEE0	C6EEE0_ECOBD
YHJV_ECOLI	C6EEE1	C6EEE1_ECOBD
BCSB_ECOLI	C6EEF1	C6EEF1_ECOBD
GUN_ECOLI	C6EEF2	C6EEF2_ECOBD
YHJK_ECOLI	C6EEF4	C6EEF4_ECOBD
YHJJ_ECOLI	C6EEF6	C6EEF6_ECOBD
KDGK_ECOLI	C6EEF7	C6EEF7_ECOBD
YHJH_ECOLI	C6EEF8	C6EEF8_ECOBD
YHJD_ECOLI	C6EEG1	C6EEG1_ECOBD
YHJC_ECOLI	C6EEG2	C6EEG2_ECOBD
YHJB_ECOLI	C6EEG3	C6EEG3_ECOBD
TREF_ECOLI	C6EEG4	C6EEG4_ECOBD
DCEA_ECOLI	C6EEG6	C6EEG6_ECOBD
GADW_ECOLI	C6EEG9	C6EEG9_ECOBD
MDTF_ECOLI	C6EEH0	C6EEH0_ECOBD
MDTE_ECOLI	C6EEH1	C6EEH1_ECOBD
GADE_ECOLI	C6EEH3	C6EEH3_ECOBD
HDEA_ECOLI	C6EEH5	C6EEH5_ECOBD
HDEB_ECOLI	C6EEH6	C6EEH6_ECOBD
YHID_ECOLI	C6EEH7	C6EEH7_ECOBD
DCTR_ECOLI	C6EEH8	C6EEH8_ECOBD
SLP_ECOLI	C6EEH9	C6EEH9_ECOBD
ARSC_ECOLI	C6EEI1	C6EEI1_ECOBD
GSHR_ECOLI	C6EEI5	C6EEI5_ECOBD
YHIR_ECOLI	C6EEI6	C6EEI6_ECOBD
OPDA_ECOLI	C6EEI7	C6EEI7_ECOBD
YHIQ_ECOLI	C6EEI8	C6EEI8_ECOBD
DTPB_ECOLI	C6EEI9	C6EEI9_ECOBD
USPA_ECOLI	C6EEJ0	C6EEJ0_ECOBD
USPB_ECOLI	C6EEJ1	C6EEJ1_ECOBD
PITA_ECOLI	C6EEJ2	C6EEJ2_ECOBD
YHIN_ECOLI	C6EEJ3	C6EEJ3_ECOBD
YHIH_ECOLI	C6EEJ8	C6EEJ8_ECOBD
YDEP_ECOLI	C6EEL6	C6EEL6_ECOBD
YDEO_ECOLI	C6EEL8	C6EEL8_ECOBD
YDEM_ECOLI	C6EEM0	C6EEM0_ECOBD
DCEB_ECOLI	C6EEM4	C6EEM4_ECOBD
YDDW_ECOLI	C6EEM6	C6EEM6_ECOBD
OSMC_ECOLI	C6EEN5	C6EEN5_ECOBD
BDM_ECOLI	C6EEN6	C6EEN6_ECOBD
MAO1_ECOLI	C6EEN8	C6EEN8_ECOBD
FDNI_ECOLI	C6EEP1	C6EEP1_ECOBD
YDDG_ECOLI	C6EEP4	C6EEP4_ECOBD
NARU_ECOLI	C6EEP6	C6EEP6_ECOBD
NARZ_ECOLI	C6EEP7	C6EEP7_ECOBD
NARY_ECOLI	C6EEP8	C6EEP8_ECOBD
NHOA_ECOLI	C6EEQ1	C6EEQ1_ECOBD
YDDH_ECOLI	C6EEQ2	C6EEQ2_ECOBD
YDCF_ECOLI	C6EEU9	C6EEU9_ECOBD
HRPA_ECOLI	C6EEV0	C6EEV0_ECOBD
YDBH_ECOLI	C6EEW3	C6EEW3_ECOBD
LDHD_ECOLI	C6EEW4	C6EEW4_ECOBD
NIFJ_ECOLI	C6EEW7	C6EEW7_ECOBD
GLPF_ECOLI	C6EEX1	C6EEX1_ECOBD
GLPK_ECOLI	C6EEX2	C6EEX2_ECOBD
GLPX_ECOLI	C6EEX3	C6EEX3_ECOBD
FENR_ECOLI	C6EEX4	C6EEX4_ECOBD
USPD_ECOLI	C6EEX5	C6EEX5_ECOBD
YIIS_ECOLI	C6EEX6	C6EEX6_ECOBD
YIIR_ECOLI	C6EEX7	C6EEX7_ECOBD
YIIQ_ECOLI	C6EEX8	C6EEX8_ECOBD
TPIS_ECOLI	C6EEX9	C6EEX9_ECOBD
CDH_ECOLI	C6EEY0	C6EEY0_ECOBD
SUBI_ECOLI	C6EEY1	C6EEY1_ECOBD
K6PF1_ECOLI	C6EEY2	C6EEY2_ECOBD
FIEF_ECOLI	C6EEY3	C6EEY3_ECOBD
CPXA_ECOLI	C6EEY6	C6EEY6_ECOBD
YIIM_ECOLI	C6EEY7	C6EEY7_ECOBD
SODM_ECOLI	C6EEY9	C6EEY9_ECOBD
RHAS_ECOLI	C6EEZ2	C6EEZ2_ECOBD
RHAB_ECOLI	C6EEZ4	C6EEZ4_ECOBD
RHAA_ECOLI	C6EEZ5	C6EEZ5_ECOBD
RHAD_ECOLI	C6EEZ6	C6EEZ6_ECOBD
RHAM_ECOLI	C6EEZ7	C6EEZ7_ECOBD
FDHD_ECOLI	C6EF04	C6EF04_ECOBD
FDOH_ECOLI	C6EF06	C6EF06_ECOBD
FDOI_ECOLI	C6EF07	C6EF07_ECOBD
FDHE_ECOLI	C6EF08	C6EF08_ECOBD
DTD_ECOLI	C6EF14	C6EF14_ECOBD
YIHX_ECOLI	C6EF16	C6EF16_ECOBD
TYPA_ECOLI	C6EF30	C6EF30_ECOBD
GLNA_ECOLI	C6EF31	C6EF31_ECOBD
NTRB_ECOLI	C6EF32	C6EF32_ECOBD
NTRC_ECOLI	C6EF33	C6EF33_ECOBD
HEMN_ECOLI	C6EF35	C6EF35_ECOBD
ENGB_ECOLI	C6EF37	C6EF37_ECOBD
YIHG_ECOLI	C6EF40	C6EF40_ECOBD
RDOA_ECOLI	C6EF44	C6EF44_ECOBD
YIHD_ECOLI	C6EF45	C6EF45_ECOBD
MOBA_ECOLI	C6EF46	C6EF46_ECOBD
MOBB_ECOLI	C6EF47	C6EF47_ECOBD
HEMG_ECOLI	C6EF48	C6EF48_ECOBD
TRKH_ECOLI	C6EF49	C6EF49_ECOBD
YIGZ_ECOLI	C6EF50	C6EF50_ECOBD
PEPQ_ECOLI	C6EF51	C6EF51_ECOBD
FADB_ECOLI	C6EF52	C6EF52_ECOBD
FADA_ECOLI	C6EF53	C6EF53_ECOBD
FRE_ECOLI	C6EF54	C6EF54_ECOBD
UBID_ECOLI	C6EF55	C6EF55_ECOBD
RFAH_ECOLI	C6EF56	C6EF56_ECOBD
TATC_ECOLI	C6EF58	C6EF58_ECOBD
TATB_ECOLI	C6EF59	C6EF59_ECOBD
UBIB_ECOLI	C6EF61	C6EF61_ECOBD
YIGP_ECOLI	C6EF62	C6EF62_ECOBD
UBIE_ECOLI	C6EF63	C6EF63_ECOBD
RMUC_ECOLI	C6EF64	C6EF64_ECOBD
UDP_ECOLI	C6EF71	C6EF71_ECOBD
DLHH_ECOLI	C6EF72	C6EF72_ECOBD
METE_ECOLI	C6EF82	C6EF82_ECOBD
YIGL_ECOLI	C6EF85	C6EF85_ECOBD
PLDB_ECOLI	C6EF86	C6EF86_ECOBD
PA1_ECOLI	C6EF90	C6EF90_ECOBD
NIKE_ECOLI	C6EF94	C6EF94_ECOBD
NIKD_ECOLI	C6EF95	C6EF95_ECOBD
NIKB_ECOLI	C6EF97	C6EF97_ECOBD
NIKA_ECOLI	C6EF98	C6EF98_ECOBD
ACPT_ECOLI	C6EF99	C6EF99_ECOBD
YHHT_ECOLI	C6EFA0	C6EFA0_ECOBD
DCRB_ECOLI	C6EFA2	C6EFA2_ECOBD
YHHQ_ECOLI	C6EFA3	C6EFA3_ECOBD
RSMD_ECOLI	C6EFA9	C6EFA9_ECOBD
FTSY_ECOLI	C6EFB0	C6EFB0_ECOBD
FTSE_ECOLI	C6EFB1	C6EFB1_ECOBD
FTSX_ECOLI	C6EFB2	C6EFB2_ECOBD
RP32_ECOLI	C6EFB3	C6EFB3_ECOBD
LIVJ_ECOLI	C6EFB4	C6EFB4_ECOBD
LIVK_ECOLI	C6EFB6	C6EFB6_ECOBD
LIVG_ECOLI	C6EFB9	C6EFB9_ECOBD
LIVF_ECOLI	C6EFC0	C6EFC0_ECOBD
UGPB_ECOLI	C6EFC1	C6EFC1_ECOBD
UGPA_ECOLI	C6EFC2	C6EFC2_ECOBD
UGPE_ECOLI	C6EFC3	C6EFC3_ECOBD
UGPC_ECOLI	C6EFC4	C6EFC4_ECOBD
GGT_ECOLI	C6EFC7	C6EFC7_ECOBD
YHHX_ECOLI	C6EFD4	C6EFD4_ECOBD
YHHW_ECOLI	C6EFD5	C6EFD5_ECOBD
GNTR_ECOLI	C6EFD7	C6EFD7_ECOBD
