From	To
P0AEN9	FUCM_ECOL6
P0AEN8	FUCM_ECOLI
P0AG22	RELA_ECO57
P0AG21	RELA_ECOL6
P0AG20	RELA_ECOLI
P0AG23	RELA_SHIFL
P0A9B8	E4PD_ECO57
P0A9B7	E4PD_ECOL6
P0A9B6	E4PD_ECOLI
P0A9B9	E4PD_SHIFL
P0AB72	ALF_ECO57
P0AB71	ALF_ECOLI
P0AB73	ALF_SHIFL
P68768	AMPA_ECO57
P68766	AMPA_ECOL6
P68767	AMPA_ECOLI
P0A7A0	PGK_ECOL6
P0A799	PGK_ECOLI
P0A7A1	PGK_SHIFL
P0C0S2	MSCS_ECO57
P0C0S1	MSCS_ECOLI
P0C0S3	MSCS_SHIFL
P0ACQ6	OXYR_ECO57
P0ACQ5	OXYR_ECOL6
P0ACQ4	OXYR_ECOLI
P0AEE0	DCM_ECO57
P0AED9	DCM_ECOLI
P0A7D6	PURA_ECO57
P0A7D5	PURA_ECOL6
P0A7D4	PURA_ECOLI
P0A6C2	END4_ECO57
P0A6C1	END4_ECOLI
P0A7H8	RECR_ECO57
P0A7H7	RECR_ECOL6
P0A7H6	RECR_ECOLI
P0A7H9	RECR_SHIFL
P0A8N4	SYK1_ECOL6
P0A8N3	SYK1_ECOLI
P0AC86	PHSG_ECOLI
P0AC87	PHSG_SHIFL
P0AG77	SBCD_ECO57
P0AG76	SBCD_ECOLI
P0A9X5	MREB_ECOL6
P0A9X4	MREB_ECOLI
P0A9X7	MREB_SALTI
P0A9X6	MREB_SALTY
P0A9X8	MREB_SHIFL
P0A6X2	HEM1_ECO57
P0A6X1	HEM1_ECOLI
P0ABF6	CDD_ECOLI
P0ABF7	CDD_SHIFL
P0ABF3	PCNB_ECO57
P0ABF2	PCNB_ECOL6
P0ABF1	PCNB_ECOLI
P0AD62	KPYK1_ECO57
P0AD61	KPYK1_ECOLI
P69409	RCSB_ECO57
P69408	RCSB_ECOL6
P69407	RCSB_ECOLI
P69410	RCSB_SHIFL
P0A8N6	SYK2_ECO57
P0A8N5	SYK2_ECOLI
P0A954	FABB_ECOL6
P0A953	FABB_ECOLI
P0ACB2	HEM2_ECOLI
P0ACB3	HEM2_SHIFL
P0A7H5	RECO_ECO57
P0A7H4	RECO_ECOL6
P0A7H3	RECO_ECOLI
P0ABG8	RODA_ECO57
P0ABG7	RODA_ECOLI
P0ABG9	RODA_SHIFL
P0ACP8	PURR_ECO57
P0ACP7	PURR_ECOLI
P0ACP9	PURR_SHIFL
P0AG88	SECB_ECO57
P0AG87	SECB_ECOL6
P0AG86	SECB_ECOLI
P0AG89	SECB_SHIFL
P0A6A5	ACKA_ECO57
P0A6A4	ACKA_ECOL6
P0A6A3	ACKA_ECOLI
P0ADI5	ENTB_ECO57
P0ADI4	ENTB_ECOLI
P0ADI6	ENTB_SHIFL
P0A8Y9	YBDB_ECOL6
P0A8Y8	YBDB_ECOLI
P0A9Y1	CSPA_ECO57
P0A9Y0	CSPA_ECOL6
P0A9X9	CSPA_ECOLI
P0A9Y5	CSPA_SALEN
P0A9Y3	CSPA_SALTI
P0A9Y2	CSPA_SALTY
P0A9Y4	CSPA_SHIFL
P0A6D1	ARGR_ECO57
P0A6D0	ARGR_ECOLI
P0A6D2	ARGR_SHIFL
P0ABE3	BOLA_ECOL6
P0ABE2	BOLA_ECOLI
P0ABE4	BOLA_SHIFL
P0AF19	NAGA_ECO57
P0AF18	NAGA_ECOLI
P0AF25	NAGD_ECO57
P0AF24	NAGD_ECOLI
P60561	GUAC_ECOL6
P60560	GUAC_ECOLI
P0ABI1	CLPA_ECO57
P0ABI0	CLPA_ECOL6
P0ABH9	CLPA_ECOLI
P0A807	RRF_ECO57
P0A806	RRF_ECOL6
P0A805	RRF_ECOLI
P0A808	RRF_SHIFL
P0AE89	CPXR_ECO57
P0AE88	CPXR_ECOLI
P0AE90	CPXR_SHIFL
P0ABG6	FTSW_ECO57
P0ABG5	FTSW_ECOL6
P0ABG4	FTSW_ECOLI
P0AEB1	CYSW_ECOL6
P0AEB0	CYSW_ECOLI
P0AG98	SECE_ECO57
P0AG97	SECE_ECOL6
P0AG96	SECE_ECOLI
P0AFG1	NUSG_ECO57
P0AFG0	NUSG_ECOLI
P0AFG2	NUSG_SHIFL
P0ABH6	MRED_ECO57
P0ABH5	MRED_ECOL6
P0ABH4	MRED_ECOLI
P60652	SPEB_ECO57
P60651	SPEB_ECOLI
P60657	SPEB_SHIFL
P0A6U4	MNMG_ECOL6
P0A6U3	MNMG_ECOLI
P0A6U7	RSMG_ECO57
P0A6U6	RSMG_ECOL6
P0A6U5	RSMG_ECOLI
P0ACC8	GLMU_ECO57
P0ACC7	GLMU_ECOLI
P0A8M1	SYN_ECOL6
P0A8M0	SYN_ECOLI
P0A8M2	SYN_SHIFL
P0A7B0	IPYR_ECO57
P0A7A9	IPYR_ECOLI
P69793	PTQA_ECO57
P69792	PTQA_ECOL6
P69791	PTQA_ECOLI
P69794	PTQA_SHIFL
P0A9Q8	ADHE_ECO57
P0A9Q7	ADHE_ECOLI
P0A8B7	YBAB_ECO57
P0A8B6	YBAB_ECOL6
P0A8B5	YBAB_ECOLI
P0A8B9	YBAB_SALTI
P0A8B8	YBAB_SALTY
P0A8C0	YBAB_SHIFL
P0A715	KDSA_ECOLI
P0A716	KDSA_SHIFL
P0AG25	SPOT_ECO57
P0AG24	SPOT_ECOLI
P0AG26	SPOT_SHIFL
P0ABF0	CYNT_ECO57
P0ABE9	CYNT_ECOLI
P67911	HLDD_ECO57
P67910	HLDD_ECOLI
P0AEZ5	MIND_ECO57
P0AEZ4	MIND_ECOL6
P0AEZ3	MIND_ECOLI
P0AEZ6	MIND_SHIFL
P0A824	SFSA_ECO57
P0A823	SFSA_ECOLI
P0A6Q4	FABA_ECO57
P0A6Q3	FABA_ECOLI
P0A6Q5	FABA_SHIFL
P60391	RSMH_ECO57
P60390	RSMH_ECOLI
P0ABU8	EXBB_ECO57
P0ABU7	EXBB_ECOLI
P0ABV4	EXBD_ECO57
P0ABV3	EXBD_ECOL6
P0ABV2	EXBD_ECOLI
P0ABV5	EXBD_SHIFL
P0A963	ASPG1_ECO57
P0A962	ASPG1_ECOLI
P0A6G9	CLPP_ECO57
P0A6G8	CLPP_ECOL6
P0A6G7	CLPP_ECOLI
P0A6H0	CLPP_SHIFL
P0AGJ3	TRMH_ECO57
P0AGJ2	TRMH_ECOLI
P0AGJ4	TRMH_SHIFL
P0ACJ2	LRP_ECO57
P0ACJ1	LRP_ECOL6
P0ACJ0	LRP_ECOLI
P0ACJ4	LRP_ENTAE
P0ACJ3	LRP_SHIFL
P0A849	TGT_ECO57
P0A848	TGT_ECOL6
P0A847	TGT_ECOLI
P0ADZ9	YAJC_ECO57
P0ADZ8	YAJC_ECOL6
P0ADZ7	YAJC_ECOLI
P0AE00	YAJC_SHIFL
P0CF49	INC10_ECOLI
P0CF50	INC11_ECOLI
P0CF40	INSC1_ECOLI
P0CF41	INSC2_ECOLI
P0CF42	INSC3_ECOLI
P0CF43	INSC4_ECOLI
P0CF44	INSC5_ECOLI
P0CF45	INSC6_ECOLI
P0CF46	INSC7_ECOLI
P0CF47	INSC8_ECOLI
P0CF48	INSC9_ECOLI
P0C5W3	INSC_ECOLX
P0AER8	GLTS_ECOLI
P0AER9	GLTS_SHIFL
P0A857	TOLB_ECO57
P0A856	TOLB_ECOL6
P0A855	TOLB_ECOLI
P0AFI3	PARC_ECO57
P0AFI2	PARC_ECOLI
P0AFI4	PARC_SHIFL
P0AGM6	SIRB1_ECO57
P0AGM5	SIRB1_ECOLI
P0AB84	END3_ECOL6
P0AB83	END3_ECOLI
P0A7D9	PUR7_ECO57
P0A7D8	PUR7_ECOL6
P0A7D7	PUR7_ECOLI
P0A7E0	PUR7_SHIFL
P0AFZ8	TRKH_ECO57
P0AFZ7	TRKH_ECOLI
P0AFZ9	TRKH_SHIFL
P0ACP3	FRUR_ECO57
P0ACP2	FRUR_ECOL6
P0ACP1	FRUR_ECOLI
P0ACP4	FRUR_SHIFL
P0ABZ8	SURA_ECO57
P0ABZ7	SURA_ECOL6
P0ABZ6	SURA_ECOLI
P0ABZ9	SURA_SHIFL
P0A6W7	GREA_ECO57
P0A6W6	GREA_ECOL6
P0A6W5	GREA_ECOLI
P0A6W8	GREA_SHIFL
P0AC25	FOCA_ECO57
P0AC24	FOCA_ECOL6
P0AC23	FOCA_ECOLI
P0AEL9	FIMZ_ECO57
P0AEL8	FIMZ_ECOLI
P0AFU5	YFHA_ECO57
P0AFU4	YFHA_ECOLI
P0A6Q8	FABZ_ECO57
P0A6Q7	FABZ_ECOL6
P0A6Q6	FABZ_ECOLI
P0A6Q9	FABZ_SHIFL
P0A8P9	XERD_ECOL6
P0A8P8	XERD_ECOLI
P0AEG7	DSBC_ECO57
P0AEG6	DSBC_ECOLI
P0AEN6	FTSL_ECO57
P0AEN5	FTSL_ECOL6
P0AEN4	FTSL_ECOLI
P0AEN7	FTSL_SHIFL
P0A851	TIG_ECO57
P0A850	TIG_ECOLI
P0A852	TIG_SHIFL
P0ACS3	SOXR_ECO57
P0ACS2	SOXR_ECOLI
P0ACS4	SOXR_SHIFL
P0A9E4	SOXS_ECO57
P0A9E3	SOXS_ECOL6
P0A9E2	SOXS_ECOLI
P0AEM2	FKBX_ECO57
P0AEM1	FKBX_ECOL6
P0AEM0	FKBX_ECOLI
P0AEM3	FKBX_SHIFL
P62625	ISPH_ECO57
P62624	ISPH_ECOL6
P62623	ISPH_ECOLI
P0A6E5	ASSY_ECOL6
P0A6E4	ASSY_ECOLI
P0A8H1	EX7S_ECO57
P0A8H0	EX7S_ECOL6
P0A8G9	EX7S_ECOLI
P0A8H2	EX7S_SHIFL
P61951	FLAV_ECO57
P61950	FLAV_ECOL6
P61949	FLAV_ECOLI
P0AC77	KDTA_ECO57
P0AC76	KDTA_ECOL6
P0AC75	KDTA_ECOLI
P0A9P7	DEAD_ECOL6
P0A9P6	DEAD_ECOLI
P0A9P8	DEAD_SHIFL
P0A822	SELA_ECO57
P0A821	SELA_ECOLI
P0A9I3	GCVR_ECOLI
P0A9I4	GCVR_SHIFL
P0ABQ3	GARR_ECOL6
P0ABQ2	GARR_ECOLI
P0A6J9	DDLA_ECO57
P0A6J8	DDLA_ECOLI
P0A6K0	DDLA_SHIFL
P60241	RAPA_ECO57
P60240	RAPA_ECOLI
P0AFM7	PSPA_ECO57
P0AFM6	PSPA_ECOLI
P0AFM8	PSPA_SHIFL
P0AFN1	PSPB_ECO57
P0AFN0	PSPB_ECOL6
P0AFM9	PSPB_ECOLI
P0AFN4	PSPC_ECO57
P0AFN3	PSPC_ECOL6
P0AFN2	PSPC_ECOLI
P0AFN5	PSPC_SHIFL
P0AFK8	POTC_ECO57
P0AFK7	POTC_ECOL6
P0AFK6	POTC_ECOLI
P0A743	MSCL_ECO57
P0A742	MSCL_ECOLI
P0ACE5	HHA_ECO57
P0ACE4	HHA_ECOL6
P0ACE3	HHA_ECOLI
P0ACE6	HHA_SHIFL
P0A6I7	COAD_ECO57
P0A6I6	COAD_ECOLI
P0A6I8	COAD_SHIFL
P0A9A0	FTNA_ECO57
P0A999	FTNA_ECOL6
P0A998	FTNA_ECOLI
P0A9A1	FTNA_SHIFL
P0AAF0	CADB_ECO57
P0AAE9	CADB_ECOL6
P0AAE8	CADB_ECOLI
P0A9H4	LDCI_ECO57
P0A9H3	LDCI_ECOLI
P0AGG3	TESB_ECO57
P0AGG2	TESB_ECOLI
P0AEZ8	MLTD_ECOL6
P0AEZ7	MLTD_ECOLI
P0A7D3	PTH_ECO57
P0A7D2	PTH_ECOL6
P0A7D1	PTH_ECOLI
P0A6D9	AROK_ECO57
P0A6D8	AROK_ECOL6
P0A6D7	AROK_ECOLI
P0A6E0	AROK_SHIFL
P0ADK7	YIBA_ECO57
P0ADK6	YIBA_ECOLI
P0AAM5	HYPC_ECO57
P0AAM4	HYPC_ECOL6
P0AAM3	HYPC_ECOLI
P0AAM6	HYPC_SHIFL
P0A8S3	ICIA_ECO57
P0A8S2	ICIA_ECOL6
P0A8S1	ICIA_ECOLI
P0A8S4	ICIA_SHIFL
P0ADT7	YGIC_ECO57
P0ADT6	YGIC_ECOL6
P0ADT5	YGIC_ECOLI
P0A7J1	RIBB_ECO57
P0A7J0	RIBB_ECOLI
P0A7J2	RIBB_SHIFL
P0ACS1	MPRA_ECO57
P0ACS0	MPRA_ECOL6
P0ACR9	MPRA_ECOLI
P62616	ISPE_ECO57
P62615	ISPE_ECOLI
P69406	RCSA_ECO57
P69405	RCSA_ECOLI
P69812	PTFAH_ECO57
P69811	PTFAH_ECOLI
P0A795	PDXJ_ECO57
P0A794	PDXJ_ECOLI
P0AC74	EBGC_ECOL6
P0AC73	EBGC_ECOLI
P0A8J9	RHLB_ECOL6
P0A8J8	RHLB_ECOLI
P0A8K0	RHLB_SHIFL
P0A764	NDK_ECO57
P0A763	NDK_ECOLI
P0A765	NDK_SHIFL
P60547	KGUA_ECOL6
P60546	KGUA_ECOLI
P60548	KGUA_SHIFL
P0AC79	WECA_ECOL6
P0AC78	WECA_ECOLI
P0AC80	WECA_SHIFL
P0AFC1	NUDB_ECO57
P0AFC0	NUDB_ECOLI
P0AFC2	NUDB_SHIFL
P0A8A0	YEBC_ECOLI
P0A8A1	YEBC_SHIFL
P0A816	RUVC_ECO57
P0A815	RUVC_ECOL6
P0A814	RUVC_ECOLI
P0A970	CSPD_ECO57
P0A969	CSPD_ECOL6
P0A968	CSPD_ECOLI
P0A971	CSPD_SHIFL
P0AF14	MTNN_ECO57
P0AF13	MTNN_ECOL6
P0AF12	MTNN_ECOLI
P0AF15	MTNN_SHIFL
P0A6R2	FABH_ECO57
P0A6R1	FABH_ECOL6
P0A6R0	FABH_ECOLI
P0A6P8	ENGB_ECOL6
P0A6P7	ENGB_ECOLI
P0ABQ1	COABC_ECOL6
P0ABQ0	COABC_ECOLI
P0AEG5	DSBA_ECO57
P0AEG4	DSBA_ECOLI
P0A6X5	HFQ_ECO57
P0A6X4	HFQ_ECOL6
P0A6X3	HFQ_ECOLI
P0A6X6	HFQ_SHIFL
P0A9R5	FER_ECO57
P0A9R4	FER_ECOLI
P0A9R6	FER_SHIFL
P0AET9	HDHA_ECO57
P0AET8	HDHA_ECOLI
P0A9J2	RNG_ECO57
P0A9J1	RNG_ECOL6
P0A9J0	RNG_ECOLI
P0A9J3	RNG_SHIFL
P0A8D2	NRDR_ECO57
P0A8D1	NRDR_ECOL6
P0A8D0	NRDR_ECOLI
P61717	RISB_ECO57
P61715	RISB_ECOL6
P61714	RISB_ECOLI
P61718	RISB_SHIFL
P0ABC8	HFLK_ECO57
P0ABC7	HFLK_ECOLI
P0AFZ4	SSPB_ECO57
P0AFZ3	SSPB_ECOLI
P0AEK2	FABG_ECOLI
P0AEK3	FABG_SHIFL
P0AB90	PUR8_ECOL6
P0AB89	PUR8_ECOLI
P60718	LIPA_ECO57
P60717	LIPA_ECOL6
P60716	LIPA_ECOLI
P60719	LIPA_SHIFL
P0AG85	YGHA_ECO57
P0AG84	YGHA_ECOLI
P0AE10	AHPC_ECO57
P0AE09	AHPC_ECOL6
P0AE08	AHPC_ECOLI
P0AE11	AHPC_SHIFL
P0AEC7	BARA_ECO57
P0AEC6	BARA_ECOL6
P0AEC5	BARA_ECOLI
P0AD38	YFEC_ECOL6
P0AD37	YFEC_ECOLI
P0AD39	YFEC_SHIFL
P0A6K5	DEF_ECO57
P0A6K4	DEF_ECOL6
P0A6K3	DEF_ECOLI
P0A7Z2	RPIA_ECO57
P0A7Z1	RPIA_ECOL6
P0A7Z0	RPIA_ECOLI
P0A7Z3	RPIA_SHIFL
P0ABU1	MENB_ECOL6
P0ABU0	MENB_ECOLI
P0ACI1	ROB_ECO57
P0ACI0	ROB_ECOLI
P0ACI2	ROB_SHIFL
P60753	MSBA_ECO57
P60752	MSBA_ECOLI
P0ACU5	FABR_ECOLI
P0ACU6	FABR_SHIFL
P0ABT3	DPS_ECO57
P0ABT2	DPS_ECOLI
P0ABT4	DPS_SHIFL
P62622	ISPG_ECO57
P62621	ISPG_ECOL6
P62620	ISPG_ECOLI
P0A6T7	GCH1_ECO57
P0A6T6	GCH1_ECOL6
P0A6T5	GCH1_ECOLI
P0A6T8	GCH1_SHIFL
P0A8R9	HDFR_ECOLI
P0A8S0	HDFR_SHIFL
P0A888	UBIE_ECO57
P0A887	UBIE_ECOLI
P0A889	UBIE_SHIFL
P0A6A1	UBIB_ECO57
P0A6A0	UBIB_ECOLI
P0A6A2	UBIB_SHIFL
P0AFI7	PDXH_ECOLI
P0AFI8	PDXH_SHIFL
P0AED2	USPA_ECO57
P0AED1	USPA_ECOL6
P0AED0	USPA_ECOLI
P0AED3	USPA_SHIFL
P0AED4	USPA_SHISO
P0A6D6	YDIB_ECOL6
P0A6D5	YDIB_ECOLI
P69911	DCEB_ECO57
P69910	DCEB_ECOLI
P69912	DCEB_SHIFL
P0A8T3	PRMA_ECO57
P0A8T2	PRMA_ECOL6
P0A8T1	PRMA_ECOLI
P0A8T4	PRMA_SHIFL
P0A7B2	PPK_ECO57
P0A7B1	PPK_ECOLI
P0ABT0	HOLE_ECO57
P0ABS9	HOLE_ECOL6
P0ABS8	HOLE_ECOLI
P0ABT1	HOLE_SHIFL
P68193	SRA_ECO57
P68192	SRA_ECOL6
P68191	SRA_ECOLI
P0AAI3	FTSH_ECOLI
P0AAI4	FTSH_SHIFL
P0C0R8	RLME_ECO57
P0C0R9	RLME_ECOL6
P0C0R7	RLME_ECOLI
P0C0S0	RLME_SHIFL
P0AF04	MOG_ECO57
P0AF03	MOG_ECOLI
P0AF05	MOG_SHIFL
P0A750	MURA_ECOL6
P0A749	MURA_ECOLI
P0A751	MURA_SHIFL
P0A6Z8	NIKR_ECO57
P0A6Z7	NIKR_ECOL6
P0A6Z6	NIKR_ECOLI
P0A6Z9	NIKR_SHIFL
P0A6J7	DADA_ECO57
P0A6J6	DADA_ECOL6
P0A6J5	DADA_ECOLI
P0AFL8	PPX_ECO57
P0AFL7	PPX_ECOL6
P0AFL6	PPX_ECOLI
P0AFU8	RISA_ECOLI
P0AFU9	RISA_SHIFL
P0AEK5	FABI_ECO57
P0AEK4	FABI_ECOLI
P0AEK6	FABI_SHIFL
P0C055	IBPA_ECO57
P0C056	IBPA_ECOL6
P0C054	IBPA_ECOLI
P0C057	IBPA_SHIFL
P0C059	IBPB_ECOL6
P0C058	IBPB_ECOLI
P0C060	IBPB_SHIFL
P0A7F1	PYRH_ECO57
P0A7F0	PYRH_ECOL6
P0A7E9	PYRH_ECOLI
P0A7F2	PYRH_SHIFL
P0A9H8	CFA_ECOL6
P0A9H7	CFA_ECOLI
P0ACG2	STPA_ECO57
P0ACG1	STPA_ECOLI
P0ACG3	STPA_SHIFL
P0A871	TALB_ECO57
P0A870	TALB_ECOLI
P0A872	TALB_SHIFL
P0AF00	MOAB_ECO57
P0AEZ9	MOAB_ECOLI
P0A740	MOAC_ECO57
P0A739	MOAC_ECOL6
P0A738	MOAC_ECOLI
P0A741	MOAC_SHIFL
P0ACZ6	EVGA_ECO57
P0ACZ5	EVGA_ECOL6
P0ACZ4	EVGA_ECOLI
P0ACZ7	EVGA_SHIFL
P0A9L1	SLYD_ECO57
P0A9L0	SLYD_ECOL6
P0A9K9	SLYD_ECOLI
P0A9L2	SLYD_SHIFL
P0AAF8	ARTP_ECO57
P0AAF7	ARTP_ECOL6
P0AAF6	ARTP_ECOLI
P0AAF9	ARTP_SHIFL
P0ABD6	ACCA_ECO57
P0ABD5	ACCA_ECOLI
P0ABD7	ACCA_SHIFL
P0A8J6	YBED_ECO57
P0A8J5	YBED_ECOL6
P0A8J4	YBED_ECOLI
P0A8J7	YBED_SHIFL
P0A7C0	HSLV_ECO57
P0A7B9	HSLV_ECOL6
P0A7B8	HSLV_ECOLI
P0A7C1	HSLV_SHIFL
P0ABZ3	FLIG_ECO57
P0ABZ2	FLIG_ECOL6
P0ABZ1	FLIG_ECOLI
P0AB56	YCII_ECOL6
P0AB55	YCII_ECOLI
P0AB57	YCII_SHIFL
P62709	GPMA_ECO57
P62708	GPMA_ECOL6
P62707	GPMA_ECOLI
P62710	GPMA_SHIFL
P0A9T9	YBBA_ECO57
P0A9T8	YBBA_ECOLI
P0A9U0	YBBA_SHIFL
P0AFX2	RP5M_ECO57
P0AFX1	RP5M_ECOL6
P0AFX0	RP5M_ECOLI
P0AFX3	RP5M_SHIFL
P69829	PTSN_ECOLI
P69815	PTSN_SHIFL
P0AE07	ACRA_ECO57
P0AE06	ACRA_ECOLI
P0AA77	DGOT_ECOL6
P0AA76	DGOT_ECOLI
P0ADM6	YIDX_ECOLI
P0ADM7	YIDX_SHIFL
P0A9K2	PHOH_ECO57
P0A9K1	PHOH_ECOLI
P60586	CAIA_ECO57
P60585	CAIA_ECOL6
P60584	CAIA_ECOLI
P60587	CAIA_SHIFL
P0A755	KEFF_ECOL6
P0A754	KEFF_ECOLI
P0AFA6	NFRB_ECO57
P0AFA5	NFRB_ECOLI
P0AFX5	RSD_ECO57
P0AFX4	RSD_ECOLI
P0AFX6	RSD_SHIFL
P69915	CSRA_ECO57
P69914	CSRA_ECOL6
P69913	CSRA_ECOLI
P69916	CSRA_SALTI
P69917	CSRA_SALTY
P69918	CSRA_SHIFL
P0AEM8	FLIA_ECO57
P0AEM7	FLIA_ECOL6
P0AEM6	FLIA_ECOLI
P0AF68	YJEE_ECO57
P0AF67	YJEE_ECOLI
P0AF69	YJEE_SHIFL
P0A8I6	TRMB_ECO57
P0A8I5	TRMB_ECOLI
P0A8I7	TRMB_SHIFL
P0A834	SSRP_ECO57
P0A833	SSRP_ECOL6
P0A832	SSRP_ECOLI
P0A835	SSRP_SHIFL
P0A9F8	GCVA_ECO57
P0A9F7	GCVA_ECOL6
P0A9F6	GCVA_ECOLI
P0A8H6	YIHI_ECOLI
P0A8H7	YIHI_SHIFL
P0A6M6	DTD_ECO57
P0A6M5	DTD_ECOL6
P0A6M4	DTD_ECOLI
P0A6M7	DTD_SHIFL
P0ADQ4	YIID_ECO57
P0ADQ3	YIID_ECOL6
P0ADQ2	YIID_ECOLI
P69381	FIEF_ECO57
P69380	FIEF_ECOLI
P0A8R2	RRAA_ECO57
P0A8R1	RRAA_ECOL6
P0A8R0	RRAA_ECOLI
P0A8R3	RRAA_SHIFL
P0A6H6	HSLU_ECO57
P0A6H5	HSLU_ECOLI
P0A6H7	HSLU_SHIFL
P0ACR6	YEIE_ECO57
P0ACR5	YEIE_ECOL6
P0ACR4	YEIE_ECOLI
P0AG09	RPE_ECO57
P0AG08	RPE_ECOL6
P0AG07	RPE_ECOLI
P0AG10	RPE_SHIFL
P0A9S6	GLDA_ECOL6
P0A9S5	GLDA_ECOLI
P0A7C7	PEPE_ECO57
P0A7C6	PEPE_ECOLI
P68741	NFI_ECO57
P68740	NFI_ECOL6
P68739	NFI_ECOLI
P68207	YJBJ_ECO57
P68206	YJBJ_ECOLI
P68208	YJBJ_SHIFL
P0AE22	APHA_ECOLI
P0AE23	APHA_SHIFL
P0AF49	YJBQ_ECO57
P0AF48	YJBQ_ECOLI
P0AF53	YJCD_ECO57
P0AF52	YJCD_ECOLI
P0A6P0	EFPL_ECO57
P0A6N9	EFPL_ECOL6
P0A6N8	EFPL_ECOLI
P0A6H3	CLPX_ECO57
P0A6H2	CLPX_ECOL6
P0A6H1	CLPX_ECOLI
P0A6H4	CLPX_SHIFL
P0ACL7	LLDR_ECOLI
P0ACL8	LLDR_SHIFL
P0AFT7	YEHT_ECO57
P0AFT6	YEHT_ECOL6
P0AFT5	YEHT_ECOLI
P0AGA1	SECG_ECO57
P0AGA0	SECG_ECOL6
P0AG99	SECG_ECOLI
P68067	GRCA_ECO57
P68066	GRCA_ECOLI
P0AGJ6	YFIF_ECO57
P0AGJ5	YFIF_ECOLI
P0AGG6	THIO2_ECO57
P0AGG5	THIO2_ECOL6
P0AGG4	THIO2_ECOLI
P0AGG7	THIO2_SHIFL
P0AEY4	MAZG_ECO57
P0AEY3	MAZG_ECOLI
P0AGM8	URAA_ECO57
P0AGM7	URAA_ECOLI
P0AGJ8	TRML_ECOL6
P0AGJ7	TRML_ECOLI
P0AA45	RSUA_ECO57
P0AA44	RSUA_ECOL6
P0AA43	RSUA_ECOLI
P0AA46	RSUA_SHIFL
P0ABM9	CCMH_ECOLI
P0ABN0	CCMH_SHIFL
P69492	CCME_ECO57
P69491	CCME_ECOL6
P69490	CCME_ECOLI
P69493	CCME_SHIFL
P0ABM0	CCMB_ECO57
P0ABL9	CCMB_ECOL6
P0ABL8	CCMB_ECOLI
P0ABL7	NAPC_ECO57
P0ABL6	NAPC_ECOL6
P0ABL5	NAPC_ECOLI
P0A9I6	NAPD_ECO57
P0A9I5	NAPD_ECOLI
P0A9I7	NAPD_SHIFL
P0A896	YHBJ_ECO57
P0A895	YHBJ_ECOL6
P0A894	YHBJ_ECOLI
P0A897	YHBJ_SHIFL
P0A7I6	RF3_ECO57
P0A7I5	RF3_ECOL6
P0A7I4	RF3_ECOLI
P0AGB8	RPOE_ECO57
P0AGB7	RPOE_ECOL6
P0AGB6	RPOE_ECOLI
P0AGB9	RPOE_SHIFL
P0A6M1	HSCB_ECO57
P0A6M0	HSCB_ECOL6
P0A6L9	HSCB_ECOLI
P0A6Z2	HSCA_ECO57
P0A6Z1	HSCA_ECOLI
P0A919	OMPX_ECO57
P0A918	OMPX_ECOL6
P0A917	OMPX_ECOLI
P0A920	OMPX_SHIFL
P0ADL0	YIBL_ECO57
P0ADK9	YIBL_ECOL6
P0ADK8	YIBL_ECOLI
P60293	MUKF_ECOLI
P60294	MUKF_SHIFL
P83843	ADPP_ECO57
P83842	ADPP_ECOL6
Q93K97	ADPP_ECOLI
P83844	ADPP_SHIFL
P69489	CUTA_ECO57
P69488	CUTA_ECOLI
P0AFY9	SEQA_ECOL6
P0AFY8	SEQA_ECOLI
P0AFZ0	SEQA_SHIFL
P62618	ISPF_ECO57
P62617	ISPF_ECOLI
P62619	ISPF_SHIFL
P0A842	SURE_ECO57
P0A841	SURE_ECOL6
P0A840	SURE_ECOLI
P0ACS6	ZNTR_ECO57
P0ACS5	ZNTR_ECOLI
P0A8H9	YACG_ECO57
P0A8H8	YACG_ECOLI
P0A8I0	YACG_SHIFL
P61517	CAN_ECOLI
P61518	CAN_SHIFL
P0A7A3	GPMB_ECO57
P0A7A2	GPMB_ECOLI
P0A7A4	GPMB_SHIFL
P0ACE8	HINT_ECO57
P0ACE7	HINT_ECOLI
P0ACE9	HINT_SHIFL
P0A9Y8	CSPC_ECO57
P0A9Y7	CSPC_ECOL6
P0A9Y6	CSPC_ECOLI
P0A9Z0	CSPC_SALTI
P0A9Y9	CSPC_SALTY
P0A974	CSPE_ECO57
P0A973	CSPE_ECOL6
P0A972	CSPE_ECOLI
P0A975	CSPE_SHIFL
P0ADA0	BRNQ_ECO57
P0AD99	BRNQ_ECOLI
P0AFR0	RSSA_ECOLI
P0AFR1	RSSA_SHIFL
P0AF91	RRAB_ECO57
P0AF90	RRAB_ECOLI
P0AF92	RRAB_SHIFL
P0AAR3	YBAK_ECOLI
P0AAR4	YBAK_SHIFL
P0ACE1	MBHM_ECO57
P0ACE0	MBHM_ECOLI
P0ACE2	MBHM_SHIFL
P0AAN2	HYBE_ECOL6
P0AAN1	HYBE_ECOLI
P0AAM9	HYBG_ECO57
P0AAM8	HYBG_ECOL6
P0AAM7	HYBG_ECOLI
P0AAN0	HYBG_SHIFL
P69814	PTKA_ECO57
P69813	PTKA_ECOL6
P69828	PTKA_ECOLI
P0C8J8	GATZ_ECOLI
P0C8J9	GATZ_ECOLX
P0C8J6	GATY_ECOLI
P0C8J7	GATY_ECOLX
P0A831	DCTA_ECOL6
